energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Nb_p_up,Nb_p_down,Nb_d_up,Nb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.05097202,-0.01345850,0.00036132,-0.00010665,0.00012332,-0.00002469,0.00000017,-0.00000016,0.00780809,-0.00183460,0.00239510,-0.00069963,0.00081461,-0.00021216,0.00211433,-0.00056266,0.02860752,-0.00764380
-5.99399700,0.06661931,-0.01818339,0.00047026,-0.00014347,0.00016414,-0.00003412,0.00000023,-0.00000021,0.01020013,-0.00247871,0.00311964,-0.00094200,0.00107503,-0.00028933,0.00276384,-0.00076030,0.03739001,-0.01032701
-5.98799400,0.08648326,-0.02439791,0.00060778,-0.00019165,0.00021711,-0.00004684,0.00000032,-0.00000029,0.01323483,-0.00332591,0.00403519,-0.00125943,0.00140971,-0.00039197,0.00358855,-0.00102029,0.04853946,-0.01385602
-5.98199100,0.11151616,-0.03251139,0.00078005,-0.00025419,0.00028542,-0.00006388,0.00000043,-0.00000038,0.01705664,-0.00443198,0.00518334,-0.00167198,0.00183693,-0.00052752,0.00462811,-0.00135979,0.06259052,-0.01846323
-5.97598799,0.14283280,-0.04302594,0.00099418,-0.00033477,0.00037294,-0.00008656,0.00000058,-0.00000050,0.02183436,-0.00586536,0.00661224,-0.00220411,0.00237860,-0.00070529,0.00592894,-0.00179985,0.08016912,-0.02443363
-5.96998499,0.18172451,-0.05655145,0.00125829,-0.00043778,0.00048431,-0.00011652,0.00000077,-0.00000066,0.02776325,-0.00770917,0.00837700,-0.00288525,0.00306075,-0.00093679,0.00754483,-0.00236603,0.10200033,-0.03211341
-5.96398199,0.22967077,-0.07382150,0.00158155,-0.00056845,0.00062511,-0.00015584,0.00000102,-0.00000087,0.03506659,-0.01006338,0.01053988,-0.00375047,0.00391401,-0.00123614,0.00953747,-0.00308910,0.12891494,-0.04191892
-5.95797899,0.28834754,-0.09570949,0.00197411,-0.00073293,0.00080194,-0.00020707,0.00000135,-0.00000112,0.04399686,-0.01304698,0.01317038,-0.00484110,0.00497411,-0.00162053,0.01197676,-0.00400572,0.16185411,-0.05434584
-5.95197599,0.35963091,-0.12324461,0.00244713,-0.00093836,0.00102254,-0.00027334,0.00000176,-0.00000145,0.05483605,-0.01680016,0.01634501,-0.00620532,0.00628229,-0.00211064,0.01494103,-0.00515909,0.20187151,-0.06997819
-5.94597299,0.44559493,-0.15762667,0.00301261,-0.00119295,0.00129590,-0.00035849,0.00000229,-0.00000186,0.06789516,-0.02148631,0.02014672,-0.00789864,0.00788570,-0.00273116,0.01851693,-0.00659959,0.25013207,-0.08949679
-5.93996998,0.54850226,-0.20023902,0.00368334,-0.00150598,0.00163236,-0.00046710,0.00000296,-0.00000236,0.08351256,-0.02729377,0.02466409,-0.00998421,0.00983765,-0.00351129,0.02279905,-0.00838537,0.30790680,-0.11368650
-5.93396698,0.67078641,-0.25265839,0.00447257,-0.00188786,0.00204371,-0.00060466,0.00000379,-0.00000298,0.10205108,-0.03443709,0.02999000,-0.01253299,0.01219775,-0.00448517,0.02788927,-0.01058271,0.37656285,-0.14344184
-5.92796398,0.81502445,-0.31666047,0.00539386,-0.00235005,0.00254318,-0.00077766,0.00000483,-0.00000374,0.12389357,-0.04315781,0.03622001,-0.01562363,0.01503187,-0.00569233,0.03389558,-0.01326630,0.45754820,-0.17977005
-5.92196098,0.98389921,-0.39421994,0.00646065,-0.00290500,0.00314548,-0.00099366,0.00000610,-0.00000466,0.14943702,-0.05372437,0.04345014,-0.01934205,0.01841188,-0.00717811,0.04093053,-0.01651929,0.55237050,-0.22379116
-5.91595798,1.18015028,-0.48750357,0.00768595,-0.00356602,0.00386676,-0.00126141,0.00000765,-0.00000578,0.17908484,-0.06643113,0.05177438,-0.02378065,0.02241513,-0.00899385,0.04910925,-0.02043294,0.66256959,-0.27673397
-5.90995498,1.40651357,-0.59885507,0.00908180,-0.00434708,0.00472447,-0.00159092,0.00000953,-0.00000711,0.21323759,-0.08159621,0.06128167,-0.02903712,0.02712360,-0.01119708,0.05854693,-0.02510609,0.78968361,-0.33992741
