energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.10363154,0.00950148,0.04686598,0.74285780,0.00000000,0.11095684,0.11161958
-5.99399700,1.20319357,0.01070211,0.05060458,0.81146970,0.00000000,0.12522816,0.12290169
-5.98799400,1.30638289,0.01200879,0.05437682,0.88287002,0.00000000,0.14081369,0.13481525
-5.98199100,1.41280266,0.01342204,0.05815369,0.95681584,0.00000000,0.15774528,0.14733731
-5.97598799,1.52200717,0.01494032,0.06190534,1.03302612,0.00000000,0.17603738,0.16043553
-5.96998499,1.63349879,0.01655967,0.06560145,1.11117848,0.00000000,0.19568330,0.17406695
-5.96398199,1.74672421,0.01827345,0.06921167,1.19090547,0.00000000,0.21665155,0.18817671
-5.95797899,1.86107025,0.02007206,0.07270597,1.27179080,0.00000000,0.23888245,0.20269691
-5.95197599,1.97585985,0.02194279,0.07605502,1.35336572,0.00000000,0.26228518,0.21754563
-5.94597299,2.09034887,0.02386973,0.07923052,1.43510632,0.00000000,0.28673554,0.23262628
-5.93996998,2.20372454,0.02583381,0.08220558,1.51643215,0.00000000,0.31207463,0.24782736
-5.93396698,2.31510639,0.02781300,0.08495503,1.59670679,0.00000000,0.33810871,0.26302272
-5.92796398,2.42355036,0.02978256,0.08745576,1.67524109,0.00000000,0.36461038,0.27807254
-5.92196098,2.52805702,0.03171550,0.08968708,1.75129929,0.00000000,0.39132119,0.29282489
-5.91595798,2.62758410,0.03358318,0.09163108,1.82410871,0.00000000,0.41795587,0.30711817
-5.90995498,2.72106387,0.03535593,0.09327302,1.89287282,0.00000000,0.44420800,0.32078417
-5.90395198,2.80742514,0.03700393,0.09460171,1.95678789,0.00000000,0.46975715,0.33365188
-5.89794897,2.88561940,0.03849797,0.09560986,2.01506272,0.00000000,0.49427728,0.34555194
-5.89194597,2.95465053,0.03981042,0.09629449,2.06694089,0.00000000,0.51744598,0.35632145
-5.88594297,3.01360667,0.04091605,0.09665723,2.11172466,0.00000000,0.53895447,0.36580909
-5.87993997,3.06169297,0.04179294,0.09670451,2.14879950,0.00000000,0.55851754,0.37388026
-5.87393697,3.09826347,0.04242320,0.09644779,2.17765794,0.00000000,0.57588336,0.38042202
-5.86793397,3.12285034,0.04279359,0.09590354,2.19792152,0.00000000,0.59084236,0.38534754
-5.86193097,3.13518869,0.04289609,0.09509312,2.20935944,0.00000000,0.60323490,0.38859981
-5.85592796,3.13523521,0.04272811,0.09404246,2.21190278,0.00000000,0.61295720,0.39015442
-5.84992496,3.12317940,0.04229270,0.09278165,2.20565318,0.00000000,0.61996521,0.39002123
-5.84392196,3.09944602,0.04159838,0.09134426,2.19088526,0.00000000,0.62427619,0.38824469
-5.83791896,3.06468855,0.04065890,0.08976651,2.16804239,0.00000000,0.62596785,0.38490295
-5.83191596,3.01977323,0.03949279,0.08808634,2.13772558,0.00000000,0.62517503,0.38010551
-5.82591296,2.96575435,0.03812268,0.08634235,2.10067606,0.00000000,0.62208412,0.37398974
-5.81990995,2.90384170,0.03657455,0.08457260,2.05775196,0.00000000,0.61692537,0.36671624
-5.81390695,2.83536159,0.03487690,0.08281354,2.00990044,0.00000000,0.60996367,0.35846330
-5.80790395,2.76171337,0.03305983,0.08109877,1.95812636,0.00000000,0.60148801,0.34942083
-5.80190095,2.68432344,0.03115408,0.07945808,1.90345902,0.00000000,0.59180038,0.33978382
-5.79589795,2.60459909,0.02919020,0.07791648,1.84691879,0.00000000,0.58120456,0.32974588
-5.78989495,2.52388425,0.02719764,0.07649346,1.78948489,0.00000000,0.56999527,0.31949300
-5.78389195,2.44341937,0.02520407,0.07520253,1.73206615,0.00000000,0.55844841,0.30919790
-5.77788894,2.36430711,0.02323476,0.07405082,1.67547575,0.00000000,0.54681259,0.29901518
-5.77188594,2.28748522,0.02131207,0.07303917,1.62041121,0.00000000,0.53530238,0.28907741
-5.76588294,2.21370765,0.01945515,0.07216223,1.56744012,0.00000000,0.52409350,0.27949239
-5.75987994,2.14353429,0.01767974,0.07140898,1.51699206,0.00000000,0.51332012,0.27034163
-5.75387694,2.07732922,0.01599814,0.07076336,1.46935667,0.00000000,0.50307402,0.26167987
-5.74787394,2.01526711,0.01441927,0.07020507,1.42468752,0.00000000,0.49340575,0.25353588
-5.74187094,1.95734669,0.01294890,0.06971056,1.38301103,0.00000000,0.48432741,0.24591416
-5.73586793,1.90341014,0.01158991,0.06925401,1.34423981,0.00000000,0.47581674,0.23879747
-5.72986493,1.85316696,0.01034265,0.06880845,1.30818913,0.00000000,0.46782226,0.23215005
-5.72386193,1.80622071,0.00920534,0.06834672,1.27459552,0.00000000,0.46026901,0.22592127
-5.71785893,1.76209710,0.00817446,0.06784253,1.24313655,0.00000000,0.45306463,0.22004942
-5.71185593,1.72027198,0.00724521,0.06727126,1.21345042,0.00000000,0.44610535,0.21446566
-5.70585293,1.68019798,0.00641189,0.06661076,1.18515483,0.00000000,0.43928168,0.20909771
-5.69984992,1.64132865,0.00566823,0.06584192,1.15786411,0.00000000,0.43248355,0.20387325
-5.69384692,1.60313956,0.00500779,0.06494912,1.13120424,0.00000000,0.42560482,0.19872299
-5.68784392,1.56514567,0.00442419,0.06392049,1.10482534,0.00000000,0.41854695,0.19358311
-5.68184092,1.52691493,0.00391137,0.06274805,1.07841163,0.00000000,0.41122197,0.18839726
-5.67583792,1.48807811,0.00346374,0.06142769,1.05168863,0.00000000,0.40355468,0.18311803
-5.66983492,1.44833511,0.00307638,0.05995902,1.02442816,0.00000000,0.39548421,0.17770779
-5.66383192,1.40745828,0.00274507,0.05834512,0.99645109,0.00000000,0.38696500,0.17213920
-5.65782891,1.36529300,0.00246637,0.05659225,0.96762838,0.00000000,0.37796741,0.16639521
-5.65182591,1.32175642,0.00223765,0.05470944,0.93788072,0.00000000,0.36847798,0.16046872
-5.64582291,1.27683447,0.00205711,0.05270812,0.90717715,0.00000000,0.35849944,0.15436207
-5.63981991,1.23057804,0.00192370,0.05060166,0.87553295,0.00000000,0.34805061,0.14808621
-5.63381691,1.18309829,0.00183710,0.04840502,0.84300702,0.00000000,0.33716621,0.14165984
-5.62781391,1.13456174,0.00179768,0.04613427,0.80969903,0.00000000,0.32589651,0.13510841
-5.62181091,1.08518503,0.00180643,0.04380630,0.77574632,0.00000000,0.31430694,0.12846317
-5.61580790,1.03522962,0.00186482,0.04143842,0.74132064,0.00000000,0.30247749,0.12176011
-5.60980490,0.98499626,0.00197477,0.03904810,0.70662469,0.00000000,0.29050197,0.11503905
-5.60380190,0.93481936,0.00213850,0.03665263,0.67188840,0.00000000,0.27848688,0.10834270
-5.59779890,0.88506092,0.00235842,0.03426895,0.63736484,0.00000000,0.26655006,0.10171573
-5.59179590,0.83610410,0.00263699,0.03191338,0.60332570,0.00000000,0.25481886,0.09520392
-5.58579290,0.78834628,0.00297658,0.02960143,0.57005622,0.00000000,0.24342795,0.08885336
-5.57978989,0.74219147,0.00337930,0.02734767,0.53784962,0.00000000,0.23251663,0.08270961
-5.57378689,0.69804222,0.00384683,0.02516552,0.50700097,0.00000000,0.22222577,0.07681689
-5.56778389,0.65629091,0.00438029,0.02306719,0.47780049,0.00000000,0.21269434,0.07121734
-5.56178089,0.61731075,0.00497999,0.02106348,0.45052660,0.00000000,0.20405568,0.06595025
-5.55577789,0.58144642,0.00564533,0.01916376,0.42543864,0.00000000,0.19643361,0.06105127
-5.54977489,0.54900483,0.00637460,0.01737584,0.40276957,0.00000000,0.18993835,0.05655174
-5.54377189,0.52024611,0.00716486,0.01570597,0.38271887,0.00000000,0.18466269,0.05247798
-5.53776888,0.49537521,0.00801180,0.01415874,0.36544587,0.00000000,0.18067825,0.04885066
-5.53176588,0.47453441,0.00890968,0.01273714,0.35106378,0.00000000,0.17803219,0.04568430
-5.52576288,0.45779702,0.00985131,0.01144256,0.33963456,0.00000000,0.17674440,0.04298672
-5.51975988,0.44516263,0.01082799,0.01027484,0.33116506,0.00000000,0.17680542,0.04075879
-5.51375688,0.43655407,0.01182962,0.00923234,0.32560442,0.00000000,0.17817504,0.03899414
-5.50775388,0.43181642,0.01284476,0.00831210,0.32284305,0.00000000,0.18078182,0.03767919
-5.50175088,0.43071802,0.01386086,0.00750992,0.32271321,0.00000000,0.18452358,0.03679314
-5.49574787,0.43295381,0.01486440,0.00682058,0.32499122,0.00000000,0.18926876,0.03630837
-5.48974487,0.43815084,0.01584117,0.00623798,0.32940152,0.00000000,0.19485880,0.03619084
-5.48374187,0.44587588,0.01677662,0.00575538,0.33562222,0.00000000,0.20111148,0.03640075
-5.47773887,0.45564510,0.01765614,0.00536561,0.34329225,0.00000000,0.20782502,0.03689339
-5.47173587,0.46693549,0.01846543,0.00506129,0.35201992,0.00000000,0.21478297,0.03762012
-5.46573287,0.47919775,0.01919089,0.00483507,0.36139248,0.00000000,0.22175977,0.03852952
-5.45972986,0.49187029,0.01981996,0.00467985,0.37098665,0.00000000,0.22852660,0.03956863
-5.45372686,0.50439387,0.02034149,0.00458899,0.38037959,0.00000000,0.23485761,0.04068432
-5.44772386,0.51622646,0.02074604,0.00455652,0.38916008,0.00000000,0.24053608,0.04182460
-5.44172086,0.52685773,0.02102616,0.00457728,0.39693946,0.00000000,0.24536048,0.04294006
-5.43571786,0.53582271,0.02117661,0.00464710,0.40336197,0.00000000,0.24915007,0.04398511
-5.42971486,0.54271417,0.02119452,0.00476286,0.40811414,0.00000000,0.25174987,0.04491924
-5.42371186,0.54719305,0.02107948,0.00492258,0.41093281,0.00000000,0.25303494,0.04570800
-5.41770885,0.54899684,0.02083354,0.00512537,0.41161160,0.00000000,0.25291353,0.04632389
-5.41170585,0.54794523,0.02046117,0.00537146,0.41000547,0.00000000,0.25132933,0.04674693
-5.40570285,0.54394313,0.01996910,0.00566203,0.40603325,0.00000000,0.24826240,0.04696499
-5.39969985,0.53698071,0.01936615,0.00599907,0.39967814,0.00000000,0.24372899,0.04697383
-5.39369685,0.52713060,0.01866295,0.00638519,0.39098597,0.00000000,0.23778021,0.04677686
-5.38769385,0.51454235,0.01787162,0.00682333,0.38006161,0.00000000,0.23049947,0.04638457
