energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.34364706,0.01506049,0.00454593,0.24566378,0.00000000,0.16139343,0.01416459
-5.99399700,0.34609607,0.01515185,0.00446970,0.24799153,0.00000000,0.16180858,0.01472438
-5.98799400,0.34800416,0.01514000,0.00440130,0.25007333,0.00000000,0.16134080,0.01533265
-5.98199100,0.34939479,0.01502389,0.00434482,0.25191971,0.00000000,0.16000274,0.01599422
-5.97598799,0.35032891,0.01480491,0.00430417,0.25356786,0.00000000,0.15782864,0.01671422
-5.96998499,0.35089734,0.01448689,0.00428291,0.25507586,0.00000000,0.15487248,0.01749759
-5.96398199,0.35121214,0.01407586,0.00428410,0.25651628,0.00000000,0.15120561,0.01834852
-5.95797899,0.35139753,0.01357985,0.00431009,0.25796927,0.00000000,0.14691369,0.01926995
-5.95197599,0.35158059,0.01300855,0.00436246,0.25951578,0.00000000,0.14209340,0.02026309
-5.94597299,0.35188241,0.01237300,0.00444188,0.26123092,0.00000000,0.13684884,0.02132697
-5.93996998,0.35241012,0.01168522,0.00454805,0.26317820,0.00000000,0.13128793,0.02245811
-5.93396698,0.35325021,0.01095780,0.00467970,0.26540468,0.00000000,0.12551892,0.02365038
-5.92796398,0.35446354,0.01020352,0.00483459,0.26793750,0.00000000,0.11964721,0.02489486
-5.92196098,0.35608250,0.00943504,0.00500960,0.27078199,0.00000000,0.11377266,0.02618005
-5.91595798,0.35811025,0.00866453,0.00520078,0.27392153,0.00000000,0.10798740,0.02749212
-5.90995498,0.36052257,0.00790345,0.00540354,0.27731921,0.00000000,0.10237433,0.02881542
-5.90395198,0.36327186,0.00716229,0.00561277,0.28092132,0.00000000,0.09700635,0.03013315
-5.89794897,0.36629354,0.00645044,0.00582308,0.28466256,0.00000000,0.09194628,0.03142819
-5.89194597,0.36951435,0.00577608,0.00602899,0.28847277,0.00000000,0.08724751,0.03268402
-5.88594297,0.37286225,0.00514619,0.00622514,0.29228474,0.00000000,0.08295525,0.03388587
-5.87993997,0.37627747,0.00456652,0.00640657,0.29604305,0.00000000,0.07910838,0.03502175
-5.87393697,0.37972414,0.00404172,0.00656890,0.29971310,0.00000000,0.07574161,0.03608364
-5.86793397,0.38320180,0.00357541,0.00670855,0.30329023,0.00000000,0.07288809,0.03706851
