energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,0.36668710,0.00201976,0.05586338,0.15828751,0.10384922,0.15084855,0.00000000
-5.99399700,0.34562449,0.00186033,0.05250842,0.15060202,0.09949109,0.14057173,0.00000000
-5.98799400,0.32957251,0.00171753,0.04987473,0.14517398,0.09684870,0.13214836,0.00000000
-5.98199100,0.31904518,0.00159344,0.04805232,0.14227228,0.09610212,0.12573924,0.00000000
-5.97598799,0.31451944,0.00148977,0.04712581,0.14215380,0.09742825,0.12148225,0.00000000
-5.96998499,0.31643354,0.00140788,0.04717414,0.14506165,0.10099990,0.11949231,0.00000000
-5.96398199,0.32518524,0.00134879,0.04827038,0.15122311,0.10698476,0.11986150,0.00000000
-5.95797899,0.34112930,0.00131316,0.05048124,0.16084710,0.11554379,0.12265915,0.00000000
-5.95197599,0.36457418,0.00130132,0.05386646,0.17412101,0.12682935,0.12793186,0.00000000
-5.94597299,0.39577777,0.00131327,0.05847791,0.19120693,0.14098271,0.13570332,0.00000000
-5.93996998,0.43494215,0.00134868,0.06435848,0.21223732,0.15813124,0.14597394,0.00000000
-5.93396698,0.48220756,0.00140692,0.07154066,0.23731011,0.17838522,0.15872043,0.00000000
-5.92796398,0.53764585,0.00148709,0.08004504,0.26648365,0.20183437,0.17389518,0.00000000
-5.92196098,0.60125386,0.00158800,0.08987863,0.29977158,0.22854447,0.19142582,0.00000000
-5.91595798,0.67294727,0.00170821,0.10103318,0.33713806,0.25855398,0.21121477,0.00000000
-5.90995498,0.75255542,0.00184607,0.11348362,0.37849369,0.29187120,0.23313925,0.00000000
-5.90395198,0.83981765,0.00199971,0.12718672,0.42369248,0.32847194,0.25705166,0.00000000
-5.89794897,0.93438183,0.00216712,0.14208011,0.47253023,0.36829801,0.28278046,0.00000000
-5.89194597,1.03580533,0.00234616,0.15808178,0.52474466,0.41125675,0.31013182,0.00000000
-5.88594297,1.14355890,0.00253462,0.17509011,0.58001737,0.45722159,0.33889188,0.00000000
-5.87993997,1.25703340,0.00273030,0.19298459,0.63797793,0.50603370,0.36882973,0.00000000
-5.87393697,1.37554950,0.00293105,0.21162721,0.69820990,0.55750481,0.39970116,0.00000000
-5.86793397,1.49836984,0.00313487,0.23086444,0.76025877,0.61142088,0.43125283,0.00000000
-5.86193097,1.62471340,0.00333997,0.25052997,0.82364143,0.66754654,0.46322704,0.00000000
-5.85592796,1.75377111,0.00354488,0.27044786,0.88785681,0.72562990,0.49536665,0.00000000
-5.84992496,1.88472216,0.00374851,0.29043619,0.95239713,0.78540755,0.52742018,0.00000000
-5.84392196,2.01674989,0.00395025,0.31031090,1.01675924,0.84660911,0.55914666,0.00000000
-5.83791896,2.14905645,0.00415006,0.32988975,1.08045534,0.90896126,0.59032020,0.00000000
-5.83191596,2.28087533,0.00434849,0.34899618,1.14302261,0.97219068,0.62073402,0.00000000
-5.82591296,2.41148104,0.00454678,0.36746285,1.20403099,1.03602566,0.65020365,0.00000000
-5.81990995,2.54019531,0.00474685,0.38513479,1.26308896,1.10019635,0.67856945,0.00000000
-5.81390695,2.66638968,0.00495132,0.40187191,1.31984683,1.16443344,0.70569810,0.00000000
-5.80790395,2.78948433,0.00516352,0.41755094,1.37399749,1.22846535,0.73148318,0.00000000
-5.80190095,2.90894356,0.00538737,0.43206660,1.42527473,1.29201437,0.75584487,0.00000000
-5.79589795,3.02426843,0.00562738,0.44533205,1.47344934,1.35479186,0.77872882,0.00000000
-5.78989495,3.13498751,0.00588847,0.45727880,1.51832355,1.41649322,0.80010431,0.00000000
-5.78389195,3.24064664,0.00617589,0.46785597,1.55972418,1.47679307,0.81996184,0.00000000
-5.77788894,3.34079903,0.00649500,0.47702918,1.59749542,1.53534141,0.83831043,0.00000000
-5.77188594,3.43499677,0.00685109,0.48477917,1.63149182,1.59176122,0.85517459,0.00000000
-5.76588294,3.52278483,0.00724918,0.49110031,1.66157215,1.64564823,0.87059141,0.00000000
-5.75987994,3.60369855,0.00769377,0.49599914,1.68759493,1.69657321,0.88460758,0.00000000
-5.75387694,3.67726520,0.00818862,0.49949309,1.70941589,1.74408705,0.89727675,0.00000000
-5.74787394,3.74300993,0.00873649,0.50160944,1.72688799,1.78772889,0.90865712,0.00000000
-5.74187094,3.80046616,0.00933892,0.50238464,1.73986372,1.82703692,0.91880940,0.00000000
-5.73586793,3.84918984,0.00999604,0.50186388,1.74820003,1.86156176,0.92779505,0.00000000
-5.72986493,3.88877690,0.01070637,0.50010102,1.75176518,1.89088156,0.93567488,0.00000000
-5.72386193,3.91888273,0.01146669,0.49715867,1.75044737,1.91461838,0.94250791,0.00000000
-5.71785893,3.93924246,0.01227196,0.49310837,1.74416426,1.93245469,0.94835043,0.00000000
-5.71185593,3.94969046,0.01311527,0.48803082,1.73287285,1.94414909,0.95325525,0.00000000
-5.70585293,3.95017780,0.01398787,0.48201582,1.71657881,1.94955036,0.95727105,0.00000000
-5.69984992,3.94078608,0.01487928,0.47516202,1.69534460,1.94860872,0.96044182,0.00000000
-5.69384692,3.92173667,0.01577746,0.46757624,1.66929582,1.94138367,0.96280639,0.00000000
-5.68784392,3.89339437,0.01666902,0.45937235,1.63862499,1.92804766,0.96439799,0.00000000
-5.68184092,3.85626505,0.01753954,0.45066961,1.60359274,1.90888526,0.96524396,0.00000000
-5.67583792,3.81098711,0.01837394,0.44159062,1.56452594,1.88428774,0.96536557,0.00000000
-5.66983492,3.75831714,0.01915685,0.43225877,1.52181302,1.85474315,0.96477798,0.00000000
-5.66383192,3.69911031,0.01987305,0.42279545,1.47589656,1.82082242,0.96349048,0.00000000
-5.65782891,3.63429661,0.02050797,0.41331706,1.42726353,1.78316207,0.96150683,0.00000000
-5.65182591,3.56485419,0.02104807,0.40393204,1.37643378,1.74244441,0.95882600,0.00000000
-5.64582291,3.49178107,0.02148133,0.39473805,1.32394724,1.69937635,0.95544302,0.00000000
-5.63981991,3.41606686,0.02179763,0.38581944,1.27035063,1.65466767,0.95135009,0.00000000
-5.63381691,3.33866581,0.02198909,0.37724530,1.21618412,1.60901004,0.94653782,0.00000000
-5.62781391,3.26047245,0.02205034,0.36906799,1.16196873,1.56305771,0.94099655,0.00000000
-5.62181091,3.18230103,0.02197871,0.36132250,1.10819489,1.51741064,0.93471766,0.00000000
-5.61580790,3.10486943,0.02177434,0.35402640,1.05531258,1.47260092,0.92769484,0.00000000
-5.60980490,3.02878800,0.02144019,0.34718066,1.00372337,1.42908284,0.91992513,0.00000000
-5.60380190,2.95455365,0.02098191,0.34077098,0.95377455,1.38722679,0.91140977,0.00000000
-5.59779890,2.88254886,0.02040769,0.33476989,0.90575543,1.34731713,0.90215474,0.00000000
-5.59179590,2.81304521,0.01972797,0.32913915,0.85989561,1.30955358,0.89217098,0.00000000
-5.58579290,2.74621077,0.01895511,0.32383251,0.81636534,1.27405586,0.88147429,0.00000000
-5.57978989,2.68212048,0.01810297,0.31879866,0.77527745,1.24087081,0.87008489,0.00000000
-5.57378689,2.62076851,0.01718652,0.31398404,0.73669084,1.20998148,0.85802673,0.00000000
-5.56778389,2.56208169,0.01622131,0.30933552,0.70061499,1.18131727,0.84532658,0.00000000
-5.56178089,2.50593293,0.01522308,0.30480277,0.66701547,1.15476445,0.83201290,0.00000000
-5.55577789,2.45215399,0.01420730,0.30034012,0.63581982,1.13017639,0.81811475,0.00000000
-5.54977489,2.40054670,0.01318873,0.29590792,0.60692381,1.10738293,0.80366055,0.00000000
-5.54377189,2.35089234,0.01218110,0.29147338,0.58019774,1.08619837,0.78867704,0.00000000
-5.53776888,2.30295886,0.01119683,0.28701081,0.55549251,1.06642796,0.77318827,0.00000000
-5.53176588,2.25650584,0.01024673,0.28250144,0.53264552,1.04787261,0.75721484,0.00000000
-5.52576288,2.21128761,0.00933989,0.27793272,0.51148600,1.03033206,0.74077336,0.00000000
-5.51975988,2.16705462,0.00848358,0.27329738,0.49184007,1.01360656,0.72387616,0.00000000
-5.51375688,2.12355379,0.00768324,0.26859236,0.47353516,0.99749749,0.70653131,0.00000000
-5.50775388,2.08052839,0.00694247,0.26381757,0.45640404,0.98180732,0.68874293,0.00000000
-5.50175088,2.03771804,0.00626321,0.25897492,0.44028835,0.96633927,0.67051178,0.00000000
-5.49574787,1.99485945,0.00564579,0.25406743,0.42504173,0.95089716,0.65183612,0.00000000
-5.48974487,1.95168845,0.00508919,0.24909878,0.41053254,0.93528592,0.63271289,0.00000000
-5.48374187,1.90794360,0.00459117,0.24407322,0.39664620,0.91931289,0.61313905,0.00000000
-5.47773887,1.86337166,0.00414856,0.23899586,0.38328726,0.90279021,0.59311311,0.00000000
-5.47173587,1.81773474,0.00375743,0.23387346,0.37038107,0.88553837,0.57263683,0.00000000
-5.46573287,1.77081921,0.00341332,0.22871554,0.35787512,0.86739082,0.55171688,0.00000000
-5.45972986,1.72244553,0.00311146,0.22353577,0.34574005,0.84819940,0.53036658,0.00000000
-5.45372686,1.67247888,0.00284694,0.21835352,0.33397012,0.82784035,0.50860748,0.00000000
-5.44772386,1.62083951,0.00261490,0.21319541,0.32258332,0.80622045,0.48647077,0.00000000
-5.44172086,1.56751224,0.00241066,0.20809675,0.31162080,0.78328284,0.46399840,0.00000000
-5.43571786,1.51255428,0.00222982,0.20310254,0.30114575,0.75901205,0.44124384,0.00000000
-5.42971486,1.45610059,0.00206838,0.19826815,0.29124150,0.73343787,0.41827244,0.00000000
-5.42371186,1.39836626,0.00192276,0.19365926,0.28200891,0.70663754,0.39516131,0.00000000
-5.41770885,1.33964530,0.00178986,0.18935121,0.27356299,0.67873608,0.37199863,0.00000000
-5.41170585,1.28030582,0.00166710,0.18542747,0.26602871,0.64990457,0.34888259,0.00000000
-5.40570285,1.22078133,0.00155234,0.18197740,0.25953610,0.62035628,0.32591965,0.00000000
-5.39969985,1.16155851,0.00144393,0.17909329,0.25421479,0.59034082,0.30322256,0.00000000
-5.39369685,1.10316197,0.00134063,0.17686671,0.25018795,0.56013645,0.28090790,0.00000000
-5.38769385,1.04613646,0.00124158,0.17538434,0.24756600,0.53004105,0.25909340,0.00000000
-5.38169085,0.99102755,0.00114627,0.17472352,0.24644024,0.50036193,0.23789516,0.00000000
-5.37568784,0.93836157,0.00105444,0.17494772,0.24687662,0.47140529,0.21742486,0.00000000
-5.36968484,0.88862595,0.00096605,0.17610200,0.24891002,0.44346560,0.19778706,0.00000000
-5.36368184,0.84225090,0.00088123,0.17820902,0.25253920,0.41681560,0.17907682,0.00000000
-5.35767884,0.79959331,0.00080025,0.18126554,0.25772288,0.39169738,0.16137766,0.00000000
-5.35167584,0.76092392,0.00072343,0.18523983,0.26437700,0.36831495,0.14476003,0.00000000
-5.34567284,0.72641820,0.00065114,0.19007008,0.27237355,0.34682871,0.12928025,0.00000000
-5.33966983,0.69615157,0.00058376,0.19566403,0.28154103,0.32735206,0.11498011,0.00000000
-5.33366683,0.67009919,0.00052167,0.20189986,0.29166676,0.30995018,0.10188705,0.00000000
-5.32766383,0.64814030,0.00046521,0.20862837,0.30250079,0.29464123,0.09001483,0.00000000
-5.32166083,0.63006693,0.00041469,0.21567650,0.31376177,0.28139959,0.07936485,0.00000000
-5.31565783,0.61559661,0.00037038,0.22285200,0.32514414,0.27016116,0.06992780,0.00000000
-5.30965483,0.60438835,0.00033254,0.22994913,0.33632687,0.26083023,0.06168580,0.00000000
-5.30365183,0.59606115,0.00030135,0.23675515,0.34698299,0.25328774,0.05461466,0.00000000
-5.29764882,0.59021425,0.00027701,0.24305738,0.35678997,0.24740028,0.04868638,0.00000000
-5.29164582,0.58644799,0.00025969,0.24865050,0.36544019,0.24302957,0.04387165,0.00000000
-5.28564282,0.58438438,0.00024952,0.25334376,0.37265119,0.24004179,0.04014225,0.00000000
-5.27963982,0.58368640,0.00024668,0.25696781,0.37817535,0.23831644,0.03747325,0.00000000
-5.27363682,0.58407521,0.00025131,0.25938084,0.38180836,0.23775424,0.03584497,0.00000000
-5.26763382,0.58534433,0.00026356,0.26047376,0.38339636,0.23828368,0.03524455,0.00000000
-5.26163082,0.58737031,0.00028358,0.26017416,0.38284117,0.23986603,0.03566706,0.00000000
-5.25562781,0.59011939,0.00031153,0.25844891,0.38010364,0.24249851,0.03711617,0.00000000
-5.24962481,0.59364980,0.00034753,0.25530532,0.37520480,0.24621549,0.03960428,0.00000000
-5.24362181,0.59810970,0.00039169,0.25079075,0.36822486,0.25108773,0.04315220,0.00000000
-5.23761881,0.60373085,0.00044406,0.24499075,0.35930013,0.25721967,0.04778814,0.00000000
-5.23161581,0.61081823,0.00050467,0.23802587,0.34861800,0.26474481,0.05354637,0.00000000
-5.22561281,0.61973618,0.00057344,0.23004722,0.33641024,0.27381954,0.06046529,0.00000000
-5.21960980,0.63089146,0.00065020,0.22123105,0.32294487,0.28461549,0.06858508,0.00000000
-5.21360680,0.64471409,0.00073469,0.21177258,0.30851714,0.29731081,0.07794494,0.00000000
-5.20760380,0.66163660,0.00082651,0.20187934,0.29343975,0.31208062,0.08858007,0.00000000
-5.20160080,0.68207246,0.00092512,0.19176436,0.27803298,0.32908706,0.10051833,0.00000000
-5.19559780,0.70639460,0.00102985,0.18163933,0.26261485,0.34846924,0.11377681,0.00000000
-5.18959480,0.73491464,0.00113987,0.17170819,0.24749192,0.37033346,0.12835825,0.00000000
-5.18359180,0.76786367,0.00125420,0.16216120,0.23295072,0.39474403,0.14424765,0.00000000
-5.17758879,0.80537513,0.00137174,0.15316977,0.21925045,0.42171499,0.16140893,0.00000000
-5.17158579,0.84747044,0.00149123,0.14488210,0.20661671,0.45120307,0.17978194,0.00000000
-5.16558279,0.89404783,0.00161134,0.13741985,0.19523666,0.48310207,0.19927994,0.00000000
-5.15957979,0.94487472,0.00173062,0.13087579,0.18525567,0.51723900,0.21978756,0.00000000
-5.15357679,0.99958404,0.00184760,0.12531247,0.17677517,0.55337199,0.24115961,0.00000000
-5.14757379,1.05767459,0.00196076,0.12076189,0.16985209,0.59119031,0.26322054,0.00000000
-5.14157079,1.11851558,0.00206859,0.11722613,0.16449938,0.63031643,0.28576499,0.00000000
-5.13556778,1.18135532,0.00216962,0.11467882,0.16068782,0.67031033,0.30855931,0.00000000
-5.12956478,1.24533407,0.00226247,0.11306734,0.15834881,0.71067593,0.33134413,0.00000000
-5.12356178,1.30950067,0.00234588,0.11231579,0.15737808,0.75086973,0.35383814,0.00000000
-5.11755878,1.37283286,0.00241869,0.11232832,0.15764012,0.79031138,0.37574289,0.00000000
-5.11155578,1.43426067,0.00247996,0.11299303,0.15897328,0.82839618,0.39674862,0.00000000
-5.10555278,1.49269254,0.00252891,0.11418608,0.16119525,0.86450918,0.41654107,0.00000000
-5.09954977,1.54704340,0.00256499,0.11577594,0.16410899,0.89804050,0.43480894,0.00000000
-5.09354677,1.59626407,0.00258787,0.11762782,0.16750873,0.92840166,0.45125198,0.00000000
-5.08754377,1.63937100,0.00259745,0.11960785,0.17118615,0.95504220,0.46558923,0.00000000
-5.08154077,1.67547564,0.00259389,0.12158728,0.17493634,0.97746637,0.47756735,0.00000000
-5.07553777,1.70381227,0.00257756,0.12344621,0.17856369,0.99524909,0.48696851,0.00000000
-5.06953477,1.72376345,0.00254910,0.12507708,0.18188731,1.00805071,0.49361764,0.00000000
-5.06353177,1.73488197,0.00250934,0.12638761,0.18474603,1.01563004,0.49738869,0.00000000
-5.05752876,1.73690859,0.00245935,0.12730320,0.18700274,1.01785496,0.49820965,0.00000000
-5.05152576,1.72978468,0.00240037,0.12776868,0.18854799,1.01471027,0.49606597,0.00000000
-5.04552276,1.71365910,0.00233384,0.12774944,0.18930273,1.00630224,0.49100236,0.00000000
-5.03951976,1.68888895,0.00226132,0.12723181,0.18922013,0.99285971,0.48312265,0.00000000
-5.03351676,1.65603404,0.00218452,0.12622271,0.18828640,0.97473140,0.47258793,0.00000000
-5.02751376,1.61584504,0.00210524,0.12474865,0.18652060,0.95237959,0.45961277,0.00000000
-5.02151076,1.56924565,0.00202533,0.12285404,0.18397338,0.92637017,0.44445979,0.00000000
-5.01550775,1.51730944,0.00194670,0.12059891,0.18072485,0.89735940,0.42743281,0.00000000
-5.00950475,1.46123200,0.00187124,0.11805615,0.17688147,0.86607776,0.40886874,0.00000000
-5.00350175,1.40229954,0.00180079,0.11530833,0.17257227,0.83331150,0.38912864,0.00000000
-4.99749875,1.34185498,0.00173715,0.11244428,0.16794439,0.79988247,0.36858827,0.00000000
-4.99149575,1.28126278,0.00168195,0.10955552,0.16315822,0.76662689,0.34762858,0.00000000
-4.98549275,1.22187372,0.00163672,0.10673273,0.15838220,0.73437392,0.32662630,0.00000000
-4.97948974,1.16499089,0.00160276,0.10406236,0.15378766,0.70392460,0.30594525,0.00000000
-4.97348674,1.11183804,0.00158115,0.10162352,0.14954367,0.67603193,0.28592844,0.00000000
-4.96748374,1.06353108,0.00157272,0.09948524,0.14581219,0.65138269,0.26689129,0.00000000
-4.96148074,1.02105382,0.00157800,0.09770430,0.14274370,0.63058149,0.24911617,0.00000000
-4.95547774,0.98523820,0.00159721,0.09632353,0.14047324,0.61413748,0.23284821,0.00000000
-4.94947474,0.95674963,0.00163024,0.09537081,0.13911722,0.60245399,0.21829258,0.00000000
-4.94347174,0.93607739,0.00167666,0.09485858,0.13877083,0.59582125,0.20561304,0.00000000
-4.93746873,0.92353004,0.00173570,0.09478406,0.13950613,0.59441221,0.19493167,0.00000000
-4.93146573,0.91923561,0.00180625,0.09512998,0.14137091,0.59828139,0.18632977,0.00000000
-4.92546273,0.92314600,0.00188693,0.09586579,0.14438811,0.60736660,0.17984945,0.00000000
-4.91945973,0.93504524,0.00197607,0.09694933,0.14855587,0.62149322,0.17549601,0.00000000
-4.91345673,0.95456077,0.00207177,0.09832879,0.15384814,0.64038075,0.17324064,0.00000000
-4.90745373,0.98117725,0.00217196,0.09994484,0.16021563,0.66365138,0.17302349,0.00000000
-4.90145073,1.01425223,0.00227446,0.10173292,0.16758723,0.69084002,0.17475671,0.00000000
-4.89544772,1.05303304,0.00237702,0.10362547,0.17587168,0.72140567,0.17832752,0.00000000
-4.88944472,1.09667465,0.00247739,0.10555411,0.18495952,0.75474371,0.18360116,0.00000000
-4.88344172,1.14425775,0.00257343,0.10745157,0.19472517,0.79019880,0.19042364,0.00000000
-4.87743872,1.19480715,0.00266314,0.10925347,0.20502928,0.82707821,0.19862447,0.00000000
-4.87143572,1.24731008,0.00274473,0.11089971,0.21572124,0.86466540,0.20801923,0.00000000
-4.86543272,1.30073436,0.00281674,0.11233564,0.22664178,0.90223362,0.21841219,0.00000000
-4.85942971,1.35404653,0.00287799,0.11351293,0.23762590,0.93905950,0.22959903,0.00000000
-4.85342671,1.40622980,0.00292775,0.11439005,0.24850587,0.97443641,0.24136980,0.00000000
-4.84742371,1.45630191,0.00296570,0.11493260,0.25911452,1.00768758,0.25351220,0.00000000
-4.84142071,1.50333282,0.00299197,0.11511339,0.26928865,1.03817889,0.26581516,0.00000000
-4.83541771,1.54646230,0.00300717,0.11491232,0.27887268,1.06533100,0.27807288,0.00000000
