energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.21835343,0.01050725,0.00010552,0.01105062,0.14491793,0.06632221,0.00415892
-5.99399700,0.21240931,0.01003789,0.00013570,0.01063050,0.14110107,0.06388756,0.00414186
-5.98799400,0.20644360,0.00952558,0.00017331,0.01018204,0.13729970,0.06130279,0.00414629
-5.98199100,0.20082918,0.00898081,0.00021980,0.00971927,0.13376681,0.05865570,0.00418318
-5.97598799,0.19596785,0.00841437,0.00027683,0.00925695,0.13077545,0.05603919,0.00426460
-5.96998499,0.19228513,0.00783705,0.00034622,0.00881033,0.12861533,0.05354954,0.00440366
-5.96398199,0.19022472,0.00725938,0.00042999,0.00839486,0.12758915,0.05128472,0.00461438
-5.95797899,0.19024251,0.00669141,0.00053032,0.00802586,0.12800869,0.04934277,0.00491156
-5.95197599,0.19280034,0.00614243,0.00064953,0.00771833,0.13019054,0.04782021,0.00531061
-5.94597299,0.19835922,0.00562091,0.00079002,0.00748670,0.13445158,0.04681053,0.00582732
-5.93996998,0.20737202,0.00513426,0.00095424,0.00734457,0.14110399,0.04640280,0.00647762
-5.93396698,0.22027560,0.00468884,0.00114466,0.00730452,0.15044984,0.04668022,0.00727724
-5.92796398,0.23748215,0.00428983,0.00136362,0.00737795,0.16277513,0.04771883,0.00824138
-5.92196098,0.25936989,0.00394129,0.00161331,0.00757483,0.17834326,0.04958616,0.00938432
-5.91595798,0.28627296,0.00364611,0.00189563,0.00790355,0.19738806,0.05233986,0.01071888
-5.90995498,0.31847070,0.00340609,0.00221213,0.00837074,0.22010617,0.05602638,0.01225605
-5.90395198,0.35617635,0.00322201,0.00256386,0.00898109,0.24664918,0.06067960,0.01400433
-5.89794897,0.39952564,0.00309367,0.00295131,0.00973715,0.27711552,0.06631942,0.01596932
-5.89194597,0.44856536,0.00301997,0.00337426,0.01063918,0.31154235,0.07295043,0.01815309
-5.88594297,0.50324250,0.00299902,0.00383173,0.01168501,0.34989788,0.08056064,0.02055373
-5.87993997,0.56339447,0.00302817,0.00432188,0.01286986,0.39207432,0.08912034,0.02316484
-5.87393697,0.62874080,0.00310415,0.00484193,0.01418624,0.43788193,0.09858111,0.02597522
-5.86793397,0.69887711,0.00322308,0.00538820,0.01562389,0.48704461,0.10887521,0.02896850
-5.86193097,0.77327177,0.00338059,0.00595601,0.01716976,0.53919731,0.11991520,0.03212306
-5.85592796,0.85126581,0.00357185,0.00653980,0.01880802,0.59388574,0.13159414,0.03541197
-5.84992496,0.93207651,0.00379168,0.00713313,0.02052020,0.65056867,0.14378617,0.03880315
-5.84392196,1.01480501,0.00403454,0.00772879,0.02228537,0.70862299,0.15634772,0.04225971
-5.83791896,1.09844812,0.00429471,0.00831896,0.02408039,0.76735173,0.16911930,0.04574048
-5.83191596,1.18191422,0.00456624,0.00889533,0.02588028,0.82599496,0.18192790,0.04920064
-5.82591296,1.26404319,0.00484314,0.00944932,0.02765864,0.88374356,0.19458996,0.05259265
-5.81990995,1.34362987,0.00511937,0.00997229,0.02938818,0.93975544,0.20691488,0.05586718
-5.81390695,1.41945057,0.00538901,0.01045574,0.03104126,0.99317399,0.21870903,0.05897429
-5.80790395,1.49029170,0.00564629,0.01089156,0.03259054,1.04314805,0.22978004,0.06186464
-5.80190095,1.55497984,0.00588575,0.01127226,0.03400957,1.08885295,0.23994140,0.06449070
-5.79589795,1.61241207,0.00610226,0.01159119,0.03527352,1.12951175,0.24901708,0.06680809
-5.78989495,1.66158555,0.00629119,0.01184271,0.03635973,1.16441611,0.25684607,0.06877676
-5.78389195,1.70162520,0.00644847,0.01202236,0.03724839,1.19294584,0.26328671,0.07036212
-5.77788894,1.73180861,0.00657068,0.01212705,0.03792303,1.21458654,0.26822058,0.07153609
-5.77188594,1.75158693,0.00665508,0.01215507,0.03837097,1.22894453,0.27155583,0.07227793
-5.76588294,1.76060121,0.00669974,0.01210620,0.03858372,1.23575863,0.27322980,0.07257487
-5.75987994,1.75869329,0.00670351,0.01198169,0.03855718,1.23490811,0.27321089,0.07242254
-5.75387694,1.74591100,0.00666609,0.01178423,0.03829175,1.22641669,0.27149947,0.07182515
-5.74787394,1.72250738,0.00658796,0.01151787,0.03779236,1.21045236,0.26812796,0.07079543
-5.74187094,1.68893392,0.00647042,0.01118788,0.03706829,1.18732295,0.26315991,0.06935431
-5.73586793,1.64582818,0.00631553,0.01080062,0.03613289,1.15746777,0.25668824,0.06753041
-5.72986493,1.59399629,0.00612600,0.01036335,0.03500324,1.12144557,0.24883262,0.06535928
-5.72386193,1.53439094,0.00590516,0.00988407,0.03369963,1.07991933,0.23973620,0.06288249
-5.71785893,1.46808583,0.00565686,0.00937123,0.03224501,1.03363847,0.22956168,0.06014661
-5.71185593,1.39624752,0.00538530,0.00883361,0.03066437,0.98341913,0.21848698,0.05720203
-5.70585293,1.32010564,0.00509502,0.00828007,0.02898410,0.93012336,0.20670064,0.05410173
-5.69984992,1.24092273,0.00479070,0.00771935,0.02723130,0.87463781,0.19439709,0.05090014
-5.69384692,1.15996451,0.00447707,0.00715993,0.02543312,0.81785279,0.18177203,0.04765185
-5.68784392,1.07847164,0.00415884,0.00660981,0.02361617,0.76064229,0.16901796,0.04441052
-5.68184092,0.99763381,0.00384055,0.00607645,0.02180593,0.70384558,0.15632007,0.04122782
-5.67583792,0.91856680,0.00352652,0.00556662,0.02002621,0.64825086,0.14385264,0.03815245
-5.66983492,0.84229299,0.00322075,0.00508633,0.01829881,0.59458133,0.13177595,0.03522938
