energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.82412543,0.01789840,0.21825610,2.26591365,0.00000000,0.50887232,0.42884464
-5.99399700,3.85259602,0.01869926,0.22125822,2.28019073,0.00000000,0.51033078,0.43423231
-5.98799400,3.87015055,0.01945365,0.22382701,2.28765844,0.00000000,0.51038323,0.43840010
-5.98199100,3.87571153,0.02014302,0.22584519,2.28778126,0.00000000,0.50900935,0.44119835
-5.97598799,3.86852760,0.02075014,0.22720897,2.28022670,0.00000000,0.50624826,0.44251271
-5.96998499,3.84821362,0.02125969,0.22783259,2.26488490,0.00000000,0.50219947,0.44226993
-5.96398199,3.81477666,0.02165872,0.22765219,2.24187953,0.00000000,0.49702158,0.44044217
-5.95797899,3.76862660,0.02193713,0.22662896,2.21156933,0.00000000,0.49092846,0.43704954
-5.95197599,3.71057035,0.02208802,0.22475132,2.17454001,0.00000000,0.48418327,0.43216090
-5.94597299,3.64178994,0.02210797,0.22203606,2.13158672,0.00000000,0.47709024,0.42589256
-5.93996998,3.56380499,0.02199718,0.21852841,2.08368774,0.00000000,0.46998461,0.41840526
-5.93396698,3.47842131,0.02175950,0.21430106,2.03197032,0.00000000,0.46322096,0.40989925
-5.92796398,3.38766754,0.02140236,0.20945204,1.97767029,0.00000000,0.45716045,0.40060781
-5.92196098,3.29372263,0.02093652,0.20410178,1.92208688,0.00000000,0.45215734,0.39078956
-5.91595798,3.19883722,0.02037578,0.19838929,1.86653482,0.00000000,0.44854545,0.38071958
-5.90995498,3.10525218,0.01973655,0.19246772,1.81229570,0.00000000,0.44662485,0.37068013
-5.90395198,3.01511792,0.01903732,0.18649942,1.76057064,0.00000000,0.44664960,0.36095097
-5.89794897,2.93041769,0.01829813,0.18065084,1.71243633,0.00000000,0.44881681,0.35179994
-5.89194597,2.85289821,0.01753995,0.17508724,1.66880618,0.00000000,0.45325758,0.34347407
-5.88594297,2.78401037,0.01678407,0.16996766,1.63039836,0.00000000,0.46003027,0.33619154
-5.87993997,2.72486248,0.01605150,0.16544013,1.59771195,0.00000000,0.46911624,0.33013495
-5.87393697,2.67618769,0.01536240,0.16163742,1.57101213,0.00000000,0.48041854,0.32544594
-5.86793397,2.63832695,0.01473550,0.15867330,1.55032513,0.00000000,0.49376344,0.32222150
-5.86193097,2.61122785,0.01418773,0.15663964,1.53544285,0.00000000,0.50890489,0.32051204
-5.85592796,2.59445910,0.01373375,0.15560419,1.52593716,0.00000000,0.52553187,0.32032118
-5.84992496,2.58723988,0.01338568,0.15560923,1.52118281,0.00000000,0.54327829,0.32160736
-5.84392196,2.58848248,0.01315290,0.15667110,1.52038827,0.00000000,0.56173514,0.32428705
