energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.00282131,-1.39466097,0.00000449,-0.00000001,0.00052156,-0.29130940,0.00031787,-0.05605875,0.00075336,-0.21101055,0.00008104,-0.01642174,0.00065847,-0.40938938
-5.99399700,0.00310160,-1.39312450,0.00000634,-0.00000001,0.00057111,-0.29096664,0.00039795,-0.05593104,0.00085646,-0.21079044,0.00009793,-0.01641404,0.00072181,-0.40897588
-5.98799400,0.00366338,-1.38181066,0.00000890,-0.00000001,0.00067387,-0.28858219,0.00052312,-0.05541199,0.00103455,-0.20909071,0.00012299,-0.01629095,0.00085005,-0.40569138
-5.98199100,0.00454543,-1.36095522,0.00001243,-0.00000001,0.00083742,-0.28420574,0.00070600,-0.05451243,0.00129934,-0.20594678,0.00015785,-0.01605504,0.00105177,-0.39960431
-5.97598799,0.00580659,-1.33099118,0.00001723,-0.00000001,0.00107330,-0.27792814,0.00096388,-0.05325100,0.00166768,-0.20142393,0.00020465,-0.01571120,0.00134012,-0.39084109
-5.96998499,0.00752820,-1.29253379,0.00002373,-0.00000001,0.00139754,-0.26987826,0.00131988,-0.05165352,0.00216214,-0.19561506,0.00026612,-0.01526652,0.00173326,-0.37958169
-5.96398199,0.00981714,-1.24635955,0.00003246,-0.00000001,0.00183133,-0.26021860,0.00180419,-0.04975209,0.00281181,-0.18863746,0.00034572,-0.01472999,0.00225507,-0.36605353
-5.95797899,0.01280969,-1.19338018,0.00004412,-0.00000001,0.00240186,-0.24913980,0.00245580,-0.04758406,0.00365325,-0.18062896,0.00044766,-0.01411224,0.00293595,-0.35052385
-5.95197599,0.01667590,-1.13461266,0.00005957,-0.00000001,0.00314327,-0.23685446,0.00332427,-0.04519077,0.00473150,-0.17174333,0.00057708,-0.01342517,0.00381375,-0.33329090
-5.94597299,0.02162470,-1.07114696,0.00007991,-0.00000001,0.00409775,-0.22359031,0.00447202,-0.04261629,0.00610134,-0.16214544,0.00074013,-0.01268158,0.00493487,-0.31467450
-5.93996998,0.02790952,-1.00411256,0.00010646,-0.00000001,0.00531680,-0.20958329,0.00597670,-0.03990601,0.00782858,-0.15200617,0.00094409,-0.01189476,0.00635546,-0.29500619
-5.93396698,0.03583428,-0.93464552,0.00014089,-0.00000001,0.00686258,-0.19507062,0.00793399,-0.03710542,0.00999141,-0.14149746,0.00119753,-0.01107812,0.00814267,-0.27461956
-5.92796398,0.04575978,-0.86385710,0.00018521,-0.00000001,0.00880932,-0.18028428,0.01046048,-0.03425878,0.01268183,-0.13078749,0.00151042,-0.01024481,0.01037601,-0.25384102
-5.92196098,0.05810995,-0.79280539,0.00024184,-0.00000001,0.01124477,-0.16544512,0.01369681,-0.03140809,0.01600705,-0.12003647,0.00189424,-0.00940737,0.01314866,-0.23298149
-5.91595798,0.07337802,-0.72247070,0.00031365,-0.00000001,0.01427163,-0.15075765,0.01781075,-0.02859205,0.02009075,-0.10939284,0.00236208,-0.00857745,0.01656873,-0.21232911
-5.90995498,0.09213193,-0.65373553,0.00040405,-0.00000001,0.01800885,-0.13640595,0.02300021,-0.02584536,0.02507420,-0.09899026,0.00292876,-0.00776557,0.02076038,-0.19214337
-5.90395198,0.11501880,-0.58736948,0.00051696,-0.00000001,0.02259271,-0.12255050,0.02949602,-0.02319813,0.03111706,-0.08894535,0.00361083,-0.00698092,0.02586472,-0.17265067
-5.89794897,0.14276775,-0.52401937,0.00065695,-0.00000000,0.02817762,-0.10932611,0.03756415,-0.02067547,0.03839783,-0.07935611,0.00442660,-0.00623125,0.03204032,-0.15404136
-5.89194597,0.17619066,-0.46420435,0.00082917,-0.00000000,0.03493646,-0.09684094,0.04750722,-0.01829739,0.04711373,-0.07030126,0.00539609,-0.00552282,0.03946330,-0.13646833
-5.88594297,0.21618013,-0.40831582,0.00103941,-0.00000000,0.04306028,-0.08517646,0.05966496,-0.01607880,0.05747989,-0.06184017,0.00654090,-0.00486036,0.04832676,-0.12004694
-5.87993997,0.26370406,-0.35662153,0.00129407,-0.00000000,0.05275741,-0.07438835,0.07441338,-0.01402969,0.06972782,-0.05401350,0.00788402,-0.00424714,0.05883960,-0.10485622
-5.87393697,0.31979620,-0.30927334,0.00160012,-0.00000000,0.06425150,-0.06450809,0.09216226,-0.01215548,0.08410281,-0.04684435,0.00944953,-0.00368507,0.07122431,-0.09094114
-5.86793397,0.38554204,-0.26631781,0.00196501,-0.00000000,0.07777871,-0.05554521,0.11335071,-0.01045742,0.10086034,-0.04033989,0.01126222,-0.00317478,0.08571387,-0.07831572
-5.86193097,0.46205952,-0.22770888,0.00239656,-0.00000000,0.09358367,-0.04748992,0.13844053,-0.00893315,0.12026128,-0.03449323,0.01334709,-0.00271582,0.10254755,-0.06696672
-5.85592796,0.55047429,-0.19332187,0.00290284,-0.00000000,0.11191423,-0.04031605,0.16790712,-0.00757726,0.14256584,-0.02928559,0.01572869,-0.00230678,0.12196547,-0.05685779
-5.84992496,0.65188912,-0.16296807,0.00349191,-0.00000000,0.13301495,-0.03398407,0.20222786,-0.00638186,0.16802621,-0.02468848,0.01843047,-0.00194549,0.14420203,-0.04793370
-5.84392196,0.76734786,-0.13640928,0.00417163,-0.00000000,0.15711926,-0.02844416,0.24186781,-0.00533714,0.19687798,-0.02066590,0.02147386,-0.00162918,0.16947810,-0.04012465
-5.83791896,0.89779394,-0.11337165,0.00494936,-0.00000000,0.18444054,-0.02363907,0.28726305,-0.00443198,0.22933042,-0.01717644,0.02487737,-0.00135464,0.19799209,-0.03335034
-5.83191596,1.04402456,-0.09355862,0.00583161,-0.00000000,0.21516203,-0.01950683,0.33880164,-0.00365441,0.26555573,-0.01417524,0.02865555,-0.00111839,0.22991020,-0.02752375
-5.82591296,1.20664133,-0.07666228,0.00682373,-0.00000001,0.24942599,-0.01598315,0.39680293,-0.00299208,0.30567769,-0.01161572,0.03281792,-0.00091682,0.26535578,-0.02255449
-5.81990995,1.38599907,-0.06237330,0.00792953,-0.00000001,0.28732243,-0.01300343,0.46149556,-0.00243262,0.34975989,-0.00945106,0.03736790,-0.00074626,0.30439852,-0.01835173
-5.81390695,1.58215459,-0.05038909,0.00915088,-0.00000001,0.32887768,-0.01050449,0.53299509,-0.00196402,0.39779404,-0.00763546,0.04230168,-0.00060314,0.34704350,-0.01482658
-5.80790395,1.79481769,-0.04042024,0.01048735,-0.00000002,0.37404346,-0.00842595,0.61128220,-0.00157482,0.44968895,-0.00612513,0.04760728,-0.00048403,0.39322083,-0.01189402
-5.80190095,2.02330683,-0.03219547,0.01193590,-0.00000003,0.42268688,-0.00671118,0.69618246,-0.00125435,0.50526069,-0.00487897,0.05326363,-0.00038572,0.44277633,-0.00947433
-5.79589795,2.26651225,-0.02546486,0.01349054,-0.00000005,0.47458204,-0.00530805,0.78734880,-0.00099284,0.56422441,-0.00385916,0.05923987,-0.00030525,0.49546377,-0.00749406
-5.78989495,2.52286903,-0.02000202,0.01514213,-0.00000008,0.52940376,-0.00416934,0.88424803,-0.00078155,0.62618876,-0.00303141,0.06549494,-0.00023992,0.55093933,-0.00588665
-5.78389195,2.79034289,-0.01560493,0.01687822,-0.00000013,0.58672410,-0.00325293,0.98615236,-0.00061279,0.69065311,-0.00236513,0.07197731,-0.00018734,0.60875869,-0.00459271
-5.77788894,3.06643100,-0.01209600,0.01868306,-0.00000019,0.64601207,-0.00252181,1.09213710,-0.00047996,0.75700840,-0.00183342,0.07862523,-0.00014542,0.66837749,-0.00355999
-5.77188594,3.34817945,-0.00932138,0.02053761,-0.00000029,0.70663709,-0.00194394,1.20108529,-0.00037757,0.82454186,-0.00141300,0.08536723,-0.00011232,0.72915521,-0.00274324
-5.76588294,3.63221898,-0.00714985,0.02241984,-0.00000043,0.76787640,-0.00149202,1.31169995,-0.00030130,0.89244593,-0.00108398,0.09212303,-0.00008651,0.79036305,-0.00210383
-5.75987994,3.91481915,-0.00547133,0.02430498,-0.00000063,0.82892658,-0.00114319,1.42252425,-0.00024797,0.95983143,-0.00082972,0.09880492,-0.00006670,0.85119566,-0.00160936
