energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.99399700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.98799400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.98199100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.97598799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.96998499,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.96398199,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.95797899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.95197599,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.94597299,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.93996998,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.93396698,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.92796398,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.92196098,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.91595798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.90995498,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.90395198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.89794897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.89194597,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.88594297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.87993997,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.87393697,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.86793397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.86193097,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.85592796,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.84992496,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.84392196,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.83791896,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.83191596,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.82591296,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.81990995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.81390695,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.80790395,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.80190095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.79589795,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.78989495,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.78389195,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.77788894,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.77188594,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.76588294,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.75987994,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.75387694,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.74787394,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.74187094,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.73586793,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.72986493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.72386193,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.71785893,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.71185593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.70585293,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.69984992,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.69384692,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.68784392,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.68184092,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.67583792,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.66983492,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.66383192,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.65782891,0.00000003,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,0.00000000
-5.65182591,0.00000004,0.00000000,0.00000001,0.00000000,0.00000001,0.00000000,0.00000001
-5.64582291,0.00000007,0.00000000,0.00000001,0.00000000,0.00000002,0.00000000,0.00000001
-5.63981991,0.00000011,0.00000000,0.00000001,0.00000000,0.00000004,0.00000000,0.00000002
-5.63381691,0.00000017,0.00000000,0.00000002,0.00000000,0.00000006,0.00000001,0.00000003
-5.62781391,0.00000028,0.00000000,0.00000004,0.00000000,0.00000009,0.00000001,0.00000004
-5.62181091,0.00000044,0.00000000,0.00000006,0.00000000,0.00000015,0.00000001,0.00000007
-5.61580790,0.00000069,0.00000000,0.00000009,0.00000001,0.00000023,0.00000002,0.00000011
-5.60980490,0.00000108,0.00000000,0.00000014,0.00000001,0.00000036,0.00000003,0.00000017
-5.60380190,0.00000167,0.00000001,0.00000021,0.00000002,0.00000056,0.00000005,0.00000026
-5.59779890,0.00000258,0.00000001,0.00000033,0.00000002,0.00000086,0.00000008,0.00000040
-5.59179590,0.00000395,0.00000002,0.00000050,0.00000004,0.00000131,0.00000012,0.00000061
-5.58579290,0.00000600,0.00000003,0.00000076,0.00000006,0.00000200,0.00000018,0.00000092
-5.57978989,0.00000905,0.00000004,0.00000115,0.00000009,0.00000302,0.00000027,0.00000139
-5.57378689,0.00001356,0.00000006,0.00000172,0.00000013,0.00000453,0.00000041,0.00000209
-5.56778389,0.00002018,0.00000009,0.00000256,0.00000019,0.00000675,0.00000061,0.00000311
-5.56178089,0.00002982,0.00000013,0.00000378,0.00000027,0.00000999,0.00000090,0.00000460
-5.55577789,0.00004376,0.00000018,0.00000554,0.00000040,0.00001469,0.00000131,0.00000676
-5.54977489,0.00006379,0.00000026,0.00000807,0.00000057,0.00002143,0.00000191,0.00000986
-5.54377189,0.00009234,0.00000038,0.00001168,0.00000082,0.00003106,0.00000275,0.00001429
-5.53776888,0.00013275,0.00000054,0.00001678,0.00000117,0.00004471,0.00000394,0.00002057
-5.53176588,0.00018953,0.00000076,0.00002394,0.00000166,0.00006390,0.00000561,0.00002941
-5.52576288,0.00026873,0.00000106,0.00003391,0.00000232,0.00009072,0.00000793,0.00004175
-5.51975988,0.00037842,0.00000147,0.00004772,0.00000324,0.00012789,0.00001113,0.00005886
-5.51375688,0.00052921,0.00000203,0.00006669,0.00000448,0.00017907,0.00001551,0.00008241
-5.50775388,0.00073501,0.00000279,0.00009256,0.00000616,0.00024900,0.00002146,0.00011460
-5.50175088,0.00101385,0.00000380,0.00012759,0.00000840,0.00034387,0.00002949,0.00015827
-5.49574787,0.00138887,0.00000514,0.00017467,0.00001138,0.00047162,0.00004024,0.00021709
-5.48974487,0.00188958,0.00000689,0.00023749,0.00001530,0.00064240,0.00005454,0.00029572
-5.48374187,0.00255319,0.00000919,0.00032068,0.00002043,0.00086901,0.00007341,0.00040008
-5.47773887,0.00342626,0.00001216,0.00043007,0.00002709,0.00116752,0.00009812,0.00053757
-5.47173587,0.00456642,0.00001598,0.00057282,0.00003567,0.00155782,0.00013024,0.00071737
-5.46573287,0.00604438,0.00002084,0.00075776,0.00004663,0.00206436,0.00017168,0.00095077
-5.45972986,0.00794604,0.00002700,0.00099558,0.00006053,0.00271689,0.00022474,0.00125151
-5.45372686,0.01037465,0.00003472,0.00129911,0.00007801,0.00355122,0.00029217,0.00163615
-5.44772386,0.01345307,0.00004434,0.00168365,0.00009985,0.00461001,0.00037722,0.00212440
-5.44172086,0.01732593,0.00005621,0.00216717,0.00012689,0.00594358,0.00048367,0.00273955
-5.43571786,0.02216153,0.00007077,0.00277058,0.00016013,0.00761053,0.00061587,0.00350875
-5.42971486,0.02815353,0.00008846,0.00351793,0.00020065,0.00967843,0.00077882,0.00446332
-5.42371186,0.03552197,0.00010980,0.00443653,0.00024965,0.01222414,0.00097809,0.00563892
-5.41770885,0.04451369,0.00013531,0.00555703,0.00030845,0.01533402,0.00121988,0.00707567
-5.41170585,0.05540180,0.00016558,0.00691331,0.00037840,0.01910377,0.00151099,0.00881808
-5.40570285,0.06848401,0.00020117,0.00854230,0.00046097,0.02363786,0.00185869,0.01091483
-5.39969985,0.08407960,0.00024269,0.01048361,0.00055761,0.02904853,0.00227067,0.01341826
-5.39369685,0.10252492,0.00029071,0.01277897,0.00066977,0.03545420,0.00275490,0.01638376
-5.38769385,0.12416715,0.00034577,0.01547147,0.00079886,0.04297734,0.00331943,0.01986870
-5.38169085,0.14935629,0.00040835,0.01860454,0.00094614,0.05174166,0.00397216,0.02393123
-5.37568784,0.17843535,0.00047885,0.02222080,0.00111273,0.06186867,0.00472060,0.02862866
-5.36968484,0.21172876,0.00055755,0.02636058,0.00129947,0.07347361,0.00557156,0.03401559
-5.36368184,0.24952915,0.00064460,0.03106035,0.00150694,0.08666082,0.00653077,0.04014181
-5.35767884,0.29208288,0.00073999,0.03635087,0.00173529,0.10151858,0.00760260,0.04704986
-5.35167584,0.33957457,0.00084350,0.04225535,0.00198427,0.11811364,0.00878964,0.05477255
-5.34567284,0.39211119,0.00095471,0.04878743,0.00225310,0.13648563,0.01009233,0.06333026
-5.33966983,0.44970642,0.00107297,0.05594930,0.00254047,0.15664138,0.01150864,0.07272837
-5.33366683,0.51226586,0.00119738,0.06372984,0.00284447,0.17854975,0.01303377,0.08295474
-5.32766383,0.57957394,0.00132680,0.07210298,0.00316260,0.20213686,0.01465986,0.09397747
-5.32166083,0.65128339,0.00145986,0.08102644,0.00349176,0.22728231,0.01637586,0.10574307
-5.31565783,0.72690796,0.00159496,0.09044075,0.00382828,0.25381656,0.01816743,0.11817512
-5.30965483,0.80581919,0.00173030,0.10026885,0.00416794,0.28151966,0.02001700,0.13117360
-5.30365183,0.88724795,0.00186393,0.11041626,0.00450609,0.31012175,0.02190386,0.14461501
-5.29764882,0.97029100,0.00199376,0.12077184,0.00483771,0.33930531,0.02380452,0.15835328
-5.29164582,1.05392319,0.00211765,0.13120922,0.00515753,0.36870940,0.02569305,0.17222162
-5.28564282,1.13701491,0.00223344,0.14158899,0.00546019,0.39793584,0.02754165,0.18603529
-5.27963982,1.21835500,0.00233903,0.15176140,0.00574036,0.42655724,0.02932127,0.19959521
