energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,0.02421480,0.00012813,0.00344824,0.00067465,0.00408916,0.00068444,0.00644497
-5.99399700,0.02973941,0.00015555,0.00424071,0.00082824,0.00503012,0.00083196,0.00791732
-5.98799400,0.03629754,0.00018750,0.00518333,0.00101045,0.00614985,0.00100418,0.00966584
-5.98199100,0.04402991,0.00022440,0.00629714,0.00122514,0.00747353,0.00120357,0.01172839
-5.97598799,0.05308579,0.00026665,0.00760460,0.00147641,0.00902815,0.00143249,0.01414523
-5.96998499,0.06362160,0.00031459,0.00912946,0.00176851,0.01084228,0.00169310,0.01695863
-5.96398199,0.07579911,0.00036850,0.01089650,0.00210585,0.01294585,0.00198727,0.02021247
-5.95797899,0.08978341,0.00042859,0.01293129,0.00249290,0.01536982,0.00231647,0.02395167
-5.95197599,0.10574043,0.00049493,0.01525982,0.00293414,0.01814583,0.00268168,0.02822163
-5.94597299,0.12383429,0.00056748,0.01790819,0.00343396,0.02130574,0.00308329,0.03306744
-5.93996998,0.14422434,0.00064606,0.02090211,0.00399663,0.02488120,0.00352102,0.03853323
-5.93396698,0.16706198,0.00073033,0.02426649,0.00462614,0.02890305,0.00399383,0.04466125
-5.92796398,0.19248735,0.00081976,0.02802492,0.00532616,0.03340076,0.00449988,0.05149108
-5.92196098,0.22062586,0.00091368,0.03219911,0.00609992,0.03840181,0.00503648,0.05905864
-5.91595798,0.25158458,0.00101120,0.03680833,0.00695015,0.04393096,0.00560011,0.06739529
-5.90995498,0.28544860,0.00111131,0.04186877,0.00787893,0.05000955,0.00618645,0.07652679
-5.90395198,0.32227725,0.00121282,0.04739294,0.00888763,0.05665467,0.00679039,0.08647230
-5.89794897,0.36210030,0.00131442,0.05338895,0.00997680,0.06387839,0.00740620,0.09724329
-5.89194597,0.40491407,0.00141469,0.05985983,0.01114606,0.07168682,0.00802758,0.10884247
-5.88594297,0.45067754,0.00151214,0.06680280,0.01239404,0.08007926,0.00864784,0.12126264
-5.87993997,0.49930833,0.00160526,0.07420856,0.01371821,0.08904719,0.00926006,0.13448550
-5.87393697,0.55067888,0.00169255,0.08206051,0.01511486,0.09857336,0.00985728,0.14848056
-5.86793397,0.60461254,0.00177256,0.09033406,0.01657896,0.10863083,0.01043264,0.16320389
-5.86193097,0.66088008,0.00184396,0.09899599,0.01810408,0.11918204,0.01097962,0.17859705
-5.85592796,0.71919641,0.00190555,0.10800376,0.01968233,0.13017802,0.01149217,0.19458609
-5.84992496,0.77921799,0.00195631,0.11730513,0.02130428,0.14155764,0.01196484,0.21108062
-5.84392196,0.84054106,0.00199544,0.12683775,0.02295890,0.15324714,0.01239296,0.22797321
-5.83791896,0.90270095,0.00202238,0.13652903,0.02463360,0.16515984,0.01277266,0.24513903
-5.83191596,0.96517277,0.00203680,0.14629632,0.02631419,0.17719616,0.01310094,0.26243591
-5.82591296,1.02737391,0.00203868,0.15604725,0.02798502,0.18924407,0.01337572,0.27970487
-5.81990995,1.08866841,0.00202820,0.16568053,0.02962903,0.20117991,0.01359574,0.29677126
-5.81390695,1.14837357,0.00200582,0.17508705,0.03122795,0.21286969,0.01376057,0.31344645
-5.80790395,1.20576895,0.00197221,0.18415143,0.03276256,0.22417093,0.01387047,0.32953027
-5.80190095,1.26010774,0.00192823,0.19275386,0.03421297,0.23493496,0.01392636,0.34481416
-5.79589795,1.31063043,0.00187492,0.20077244,0.03555896,0.24500969,0.01392961,0.35908491
-5.78989495,1.35658069,0.00181342,0.20808577,0.03678045,0.25424291,0.01388199,0.37212913
-5.78389195,1.39722292,0.00174497,0.21457579,0.03785794,0.26248582,0.01378554,0.38373821
-5.77788894,1.43186103,0.00167082,0.22013090,0.03877297,0.26959691,0.01364247,0.39371357
-5.77188594,1.45985796,0.00159225,0.22464903,0.03950870,0.27544590,0.01345506,0.40187230
-5.76588294,1.48065491,0.00151050,0.22804077,0.04005039,0.27991770,0.01322563,0.40805259
-5.75987994,1.49378979,0.00142675,0.23023227,0.04038587,0.28291610,0.01295651,0.41211908
-5.75387694,1.49891376,0.00134207,0.23116789,0.04050600,0.28436718,0.01264999,0.41396766
-5.74787394,1.49580531,0.00125746,0.23081230,0.04040506,0.28422216,0.01230838,0.41352955
-5.74187094,1.48438091,0.00117375,0.22915221,0.04008099,0.28245954,0.01193401,0.41077450
-5.73586793,1.46470178,0.00109169,0.22619731,0.03953561,0.27908651,0.01152931,0.40571285
