energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.35463028,0.00379541,0.81962656,0.00733172,0.39317773,0.89274836,1.03334950
-5.99399700,2.55546487,0.00426248,0.88748401,0.00867839,0.42776255,1.00131782,1.11416987
-5.98799400,2.79042076,0.00477326,0.96984797,0.01022442,0.46489787,1.12492530,1.21137005
-5.98199100,3.05919703,0.00532955,1.06662209,0.01198488,0.50450298,1.26395341,1.32465083
-5.97598799,3.36099751,0.00593271,1.17748933,0.01397313,0.54647014,1.41859553,1.45344969
-5.96998499,3.69449357,0.00658344,1.30189764,0.01620001,0.59066090,1.58882198,1.59692964
-5.96398199,4.05779099,0.00728162,1.43904804,0.01867303,0.63690209,1.77434651,1.75397138
-5.95797899,4.44840342,0.00802616,1.58788605,0.02139550,0.68498162,1.97459498,1.92317009
-5.95197599,4.86323574,0.00881484,1.74709782,0.02436565,0.73464455,2.18867783,2.10283790
-5.94597299,5.29858026,0.00964413,1.91511193,0.02757592,0.78558960,2.41536835,2.29101337
-5.93996998,5.75012884,0.01050911,2.09010812,0.03101226,0.83746686,2.65308879,2.48547868
-5.93396698,6.21300335,0.01140336,2.27003351,0.03465363,0.88987689,2.89990602,2.68378548
-5.92796398,6.68180655,0.01231896,2.45262703,0.03847170,0.94237177,3.15353842,2.88328941
-5.92196098,7.15069431,0.01324647,2.63545217,0.04243076,0.99445853,3.41137536,3.08119338
-5.91595798,7.61346942,0.01417510,2.81593776,0.04648795,1.04560512,3.67050989,3.27459896
-5.90995498,8.06369582,0.01509281,2.99142617,0.05059371,1.09524919,3.92778494,3.46056486
-5.90395198,8.49483113,0.01598657,3.15922798,0.05469263,1.14280958,4.17985258,3.63617094
-5.89794897,8.90037409,0.01684265,3.31668137,0.05872447,1.18770035,4.42324522,3.79858601
-5.89194597,9.27402245,0.01764700,3.46121466,0.06262560,1.22934695,4.65445678,3.94513709
-5.88594297,9.60983608,0.01838561,3.59040984,0.06633057,1.26720408,4.87003147,4.07337774
-5.87993997,9.90239925,0.01904502,3.70206477,0.06977391,1.30077429,5.06665703,4.18115293
-5.87393697,10.14697574,0.01961270,3.79425175,0.07289207,1.32962676,5.24125902,4.26665798
-5.86793397,10.33965035,0.02007754,3.86537026,0.07562533,1.35341512,5.39109222,4.32848914
-5.86193097,10.47745074,0.02043025,3.91419158,0.07791980,1.37189352,5.51382547,4.36568368
