energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,8.31845147,0.00214652,1.76957383,3.19858961,5.19898604,0.05670943,1.14952528
-5.99399700,8.57413560,0.00219890,1.85648157,3.34551190,5.41621488,0.05683138,1.13470009
-5.98799400,8.87021584,0.00227473,1.94989681,3.51307385,5.65461254,0.05722657,1.12907442
-5.98199100,9.20164917,0.00237432,2.04856809,3.69932654,5.91085293,0.05784713,1.13219237
-5.97598799,9.56246703,0.00249784,2.15107210,3.90190209,6.18107330,0.05864126,1.14341821
-5.96998499,9.94596911,0.00264541,2.25584996,4.11808533,6.46098453,0.05955520,1.16197176
-5.96398199,10.34493620,0.00281712,2.36124754,4.34489485,6.74599390,0.06053522,1.18696670
-5.95797899,10.75185410,0.00301313,2.46555847,4.57917047,7.03133579,0.06152954,1.21745043
-5.95197599,11.15914004,0.00323370,2.56706814,4.81766432,7.31220531,0.06249008,1.25244377
-5.94597299,11.55936341,0.00347922,2.66409737,5.05713228,7.58389005,0.06337404,1.29097885
-5.93996998,11.94545280,0.00375025,2.75504416,5.29442267,7.84189520,0.06414517,1.33213391
-5.93396698,12.31088241,0.00404752,2.83842214,5.52655941,8.08205766,0.06477478,1.37506354
-5.92796398,12.64983144,0.00437189,2.91289471,5.75081674,8.30064560,0.06524238,1.41902319
-5.92196098,12.95731218,0.00472437,2.97730376,5.96478347,8.49444036,0.06553599,1.46338730
-5.91595798,13.22926323,0.00510600,3.03069255,6.16641468,8.66079868,0.06565212,1.50766014
-5.90995498,13.46260648,0.00551783,3.07232207,6.35406972,8.79769419,0.06559535,1.55147944
-5.90395198,13.65526778,0.00596079,3.10168103,6.52653571,8.90373784,0.06537768,1.59461270
-5.89794897,13.80616293,0.00643562,3.11848942,6.68303633,8.97817805,0.06501757,1.63694667
-5.89194597,13.91515188,0.00694275,3.12269614,6.82322634,9.02088193,0.06453874,1.67847089
-5.88594297,13.98296533,0.00748218,3.11447109,6.94717265,9.03229976,0.06396886,1.71925618
-5.87993997,14.01110856,0.00805341,3.09419242,7.05532323,9.01341533,0.06333812,1.75942958
-5.87393697,14.00174818,0.00865533,3.06242967,7.14846565,8.96568491,0.06267777,1.79914716
-5.86793397,13.95758753,0.00928615,3.01992350,7.22767689,8.89096805,0.06201872,1.83856621
-5.86193097,13.88173640,0.00994341,2.96756284,7.29426680,8.79145317,0.06139018,1.87781859
-5.85592796,13.77758049,0.01062390,2.90636002,7.34971708,8.66958069,0.06081850,1.91698657
-5.84992496,13.64865541,0.01132371,2.83742464,7.39561811,8.52796641,0.06032619,1.95608259
-5.84392196,13.49852939,0.01203830,2.76193678,7.43360560,8.36932732,0.05993113,1.99503396
-5.83791896,13.33069771,0.01276255,2.68112000,7.46529911,8.19641158,0.05964606,2.03367345
-5.83191596,13.14849155,0.01349087,2.59621469,7.49224410,8.01193431,0.05947828,2.07173595
-5.82591296,12.95500244,0.01421734,2.50845217,7.51585938,7.81852008,0.05942958,2.10886151
-5.81990995,12.75302320,0.01493584,2.41903005,7.53739115,7.61865291,0.05949648,2.14460436
-5.81390695,12.54500535,0.01564017,2.32908917,7.55787506,7.41463427,0.05967054,2.17844732
-5.80790395,12.33303242,0.01632424,2.23969267,7.57810725,7.20854921,0.05993890,2.20982068
-5.80190095,12.11880805,0.01698217,2.15180744,7.59862509,7.00224076,0.06028498,2.23812447
-5.79589795,11.90365775,0.01760837,2.06628856,7.61969821,6.79729251,0.06068919,2.26275281
-5.78989495,11.68854264,0.01819771,1.98386686,7.64133004,6.59501908,0.06112973,2.28311904
-5.78389195,11.47408362,0.01874550,1.90514015,7.66326970,6.39646436,0.06158340,2.29868023
-5.77788894,11.26059429,0.01924760,1.83056823,7.68503393,6.20240703,0.06202639,2.30895998
-5.77188594,11.04812092,0.01970037,1.76047184,7.70593814,6.01337303,0.06243499,2.31356828
-5.76588294,10.83648797,0.02010067,1.69503556,7.72513556,5.82965428,0.06278628,2.31221770
-5.75987994,10.62534738,0.02044588,1.63431468,7.74166291,5.65133320,0.06305869,2.30473518
-5.75387694,10.41423029,0.02073376,1.57824551,7.75449080,5.47831195,0.06323248,2.29106909
-5.74787394,10.20259953,0.02096250,1.52665891,7.76257686,5.31034568,0.06329017,2.27129156
-5.74187094,9.98990146,0.02113058,1.47929648,7.76491926,5.14707862,0.06321678,2.24559608
-5.73586793,9.77561570,0.02123682,1.43582856,7.76060838,4.98808185,0.06300014,2.21429080
-5.72986493,9.55930140,0.02128027,1.39587352,7.74887433,4.83289142,0.06263091,2.17778815
