energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,7.56441481,0.00703496,1.10115270,3.76423374,3.59675756,0.08763297,1.71048628
-5.99399700,7.59118041,0.00666361,1.12815222,3.79537717,3.59088695,0.08925073,1.71622867
-5.98799400,7.59994686,0.00629567,1.15166171,3.81472662,3.57820651,0.09062841,1.71769382
-5.98199100,7.59067937,0.00593688,1.17142625,3.82194021,3.55895645,0.09175084,1.71488824
-5.97598799,7.56356887,0.00559271,1.18723718,3.81681667,3.53343195,0.09260656,1.70790140
-5.96998499,7.51903020,0.00526825,1.19893741,3.79929964,3.50197769,0.09318793,1.69690471
-5.96398199,7.45769768,0.00496810,1.20642583,3.76948071,3.46498308,0.09349132,1.68214825
-5.95797899,7.38041719,0.00469639,1.20966059,3.72760085,3.42287791,0.09351711,1.66395526
-5.95197599,7.28823416,0.00445662,1.20866098,3.67404990,3.37612794,0.09326966,1.64271422
-5.94597299,7.18237667,0.00425172,1.20350758,3.60936334,3.32523000,0.09275721,1.61886872
-5.93996998,7.06423294,0.00408392,1.19434057,3.53421620,3.27070624,0.09199169,1.59290517
-5.93396698,6.93532318,0.00395479,1.18135608,3.44941344,3.21309704,0.09098836,1.56533870
-5.92796398,6.79726569,0.00386520,1.16480059,3.35587676,3.15295235,0.08976542,1.53669748
-5.92196098,6.65173770,0.00381530,1.14496353,3.25462773,3.09082144,0.08834355,1.50750610
-5.91595798,6.50043212,0.00380451,1.12216838,3.14676744,3.02724105,0.08674532,1.47826852
-5.90995498,6.34501152,0.00383153,1.09676253,3.03345323,2.96272250,0.08499455,1.44945116
-5.90395198,6.18706124,0.00389436,1.06910652,2.91587305,2.89773807,0.08311566,1.42146708
-5.89794897,6.02804401,0.00399029,1.03956303,2.79521861,2.83270766,0.08113294,1.39466172
-5.89194597,5.86925833,0.00411596,1.00848627,2.67265815,2.76798648,0.07906995,1.36930119
-5.88594297,5.71180321,0.00426740,0.97621232,2.54931027,2.70385478,0.07694884,1.34556358
-5.87993997,5.55655147,0.00444010,0.94305079,2.42621976,2.64051055,0.07478984,1.32353402
-5.87393697,5.40413373,0.00462910,0.90927840,2.30433681,2.57806609,0.07261082,1.30320386
-5.86793397,5.25493435,0.00482907,0.87513464,2.18450037,2.51654906,0.07042700,1.28447418
-5.86193097,5.10910035,0.00503446,0.84081967,2.06742648,2.45590853,0.06825078,1.26716373
-5.85592796,4.96656319,0.00523963,0.80649456,1.95370207,2.39602590,0.06609177,1.25102111
-5.84992496,4.82707285,0.00543900,0.77228365,1.84378424,2.33673075,0.06395694,1.23574070
-5.84392196,4.69024241,0.00562720,0.73827886,1.73800502,2.27782077,0.06185094,1.22098170
-5.83791896,4.55560110,0.00579924,0.70454544,1.63658093,2.21908492,0.05977655,1.20638948
-5.83191596,4.42265278,0.00595066,0.67112881,1.53962669,2.16032858,0.05773521,1.19161807
-5.82591296,4.29093654,0.00607768,0.63806198,1.44717207,2.10139930,0.05572764,1.17635280
-5.81990995,4.16008582,0.00617734,0.60537290,1.35918062,2.04221147,0.05375447,1.16033178
-5.81390695,4.02988259,0.00624758,0.57309142,1.27556932,1.98276843,0.05181685,1.14336509
-5.80790395,3.90030303,0.00628736,0.54125530,1.19622770,1.92318049,0.04991702,1.12535066
-5.80190095,3.77155195,0.00629666,0.50991503,1.12103546,1.86367744,0.04805877,1.10628569
-5.79589795,3.64408365,0.00627652,0.47913701,1.04987769,1.80461477,0.04624773,1.08627312
-5.78989495,3.51860757,0.00622900,0.44900529,0.98265686,1.74647256,0.04449160,1.06552260
-5.78389195,3.39607828,0.00615712,0.41962152,0.91930116,1.68984711,0.04280012,1.04434568
-5.77788894,3.27766991,0.00606476,0.39110345,0.85976903,1.63543523,0.04118491,1.02314552
-5.77188594,3.16473635,0.00595655,0.36358209,0.80404981,1.58401186,0.03965915,1.00240141
-5.76588294,3.05875909,0.00583769,0.33719772,0.75216095,1.53640199,0.03823709,0.98264892
-5.75987994,2.96128538,0.00571380,0.31209523,0.70414212,1.49344811,0.03693346,0.96445658
-5.75387694,2.87386007,0.00559072,0.28841902,0.66004710,1.45597485,0.03576276,0.94840019
-5.74787394,2.79795443,0.00547433,0.26630772,0.61993394,1.42475246,0.03473856,0.93503613
-5.74187094,2.73489578,0.00537038,0.24588929,0.58385440,1.40046100,0.03387278,0.92487493
-5.73586793,2.68580149,0.00528431,0.22727645,0.55184341,1.38365695,0.03317495,0.91835640
-5.72986493,2.65152061,0.00522107,0.21056288,0.52390925,1.37474397,0.03265164,0.91582757
