energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.37979483,0.01848164,0.08726078,0.47244821,0.00000000,0.03139209,1.28062846,0.33136678,0.18493005
-5.99399700,2.49286039,0.01976769,0.09202710,0.49198928,0.00000000,0.03328837,1.34218456,0.33698955,0.19483536
-5.98799400,2.61295510,0.02107290,0.09732896,0.51271140,0.00000000,0.03546443,1.40695355,0.34440432,0.20550399
-5.98199100,2.73751137,0.02237259,0.10311470,0.53403988,0.00000000,0.03789979,1.47349906,0.35326069,0.21676157
-5.97598799,2.86397244,0.02364258,0.10933725,0.55538858,0.00000000,0.04057314,1.54038278,0.36320289,0.22844024
-5.96998499,2.98986662,0.02485970,0.11595644,0.57617764,0.00000000,0.04346283,1.60620515,0.37388106,0.24038402
-5.96398199,3.11287954,0.02600243,0.12294109,0.59585123,0.00000000,0.04654722,1.66964534,0.38496209,0.25245412
-5.95797899,3.23092155,0.02705146,0.13027077,0.61389462,0.00000000,0.04980514,1.72949893,0.39613937,0.26453351
-5.95197599,3.34218725,0.02799026,0.13793699,0.62984994,0.00000000,0.05321614,1.78471168,0.40714141,0.27653093
-5.94597299,3.44520445,0.02880550,0.14594380,0.64332983,0.00000000,0.05676080,1.83440803,0.41773870,0.28838373
-5.93996998,3.53887035,0.02948751,0.15430768,0.65402872,0.00000000,0.06042083,1.87791298,0.42774890,0.30005956
-5.93396698,3.62247300,0.03003046,0.16305671,0.66173096,0.00000000,0.06417914,1.91476643,0.43703988,0.31155664
-5.92796398,3.69569704,0.03043254,0.17222887,0.66631573,0.00000000,0.06801974,1.94472936,0.44553076,0.32290255
-5.92196098,3.75861319,0.03069595,0.18186958,0.66775834,0.00000000,0.07192760,1.96778143,0.45319087,0.33415144
-5.91595798,3.81165185,0.03082666,0.19202852,0.66612807,0.00000000,0.07588829,1.98411036,0.46003667,0.34537985
-5.90995498,3.85556193,0.03083415,0.20275568,0.66158250,0.00000000,0.07988761,1.99409340,0.46612696,0.35668101
-5.90395198,3.89135675,0.03073094,0.21409701,0.65435883,0.00000000,0.08391110,1.99827183,0.47155645,0.36815811
-5.89794897,3.92024943,0.03053196,0.22608964,0.64476240,0.00000000,0.08794347,1.99731977,0.47644817,0.37991655
-5.89194597,3.94358087,0.03025394,0.23875697,0.63315313,0.00000000,0.09196805,1.99200868,0.48094497,0.39205576
-5.88594297,3.96274354,0.02991461,0.25210385,0.61993037,0.00000000,0.09596613,1.98316919,0.48520059,0.40466074
-5.87993997,3.97910475,0.02953194,0.26611211,0.60551702,0.00000000,0.09991648,1.97165214,0.48937059,0.41779392
-5.87393697,3.99393297,0.02912337,0.28073669,0.59034339,0.00000000,0.10379481,1.95829036,0.49360371,0.43148762
-5.86793397,4.00833061,0.02870506,0.29590262,0.57483165,0.00000000,0.10757346,1.94386301,0.49803378,0.44573769
-5.86193097,4.02317623,0.02829126,0.31150308,0.55938142,0.00000000,0.11122114,1.92906398,0.50277274,0.46049855
-5.85592796,4.03907894,0.02789370,0.32739877,0.54435704,0.00000000,0.11470295,1.91447547,0.50790483,0.47568005
-5.84992496,4.05634682,0.02752119,0.34341861,0.53007694,0.00000000,0.11798051,1.90054787,0.51348233,0.49114633
-5.84392196,4.07497063,0.02717932,0.35936197,0.51680538,0.00000000,0.12101245,1.88758645,0.51952273,0.50671686
-5.83791896,4.09462344,0.02687034,0.37500248,0.50474687,0.00000000,0.12375501,1.87574528,0.52600763,0.52216977
-5.83191596,4.11467570,0.02659318,0.39009308,0.49404312,0.00000000,0.12616295,1.86502826,0.53288316,0.53724721
-5.82591296,4.13422500,0.02634364,0.40437257,0.48477263,0.00000000,0.12819066,1.85529688,0.54006193,0.55166282
-5.81990995,4.15213871,0.02611472,0.41757305,0.47695262,0.00000000,0.12979346,1.84628416,0.54742630,0.56511080
-5.81390695,4.16710741,0.02589708,0.42942829,0.47054318,0.00000000,0.13092898,1.83761377,0.55483288,0.57727634
-5.80790395,4.17770640,0.02567959,0.43968249,0.46545317,0.00000000,0.13155870,1.82882340,0.56211803,0.58784700
-5.80190095,4.18246246,0.02544995,0.44809913,0.46154774,0.00000000,0.13164945,1.81939101,0.56910405,0.59652436
-5.79589795,4.17992274,0.02519537,0.45446965,0.45865679,0.00000000,0.13117488,1.80876301,0.57560606,0.60303570
-5.78989495,4.16872294,0.02490322,0.45862137,0.45658438,0.00000000,0.13011678,1.79638284,0.58143913,0.60714494
-5.78389195,4.14765178,0.02456172,0.46042448,0.45511842,0.00000000,0.12846622,1.78171908,0.58642567,0.60866256
-5.77788894,4.11570945,0.02416047,0.45979778,0.45404048,0.00000000,0.12622437,1.76429190,0.59040282,0.60745400
-5.77188594,4.07215779,0.02369102,0.45671278,0.45313551,0.00000000,0.12340312,1.74369692,0.59322971,0.60344620
-5.76588294,4.01656076,0.02314726,0.45119630,0.45220102,0.00000000,0.12002519,1.71962597,0.59479458,0.59663202
-5.75987994,3.94881399,0.02252571,0.44333114,0.45105568,0.00000000,0.11612401,1.69188397,0.59502152,0.58707253
-5.75387694,3.86916302,0.02182570,0.43325516,0.44954715,0.00000000,0.11174312,1.66040188,0.59387678,0.57489692
-5.74787394,3.77821014,0.02104939,0.42115859,0.44755896,0.00000000,0.10693527,1.62524522,0.59137472,0.56030038
-5.74187094,3.67691026,0.02020174,0.40727997,0.44501629,0.00000000,0.10176117,1.58661854,0.58758310,0.54353980
-5.73586793,3.56655677,0.01929028,0.39190074,0.44189070,0.00000000,0.09628800,1.54486561,0.58262769,0.52492789
-5.72986493,3.44875825,0.01832484,0.37533895,0.43820353,0.00000000,0.09058767,1.50046582,0.57669619,0.50482567
-5.72386193,3.32540765,0.01731722,0.35794216,0.43402795,0.00000000,0.08473501,1.45402702,0.57004104,0.48363401
-5.71785893,3.19864498,0.01628071,0.34008008,0.42948970,0.00000000,0.07880587,1.40627505,0.56298131,0.46178427
-5.71185593,3.07081515,0.01522974,0.32213698,0.42476625,0.00000000,0.07287529,1.35804051,0.55590313,0.43972862
-5.70585293,2.94442198,0.01417932,0.30450432,0.42008449,0.00000000,0.06701574,1.31024291,0.54925870,0.41793020
-5.69984992,2.82207976,0.01314467,0.28757366,0.41571683,0.00000000,0.06129555,1.26387273,0.54356348,0.39685349
-5.69384692,2.70646303,0.01214081,0.27173002,0.41197571,0.00000000,0.05577760,1.21997164,0.53939154,0.37695505
-5.68784392,2.60025555,0.01118212,0.25734589,0.40920658,0.00000000,0.05051819,1.17961112,0.53736869,0.35867480
-5.68184092,2.50609884,0.01028210,0.24477567,0.40777938,0.00000000,0.04556632,1.14386981,0.53816335,0.34242797
-5.67583792,2.42654086,0.00945307,0.23435077,0.40807867,0.00000000,0.04096310,1.11380994,0.54247504,0.32859773
-5.66983492,2.36398509,0.00870599,0.22637514,0.41049253,0.00000000,0.03674161,1.09045299,0.55102045,0.31752857
-5.66383192,2.32064020,0.00805035,0.22112116,0.41540054,0.00000000,0.03292688,1.07475499,0.56451709,0.30952033
-5.65782891,2.29847093,0.00749403,0.21882577,0.42316109,0.00000000,0.02953615,1.06758180,0.58366484,0.30482294
-5.65182591,2.29915028,0.00704335,0.21968685,0.43409824,0.00000000,0.02657934,1.06968479,0.60912548,0.30363176
-5.64582291,2.32401382,0.00670302,0.22385963,0.44848879,0.00000000,0.02405957,1.08167744,0.64150073,0.30608356
-5.63981991,2.37401675,0.00647619,0.23145307,0.46654961,0.00000000,0.02197385,1.10401323,0.68130927,0.31225315
-5.63381691,2.44969483,0.00636453,0.24252649,0.48842606,0.00000000,0.02031371,1.13696571,0.72896332,0.32215070
-5.62781391,2.55113015,0.00636824,0.25708610,0.51418154,0.00000000,0.01906596,1.18061116,0.78474574,0.33571976
-5.62181091,2.67792327,0.00648617,0.27508197,0.54378898,0.00000000,0.01821329,1.23481455,0.84878816,0.35283623
-5.61580790,2.82917315,0.00671587,0.29640531,0.57712440,0.00000000,0.01773489,1.29921962,0.92105143,0.37330838
-5.60980490,3.00346628,0.00705361,0.32088645,0.61396298,0.00000000,0.01760700,1.37324353,1.00130905,0.39687790
-5.60380190,3.19887673,0.00749450,0.34829381,0.65397803,0.00000000,0.01780331,1.45607682,1.08913469,0.42322249
-5.59779890,3.41297826,0.00803249,0.37833392,0.69674294,0.00000000,0.01829540,1.54668903,1.18389473,0.45195980
-5.59179590,3.64286971,0.00866043,0.41065307,0.74173625,0.00000000,0.01905303,1.64384052,1.28474656,0.48265303
-5.58579290,3.88521439,0.00937018,0.44484055,0.78834997,0.00000000,0.02004446,1.74610040,1.39064341,0.51481823
-5.57978989,4.13629384,0.01015265,0.48043384,0.83590087,0.00000000,0.02123667,1.85187082,1.50034611,0.54793323
-5.57378689,4.39207569,0.01099796,0.51692582,0.88364477,0.00000000,0.02259568,1.95941722,1.61244215,0.58144824
-5.56778389,4.64829474,0.01189553,0.55377396,0.93079323,0.00000000,0.02408682,2.06690410,1.72537192,0.61479790
-5.56178089,4.90054601,0.01283430,0.59041150,0.97653244,0.00000000,0.02567508,2.17243564,1.83746176,0.64741453
-5.55577789,5.14438742,0.01380295,0.62626036,1.02004370,0.00000000,0.02732553,2.27410015,1.94696327,0.67874234
-5.54977489,5.37544964,0.01479018,0.66074546,1.06052485,0.00000000,0.02900377,2.37001721,2.05209775,0.70825208
-5.54377189,5.58954968,0.01578500,0.69331007,1.09721201,0.00000000,0.03067647,2.45838617,2.15110457,0.73545574
-5.53776888,5.78280479,0.01677705,0.72343161,1.12940095,0.00000000,0.03231202,2.53753445,2.24229175,0.75992074
-5.53176588,5.95174245,0.01775700,0.75063732,1.15646735,0.00000000,0.03388114,2.60596406,2.32408710,0.78128310
-5.52576288,6.09340266,0.01871687,0.77451924,1.17788517,0.00000000,0.03535760,2.66239478,2.39508786,0.79925903
-5.51975988,6.20542828,0.01965040,0.79474767,1.19324260,0.00000000,0.03671886,2.70580225,2.45410685,0.81365438
-5.51375688,6.28613978,0.02055335,0.81108259,1.20225488,0.00000000,0.03794679,2.73544966,2.50021327,0.82437153
-5.50775388,6.33459106,0.02142380,0.82338251,1.20477360,0.00000000,0.03902822,2.75091168,2.53276615,0.83141337
-5.50175088,6.35060366,0.02226227,0.83161011,1.20079201,0.00000000,0.03995547,2.75208949,2.55143909,0.83488400
-5.49574787,6.33477745,0.02307193,0.83583437,1.19044619,0.00000000,0.04072672,2.73921636,2.55623484,0.83498606
-5.48974487,6.28847701,0.02385850,0.83622907,1.17401203,0.00000000,0.04134623,2.71285327,2.54748904,0.83201468
-5.48374187,6.21379344,0.02463022,0.83306748,1.15189797,0.00000000,0.04182439,2.67387459,2.52586275,0.82634821
-5.47773887,6.11348315,0.02539761,0.82671343,1.12463402,0.00000000,0.04217764,2.62344431,2.49232382,0.81843590
-5.47173587,5.99088539,0.02617312,0.81760907,1.09285713,0.00000000,0.04242811,2.56298363,2.44811792,0.80878318
-5.46573287,5.84982181,0.02697075,0.80625984,1.05729381,0.00000000,0.04260312,2.49413098,2.39473015,0.79793487
-5.45972986,5.69448193,0.02780548,0.79321721,1.01874032,0.00000000,0.04273454,2.41869614,2.33383912,0.78645717
-5.45372686,5.52929897,0.02869275,0.77905988,0.97804149,0.00000000,0.04285797,2.33861006,2.26726511,0.77491904
-5.44772386,5.35882102,0.02964782,0.76437451,0.93606868,0.00000000,0.04301177,2.25587238,2.19691470,0.76387382
-5.44172086,5.18758273,0.03068517,0.74973641,0.89369789,0.00000000,0.04323608,2.17249859,2.12472422,0.75384190
-5.43571786,5.01998230,0.03181790,0.73569146,0.85178863,0.00000000,0.04357169,2.09046875,2.05260417,0.74529502
-5.42971486,4.86016863,0.03305722,0.72273972,0.81116439,0.00000000,0.04405894,2.01167972,1.98238712,0.73864309
-5.42371186,4.71194248,0.03441199,0.71132156,0.77259527,0.00000000,0.04473665,1.93790227,1.91578084,0.73422389
-5.41770885,4.57867495,0.03588838,0.70180680,0.73678321,0.00000000,0.04564103,1.87074467,1.85432860,0.73229607
-5.41170585,4.46324558,0.03748964,0.69448722,0.70435031,0.00000000,0.04680475,1.81162341,1.79937766,0.73303574
-5.40570285,4.36800115,0.03921606,0.68957265,0.67583023,0.00000000,0.04825600,1.76174185,1.75205697,0.73653665
