energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-6.00000000,8.45494909,0.06497221,0.45104625,0.11081915,4.47903722,1.16419585,0.30359426,1.69253545,0.90043361
-5.99399700,8.03353806,0.05961930,0.43160813,0.10573767,4.25264862,1.09361451,0.29159447,1.61533735,0.85290193
-5.98799400,7.60914603,0.05452549,0.41256969,0.10052613,4.02365011,1.02437294,0.27916337,1.53646228,0.80623126
-5.98199100,7.18554532,0.04970612,0.39392477,0.09523526,3.79437105,0.95708339,0.26644714,1.45671098,0.76067595
-5.97598799,6.76629907,0.04517196,0.37566435,0.08991370,3.56701994,0.89227569,0.25359356,1.37685391,0.71646004
-5.96998499,6.35473934,0.04092972,0.35778158,0.08460746,3.34366321,0.83039675,0.24075032,1.29762910,0.67377966
-5.96398199,5.95395298,0.03698258,0.34027652,0.07935959,3.12620940,0.77181282,0.22806342,1.21974185,0.63280607
-5.95797899,5.56677409,0.03333071,0.32316058,0.07420997,2.91639796,0.71681384,0.21567575,1.14386596,0.59368873
-5.95197599,5.19578139,0.02997176,0.30646024,0.06919525,2.71579214,0.66561942,0.20372571,1.07064587,0.55655849
-5.94597299,4.84329923,0.02690137,0.29021989,0.06434892,2.52577537,0.61838582,0.19234600,1.00069935,0.52153042
-5.93996998,4.51140080,0.02411357,0.27450393,0.05970153,2.34755026,0.57521323,0.18166239,0.93462015,0.48870628
-5.93396698,4.20191247,0.02160124,0.25939774,0.05528083,2.18213986,0.53615320,0.17179269,0.87298045,0.45817642
-5.92796398,3.91641844,0.01935639,0.24500774,0.05111209,2.03039040,0.50121549,0.16284569,0.81633235,0.43002114
-5.92196098,3.65626510,0.01737060,0.23146040,0.04721831,1.89297535,0.47037430,0.15492026,0.76520857,0.40431147
-5.91595798,3.42256477,0.01563525,0.21890044,0.04362043,1.77040032,0.44357363,0.14810449,0.72012183,0.38110940
-5.90995498,3.21619888,0.01414181,0.20748813,0.04033751,1.66300862,0.42073168,0.14247488,0.68156285,0.36046776
-5.90395198,3.03782061,0.01288211,0.19739587,0.03738683,1.57098757,0.40174448,0.13809574,0.64999699,0.34242971
-5.89794897,2.88785729,0.01184853,0.18880429,0.03478387,1.49437518,0.38648862,0.13501854,0.62585943,0.32702812
-5.89194597,2.76651281,0.01103421,0.18189774,0.03254230,1.43306746,0.37482344,0.13328147,0.60954889,0.31428485
-5.88594297,2.67377035,0.01043317,0.17685957,0.03067380,1.38682626,0.36659274,0.13290907,0.60142014,0.30421014
-5.87993997,2.60939567,0.01004048,0.17386715,0.02918791,1.35528750,0.36162620,0.13391196,0.60177529,0.29680207
-5.87393697,2.57294099,0.00985227,0.17308677,0.02809170,1.33796992,0.35974062,0.13628665,0.61085415,0.29204623
-5.86793397,2.56374958,0.00986578,0.17466859,0.02738954,1.33428404,0.36074126,0.14001543,0.62882388,0.28991556
-5.86193097,2.58096096,0.01007932,0.17874157,0.02708270,1.34354137,0.36442312,0.14506638,0.65576828,0.29037034
-5.85592796,2.62351662,0.01049214,0.18540873,0.02716908,1.36496363,0.37057242,0.15139341,0.69167696,0.29335823
-5.84992496,2.69016599,0.01110427,0.19474248,0.02764281,1.39769181,0.37896814,0.15893633,0.73643508,0.29881429
-5.84392196,2.77947278,0.01191624,0.20678044,0.02849403,1.44079502,0.38938370,0.16762107,0.78981376,0.30666097
-5.83791896,2.88982138,0.01292878,0.22152162,0.02970856,1.49327892,0.40158868,0.17735986,0.85146211,0.31680780
-5.83191596,3.01942375,0.01414235,0.23892316,0.03126778,1.55409386,0.41535055,0.18805160,0.92090108,0.32915087
-5.82591296,3.16632670,0.01555673,0.25889773,0.03314851,1.62214259,0.43043641,0.19958225,0.99751994,0.34357204
-5.81990995,3.32842037,0.01717047,0.28131166,0.03532298,1.69628798,0.44661464,0.21182546,1.08057576,0.35993776
