energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,8.41785019,0.08690439,0.37502405,0.74202451,0.25513132,0.14764445,4.16224121,1.37306965,0.87526213
-5.99399700,8.23109892,0.08125320,0.36343733,0.73474599,0.25066163,0.14377745,4.07969446,1.35152185,0.84901252
-5.98799400,8.02480852,0.07559585,0.35158672,0.72811502,0.24562016,0.13950080,3.98699019,1.32605565,0.82078522
-5.98199100,7.80258874,0.07001242,0.33967349,0.72228035,0.24012360,0.13489925,3.88578870,1.29713646,0.79106060
-5.97598799,7.56813989,0.06457732,0.32788797,0.71734867,0.23429771,0.13006135,3.77781172,1.26524921,0.76032332
-5.96998499,7.32517594,0.05935810,0.31640670,0.71338532,0.22827503,0.12507742,3.66480565,1.23088605,0.72905234
-5.96398199,7.07735167,0.05441450,0.30538997,0.71041698,0.22219237,0.12003757,3.54850642,1.19453516,0.69771156
-5.95797899,6.82819552,0.04979783,0.29498015,0.70843580,0.21618805,0.11502966,3.43060643,1.15667087,0.66674129
-5.95197599,6.58104896,0.04555060,0.28530046,0.70740467,0.21039900,0.11013744,3.31272437,1.11774546,0.63655074
-5.94597299,6.33901302,0.04170632,0.27645436,0.70726305,0.20495780,0.10543878,3.19637807,1.07818247,0.60751166
-5.93996998,6.10490258,0.03828960,0.26852530,0.70793308,0.19998965,0.10100407,3.08296073,1.03837182,0.57995308
-5.93396698,5.88120836,0.03531637,0.26157690,0.70932519,0.19560941,0.09689487,2.97372068,0.99866629,0.55415728
-5.92796398,5.67006668,0.03279426,0.25565333,0.71134311,0.19191881,0.09316280,2.86974455,0.95937947,0.53035692
-5.92196098,5.47323681,0.03072313,0.25078004,0.71388775,0.18900388,0.08984867,2.77194405,0.92078484,0.50873336
-5.91595798,5.29208576,0.02909562,0.24696451,0.71685983,0.18693275,0.08698198,2.68104617,0.88311570,0.48941598
-5.90995498,5.12758032,0.02789784,0.24419729,0.72016115,0.18575380,0.08458058,2.59758687,0.84656584,0.47248261
