energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.77812257,0.01641647,0.19179069,0.03462130,1.49524758,0.28881315,0.28552535,0.44593309,0.41643796
-5.99399700,3.61133300,0.01602688,0.18096907,0.03311227,1.42916407,0.27131516,0.27163753,0.42054656,0.40070086
-5.98799400,3.43413097,0.01554887,0.16984764,0.03152896,1.35911244,0.25382676,0.25708415,0.39483743,0.38345950
-5.98199100,3.24867128,0.01499264,0.15855743,0.02988514,1.28597218,0.23648857,0.24204748,0.36912854,0.36490774
-5.97598799,3.05728412,0.01437037,0.14722490,0.02819776,1.21069372,0.21944540,0.22671510,0.34374052,0.34527275
-5.96998499,2.86241595,0.01369584,0.13596983,0.02648629,1.13427585,0.20284305,0.21127595,0.31898804,0.32480689
-5.96398199,2.66656973,0.01298408,0.12490366,0.02477209,1.05774269,0.18682538,0.19591664,0.29517647,0.30377920
-5.95797899,2.47224647,0.01225095,0.11412792,0.02307766,0.98212127,0.17153177,0.18081790,0.27259906,0.28246681
-5.95197599,2.28189002,0.01151274,0.10373317,0.02142608,0.90842009,0.15709471,0.16615148,0.25153451,0.26114671
-5.94597299,2.09783649,0.01078578,0.09379814,0.01984029,0.83760937,0.14363793,0.15207730,0.23224498,0.24008806
-5.93996998,1.92226959,0.01008606,0.08438918,0.01834262,0.77060342,0.13127470,0.13874117,0.21497428,0.21954528
-5.93396698,1.75718278,0.00942894,0.07556013,0.01695421,0.70824527,0.12010654,0.12627289,0.19994630,0.19975224
-5.92796398,1.60434858,0.00882879,0.06735238,0.01569467,0.65129387,0.11022210,0.11478492,0.18736349,0.18091751
-5.92196098,1.46529522,0.00829876,0.05979524,0.01458161,0.60041376,0.10169635,0.10437139,0.17740524,0.16322079
-5.91595798,1.34129024,0.00785056,0.05290657,0.01363045,0.55616703,0.09458986,0.09510764,0.17022613,0.14681059
-5.90995498,1.23333056,0.00749425,0.04669357,0.01285414,0.51900744,0.08894823,0.08705012,0.16595385,0.13180308
-5.90395198,1.14213826,0.00723815,0.04115379,0.01226297,0.48927640,0.08480156,0.08023653,0.16468693,0.11828188
-5.89794897,1.06816111,0.00708866,0.03627621,0.01186450,0.46720040,0.08216396,0.07468634,0.16649196,0.10629889
-5.89194597,1.01157700,0.00705019,0.03204246,0.01166344,0.45288976,0.08103302,0.07040140,0.17140060,0.09587582
-5.88594297,0.97230139,0.00712511,0.02842807,0.01166160,0.44633831,0.08138934,0.06736681,0.17940634,0.08700633
-5.87993997,0.94999727,0.00731369,0.02540368,0.01185793,0.44742399,0.08319599,0.06555182,0.19046115,0.07965859
-5.87393697,0.94408686,0.00761408,0.02293636,0.01224847,0.45591022,0.08639816,0.06491086,0.20447222,0.07377817
-5.86793397,0.95376512,0.00802230,0.02099077,0.01282649,0.47144820,0.09092278,0.06538466,0.22129905,0.06929103
