energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,4.67434259,-4.67434389,0.01537687,-0.01537690,0.35416506,-0.35416524,1.48578354,-1.48578397,0.68377649,-0.68377683,0.07103414,-0.07103418,1.77921728,-1.77921771,0.22946546,-0.22946555,0.75255672,-0.75255683
-5.99399700,4.73872986,-4.73873127,0.01757340,-0.01757344,0.36428150,-0.36428169,1.51896585,-1.51896634,0.69600067,-0.69600104,0.07307453,-0.07307457,1.80963366,-1.80963413,0.23421576,-0.23421584,0.74779970,-0.74779982
-5.98799400,4.80466868,-4.80467022,0.01999551,-0.01999555,0.37489002,-0.37489024,1.55436572,-1.55436627,0.70854291,-0.70854331,0.07499819,-0.07499822,1.84044852,-1.84044904,0.23858774,-0.23858782,0.74318653,-0.74318666
-5.98199100,4.87353043,-4.87353212,0.02264777,-0.02264782,0.38604611,-0.38604635,1.59229504,-1.59229566,0.72174637,-0.72174681,0.07681683,-0.07681687,1.87221131,-1.87221188,0.24263837,-0.24263845,0.73888052,-0.73888066
-5.97598799,4.94679048,-4.94679236,0.02553241,-0.02553246,0.39782214,-0.39782240,1.63304069,-1.63304137,0.73599491,-0.73599541,0.07854858,-0.07854862,1.90550740,-1.90550803,0.24643688,-0.24643696,0.73504447,-0.73504461
-5.96998499,5.02599119,-5.02599327,0.02864924,-0.02864929,0.41030686,-0.41030715,1.67685814,-1.67685890,0.75170529,-0.75170585,0.08021784,-0.08021788,1.94094480,-1.94094551,0.25006282,-0.25006290,0.73183315,-0.73183331
-5.96398199,5.11270366,-5.11270597,0.03199578,-0.03199584,0.42360427,-0.42360459,1.72396696,-1.72396778,0.76931760,-0.76931822,0.08185493,-0.08185497,1.97914054,-1.97914134,0.25360372,-0.25360380,0.72938681,-0.72938698
-5.95797899,5.20848986,-5.20849243,0.03556744,-0.03556751,0.43783182,-0.43783217,1.77454822,-1.77454913,0.78928419,-0.78928490,0.08349564,-0.08349568,2.02070699,-2.02070788,0.25715253,-0.25715261,0.72782578,-0.72782597
-5.95197599,5.31486639,-5.31486925,0.03935793,-0.03935799,0.45311812,-0.45311850,1.82874435,-1.82874533,0.81205733,-0.81205811,0.08518062,-0.08518067,2.06623882,-2.06623982,0.26080491,-0.26080500,0.72724674,-0.72724695
-5.94597299,5.43327110,-5.43327426,0.04335968,-0.04335975,0.46960007,-0.46960049,1.88666109,-1.88666215,0.83807573,-0.83807661,0.08695464,-0.08695470,2.11630100,-2.11630210,0.26465642,-0.26465652,0.72772075,-0.72772097
