energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.48031439,0.13051139,0.05789004,0.42862230,0.13861409,0.03440134,0.67101516,0.51880067,4.51889346
-5.99399700,6.16964820,0.13169256,0.05666596,0.43652697,0.13706256,0.03386408,0.66745848,0.52060115,4.23761959
-5.98799400,5.87755954,0.13264772,0.05535022,0.44639014,0.13584894,0.03328882,0.66542215,0.52227067,3.97239586
-5.98199100,5.60427939,0.13336299,0.05396675,0.45832669,0.13505289,0.03269120,0.66521300,0.52384822,3.72282132
-5.97598799,5.35000804,0.13382300,0.05254040,0.47241498,0.13475145,0.03208783,0.66712228,0.52536608,3.48848566
-5.96998499,5.11492265,0.13401117,0.05109647,0.48869355,0.13501696,0.03149594,0.67141872,0.52684831,3.26899018
-5.96398199,4.89917590,0.13391024,0.04966007,0.50715859,0.13591499,0.03093295,0.67834162,0.52830950,3.06396050
-5.95797899,4.70288678,0.13350279,0.04825558,0.52776226,0.13750222,0.03041599,0.68809396,0.52975397,2.87305159
-5.95197599,4.52612526,0.13277205,0.04690603,0.55041212,0.13982441,0.02996148,0.70083585,0.53117539,2.69594635
-5.94597299,4.36889321,0.13170275,0.04563262,0.57497168,0.14291452,0.02958470,0.71667882,0.53255684,2.53234893
-5.93996998,4.23110354,0.13028216,0.04445418,0.60126233,0.14679112,0.02929937,0.73568100,0.53387154,2.38197455
-5.93396698,4.11256033,0.12850105,0.04338684,0.62906662,0.15145722,0.02911735,0.75784383,0.53508404,2.24453717
-5.92796398,4.01294200,0.12635482,0.04244368,0.65813309,0.15689952,0.02904835,0.78311050,0.53615199,2.11973666
-5.92196098,3.93178968,0.12384448,0.04163459,0.68818260,0.16308833,0.02909978,0.81136653,0.53702843,2.00724688
-5.91595798,3.86850236,0.12097761,0.04096625,0.71891613,0.16997809,0.02927673,0.84244257,0.53766453,1.90670575
-5.90995498,3.82234018,0.11776909,0.04044224,0.75002404,0.17750867,0.02958197,0.87611993,0.53801268,1.81770831
-5.90395198,3.79243637,0.11424169,0.04006326,0.78119647,0.18560729,0.03001616,0.91213848,0.53802987,1.73980328
