energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.01591410,0.08438646,0.00153809,0.32346832,0.09209798,0.05477785,0.62967574,0.43488429,0.01571761
-5.99399700,1.02532422,0.08518760,0.00139905,0.33081471,0.09151134,0.05534477,0.63655961,0.44165947,0.01507111
-5.98799400,1.03387538,0.08575023,0.00128205,0.33773126,0.09097562,0.05584651,0.64291451,0.44720386,0.01454661
-5.98199100,1.04054416,0.08603181,0.00118365,0.34383355,0.09039733,0.05623207,0.64808021,0.45122767,0.01411448
-5.97598799,1.04442048,0.08599496,0.00110066,0.34877486,0.08969484,0.05645579,0.65146882,0.45347669,0.01374774
-5.96998499,1.04472422,0.08560866,0.00103020,0.35225429,0.08879904,0.05647841,0.65257558,0.45373894,0.01342235
-5.96398199,1.04081927,0.08484938,0.00096963,0.35402352,0.08765388,0.05626783,0.65098806,0.45185042,0.01311736
-5.95797899,1.03222415,0.08370190,0.00091668,0.35389202,0.08621670,0.05579988,0.64639305,0.44769968,0.01281512
-5.95197599,1.01861858,0.08215995,0.00086936,0.35173047,0.08445837,0.05505864,0.63858085,0.44123079,0.01250124
-5.94597299,0.99984551,0.08022646,0.00082603,0.34747218,0.08236317,0.05403671,0.62744664,0.43244469,0.01216464
-5.93996998,0.97590844,0.07791361,0.00078532,0.34111249,0.07992832,0.05273504,0.61298874,0.42139866,0.01179741
-5.93396698,0.94696394,0.07524243,0.00074621,0.33270613,0.07716333,0.05116262,0.59530388,0.40820392,0.01139465
-5.92796398,0.91330969,0.07224216,0.00070793,0.32236277,0.07408894,0.04933586,0.57457945,0.39302147,0.01095426
-5.92196098,0.87536859,0.06894931,0.00066995,0.31024092,0.07073596,0.04727771,0.55108337,0.37605630,0.01047659
-5.91595798,0.83366950,0.06540646,0.00063200,0.29654044,0.06714380,0.04501672,0.52515169,0.35755021,0.00996415
-5.90995498,0.78882559,0.06166088,0.00059398,0.28149409,0.06335891,0.04258582,0.49717470,0.33777363,0.00942122
-5.90395198,0.74151115,0.05776302,0.00055597,0.26535845,0.05943315,0.04002108,0.46758211,0.31701672,0.00885347
-5.89794897,0.69243800,0.05376496,0.00051818,0.24840464,0.05542219,0.03736045,0.43682788,0.29558020,0.00826756
-5.89194597,0.64233239,0.04971884,0.00048096,0.23090922,0.05138397,0.03464248,0.40537540,0.27376629,0.00767079
-5.88594297,0.59191329,0.04567537,0.00044471,0.21314558,0.04737732,0.03190513,0.37368367,0.25187016,0.00707073
-5.87993997,0.54187308,0.04168253,0.00040994,0.19537626,0.04346079,0.02918471,0.34219482,0.23017214,0.00647492
-5.87393697,0.49286109,0.03778435,0.00037718,0.17784633,0.03969179,0.02651493,0.31132361,0.20893108,0.00589060
-5.86793397,0.44547057,0.03402002,0.00034702,0.16077802,0.03612600,0.02392619,0.28144906,0.18837899,0.00532450
-5.86193097,0.40022933,0.03042316,0.00032010,0.14436684,0.03281708,0.02144498,0.25290849,0.16871704,0.00478266
-5.85592796,0.35759426,0.02702139,0.00029710,0.12877900,0.02981677,0.01909356,0.22599386,0.15011317,0.00427033
-5.84992496,0.31794935,0.02383612,0.00027872,0.11415033,0.02717520,0.01688976,0.20095058,0.13270094,0.00379192
-5.84392196,0.28160719,0.02088260,0.00026572,0.10058636,0.02494157,0.01484705,0.17797836,0.11657991,0.00335096
-5.83791896,0.24881336,0.01817016,0.00025895,0.08816366,0.02316492,0.01297466,0.15723400,0.10181709,0.00295016
-5.83191596,0.21975318,0.01570262,0.00025928,0.07693196,0.02189515,0.01127791,0.13883562,0.08844941,0.00259145
-5.82591296,0.19456026,0.01347886,0.00026770,0.06691714,0.02118403,0.00975864,0.12286811,0.07648700,0.00227611
-5.81990995,0.17332606,0.01149349,0.00028528,0.05812461,0.02108619,0.00841566,0.10938915,0.06591699,0.00200480
-5.81390695,0.15610993,0.00973754,0.00031319,0.05054298,0.02166003,0.00724529,0.09843563,0.05670758,0.00177776
-5.80790395,0.14294885,0.00819927,0.00035269,0.04414783,0.02296838,0.00624189,0.09002985,0.04881220,0.00159489
-5.80190095,0.13386641,0.00686483,0.00040516,0.03890526,0.02507886,0.00539837,0.08418520,0.04217365,0.00145584
-5.79589795,0.12888045,0.00571902,0.00047205,0.03477523,0.02806391,0.00470668,0.08091105,0.03672777,0.00136015
-5.78989495,0.12800892,0.00474592,0.00055487,0.03171443,0.03200030,0.00415824,0.08021657,0.03240690,0.00130732
-5.78389195,0.13127380,0.00392948,0.00065520,0.02967868,0.03696823,0.00374429,0.08211326,0.02914267,0.00129687
-5.77788894,0.13870284,0.00325398,0.00077459,0.02862469,0.04304988,0.00345615,0.08661606,0.02686832,0.00132837
-5.77188594,0.15032900,0.00270449,0.00091454,0.02851130,0.05032743,0.00328546,0.09374320,0.02552037,0.00140148
-5.76588294,0.16618791,0.00226714,0.00107648,0.02930018,0.05888067,0.00322431,0.10351460,0.02503977,0.00151595
-5.75987994,0.18631332,0.00192943,0.00126163,0.03095587,0.06878418,0.00326524,0.11594913,0.02537250,0.00167157
-5.75387694,0.21073099,0.00168036,0.00147100,0.03344554,0.08010418,0.00340129,0.13106084,0.02646966,0.00186814
-5.74787394,0.23945145,0.00151054,0.00170526,0.03673824,0.09289524,0.00362592,0.14885449,0.02828721,0.00210545
-5.74187094,0.27246212,0.00141230,0.00196471,0.04080393,0.10719698,0.00393291,0.16932065,0.03078543,0.00238315
-5.73586793,0.30971921,0.00137963,0.00224919,0.04561239,0.12303088,0.00431622,0.19243068,0.03392814,0.00270076
-5.72986493,0.35114024,0.00140825,0.00255801,0.05113201,0.14039748,0.00476988,0.21813207,0.03768181,0.00305753
-5.72386193,0.39659752,0.00149548,0.00288991,0.05732870,0.15927408,0.00528784,0.24634437,0.04201475,0.00345244
-5.71785893,0.44591318,0.00164024,0.00324303,0.06416493,0.17961322,0.00586383,0.27695609,0.04689625,0.00388413
-5.71185593,0.49885628,0.00184295,0.00361485,0.07159902,0.20134192,0.00649130,0.30982288,0.05229596,0.00435082
-5.70585293,0.55514232,0.00210543,0.00400227,0.07958476,0.22436198,0.00716332,0.34476718,0.05818343,0.00485039
-5.69984992,0.61443525,0.00243081,0.00440157,0.08807133,0.24855129,0.00787256,0.38157945,0.06452790,0.00538028
-5.69384692,0.67635222,0.00282343,0.00480849,0.09700362,0.27376618,0.00861132,0.42002110,0.07129828,0.00593757
-5.68784392,0.74047080,0.00328866,0.00521831,0.10632292,0.29984480,0.00937157,0.45982890,0.07846339,0.00651901
