energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.00444101,0.09369896,0.00071385,0.25621249,0.08987454,0.06420949,0.60137045,0.44969250,0.00953693
-5.99399700,0.96302362,0.08945104,0.00068133,0.24622552,0.08669642,0.06143774,0.57679578,0.43006891,0.00905628
-5.98799400,0.91810136,0.08482270,0.00065294,0.23516086,0.08341514,0.05841033,0.55008301,0.40858845,0.00856801
-5.98199100,0.87051084,0.07989036,0.00062892,0.22321433,0.08014128,0.05517439,0.52172619,0.38562386,0.00807364
-5.97598799,0.82116737,0.07473406,0.00060978,0.21060195,0.07699760,0.05178115,0.49226759,0.36156857,0.00757638
-5.96998499,0.77103705,0.06943492,0.00059622,0.19755288,0.07411692,0.04828407,0.46228081,0.33682440,0.00708073
-5.96398199,0.72110944,0.06407270,0.00058918,0.18430221,0.07164003,0.04473703,0.43235437,0.31178972,0.00659212
-5.95797899,0.67237209,0.05872362,0.00058971,0.17108430,0.06971347,0.04119266,0.40307621,0.28684880,0.00611661
-5.95197599,0.62578733,0.05345850,0.00059904,0.15812659,0.06848743,0.03770093,0.37501973,0.26236245,0.00566053
-5.94597299,0.58227207,0.04834126,0.00061845,0.14564421,0.06811363,0.03430786,0.34873139,0.23866038,0.00523028
-5.93996998,0.54268067,0.04342780,0.00064931,0.13383549,0.06874317,0.03105455,0.32472043,0.21603526,0.00483204
-5.93396698,0.50779127,0.03876529,0.00069298,0.12287844,0.07052439,0.02797651,0.30345044,0.19473868,0.00447160
-5.92796398,0.47829521,0.03439185,0.00075082,0.11292817,0.07360067,0.02510315,0.28533299,0.17497884,0.00415424
-5.92196098,0.45478957,0.03033660,0.00082411,0.10411530,0.07810810,0.02245762,0.27072304,0.15692000,0.00388457
-5.91595798,0.43777223,0.02661999,0.00091401,0.09654519,0.08417318,0.02005682,0.25991603,0.14068330,0.00366651
-5.90995498,0.42763937,0.02325445,0.00102156,0.09029794,0.09191027,0.01791165,0.25314635,0.12634893,0.00350323
-5.90395198,0.42468465,0.02024522,0.00114754,0.08542904,0.10141912,0.01602733,0.25058697,0.11395925,0.00339711
-5.89794897,0.42909996,0.01759135,0.00129252,0.08197049,0.11278226,0.01440398,0.25234995,0.10352266,0.00334980
-5.89194597,0.44097726,0.01528673,0.00145673,0.07993231,0.12606249,0.01303711,0.25848772,0.09501792,0.00336218
-5.88594297,0.46031124,0.01332124,0.00164009,0.07930430,0.14130043,0.01191833,0.26899481,0.08839873,0.00343443
