energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,8.25369992,0.00282937,2.19250478,0.59166270,0.00000000,4.34939725,3.99398740,0.03178617,1.64248186
-5.99399700,8.37368647,0.00291955,2.22273684,0.60764537,0.00000000,4.39574044,4.06759020,0.03059333,1.66755841
-5.98799400,8.46047280,0.00301372,2.24320911,0.62156967,0.00000000,4.42764716,4.12289939,0.02934196,1.68735177
-5.98199100,8.51298097,0.00310968,2.25377770,0.63323616,0.00000000,4.44502789,4.15929601,0.02804372,1.70150396
-5.97598799,8.53066223,0.00320533,2.25445576,0.64247199,0.00000000,4.44794856,4.17647659,0.02671222,1.70973378
-5.96998499,8.51349122,0.00329865,2.24540785,0.64913493,0.00000000,4.43661642,4.17445304,0.02536222,1.71184013
-5.96398199,8.46195143,0.00338765,2.22694113,0.65311721,0.00000000,4.41136668,4.15354504,0.02400891,1.70770514
-5.95797899,8.37701282,0.00347043,2.19949373,0.65434907,0.00000000,4.37265069,4.11436535,0.02266730,1.69729694
-5.95197599,8.26010276,0.00354515,2.16362101,0.65280166,0.00000000,4.32102636,4.05779903,0.02135160,1.68067186
-5.94597299,8.11307153,0.00361003,2.11998044,0.64848948,0.00000000,4.25715121,3.98497774,0.02007483,1.65797592
-5.93996998,7.93815364,0.00366341,2.06931565,0.64147177,0.00000000,4.18177825,3.89725007,0.01884848,1.62944532
-5.93396698,7.73792609,0.00370378,2.01244039,0.63185319,0.00000000,4.09575452,3.79614957,0.01768238,1.59540569
-5.92796398,7.51526483,0.00372980,1.95022307,0.61978330,0.00000000,4.00002205,3.68336132,0.01658458,1.55626996
-5.92196098,7.27330019,0.00374033,1.88357209,0.60545514,0.00000000,3.89562054,3.56068854,0.01556146,1.51253458
-5.91595798,7.01537207,0.00373450,1.81342261,0.58910253,0.00000000,3.78369104,3.43002000,0.01461787,1.46477404
-5.90995498,6.74498534,0.00371172,1.74072466,0.57099649,0.00000000,3.66547956,3.29329909,0.01375733,1.41363356
-5.90395198,6.46576556,0.00367171,1.66643285,0.55144050,0.00000000,3.54233965,3.15249498,0.01298236,1.35982000
-5.89794897,6.18141513,0.00361453,1.59149733,0.53076491,0.00000000,3.41573267,3.00957609,0.01229471,1.30409104
-5.89194597,5.89566945,0.00354060,1.51685592,0.50932053,0.00000000,3.28722483,2.86648590,0.01169570,1.24724272
-5.88594297,5.61225281,0.00345066,1.44342700,0.48747149,0.00000000,3.15847979,2.72512081,0.01118647,1.19009556
-5.87993997,5.33483349,0.00334581,1.37210264,0.46558772,0.00000000,3.03124619,2.58730962,0.01076821,1.13347950
-5.87393697,5.06697777,0.00322747,1.30374179,0.44403699,0.00000000,2.90733941,2.45479416,0.01044235,1.07821797
-5.86793397,4.81210233,0.00309733,1.23916283,0.42317690,0.00000000,2.78861722,2.32921053,0.01021065,1.02511146
-5.86193097,4.57342532,0.00295735,1.17913546,0.40334699,0.00000000,2.67694952,2.21207058,0.01007522,0.97492092
-5.85592796,4.35391605,0.00280965,1.12437146,0.38486108,0.00000000,2.57418252,2.10474316,0.01003850,0.92835156
-5.84992496,4.15624406,0.00265654,1.07551448,0.36800022,0.00000000,2.48209805,2.00843513,0.01010316,0.88603733
-5.84392196,3.98272859,0.00250041,1.03312873,0.35300639,0.00000000,2.40236941,1.92417224,0.01027193,0.84852672
-5.83791896,3.83528975,0.00234367,0.99768709,0.34007711,0.00000000,2.33651506,1.85278011,0.01054738,0.81627036
-5.83191596,3.71540325,0.00218875,0.96955877,0.32936132,0.00000000,2.28585202,1.79486611,0.01093174,0.78961076
-5.82591296,3.62406061,0.00203802,0.94899737,0.32095656,0.00000000,2.25145097,1.75080275,0.01142663,0.76877481
-5.81990995,3.56173713,0.00189376,0.93612976,0.31490764,0.00000000,2.23409511,1.72071378,0.01203284,0.75386934
-5.81390695,3.52836977,0.00175815,0.93094666,0.31120701,0.00000000,2.23424505,1.70446389,0.01275013,0.74488013
-5.80790395,3.52334711,0.00163323,0.93329566,0.30979675,0.00000000,2.25201149,1.70165333,0.01357709,0.74167453
-5.80190095,3.54551324,0.00152092,0.94287728,0.31057233,0.00000000,2.28713785,1.71161830,0.01451104,0.74400793
-5.79589795,3.59318685,0.00142302,0.95924488,0.31338793,0.00000000,2.33899411,1.73343809,0.01554800,0.75153393
-5.78989495,3.66419663,0.00134122,0.98180880,0.31806340,0.00000000,2.40658308,1.76594968,0.01668274,0.76381816
-5.78389195,3.75593280,0.00127713,1.00984510,0.32439246,0.00000000,2.48855973,1.80776990,0.01790891,0.78035531
-5.77788894,3.86541441,0.00123232,1.04250900,0.33215205,0.00000000,2.58326355,1.85732534,0.01921922,0.80058901
-5.77188594,3.98937084,0.00120835,1.07885293,0.34111236,0.00000000,2.68876351,1.91288942,0.02060573,0.82393371
