energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,7.22089347,0.01787615,1.76258678,1.34277570,0.11414688,4.03992147,4.10397701,0.03323231,1.09671647
-5.99399700,7.28458299,0.01826990,1.77746598,1.33786771,0.11785998,4.13014579,4.13766320,0.03419066,1.10621297
-5.98799400,7.34555002,0.01858288,1.79272582,1.32872546,0.12175679,4.21848029,4.17113321,0.03503399,1.11351632
-5.98199100,7.40252364,0.01881176,1.80795519,1.31576914,0.12581326,4.30464199,4.20317371,0.03575499,1.11873274
-5.97598799,7.45434974,0.01895476,1.82272106,1.29956904,0.13001472,4.38854422,4.23252371,0.03634968,1.12207642
-5.96998499,7.50007330,0.01901173,1.83659512,1.28083315,0.13435670,4.47032847,4.25794181,0.03681768,1.12386780
-5.96398199,7.53901445,0.01898419,1.84918002,1.26039134,0.13884529,4.55038780,4.27827264,0.03716246,1.12452897
-5.95797899,7.57083307,0.01887527,1.86013360,1.23917622,0.14349719,4.62937943,4.29250888,0.03739136,1.12457600
-5.95197599,7.59557760,0.01868969,1.86918969,1.21820137,0.14833913,4.70822481,4.29984517,0.03751559,1.12460827
-5.94597299,7.61371429,0.01843364,1.87617412,1.19853724,0.15340696,4.78809596,4.29972082,0.03755003,1.12529490
-5.93996998,7.62613430,0.01811461,1.88101509,1.18128519,0.15874419,4.87038736,4.29184916,0.03751298,1.12735859
-5.93396698,7.63413721,0.01774123,1.88374722,1.16755016,0.16440016,4.95667367,4.27623186,0.03742577,1.13155694
-5.92796398,7.63939102,0.01732306,1.88450915,1.15841247,0.17042776,5.04865415,4.25315765,0.03731222,1.13866181
-5.92196098,7.64386981,0.01687034,1.88353482,1.15489923,0.17688096,5.14808555,4.22318592,0.03719812,1.14943697
-5.91595798,7.64977175,0.01639374,1.88113905,1.15795589,0.18381198,5.25670581,4.18711624,0.03711055,1.16461473
-5.90995498,7.65942120,0.01590414,1.87769832,1.16841860,0.19126847,5.37615166,4.14594598,0.03707718,1.18487186
-5.90395198,7.67515955,0.01541230,1.87362798,1.18698784,0.19929053,5.50787374,4.10081853,0.03712559,1.21080575
-5.89794897,7.69923021,0.01492870,1.86935718,1.21420415,0.20790792,5.65305279,4.05296542,0.03728246,1.24291122
-5.89194597,7.73366331,0.01446322,1.86530311,1.25042649,0.21713745,5.81252124,4.00364544,0.03757294,1.28155886
-5.88594297,7.78016607,0.01402496,1.86184597,1.29581411,0.22698064,5.98669379,3.95408436,0.03801986,1.32697561
-5.87993997,7.84002415,0.01362204,1.85930606,1.35031246,0.23742180,6.17551068,3.90541829,0.03864316,1.37922828
-5.87393697,7.91401899,0.01326143,1.85792434,1.41364403,0.24842666,6.37839685,3.85864363,0.03945926,1.43821084
-5.86793397,8.00236537,0.01294881,1.85784730,1.48530454,0.25994155,6.59423936,3.81457588,0.04048057,1.50363601
-5.86193097,8.10467231,0.01268847,1.85911707,1.56456516,0.27189323,6.82138488,3.77381914,0.04171509,1.57503185
-5.85592796,8.21992933,0.01248324,1.86166699,1.65048108,0.28418943,7.05765823,3.73674731,0.04316609,1.65174379
-5.84992496,8.34651910,0.01233447,1.86532294,1.74190661,0.29672009,7.30040162,3.70349745,0.04483192,1.73294242
-5.84392196,8.48225600,0.01224207,1.86981009,1.83751680,0.30935932,7.54653403,3.67397497,0.04670601,1.81763709
-5.83791896,8.62444909,0.01220451,1.87476471,1.93583533,0.32196810,7.79262846,3.64786982,0.04877687,1.90469550
-5.83191596,8.76998709,0.01221897,1.87975012,2.03526809,0.33439751,8.03500469,3.62468242,0.05102840,1.99286873
-5.82591296,8.91544167,0.01228146,1.88427624,2.13414165,0.34649257,8.26983395,3.60375726,0.05344025,2.08082135
-5.81990995,9.05718487,0.01238697,1.88782126,2.23074562,0.35809659,8.49325174,3.58432258,0.05598831,2.16716581
-5.81390695,9.19151596,0.01252973,1.88985474,2.32337746,0.36905564,8.70147439,3.56553350,0.05864547,2.25050013
-5.80790395,9.31479240,0.01270338,1.88986075,2.41038846,0.37922343,8.89091504,3.54651664,0.06138235,2.32944775
-5.80190095,9.42355986,0.01290126,1.88736013,2.49022919,0.38846597,9.05829451,3.52641414,0.06416829,2.40269814
-5.79589795,9.51467608,0.01311667,1.88193092,2.56149277,0.39666619,9.20074295,3.50442488,0.06697236,2.46904690
-5.78989495,9.58542382,0.01334312,1.87322602,2.62295441,0.40372813,9.31588851,3.47984149,0.06976448,2.52743362
-5.78389195,9.63360863,0.01357460,1.86098753,2.67360583,0.40958070,9.40192981,3.45208164,0.07251652,2.57697633
-5.77788894,9.65763792,0.01380581,1.84505729,2.71268295,0.41418068,9.45768975,3.42071261,0.07520348,2.61700094
-5.77188594,9.65657848,0.01403235,1.82538327,2.73968621,0.41751496,9.48264905,3.38546852,0.07780456,2.64706460
-5.76588294,9.63019070,0.01425091,1.80202178,2.75439246,0.41960185,9.47695861,3.34625991,0.08030419,2.66697189
-5.75987994,9.57893855,0.01445934,1.77513553,2.75685818,0.42049143,9.44143074,3.30317575,0.08269285,2.67678326
-5.75387694,9.50397535,0.01465676,1.74498796,2.74741398,0.42026483,9.37751009,3.25647830,0.08496778,2.67681503
-5.74787394,9.40710634,0.01484351,1.71193395,2.72665069,0.41903253,9.28722582,3.20659129,0.08713343,2.66763120
-5.74187094,9.29072985,0.01502110,1.67640772,2.69539768,0.41693170,9.17312712,3.15408250,0.08920168,2.65002695
-5.73586793,9.15775959,0.01519205,1.63890832,2.65469430,0.41412252,9.03820473,3.09964157,0.09119169,2.62500463
-5.72986493,9.01153110,0.01535977,1.59998331,2.60575579,0.41078388,8.88580138,3.04405417,0.09312953,2.59374297
-5.72386193,8.85569613,0.01552823,1.56021151,2.54993474,0.40710827,8.71951435,2.98817375,0.09504746,2.55756053
-5.71785893,8.69410853,0.01570179,1.52018514,2.48867977,0.40329631,8.54309319,2.93289194,0.09698290,2.51787488
-5.71185593,8.53070575,0.01588482,1.48049225,2.42349268,0.39955093,8.36033586,2.87910867,0.09897708,2.47615863
-5.70585293,8.36938984,0.01608143,1.44169978,2.35588573,0.39607140,8.17498615,2.82770307,0.10107346,2.43389417
-5.69984992,8.21391178,0.01629518,1.40433791,2.28734023,0.39304753,7.99063507,2.77950605,0.10331595,2.39252831
-5.69384692,8.06776260,0.01652879,1.36888597,2.21926777,0.39065409,7.81062889,2.73527525,0.10574695,2.35342860
-5.68784392,7.93407450,0.01678387,1.33576039,2.15297507,0.38904566,7.63798567,2.69567309,0.10840531,2.31784257
-5.68184092,7.81553474,0.01706080,1.30530481,2.08963353,0.38835217,7.47532262,2.66124838,0.11132431,2.28686125
-5.67583792,7.71431473,0.01735854,1.27778274,2.03025394,0.38867512,7.32479553,2.63242189,0.11452969,2.26138816
-5.66983492,7.63201597,0.01767458,1.25337266,1.97566711,0.39008472,7.18805206,2.60947612,0.11803789,2.24211462
-5.66383192,7.56963444,0.01800497,1.23216583,1.92651066,0.39261796,7.06619976,2.59254954,0.12185452,2.22950216
-5.65782891,7.52754401,0.01834440,1.21416670,1.88322210,0.39627771,6.95978981,2.58163515,0.12597318,2.22377253
-5.65182591,7.50549947,0.01868632,1.19929582,1.84603830,0.40103287,6.86881707,2.57658347,0.13037470,2.22490563
-5.64582291,7.50265866,0.01902319,1.18739527,1.81500108,0.40681951,6.79273673,2.57710983,0.13502682,2.23264521
-5.63981991,7.51762309,0.01934674,1.17823632,1.78996853,0.41354309,6.73049725,2.58280554,0.13988447,2.24651227
-5.63381691,7.54849559,0.01964827,1.17152906,1.77063174,0.42108148,6.68058916,2.59315281,0.14489039,2.26582554
-5.62781391,7.59295310,0.01991897,1.16693385,1.75653603,0.42928888,6.64110842,2.60754277,0.14997650,2.28972831
-5.62181091,7.64833210,0.02015026,1.16407404,1.74710598,0.43800036,6.60983272,2.62529612,0.15506557,2.31722061
-5.61580790,7.71172368,0.02033415,1.16254970,1.74167340,0.44703690,6.58430840,2.64568570,0.16007338,2.34719564
-5.60980490,7.78007488,0.02046350,1.16195181,1.73950688,0.45621080,6.56194513,2.66796015,0.16491130,2.37847891
-5.60380190,7.85029240,0.02053232,1.16187639,1.73984214,0.46533114,6.54011507,2.69136785,0.16948898,2.40986875
-5.59779890,7.91934492,0.02053598,1.16193813,1.74191168,0.47420917,6.51625263,2.71518016,0.17371728,2.44017659
-5.59179590,7.98435980,0.02047135,1.16178292,1.74497273,0.48266346,6.48795100,2.73871306,0.17751113,2.46826536
-5.58579290,8.04271050,0.02033694,1.16109876,1.74833232,0.49052449,6.45305146,2.76134620,0.18079231,2.49308470
-5.57978989,8.09209109,0.02013287,1.15962469,1.75136852,0.49763861,6.40972142,2.78253875,0.18349197,2.51370148
-5.57378689,8.13057504,0.01986088,1.15715722,1.75354698,0.50387130,6.35651802,2.80184100,0.18555271,2.52932454
-5.56778389,8.15665595,0.01952419,1.15355418,1.75443226,0.50910938,6.29243426,2.81890167,0.18693029,2.53932284
-5.56178089,8.16926906,0.01912734,1.14873561,1.75369360,0.51326247,6.21692573,2.83347021,0.18759476,2.54323649
-5.55577789,8.16779319,0.01867603,1.14268199,1.75110518,0.51626340,6.12991681,2.84539453,0.18753099,2.54078050
-5.54977489,8.15203387,0.01817682,1.13542962,1.74654100,0.51806782,6.03178647,2.85461415,0.18673863,2.53184145
-5.54377189,8.12218937,0.01763689,1.12706379,1.73996523,0.51865296,5.92333449,2.86114948,0.18523151,2.51646767
-5.53776888,8.07880257,0.01706378,1.11770987,1.73141857,0.51801589,5.80573055,2.86508808,0.18303651,2.49485386
-5.53176588,8.02270187,0.01646510,1.10752313,1.72100188,0.51617120,5.68044892,2.86656884,0.18019198,2.46732132
-5.52576288,7.95493542,0.01584831,1.09667780,1.70885811,0.51314846,5.54919278,2.86576540,0.17674584,2.43429507
-5.51975988,7.87670296,0.01522045,1.08535597,1.69515383,0.50898966,5.41381229,2.86287001,0.17275344,2.39627946
-5.51375688,7.78928961,0.01458801,1.07373729,1.68006158,0.50374671,5.27622123,2.85807896,0.16827534,2.35383358
-5.50775388,7.69400573,0.01395672,1.06198980,1.66374409,0.49747928,5.13831656,2.85158098,0.16337506,2.30754802
-5.50175088,7.59213648,0.01333151,1.05026268,1.64634135,0.49025304,5.00190520,2.84354931,0.15811705,2.25802398
-5.49574787,7.48490368,0.01271644,1.03868123,1.62796125,0.48213837,4.86864180,2.83413825,0.15256475,2.20585588
-5.48974487,7.37344209,0.01211466,1.02734452,1.60867425,0.47320973,4.73998042,2.82348458,0.14677906,2.15161800
-5.48374187,7.25879056,0.01152852,1.01632560,1.58851222,0.46354543,4.61714192,2.81171381,0.14081714,2.09585555
-5.47773887,7.14189807,0.01095956,1.00567443,1.56747130,0.45322796,4.50109829,2.79895104,0.13473151,2.03908010
-5.47173587,7.02364302,0.01040869,0.99542316,1.54551853,0.44234465,4.39257362,2.78533561,0.12856963,1.98176916
-5.46573287,6.90486374,0.00987627,0.98559335,1.52260147,0.43098858,4.29206068,2.77103873,0.12237370,1.92436935
-5.45972986,6.78639714,0.00936228,0.97620464,1.49866018,0.41925956,4.19985110,2.75628277,0.11618089,1.86730223
-5.45372686,6.66912190,0.00886644,0.96728414,1.47364059,0.40726506,4.11607636,2.74136089,0.11002372,1.81097217
-5.44772386,6.55400257,0.00838837,0.95887584,1.44750839,0.39512086,4.04075633,2.72665544,0.10393061,1.75577502
-5.44172086,6.44213070,0.00792773,0.95104932,1.42026249,0.38295137,3.97385179,2.71265387,0.09792660,1.70210686
-5.43571786,6.33475950,0.00748431,0.94390704,1.39194717,0.37088951,3.91531722,2.69996058,0.09203402,1.65037192
-5.42971486,6.23332891,0.00705817,0.93758950,1.36266236,0.35907604,3.86515027,2.68930366,0.08627317,1.60098884
-5.42371186,6.13947871,0.00664968,0.93227782,1.33257126,0.34765831,3.82343502,2.68153554,0.08066290,1.55439496
-5.41770885,6.05504784,0.00625959,0.92819340,1.30190510,0.33678858,3.79037602,2.67762694,0.07522106,1.51104804
-5.41170585,5.98205933,0.00588907,0.92559430,1.27096473,0.32662177,3.76632154,2.67865373,0.06996479,1.47142553
-5.40570285,5.92269052,0.00553967,0.92476848,1.24011904,0.31731285,3.75177453,2.68577691,0.06491072,1.43602120
-5.39969985,5.87922965,0.00521336,0.92602401,1.20980037,0.30901402,3.74739104,2.70021584,0.06007491,1.40533942
-5.39369685,5.85402020,0.00491247,0.92967655,1.18049702,0.30187164,3.75396622,2.72321566,0.05547275,1.37988753
-5.38769385,5.84939512,0.00463966,0.93603477,1.15274346,0.29602318,3.77240908,2.75600977,0.05111866,1.36016647
-5.38169085,5.86760374,0.00439785,0.94538419,1.12710843,0.29159424,3.80370748,2.79977866,0.04702581,1.34666035
-5.37568784,5.91073405,0.00419019,0.95797038,1.10418162,0.28869577,3.84888536,2.85560641,0.04320570,1.33982528
-5.36968484,5.98063375,0.00401995,0.97398220,1.08455922,0.28742161,3.90895473,2.92443659,0.03966780,1.34007801
-5.36368184,6.07883312,0.00389052,0.99353608,1.06882904,0.28784633,3.98486474,3.00702910,0.03641913,1.34778474
-5.35767884,6.20647283,0.00380531,1.01666204,1.05755546,0.29002347,4.07745061,3.10391953,0.03346401,1.36325047
-5.35167584,6.36423953,0.00376769,1.04329234,1.05126471,0.29398430,4.18738468,3.21538286,0.03080374,1.38670919
-5.34567284,6.55231205,0.00378097,1.07325333,1.05043100,0.29973697,4.31513196,3.34140278,0.02843649,1.41831520
-5.33966983,6.77032013,0.00384830,1.10626115,1.05546355,0.30726613,4.46091197,3.48164809,0.02635718,1.45813575
-5.33366683,7.01731786,0.00397267,1.14192153,1.06669503,0.31653302,4.62466851,3.63545747,0.02455755,1.50614515
-5.32766383,7.29177294,0.00415683,1.17973397,1.08437166,0.32747608,4.80604845,3.80183333,0.02302630,1.56222062
-5.32166083,7.59157284,0.00440325,1.21910030,1.10864500,0.34001197,5.00439017,3.97944555,0.02174929,1.62613986
-5.31565783,7.91404814,0.00471410,1.25933732,1.13956581,0.35403710,5.21872203,4.16664555,0.02070983,1.69758067
-5.30965483,8.25601302,0.00509114,1.29969337,1.17708006,0.36942960,5.44777057,4.36149054,0.01988913,1.77612252
-5.30365183,8.61382214,0.00553573,1.33936795,1.22102710,0.38605182,5.68997818,4.56177785,0.01926665,1.86125046
-5.29764882,8.98344288,0.00604874,1.37753410,1.27114028,0.40375322,5.94352923,4.76508860,0.01882061,1.95236114
-5.29164582,9.36054119,0.00663052,1.41336233,1.32704985,0.42237382,6.20638378,4.96883987,0.01852849,2.04877126
-5.28564282,9.74057893,0.00728084,1.44604556,1.38828831,0.44174794,6.47631757,5.17034388,0.01836753,2.14972822
-5.27963982,10.11892029,0.00799884,1.47482394,1.45429810,0.46170840,6.75096696,5.36687277,0.01831520,2.25442299
-5.27363682,10.49094407,0.00878300,1.49900866,1.52444149,0.48209094,7.02787744,5.55572712,0.01834971,2.36200504
-5.26763382,10.85215887,0.00963112,1.51800393,1.59801268,0.50273888,7.30455411,5.73430597,0.01845042,2.47159894
-5.26163082,11.19831763,0.01054028,1.53132629,1.67425178,0.52350779,7.57851284,5.90017641,0.01859828,2.58232240
-5.25562781,11.52552791,0.01150687,1.53862047,1.75236039,0.54427008,7.84733060,6.05114026,0.01877611,2.69330526
-5.24962481,11.83035461,0.01252660,1.53967135,1.83151860,0.56491932,8.10869366,6.18529571,0.01896892,2.80370887
-5.24362181,12.10991143,0.01359454,1.53441155,1.91090290,0.58537425,8.36044245,6.30109177,0.01916415,2.91274535
-5.23761881,12.36193828,0.01470520,1.52292437,1.98970461,0.60558203,8.60061191,6.39737342,0.01935176,3.01969603
-5.23161581,12.58486172,0.01585262,1.50544212,2.06714840,0.62552087,8.82746654,6.47341605,0.01952434,3.12392853
-5.22561281,12.77783631,0.01703047,1.48233984,2.14251035,0.64520180,9.03952915,6.52894753,0.01967711,3.22491186
-5.21960980,12.94076521,0.01823218,1.45412468,2.21513497,0.66466930,9.23560275,6.56415722,0.01980788,3.32222892
-5.21360680,13.07429920,0.01945110,1.42142149,2.28445074,0.68400106,9.41478529,6.57969124,0.01991689,3.41558605
-5.20760380,13.17981380,0.02068062,1.38495494,2.34998361,0.70330649,9.57647674,6.57663414,0.02000672,3.50481910
-5.20160080,13.25936515,0.02191438,1.34552899,2.41136795,0.72272421,9.72037860,6.55647732,0.02008202,3.58989585
-5.19559780,13.31562571,0.02314637,1.30400434,2.46835451,0.74241851,9.84648597,6.52107523,0.02014929,3.67091455
-5.18959480,13.35180200,0.02437111,1.26127458,2.52081506,0.76257487,9.95507241,6.47259070,0.02021664,3.74809871
-5.18359180,13.37153665,0.02558374,1.21824192,2.56874342,0.78339464,10.04666818,6.41343112,0.02029352,3.82178799
-5.17758879,13.37879800,0.02678018,1.17579306,2.61225269,0.80508917,10.12203247,6.34617765,0.02039041,3.89242573
-5.17158579,13.37776072,0.02795716,1.13477609,2.65156880,0.82787342,10.18212048,6.27350971,0.02051860,3.96054323
-5.16558279,13.37268107,0.02911228,1.09597904,2.68702029,0.85195938,10.22804627,6.19812721,0.02068989,4.02674136
-5.15957979,13.36777098,0.03024405,1.06011055,2.71902474,0.87754950,10.26104261,6.12267319,0.02091640,4.09167004
-5.15357679,13.36707455,0.03135184,1.02778324,2.74807232,0.90483024,10.28241880,6.04965916,0.02121030,4.15600620
-5.14757379,13.37435117,0.03243586,0.99950030,2.77470674,0.93396607,10.29351785,5.98139571,0.02158364,4.22043079
-5.14157079,13.39296848,0.03349705,0.97564527,2.79950465,0.96509399,10.29567433,5.91993050,0.02204811,4.28560572
-5.13556778,13.42580860,0.03453702,0.95647554,2.82305389,0.99831876,10.29017392,5.86699548,0.02261493,4.35215121
-5.12956478,13.47519028,0.03555790,0.94211950,2.84593170,1.03370893,10.27821617,5.82396508,0.02329458,4.42062435
-5.12356178,13.54280917,0.03656224,0.93257724,2.86868358,1.07129371,10.26088132,5.79182632,0.02409671,4.49149939
-5.11755878,13.62969763,0.03755284,0.92772489,2.89180359,1.11106072,10.23910230,5.77116182,0.02502987,4.56515036
-5.11155578,13.73620499,0.03853263,0.92732216,2.91571706,1.15295465,10.21364259,5.76214584,0.02610138,4.64183644
-5.10555278,13.86199835,0.03950453,0.93102291,2.94076608,1.19687663,10.18508060,5.76455337,0.02731704,4.72169030
-5.09954977,14.00608322,0.04047133,0.93838830,2.96719854,1.24268437,10.15380078,5.77778146,0.02868096,4.80470991
-5.09354677,14.16684266,0.04143557,0.94890202,2.99516097,1.29019291,10.11999164,5.80088204,0.03019525,4.89075355
-5.08754377,14.34209305,0.04239943,0.96198716,3.02469527,1.33917579,10.08365027,5.83260454,0.03185979,4.97953834
-5.08154077,14.52915386,0.04336468,0.97702405,3.05573948,1.38936666,10.04459308,5.87144677,0.03367192,5.07064188
-5.07553777,14.72492857,0.04433253,0.99336848,3.08813223,1.44046114,10.00247195,5.91571189,0.03562620,5.16350704
-5.06953477,14.92599334,0.04530365,1.01036986,3.12162062,1.49211887,9.95679485,5.96356939,0.03771413,5.25744943
-5.06353177,15.12869027,0.04627801,1.02738840,3.15587085,1.54396574,9.90695002,6.01311765,0.03992395,5.35166733
-5.05752876,15.32922177,0.04725493,1.04381121,3.19048115,1.59559630,9.85223255,6.06244582,0.04224048,5.44525372
-5.05152576,15.52374284,0.04823296,1.05906643,3.22499615,1.64657637,9.79187219,6.10969284,0.04464500,5.53721016
-5.04552276,15.70844859,0.04920985,1.07263533,3.25892204,1.69644608,9.72506158,6.15310144,0.04711525,5.62646207
