energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.18610209,0.01594717,2.01061970,0.62462687,0.28877379,5.64833524,4.28502904,0.06195988,1.29915921
-5.99399700,8.28775751,0.01616268,2.03233656,0.62426018,0.30225083,5.78808163,4.32301101,0.06355488,1.32064704
-5.98799400,8.38328554,0.01632007,2.05186549,0.62595611,0.31616374,5.92180842,4.35531196,0.06495992,1.34275603
-5.98199100,8.47024627,0.01641706,2.06844402,0.62998349,0.33041421,6.04816941,4.38014427,0.06615627,1.36548033
-5.97598799,8.54659469,0.01645250,2.08141522,0.63658630,0.34491976,6.16615319,4.39596205,0.06712972,1.38884747
-5.96998499,8.61077651,0.01642646,2.09025865,0.64597665,0.35961469,6.27512949,4.40153330,0.06787134,1.41291813
-5.96398199,8.66179617,0.01634035,2.09461362,0.65832829,0.37445002,6.37487522,4.39599498,0.06837797,1.43778363
-5.95797899,8.69925378,0.01619696,2.09429367,0.67377066,0.38939221,6.46557870,4.37888887,0.06865261,1.46356104
-5.95197599,8.72334964,0.01600046,2.08929178,0.69238357,0.40442103,6.54782226,4.35017657,0.06870458,1.49038616
-5.94597299,8.73485709,0.01575632,2.07977628,0.71419284,0.41952652,6.62254413,4.31023397,0.06854945,1.51840452
-5.93996998,8.73506622,0.01547119,2.06607820,0.73916687,0.43470547,6.69098232,4.25982589,0.06820878,1.54776105
-5.93396698,8.72570269,0.01515274,2.04867095,0.76721444,0.44995750,6.75460380,4.20006343,0.06770969,1.57858891
-5.92796398,8.70882747,0.01480942,2.02814392,0.79818389,0.46528128,6.81502361,4.13234685,0.06708425,1.61099830
-5.92196098,8.68672385,0.01445021,2.00517168,0.83186377,0.48067093,6.87391852,4.05829769,0.06636877,1.64506593
-5.91595798,8.66177909,0.01408434,1.98048063,0.86798515,0.49611315,6.93294042,3.97968436,0.06560295,1.68082606
-5.90995498,8.63636759,0.01372101,1.95481512,0.90622563,0.51158507,6.99363440,3.89834531,0.06482909,1.71826365
-5.90395198,8.61274231,0.01336912,1.92890480,0.94621499,0.52705333,7.05736578,3.81611382,0.06409118,1.75731028
-5.89794897,8.59294008,0.01303700,1.90343488,0.98754254,0.54247415,7.12525991,3.73474821,0.06343411,1.79784329
-5.89194597,8.57870532,0.01273219,1.87902059,1.02976581,0.55779472,7.19815730,3.65587047,0.06290290,1.83968816
-5.88594297,8.57143522,0.01246128,1.85618693,1.07242053,0.57295572,7.27658571,3.58091569,0.06254200,1.88262421
-5.87993997,8.57214766,0.01222977,1.83535420,1.11503139,0.58789481,7.36074954,3.51109399,0.06239467,1.92639329
-5.87393697,8.58147182,0.01204198,1.81682965,1.15712328,0.60255096,7.45053586,3.44736541,0.06250248,1.97071085
-5.86793397,8.59965992,0.01190108,1.80080496,1.19823252,0.61686922,7.54553513,3.39042798,0.06290487,2.01527881
-5.86193097,8.62661692,0.01180908,1.78735916,1.23791761,0.63080567,7.64507428,3.34071790,0.06363871,2.05979921
-5.85592796,8.66194468,0.01176690,1.77646618,1.27576900,0.64433214,7.74825870,3.29842061,0.06473796,2.10398792
-5.84992496,8.70499581,0.01177455,1.76800613,1.31141754,0.65744034,7.85401985,3.26349076,0.06623335,2.14758719
-5.84392196,8.75493275,0.01183114,1.76177921,1.34454106,0.67014511,7.96116472,3.23567899,0.06815197,2.19037637
-5.83791896,8.81078723,0.01193516,1.75752115,1.37486907,0.68248633,8.06842402,3.21456334,0.07051695,2.23217994
-5.83191596,8.87151614,0.01208448,1.75491925,1.40218515,0.69452954,8.17449601,3.19958290,0.07334698,2.27287232
-5.82591296,8.93605023,0.01227660,1.75362802,1.42632720,0.70636484,8.27808387,3.19007185,0.07665586,2.31237895
-5.81990995,9.00333309,0.01250865,1.75328358,1.44718546,0.71810416,8.37792498,3.18529208,0.08045201,2.35067377
-5.81390695,9.07234887,0.01277752,1.75351649,1.46469870,0.72987703,8.47281152,3.18446297,0.08473793,2.38777299
-5.80790395,9.14213826,0.01307989,1.75396240,1.47884877,0.74182476,8.56160237,3.18678748,0.08950964,2.42372573
-5.80190095,9.21180304,0.01341221,1.75427044,1.48965391,0.75409360,8.64322723,3.19147379,0.09475622,2.45860197
-5.79589795,9.28050088,0.01377074,1.75410952,1.49716141,0.76682682,8.71668429,3.19775253,0.10045933,2.49247876
-5.78989495,9.34743205,0.01415142,1.75317250,1.50143990,0.78015644,8.78103333,3.20488956,0.10659286,2.52542537
-5.78389195,9.41182085,0.01454989,1.75117864,1.50257204,0.79419478,8.83538633,3.21219487,0.11312270,2.55748851
-5.77788894,9.47289438,0.01496137,1.74787482,1.50064768,0.80902634,8.87889768,3.21902803,0.12000671,2.58867844
-5.77188594,9.52986147,0.01538063,1.74303570,1.49575828,0.82470044,8.91075604,3.22480118,0.12719478,2.61895689
-5.76588294,9.58189439,0.01580193,1.73646352,1.48799250,0.84122503,8.93017951,3.22897998,0.13462925,2.64822755
-5.75987994,9.62811542,0.01621902,1.72798760,1.47743339,0.85856185,8.93641545,3.23108356,0.14224538,2.67632967
-5.75387694,9.66759022,0.01662514,1.71746419,1.46415720,0.87662351,8.92874560,3.23068390,0.14997220,2.70303529
-5.74787394,9.69932879,0.01701308,1.70477656,1.44823366,0.89527229,8.90649690,3.22740527,0.15773343,2.72805012
-5.74187094,9.72229481,0.01737531,1.68983566,1.42972771,0.91432117,8.86905763,3.22092411,0.16544871,2.75101826
-5.73586793,9.73542301,0.01770404,1.67258135,1.40870247,0.93353677,8.81589804,3.21096948,0.17303491,2.77153042
-5.72986493,9.73764401,0.01799149,1.65298400,1.38522302,0.95264439,8.74659444,3.19732433,0.18040765,2.78913534
