energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,10.90402160,0.02852830,2.89102017,0.84341965,0.22522766,0.10747773,2.94264886,5.44545053,3.65427442
-5.99399700,10.77151243,0.02852041,2.82909289,0.84689809,0.22146017,0.10621793,2.92996844,5.50535030,3.56469646
-5.98799400,10.63290855,0.02839348,2.76636258,0.84914867,0.21742957,0.10501543,2.91448100,5.56685076,3.47261097
-5.98199100,10.48966308,0.02814862,2.70372346,0.85010482,0.21314374,0.10387403,2.89613125,5.62866491,3.37936165
-5.97598799,10.34258478,0.02778864,2.64184143,0.84968214,0.20860547,0.10278966,2.87475771,5.68910572,3.28604312
-5.96998499,10.19184914,0.02731807,2.58114432,0.84778245,0.20381343,0.10175073,2.85010597,5.74614317,3.19348336
-5.96398199,10.03704468,0.02674315,2.52182431,0.84429935,0.19876358,0.10073883,2.82184853,5.79747940,3.10224044
-5.95797899,9.87725117,0.02607175,2.46385183,0.83912501,0.19345071,0.09972978,2.78960987,5.84063880,3.01261287
-5.95197599,9.71114487,0.02531328,2.40699978,0.83215783,0.18787017,0.09869499,2.75299566,5.87306915,2.92466237
-5.94597299,9.53712453,0.02447855,2.35087636,0.82331066,0.18201958,0.09760301,2.71162441,5.89224937,2.83824711
-5.93996998,9.35345086,0.02357960,2.29496452,0.81251906,0.17590055,0.09642124,2.66515991,5.89579878,2.75306319
-5.93396698,9.15839200,0.02262955,2.23866576,0.79974920,0.16952018,0.09511763,2.61334270,5.88158318,2.66869180
-5.92796398,8.95036696,0.02164232,2.18134576,0.78500489,0.16289239,0.09366247,2.55601898,5.84781260,2.58464911
-5.92196098,8.72807977,0.02063241,2.12237964,0.76833346,0.15603899,0.09202990,2.49316536,5.79312653,2.50043642
-5.91595798,8.49063768,0.01961469,2.06119444,0.74982989,0.14899033,0.09019946,2.42490815,5.71666268,2.41558767
-5.90995498,8.23764781,0.01860410,1.99730697,0.72963913,0.14178575,0.08815723,2.35153636,5.61810632,2.32971229
-5.90395198,7.96928801,0.01761542,1.93035539,0.70795634,0.13447361,0.08589680,2.27350764,5.49771839,2.24253130
-5.89794897,7.68634944,0.01666301,1.86012332,0.68502496,0.12711105,0.08341990,2.19144697,5.35634115,2.15390532
-5.89194597,7.39024962,0.01576057,1.78655566,0.66113271,0.11976348,0.08073670,2.10613838,5.19538192,2.06385354
-5.88594297,7.08301659,0.01492095,1.70976600,0.63660558,0.11250389,0.07786583,2.01850997,5.01677582,1.97256335
-5.87993997,6.76724621,0.01415592,1.63003572,0.61180024,0.10541196,0.07483406,1.92961340,4.82292997,1.88039072
-5.87393697,6.44603582,0.01347602,1.54780532,0.58709500,0.09857322,0.07167570,1.84059868,4.61665201,1.78785188
-5.86793397,6.12289853,0.01289044,1.46365903,0.56287989,0.09207807,0.06843180,1.75268579,4.40106669,1.69560748
-5.86193097,5.80166335,0.01240688,1.37830373,0.53954629,0.08602103,0.06514906,1.66713446,4.17952445,1.60444038
-5.85592796,5.48636638,0.01203149,1.29254377,0.51747655,0.08049999,0.06187870,1.58521360,3.95550643,1.51522867
-5.84992496,5.18113863,0.01176886,1.20725292,0.49703407,0.07561565,0.05867514,1.50817182,3.73253000,1.42891557
-5.84392196,4.89009570,0.01162202,1.12334510,0.47855438,0.07147120,0.05559472,1.43721021,3.51405865,1.34647783
-5.83791896,4.61723412,0.01159249,1.04174517,0.46233744,0.06817205,0.05269433,1.37345864,3.30341994,1.26889417
-5.83191596,4.36633815,0.01168035,0.96336107,0.44864161,0.06582580,0.05003012,1.31795621,3.10373422,1.19711527
-5.82591296,4.14090027,0.01188438,0.88905829,0.43767943,0.06454222,0.04765634,1.27163645,2.91785625,1.13203636
-5.81990995,3.94405719,0.01220222,0.81963759,0.42961537,0.06443330,0.04562419,1.23531748,2.74833116,1.07447343
-5.81390695,3.77854253,0.01263052,0.75581637,0.42456551,0.06561315,0.04398087,1.20969700,2.59736513,1.02514366
-5.80790395,3.64665597,0.01316518,0.69821425,0.42259906,0.06819780,0.04276868,1.19535163,2.46681058,0.98465038
-5.80190095,3.55024778,0.01380155,0.64734263,0.42374152,0.07230463,0.04202436,1.19274005,2.35816479,0.95347270
-5.79589795,3.49071703,0.01453462,0.60359835,0.42797916,0.07805147,0.04177845,1.20220880,2.27258018,0.93195948
-5.78989495,3.46902086,0.01535928,0.56726109,0.43526450,0.08555520,0.04205482,1.22399993,2.21088418,0.92032745
-5.78389195,3.48569190,0.01627043,0.53849400,0.44552225,0.09492979,0.04287031,1.25825904,2.17360594,0.91866265
-5.77788894,3.54086082,0.01726318,0.51734721,0.45865535,0.10628368,0.04423445,1.30504288,2.16100729,0.92692479
-5.77188594,3.63428076,0.01833291,0.50376350,0.47455062,0.11971659,0.04614925,1.36432506,2.17311490,0.94495357
-5.76588294,3.76535087,0.01947534,0.49758572,0.49308357,0.13531568,0.04860912,1.43599924,2.20975113,0.97247647
-5.75987994,3.93313665,0.02068651,0.49856542,0.51412204,0.15315116,0.05160074,1.51987894,2.27056123,1.00911714
-5.75387694,4.13638506,0.02196266,0.50637214,0.53752833,0.17327148,0.05510313,1.61569357,2.35503469,1.05440397
-5.74787394,4.37353369,0.02330011,0.52060310,0.56315973,0.19569816,0.05908772,1.72308069,2.46251972,1.10777834
-5.74187094,4.64271338,0.02469501,0.54079294,0.59086729,0.22042065,0.06351848,1.84157475,2.59222969,1.16860230
-5.73586793,4.94174532,0.02614311,0.56642327,0.62049305,0.24739127,0.06835218,1.97059300,2.74324189,1.23616549
-5.72986493,5.26813375,0.02763943,0.59693195,0.65186583,0.27652054,0.07353873,2.10941969,2.91448884,1.30969149
-5.72386193,5.61905655,0.02917794,0.63172203,0.68479610,0.30767334,0.07902165,2.25718980,3.10474373,1.38834356
-5.71785893,5.99135647,0.03075126,0.67017038,0.71907019,0.34066597,0.08473863,2.41287398,3.31260164,1.47123031
-5.71185593,6.38153605,0.03235033,0.71163595,0.75444460,0.37526456,0.09062225,2.57526637,3.53645907,1.55741158
-5.70585293,6.78575954,0.03396422,0.75546788,0.79064096,0.41118502,0.09660087,2.74297716,3.77449428,1.64590499
-5.69984992,7.19986507,0.03557993,0.80101342,0.82734219,0.44809473,0.10259954,2.91443145,4.02465130,1.73569368
-5.69384692,7.61938976,0.03718235,0.84762572,0.86419060,0.48561616,0.10854120,3.08787595,4.28463044,1.82573564
-5.68784392,8.03961015,0.03875428,0.89467168,0.90078828,0.52333241,0.11434786,3.26139463,4.55188769,1.91497495
-5.68184092,8.45559935,0.04027664,0.94153961,0.93670033,0.56079468,0.11994192,3.43293396,4.82364516,2.00235516
-5.67583792,8.86230116,0.04172875,0.98764696,0.97146103,0.59753158,0.12524755,3.60033790,5.09691396,2.08683486
-5.66983492,9.25462068,0.04308876,1.03244777,1.00458316,0.63305997,0.13019208,3.76139214,5.36853027,2.16740533
-5.66383192,9.62752923,0.04433418,1.07544000,1.03557006,0.66689705,0.13470736,3.91387657,5.63520433,2.24310989
-5.65782891,9.97618069,0.04544252,1.11617227,1.06393037,0.69857328,0.13873108,4.05562425,5.89358145,2.31306442
-5.65182591,10.29603509,0.04639197,1.15425017,1.08919461,0.72764566,0.14220799,4.18458472,6.14031289,2.37647841
-5.64582291,10.58298442,0.04716216,1.18934161,1.11093304,0.75371075,0.14509093,4.29888899,6.37213417,2.43267563
-5.63981991,10.83347498,0.04773485,1.22118125,1.12877378,0.77641704,0.14734176,4.39691323,6.58594716,2.48111343
-5.63381691,11.04462055,0.04809466,1.24957365,1.14242038,0.79547598,0.14893203,4.47733814,6.77890234,2.52139980
-5.62781391,11.21430028,0.04822964,1.27439498,1.15166761,0.81067119,0.14984340,4.53920082,6.94847713,2.55330694
-5.62181091,11.34123596,0.04813186,1.29559319,1.15641472,0.82186546,0.15006792,4.58193644,7.09254619,2.57678080
-5.61580790,11.42504385,0.04779770,1.31318646,1.15667513,0.82900517,0.14960791,4.60540709,7.20944025,2.59194537
-5.60980490,11.46625738,0.04722815,1.32725991,1.15258181,0.83212190,0.14847578,4.60991593,7.29799001,2.59910156
-5.60380190,11.46631838,0.04642882,1.33796054,1.14438790,0.83133103,0.14669348,4.59620549,7.35755301,2.59871996
-5.59779890,11.42753584,0.04540987,1.34549053,1.13246220,0.82682757,0.14429183,4.56543934,7.38802185,2.59142774
-5.59179590,11.35301300,0.04418572,1.35009901,1.11727941,0.81887919,0.14130963,4.51916771,7.38981341,2.57798966
-5.58579290,11.24654483,0.04277458,1.35207254,1.09940550,0.80781678,0.13779267,4.45927789,7.36383958,2.55928386
-5.57978989,11.11248972,0.04119799,1.35172447,1.07947861,0.79402307,0.13379256,4.38793141,7.31146126,2.53627313
-5.57378689,10.95562033,0.03948004,1.34938368,1.05818623,0.77791963,0.12936562,4.30749038,7.23442801,2.50997274
-5.56778389,10.78095961,0.03764675,1.34538292,1.03623964,0.75995292,0.12457155,4.22043600,7.13480668,2.48141604
-5.56178089,10.59360860,0.03572521,1.34004716,1.01434674,0.74057982,0.11947226,4.12928264,7.01490250,2.45161904
-5.55577789,10.39857332,0.03374287,1.33368240,0.99318444,0.72025346,0.11413063,4.03649113,6.87717690,2.42154560
-5.54977489,10.20059762,0.03172674,1.32656527,0.97337195,0.69940967,0.10860935,3.94438475,6.72416568,2.39207434
-5.54377189,10.00400882,0.02970274,1.31893384,0.95544617,0.67845459,0.10296984,3.85507148,6.55840139,2.36396880
-5.53776888,9.81258227,0.02769511,1.31097981,0.93984031,0.65775402,0.09727122,3.77037562,6.38234309,2.33785195
-5.53176588,9.62942994,0.02572586,1.30284268,0.92686684,0.63762461,0.09156946,3.69178146,6.19831603,2.31418598
