energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.12207649,0.01098905,0.07144571,0.01150444,0.00000000,0.50778822,0.77007135,0.04062955,1.05216141
-5.99399700,1.91364033,0.01010542,0.06082754,0.01037310,0.00000000,0.43909560,0.69558533,0.03650119,0.95318246
-5.98799400,1.71870200,0.00924820,0.05179023,0.00930299,0.00000000,0.37953752,0.62552070,0.03260838,0.85954358
-5.98199100,1.53798375,0.00842471,0.04421090,0.00829940,0.00000000,0.32830579,0.56016888,0.02897002,0.77184446
-5.97598799,1.37209985,0.00764213,0.03797835,0.00736643,0.00000000,0.28468255,0.49977520,0.02559969,0.69060403
-5.96998499,1.22156039,0.00690730,0.03299530,0.00650697,0.00000000,0.24804569,0.44453889,0.02250586,0.61626175
-5.96398199,1.08677972,0.00622657,0.02918015,0.00572283,0.00000000,0.21787143,0.39461493,0.01969233,0.54918215
-5.95797899,0.96808874,0.00560566,0.02646818,0.00501477,0.00000000,0.19373466,0.35011758,0.01715876,0.48966207
-5.95197599,0.86575013,0.00504957,0.02481229,0.00438268,0.00000000,0.17530741,0.31112520,0.01490119,0.43793996
-5.94597299,0.77997542,0.00456256,0.02418315,0.00382568,0.00000000,0.16235561,0.27768612,0.01291269,0.39420653
-5.93996998,0.71094224,0.00414816,0.02456895,0.00334228,0.00000000,0.15473446,0.24982490,0.01118396,0.35861588
-5.93396698,0.65881061,0.00380916,0.02597457,0.00293050,0.00000000,0.15238230,0.22754868,0.00970391,0.33129617
-5.92796398,0.62373643,0.00354767,0.02842028,0.00258804,0.00000000,0.15531304,0.21085294,0.00846023,0.31235905
-5.92196098,0.60588088,0.00336515,0.03193984,0.00231240,0.00000000,0.16360698,0.19972623,0.00743986,0.30190709
-5.91595798,0.60541448,0.00326246,0.03657814,0.00210098,0.00000000,0.17739988,0.19415355,0.00662946,0.30003832
-5.90995498,0.62251469,0.00323988,0.04238824,0.00195118,0.00000000,0.19687021,0.19411774,0.00601568,0.30684750
-5.90395198,0.65735641,0.00329713,0.04942788,0.00186044,0.00000000,0.22222442,0.19959897,0.00558544,0.32242369
-5.89794897,0.71009509,0.00343334,0.05775556,0.00182629,0.00000000,0.25368020,0.21057187,0.00532611,0.34684390
-5.89194597,0.78084251,0.00364704,0.06742612,0.00184638,0.00000000,0.29144792,0.22700057,0.00522552,0.38016283
-5.88594297,0.86963590,0.00393609,0.07848599,0.00191841,0.00000000,0.33571041,0.24883160,0.00527202,0.42239914
-5.87993997,0.97640153,0.00429763,0.09096828,0.00204016,0.00000000,0.38660153,0.27598501,0.00545437,0.47351860
-5.87393697,1.10091407,0.00472799,0.10488772,0.00220936,0.00000000,0.44418404,0.30834418,0.00576165,0.53341498
-5.86793397,1.24275407,0.00522263,0.12023575,0.00242364,0.00000000,0.50842757,0.34574475,0.00618306,0.60188955
-5.86193097,1.40126548,0.00577605,0.13697598,0.00268046,0.00000000,0.57918751,0.38796343,0.00670780,0.67863051
-5.85592796,1.57551608,0.00638176,0.15504013,0.00297701,0.00000000,0.65618580,0.43470738,0.00732485,0.76319338
-5.84992496,1.76426333,0.00703224,0.17432483,0.00331009,0.00000000,0.73899478,0.48560484,0.00802283,0.85498394
-5.84392196,1.96592855,0.00771898,0.19468938,0.00367606,0.00000000,0.82702502,0.54019797,0.00878987,0.95324491
-5.83791896,2.17858181,0.00843254,0.21595479,0.00407080,0.00000000,0.91951833,0.59793838,0.00961354,1.05704773
-5.83191596,2.39993998,0.00916267,0.23790424,0.00448960,0.00000000,1.01554672,0.65818620,0.01048083,1.16529063
-5.82591296,2.62737952,0.00989845,0.26028510,0.00492719,0.00000000,1.11401812,0.72021316,0.01137818,1.27670381
-5.81990995,2.85796549,0.01062857,0.28281249,0.00537777,0.00000000,1.21368927,0.78320989,0.01229165,1.38986252
-5.81390695,3.08849706,0.01134159,0.30517459,0.00583499,0.00000000,1.31318607,0.84629784,0.01320711,1.50320821
-5.80790395,3.31556913,0.01202628,0.32703942,0.00629211,0.00000000,1.41103094,0.90854557,0.01411051,1.61507766
-5.80190095,3.53564916,0.01267197,0.34806303,0.00674206,0.00000000,1.50567694,0.96898915,0.01498825,1.72373971
-5.79589795,3.74516681,0.01326895,0.36789881,0.00717760,0.00000000,1.59554748,1.02665618,0.01582758,1.82743843
-5.78989495,3.94061378,0.01380891,0.38620767,0.00759153,0.00000000,1.67908030,1.08059272,0.01661706,1.92444152
-5.78389195,4.11865020,0.01428527,0.40266865,0.00797682,0.00000000,1.75477439,1.12989200,0.01734704,2.01309229
-5.77788894,4.27621357,0.01469364,0.41698956,0.00832688,0.00000000,1.82123764,1.17372410,0.01801018,2.09186305
-5.77188594,4.41062570,0.01503207,0.42891720,0.00863575,0.00000000,1.87723354,1.21136506,0.01860189,2.15940805
-5.76588294,4.51969312,0.01530141,0.43824675,0.00889832,0.00000000,1.92172467,1.24222458,0.01912079,2.21461339
-5.75987994,4.60179664,0.01550547,0.44482981,0.00911054,0.00000000,1.95391127,1.26587069,0.01956909,2.25664204
-5.75387694,4.65596567,0.01565116,0.44858087,0.00926958,0.00000000,1.97326282,1.28205052,0.01995292,2.28497161
-5.74787394,4.68193397,0.01574850,0.44948171,0.00937403,0.00000000,1.97954140,1.29070613,0.02028251,2.29942332
-5.74187094,4.68017392,0.01581060,0.44758362,0.00942397,0.00000000,1.97281551,1.29198443,0.02057229,2.30018060
-5.73586793,4.65190739,0.01585342,0.44300734,0.00942108,0.00000000,1.95346378,1.28624086,0.02084084,2.28779634
-5.72986493,4.59909225,0.01589553,0.43594053,0.00936867,0.00000000,1.92216817,1.27403631,0.02111073,2.26318828
-5.72386193,4.52438471,0.01595771,0.42663305,0.00927164,0.00000000,1.87989713,1.25612734,0.02140818,2.22762244
-5.71785893,4.43107846,0.01606247,0.41539007,0.00913646,0.00000000,1.82787922,1.23344996,0.02176256,2.18268519
-5.71185593,4.32302266,0.01623351,0.40256335,0.00897101,0.00000000,1.76756841,1.20709727,0.02220580,2.13024468
-5.70585293,4.20452167,0.01649505,0.38854100,0.00878446,0.00000000,1.70060247,1.17829197,0.02277161,2.07240313
-5.69984992,4.08021985,0.01687118,0.37373616,0.00858706,0.00000000,1.62875623,1.14835425,0.02349458,2.01144148
-5.69384692,3.95497540,0.01738510,0.35857496,0.00838992,0.00000000,1.55389139,1.11866644,0.02440920,1.94975830
-5.68784392,3.83372749,0.01805839,0.34348419,0.00820473,0.00000000,1.47790502,1.09063533,0.02554876,1.88980509
-5.68184092,3.72136083,0.01891024,0.32887926,0.00804353,0.00000000,1.40267844,1.06565340,0.02694424,1.83401987
-5.67583792,3.62257199,0.01995676,0.31515262,0.00791838,0.00000000,1.33002825,1.04506005,0.02862312,1.78476118
-5.66983492,3.54174131,0.02121029,0.30266326,0.00784107,0.00000000,1.26166105,1.03010415,0.03060823,1.74424447
-5.66383192,3.48281415,0.02267877,0.29172734,0.00782287,0.00000000,1.19913314,1.02190871,0.03291665,1.71448263
-5.65782891,3.44919463,0.02436525,0.28261046,0.00787418,0.00000000,1.14381613,1.02143890,0.03555871,1.69723220
-5.65182591,3.44365451,0.02626747,0.27552156,0.00800435,0.00000000,1.09686913,1.02947401,0.03853712,1.69394675
-5.64582291,3.46825966,0.02837762,0.27060870,0.00822136,0.00000000,1.05921801,1.04658442,0.04184621,1.70573856
-5.63981991,3.52431562,0.03068217,0.26795665,0.00853168,0.00000000,1.03154183,1.07311384,0.04547154,1.73334938
-5.63381691,3.61233373,0.03316199,0.26758648,0.00894006,0.00000000,1.01426625,1.10916760,0.04938956,1.77713127
-5.62781391,3.73201847,0.03579250,0.26945691,0.00944941,0.00000000,1.00756386,1.15460714,0.05356773,1.83703762
-5.62181091,3.88227630,0.03854414,0.27346739,0.01006077,0.00000000,1.01136075,1.20905100,0.05796480,1.91262491
-5.61580790,4.06124592,0.04138291,0.27946285,0.01077319,0.00000000,1.02534902,1.27188238,0.06253146,2.00306506
-5.60980490,4.26634919,0.04427118,0.28723977,0.01158385,0.00000000,1.04900443,1.34226309,0.06721128,2.10716821
-5.60380190,4.49436159,0.04716852,0.29655351,0.01248810,0.00000000,1.08160865,1.41915370,0.07194194,2.22341539
-5.59779890,4.74150045,0.05003283,0.30712658,0.01347962,0.00000000,1.12227535,1.50133943,0.07665669,2.35000046
-5.59179590,5.00352872,0.05282143,0.31865767,0.01455058,0.00000000,1.16997932,1.58746117,0.08128605,2.48488009
-5.58579290,5.27587161,0.05549230,0.33083099,0.01569193,0.00000000,1.22358797,1.67605076,0.08575965,2.62583058
-5.57978989,5.55374244,0.05800529,0.34332588,0.01689362,0.00000000,1.28189426,1.76556966,0.09000815,2.77050985
-5.57378689,5.83227427,0.06032335,0.35582621,0.01814495,0.00000000,1.34365022,1.85444973,0.09396524,2.91652264
-5.56778389,6.10665283,0.06241370,0.36802935,0.01943486,0.00000000,1.40760033,1.94113494,0.09756947,3.06148681
