energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,5.05109226,0.02180402,0.25339229,1.90615202,1.73145884,0.83626849,0.00000000,0.07853940,1.91113821
-5.99399700,5.09421989,0.02187707,0.25669617,1.95487687,1.75163617,0.84374015,0.00000000,0.07617920,1.91963503
-5.98799400,5.14965581,0.02194162,0.26231254,2.01023719,1.77525983,0.85139491,0.00000000,0.07401481,1.93179072
-5.98199100,5.21661566,0.02200485,0.27023577,2.07189112,1.80207597,0.85896121,0.00000000,0.07205572,1.94728016
-5.97598799,5.29425760,0.02207396,0.28046229,2.13953032,1.83182183,0.86617505,0.00000000,0.07030851,1.96573439
-5.96998499,5.38169099,0.02215607,0.29298913,2.21287809,1.86422967,0.87278570,0.00000000,0.06877671,1.98674563
-5.96398199,5.47798420,0.02225802,0.30781181,2.29168365,1.89903018,0.87856058,0.00000000,0.06746084,2.00987283
-5.95797899,5.58217200,0.02238627,0.32492195,2.37571329,1.93595552,0.88328921,0.00000000,0.06635855,2.03464810
-5.95197599,5.69326250,0.02254673,0.34430451,2.46473895,1.97474196,0.88678633,0.00000000,0.06546499,2.06058382
-5.94597299,5.81024421,0.02274472,0.36593493,2.55852494,2.01513199,0.88889408,0.00000000,0.06477317,2.08718060
-5.93996998,5.93209298,0.02298484,0.38977611,2.65681355,2.05687591,0.88948343,0.00000000,0.06427450,2.11393584
-5.93396698,6.05777898,0.02327095,0.41577537,2.75931024,2.09973289,0.88845486,0.00000000,0.06395934,2.14035291
-5.92796398,6.18627363,0.02360616,0.44386153,2.86566900,2.14347148,0.88573847,0.00000000,0.06381759,2.16595055
-5.92196098,6.31655602,0.02399276,0.47394207,2.97547855,2.18786936,0.88129347,0.00000000,0.06383922,2.19027233
-5.91595798,6.44761893,0.02443228,0.50590048,3.08824992,2.23271260,0.87510737,0.00000000,0.06401478,2.21289586
-5.90995498,6.57847372,0.02492554,0.53959382,3.20340572,2.27779410,0.86719475,0.00000000,0.06433584,2.23344133
-5.90395198,6.70815409,0.02547262,0.57485074,3.32027167,2.32291141,0.85759581,0.00000000,0.06479527,2.25157902
-5.89794897,6.83571836,0.02607294,0.61146974,3.43807071,2.36786401,0.84637472,0.00000000,0.06538745,2.26703556
-5.89194597,6.96025016,0.02672534,0.64921809,3.55591987,2.41244995,0.83361786,0.00000000,0.06610833,2.27959848
-5.88594297,7.08085753,0.02742803,0.68783129,3.67283043,2.45646225,0.81943199,0.00000000,0.06695533,2.28911903
-5.87993997,7.19667077,0.02817865,0.72701332,3.78771144,2.49968508,0.80394232,0.00000000,0.06792715,2.29551292
-5.87393697,7.30683938,0.02897426,0.76643774,3.89937706,2.54189013,0.78729067,0.00000000,0.06902339,2.29875916
-5.86793397,7.41052873,0.02981132,0.80574986,4.00655775,2.58283343,0.76963353,0.00000000,0.07024414,2.29889699
-5.86193097,7.50691736,0.03068558,0.84456994,4.10791564,2.62225299,0.75114030,0.00000000,0.07158944,2.29602109
-5.85592796,7.59519562,0.03159209,0.88249758,4.20206406,2.65986774,0.73199151,0.00000000,0.07305867,2.29027547
-5.84992496,7.67456691,0.03252502,0.91911741,4.28759122,2.69537800,0.71237714,0.00000000,0.07465001,2.28184636
-5.84392196,7.74425206,0.03347759,0.95400584,4.36308769,2.72846795,0.69249506,0.00000000,0.07635980,2.27095458
-5.83791896,7.80349785,0.03444200,0.98673905,4.42717743,2.75881026,0.67254957,0.00000000,0.07818206,2.25784788
-5.83191596,7.85159013,0.03540929,1.01690187,4.47855150,2.78607309,0.65275000,0.00000000,0.08010803,2.24279367
-5.82591296,7.88787165,0.03636933,1.04409738,4.51600363,2.80992935,0.63330938,0.00000000,0.08212589,2.22607262
-5.81990995,7.91176439,0.03731078,1.06795697,4.53846657,2.83006815,0.61444313,0.00000000,0.08422059,2.20797339
-5.81390695,7.92279593,0.03822117,1.08815057,4.54504774,2.84620807,0.59636771,0.00000000,0.08637384,2.18878879
-5.80790395,7.92062857,0.03908698,1.10439643,4.53506292,2.85811167,0.57929920,0.00000000,0.08856440,2.16881337
-5.80190095,7.90509000,0.03989390,1.11647039,4.50806622,2.86560066,0.56345167,0.00000000,0.09076840,2.14834258
-5.79589795,7.87620376,0.04062703,1.12421392,4.46387513,2.86857089,0.54903542,0.00000000,0.09295993,2.12767313
-5.78989495,7.83421755,0.04127130,1.12754077,4.40258895,2.86700636,0.53625483,0.00000000,0.09511182,2.10710450
-5.78389195,7.77962743,0.04181183,1.12644181,4.32459968,2.86099130,0.52530603,0.00000000,0.09719648,2.08694103
-5.77788894,7.71319606,0.04223445,1.12098775,4.23059446,2.85071956,0.51637423,0.00000000,0.09918687,2.06749441
-5.77188594,7.63596336,0.04252619,1.11132979,4.12154897,2.83650050,0.50963075,0.00000000,0.10105755,2.04908592
-5.76588294,7.54924805,0.04267575,1.09769782,3.99871185,2.81876089,0.50522987,0.00000000,0.10278563,2.03204812
-5.75987994,7.45463939,0.04267406,1.08039651,3.86358043,2.79804236,0.50330565,0.00000000,0.10435182,2.01672568
-5.75387694,7.35397863,0.04251466,1.05979917,3.71786867,2.77499418,0.50396863,0.00000000,0.10574117,2.00347486
-5.74787394,7.24933037,0.04219411,1.03633977,3.56346828,2.75036168,0.50730284,0.00000000,0.10694386,1.99266168
-5.74187094,7.14294447,0.04171226,1.01050337,3.40240479,2.72497037,0.51336312,0.00000000,0.10795565,1.98465851
-5.73586793,7.03720985,0.04107235,0.98281526,3.23679013,2.69970643,0.52217298,0.00000000,0.10877812,1.97983924
-5.72986493,6.93460165,0.04028112,0.95382926,3.06877361,2.67549437,0.53372309,0.00000000,0.10941871,1.97857307
-5.72386193,6.83762370,0.03934863,0.92411558,2.90049322,2.65327257,0.54797066,0.00000000,0.10989044,1.98121723
-5.71785893,6.74874854,0.03828800,0.89424858,2.73402895,2.63396779,0.56483962,0.00000000,0.11021142,1.98810881
-5.71185593,6.67035679,0.03711510,0.86479474,2.57135989,2.61846959,0.58422180,0.00000000,0.11040407,1.99955601
-5.70585293,6.60467828,0.03584800,0.83630134,2.41432617,2.60760551,0.60597897,0.00000000,0.11049417,2.01582926
-5.69984992,6.55373641,0.03450642,0.80928581,2.26459698,2.60211803,0.62994564,0.00000000,0.11050973,2.03715229
-5.69384692,6.51929755,0.03311111,0.78422621,2.12364519,2.60264384,0.65593256,0.00000000,0.11047976,2.06369356
-5.68784392,6.50282645,0.03168316,0.76155276,1.99272875,2.60969612,0.68373055,0.00000000,0.11043296,2.09555812
-5.68184092,6.50544856,0.03024335,0.74164068,1.87287896,2.62365006,0.71311460,0.00000000,0.11039638,2.13278011
-5.67583792,6.52791960,0.02881154,0.72480422,1.76489505,2.64473196,0.74384777,0.00000000,0.11039421,2.17531587
-5.66983492,6.57060263,0.02740605,0.71129197,1.66934450,2.67301180,0.77568470,0.00000000,0.11044659,2.22303780
-5.66383192,6.63345228,0.02604325,0.70128343,1.58656830,2.70839923,0.80837461,0.00000000,0.11056863,2.27572884
-5.65782891,6.71600610,0.02473709,0.69488685,1.51669014,2.75064277,0.84166325,0.00000000,0.11076959,2.33307765
-5.65182591,6.81738244,0.02349889,0.69213819,1.45962876,2.79933199,0.87529406,0.00000000,0.11105234,2.39467460
-5.64582291,6.93628474,0.02233715,0.69300139,1.41511245,2.85390226,0.90900822,0.00000000,0.11141296,2.46000852
-5.63981991,7.07101182,0.02125750,0.69736983,1.38269489,2.91364196,0.94254373,0.00000000,0.11184073,2.52846450
-5.63381691,7.21947435,0.02026279,0.70506896,1.36177196,2.97770185,0.97563368,0.00000000,0.11231830,2.59932306
-5.62781391,7.37921728,0.01935324,0.71586020,1.35159870,3.04510649,1.00800402,0.00000000,0.11282210,2.67176084
-5.62181091,7.54744887,0.01852670,0.72944606,1.35130643,3.11476759,1.03937101,0.00000000,0.11332305,2.74485359
-5.61580790,7.72107637,0.01777891,0.74547643,1.35991985,3.18549936,1.06943891,0.00000000,0.11378739,2.81758161
-5.60980490,7.89674889,0.01710391,0.76355600,1.37637398,3.25603584,1.09789821,0.00000000,0.11417780,2.88883827
-5.60380190,8.07090775,0.01649438,0.78325272,1.39953126,3.32505022,1.12442497,0.00000000,0.11445454,2.95744209
-5.59779890,8.23984445,0.01594205,0.80410713,1.42819889,3.39117628,1.14868147,0.00000000,0.11457676,3.02215260
-5.59179590,8.39976601,0.01543806,0.82564236,1.46114652,3.45303175,1.17031868,0.00000000,0.11450386,3.08169021
-5.58579290,8.54686719,0.01497330,0.84737450,1.49712445,3.50924348,1.18898057,0.00000000,0.11419683,3.13476005
-5.57978989,8.67740849,0.01453879,0.86882316,1.53488246,3.55847422,1.20431056,0.00000000,0.11361960,3.18007943
-5.57378689,8.78779833,0.01412592,0.88952176,1.57318901,3.59945037,1.21595974,0.00000000,0.11274022,3.21640851
-5.56778389,8.87467748,0.01372670,0.90902730,1.61085082,3.63099015,1.22359696,0.00000000,0.11153207,3.24258317
-5.56178089,8.93500315,0.01333396,0.92692931,1.64673240,3.65203157,1.22692019,0.00000000,0.10997471,3.25754918
