energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,8.55056479,0.02773436,0.48198535,3.77589588,3.27634205,0.08131383,3.07910435,1.02425067,0.25042846
-5.99399700,8.81959300,0.02762760,0.51140680,3.95228607,3.36998506,0.08319397,3.16693028,1.05432363,0.26170911
-5.98799400,9.07361648,0.02749176,0.54051813,4.12372070,3.45558606,0.08494357,3.25075674,1.08535101,0.27242572
-5.98199100,9.30991971,0.02733809,0.56895907,4.28822150,3.53206198,0.08655306,3.32989217,1.11721855,0.28244362
-5.97598799,9.52585433,0.02717651,0.59637294,4.44382269,3.59841321,0.08801398,3.40361653,1.14973293,0.29163273
-5.96998499,9.71886224,0.02701522,0.62241143,4.58859969,3.65373746,0.08931826,3.47118080,1.18261728,0.29987008
-5.96398199,9.88650311,0.02686040,0.64673932,4.72069865,3.69724325,0.09045776,3.53181055,1.21551059,0.30704244
-5.95797899,10.02648645,0.02671603,0.66903913,4.83836640,3.72826254,0.09142370,3.58471386,1.24797129,0.31304870
-5.95197599,10.13670784,0.02658386,0.68901568,4.93998004,3.74626242,0.09220643,3.62909373,1.27948492,0.31780228
-5.94597299,10.21528886,0.02646344,0.70640038,5.02407567,3.75085538,0.09279527,3.66416495,1.30947601,0.32123317
-5.93996998,10.26062003,0.02635232,0.72095541,5.08937586,3.74180811,0.09317852,3.68917496,1.33732373,0.32328979
-5.93396698,10.27140561,0.02624636,0.73247759,5.13481537,3.71904857,0.09334379,3.70342819,1.36238078,0.32394048
-5.92796398,10.24670926,0.02614012,0.74080201,5.15956458,3.68267122,0.09327840,3.70631302,1.38399505,0.32317457
-5.92196098,10.18599890,0.02602730,0.74580525,5.16305044,3.63294027,0.09297001,3.69733033,1.40153295,0.32100312
-5.91595798,10.08918918,0.02590128,0.74740827,5.14497426,3.57029097,0.09240737,3.67612252,1.41440374,0.31745922
-5.90995498,9.95667969,0.02575563,0.74557891,5.10532604,3.49532869,0.09158117,3.64250152,1.42208363,0.31259783
-5.90395198,9.78938693,0.02558460,0.74033366,5.04439470,3.40882591,0.09048495,3.59647459,1.42413873,0.30649523
-5.89794897,9.58876802,0.02538366,0.73173903,4.96277368,3.31171693,0.08911597,3.53826640,1.42024578,0.29924806
-5.89194597,9.35683412,0.02514984,0.71991202,4.86136134,3.20509018,0.08747603,3.46833601,1.41020962,0.29097194
-5.88594297,9.09615180,0.02488210,0.70501980,4.74135549,3.09017809,0.08557216,3.38738774,1.39397673,0.28179979
-5.87993997,8.80983070,0.02458150,0.68727853,4.60424170,2.96834447,0.08341714,3.29637472,1.37164394,0.27187972
-5.87393697,8.50149637,0.02425134,0.66695111,4.45177476,2.84106914,0.08102979,3.19649450,1.34346197,0.26137267
-5.86793397,8.17524765,0.02389707,0.64434387,4.28595331,2.70993007,0.07843507,3.08917632,1.30983348,0.25044982
-5.86193097,7.83559842,0.02352618,0.61980235,4.10898760,2.57658285,0.07566382,2.97605982,1.27130561,0.23928966
-5.85592796,7.48740440,0.02314792,0.59370589,3.92326051,2.44273765,0.07275234,2.85896571,1.22855727,0.22807498
-5.84992496,7.13577616,0.02277291,0.56646147,3.73128286,2.31013404,0.06974168,2.73985878,1.18238152,0.21698965
-5.84392196,6.78598031,0.02241269,0.53849667,3.53564356,2.18051387,0.06667666,2.62080452,1.13366386,0.20621538
-5.83791896,6.44333150,0.02207923,0.51025205,3.33895616,2.05559266,0.06360478,2.50392044,1.08335713,0.19592838
-5.83191596,6.11307810,0.02178437,0.48217316,3.14380320,1.93703013,0.06057490,2.39132382,1.03245400,0.18629611
-5.82591296,5.80028520,0.02153928,0.45470239,2.95268017,1.82640050,0.05763595,2.28507748,0.98195818,0.17747412
-5.81990995,5.50971852,0.02135396,0.42827094,2.76794097,1.72516318,0.05483545,2.18713551,0.93285533,0.16960301
-5.81390695,5.24573313,0.02123680,0.40329114,2.59174663,1.63463465,0.05221821,2.09929086,0.88608477,0.16280567
-5.80790395,5.01217055,0.02119419,0.38014932,2.42601940,1.55596240,0.04982500,2.02312651,0.84251300,0.15718482
-5.80190095,4.81226779,0.02123027,0.35919958,2.27240360,1.49010140,0.04769139,1.95997200,0.80290990,0.15282087
-5.79589795,4.64858143,0.02134677,0.34075841,2.13223479,1.43779416,0.04584680,1.91086682,0.76792840,0.14977025
-5.78989495,4.52292915,0.02154298,0.32510046,2.00651835,1.39955465,0.04431370,1.87653187,0.73808819,0.14806418
-5.78389195,4.43635078,0.02181588,0.31245543,1.89591812,1.37565691,0.04310710,1.85735006,0.71376395,0.14770796
-5.77788894,4.38909009,0.02216030,0.30300612,1.80075533,1.36612858,0.04223422,1.85335656,0.69517830,0.14868088
-5.77188594,4.38059780,0.02256929,0.29688765,1.72101782,1.37074970,0.04169453,1.86423910,0.68239963,0.15093658
-5.76588294,4.40955578,0.02303452,0.29418764,1.65637881,1.38905703,0.04147988,1.88934838,0.67534462,0.15440407
-5.75987994,4.47392142,0.02354675,0.29494742,1.60622432,1.42035373,0.04157505,1.92771793,0.67378537,0.15898934
-5.75387694,4.57099072,0.02409635,0.29916400,1.56968812,1.46372447,0.04195833,1.97809312,0.67736060,0.16457742
-5.74787394,4.69747805,0.02467383,0.30679266,1.54569236,1.51805550,0.04260238,2.03896802,0.68559058,0.17103504
-5.74187094,4.84960976,0.02527034,0.31775012,1.53299246,1.58205948,0.04347526,2.10862904,0.69789519,0.17821370
-5.73586793,5.02322886,0.02587812,0.33191798,1.53022430,1.65430426,0.04454147,2.18520396,0.71361432,0.18595307
-5.72986493,5.21390720,0.02649090,0.34914637,1.53595185,1.73324512,0.04576309,2.26671451,0.73203019,0.19408479
-5.72386193,5.41706175,0.02710416,0.36925774,1.54871353,1.81725964,0.04710101,2.35113101,0.75239057,0.20243634
-5.71785893,5.62807133,0.02771534,0.39205055,1.56706563,1.90468411,0.04851602,2.43642724,0.77393238,0.21083506
-5.71185593,5.84239012,0.02832382,0.41730292,1.58962139,1.99385078,0.04996994,2.52063365,0.79590479,0.21911217
-5.70585293,6.05565465,0.02893090,0.44477604,1.61508449,2.08312466,0.05142659,2.60188740,0.81759122,0.22710653
-5.69984992,6.26378110,0.02953955,0.47421740,1.64227606,2.17093902,0.05285269,2.67847757,0.83832957,0.23466825
-5.69384692,6.46305012,0.03015407,0.50536378,1.67015475,2.25582839,0.05421859,2.74888424,0.85753006,0.24166188
-5.68784392,6.65017699,0.03077967,0.53794388,1.69782939,2.33645828,0.05549878,2.81181032,0.87469019,0.24796910
-5.68184092,6.82236542,0.03142199,0.57168077,1.72456458,2.41165048,0.05667237,2.86620530,0.88940651,0.25349091
-5.67583792,6.97734392,0.03208645,0.60629393,1.74977934,2.48040357,0.05772323,2.91128046,0.90138278,0.25814922
-5.66983492,7.11338445,0.03277775,0.64150113,1.77303960,2.54190773,0.05864009,2.94651537,0.91043445,0.26188769
-5.66383192,7.22930360,0.03349924,0.67701993,1.79404544,2.59555363,0.05941638,2.97165590,0.91648939,0.26467202
-5.65782891,7.32444718,0.03425241,0.71256901,1.81261402,2.64093536,0.06005002,2.98670412,0.91958494,0.26648954
-5.65182591,7.39865987,0.03503644,0.74786924,1.82865951,2.67784719,0.06054306,2.99190108,0.91986153,0.26734819
-5.64582291,7.45224192,0.03584786,0.78264462,1.84217124,2.70627473,0.06090116,2.98770326,0.91755304,0.26727492
-5.63981991,7.48589529,0.03668029,0.81662312,1.85319128,2.72638082,0.06113308,2.97475410,0.91297455,0.26631375
-5.63381691,7.50066190,0.03752444,0.84953744,1.86179269,2.73848688,0.06125014,2.95385179,0.90650767,0.26452328
-5.62781391,7.49785695,0.03836815,0.88112589,1.86805956,2.74305054,0.06126558,2.92591473,0.89858422,0.26197416
-5.62181091,7.47899998,0.03919666,0.91113329,1.87206970,2.74064059,0.06119398,2.89194612,0.88966871,0.25874621
-5.61580790,7.44574640,0.03999299,0.93931218,1.87388073,2.73191006,0.06105073,2.85299873,0.88024025,0.25492576
-5.60980490,7.39982206,0.04073853,0.96542425,1.87352010,2.71756868,0.06085145,2.81014123,0.87077449,0.25060282
-5.60380190,7.34296275,0.04141365,0.98924210,1.87097930,2.69835563,0.06061156,2.76442694,0.86172617,0.24586870
-5.59779890,7.27686058,0.04199847,1.01055141,1.86621221,2.67501353,0.06034581,2.71686584,0.85351276,0.24081370
-5.59179590,7.20311833,0.04247366,1.02915344,1.85913749,2.64826462,0.06006794,2.66840035,0.84649977,0.23552523
-5.58579290,7.12321273,0.04282124,1.04486794,1.84964454,2.61878972,0.05979034,2.61988545,0.84098810,0.23008627
-5.57978989,7.03846704,0.04302539,1.05753630,1.83760247,2.58721071,0.05952377,2.57207323,0.83720386,0.22457428
-5.57378689,6.95003294,0.04307315,1.06702496,1.82287128,2.55407685,0.05927716,2.52560195,0.83529087,0.21906042
-5.56778389,6.85888149,0.04295510,1.07322884,1.80531461,2.51985528,0.05905741,2.48098954,0.83530615,0.21360920
-5.56178089,6.76580250,0.04266579,1.07607474,1.78481305,2.48492578,0.05886924,2.43863150,0.83721850,0.20827851
-5.55577789,6.67141160,0.04220416,1.07552448,1.76127731,2.44957968,0.05871511,2.39880268,0.84091025,0.20311989
-5.54977489,6.57616413,0.04157371,1.07157765,1.73466044,2.41402287,0.05859515,2.36166292,0.84618206,0.19817907
-5.54377189,6.48037478,0.04078249,1.06427371,1.70496836,2.37838246,0.05850714,2.32726604,0.85276078,0.19349677
-5.53776888,6.38424189,0.03984298,1.05369347,1.67226831,2.34271665,0.05844659,2.29557181,0.86031003,0.18910954
-5.53176588,6.28787554,0.03877174,1.03995958,1.63669469,2.30702737,0.05840680,2.26646051,0.86844321,0.18505074
-5.52576288,6.19132804,0.03758898,1.02323616,1.59845212,2.27127499,0.05837910,2.23974963,0.87673858,0.18135157
-5.51975988,6.09462595,0.03631798,1.00372741,1.55781557,2.23539445,0.05835301,2.21521218,0.88475585,0.17804194
-5.51375688,5.99780237,0.03498439,0.98167515,1.51512775,2.19931212,0.05831666,2.19259606,0.89205375,0.17515141
-5.50775388,5.90092850,0.03361558,0.95735552,1.47079389,2.16296255,0.05825711,2.17164384,0.89820796,0.17270990
