energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,5.99198140,0.01075953,1.01992240,0.53666704,0.26673040,2.64651724,2.47664801,0.13242833,1.45950964
-5.99399700,5.97692362,0.01077811,1.01990287,0.52563726,0.26954674,2.61901839,2.47994688,0.13295569,1.44906399
-5.98799400,5.96630242,0.01081081,1.02153332,0.51521912,0.27257303,2.59265865,2.48578088,0.13328466,1.43922625
-5.98199100,5.95983971,0.01085614,1.02473446,0.50548011,0.27580164,2.56749884,2.49404179,0.13338250,1.42992700
-5.97598799,5.95742335,0.01091272,1.02945468,0.49649575,0.27924081,2.54363705,2.50470319,0.13321896,1.42112991
-5.96998499,5.95914196,0.01097935,1.03567190,0.48835158,0.28291740,2.52121595,2.51782923,0.13276854,1.41284635
-5.96398199,5.96531137,0.01105525,1.04339387,0.48114484,0.28687879,2.50042800,2.53357972,0.13201256,1.40514795
-5.95797899,5.97648955,0.01114011,1.05265643,0.47498574,0.29119388,2.48151756,2.55221042,0.13094100,1.39817641
-5.95197599,5.99347747,0.01123418,1.06351969,0.46999802,0.29595293,2.46477927,2.57406762,0.12955383,1.39214944
-5.94597299,6.01730431,0.01133824,1.07606185,0.46631875,0.30126617,2.45055224,2.59957658,0.12786191,1.38736244
-5.93996998,6.04919633,0.01145361,1.09037084,0.46409724,0.30726121,2.43920972,2.62922370,0.12588731,1.38418533
-5.93396698,6.09052989,0.01158202,1.10653418,0.46349282,0.31407924,2.43114454,2.66353294,0.12366306,1.38305456
-5.92796398,6.14277018,0.01172546,1.12462736,0.46467170,0.32187006,2.42675076,2.70303722,0.12123224,1.38446033
-5.92196098,6.20739832,0.01188607,1.14470150,0.46780268,0.33078623,2.42640240,2.74824626,0.11864662,1.38892948
-5.91595798,6.28583025,0.01206586,1.16677089,0.47305201,0.34097645,2.43043033,2.79961244,0.11596480,1.39700485
-5.90995498,6.37933190,0.01226658,1.19080144,0.48057732,0.35257844,2.43909883,2.85749664,0.11324994,1.40922184
-5.90395198,6.48893501,0.01248945,1.21670061,0.49052107,0.36571173,2.45258315,2.92213610,0.11056727,1.42608349
-5.89794897,6.61535874,0.01273503,1.24430984,0.50300351,0.38047053,2.47094973,2.99361641,0.10798149,1.44803499
-5.89194597,6.75894142,0.01300299,1.27339998,0.51811558,0.39691713,2.49414038,3.07184938,0.10555409,1.47543910
-5.88594297,6.91958681,0.01329204,1.30367034,0.53591196,0.41507610,2.52196178,3.15655865,0.10334090,1.50855354
-5.87993997,7.09672825,0.01359982,1.33475164,0.55640466,0.43492954,2.55408121,3.24727395,0.10138982,1.54751153
-5.87393697,7.28931314,0.01392287,1.36621292,0.57955738,0.45641371,2.59002906,3.34333504,0.09973890,1.59230648
-5.86793397,7.49580912,0.01425670,1.39757230,0.60528096,0.47941723,2.62920834,3.44390522,0.09841491,1.64278158
-5.86193097,7.71423227,0.01459581,1.42831115,0.63343022,0.50378091,2.67091094,3.54799420,0.09743234,1.69862495
-5.85592796,7.94219614,0.01493387,1.45789091,0.66380240,0.52929945,2.71433997,3.65448929,0.09679293,1.75937064
-5.84992496,8.17697959,0.01526386,1.48577198,0.69613740,0.55572477,2.75863709,3.76219337,0.09648577,1.82440561
-5.84392196,8.41561029,0.01557835,1.51143345,0.73011998,0.58277119,2.80291358,3.86986780,0.09648783,1.89298250
-5.83791896,8.65495995,0.01586967,1.53439272,0.76538396,0.61012211,2.84628347,3.97627812,0.09676505,1.96423788
-5.83191596,8.89184673,0.01613024,1.55422402,0.80151848,0.63743800,2.88789706,4.08023993,0.09727378,2.03721516
-5.82591296,9.12313999,0.01635280,1.57057459,0.83807615,0.66436556,2.92697313,4.18066272,0.09796254,2.11089162
-5.81990995,9.34586246,0.01653068,1.58317782,0.87458308,0.69054755,2.96282817,4.27658913,0.09877414,2.18420827
-5.81390695,9.55728512,0.01665808,1.59186249,0.91055032,0.71563309,2.99490118,4.36722763,0.09964780,2.25610166
-5.80790395,9.75501042,0.01673025,1.59655762,0.94548660,0.73928789,3.02277275,4.45197692,0.10052146,2.32553621
-5.80190095,9.93704026,0.01674372,1.59729262,0.97891181,0.76120412,3.04617774,4.53044049,0.10133402,2.39153600
-5.79589795,10.10182576,0.01669644,1.59419285,1.01037072,0.78110951,3.06501076,4.60243101,0.10202750,2.45321464
-5.78989495,10.24829709,0.01658788,1.58747060,1.03944653,0.79877521,3.07932456,4.66796392,0.10254891,2.50980202
-5.78389195,10.37587227,0.01641909,1.57741232,1.06577354,0.81402227,3.08932145,4.72724098,0.10285200,2.56066696
-5.77788894,10.48444524,0.01619272,1.56436250,1.08904846,0.82672630,3.09533838,4.78062457,0.10289857,2.60533472
-5.77188594,10.57435433,0.01591298,1.54870532,1.10903975,0.83682023,3.09782663,4.82860417,0.10265953,2.64349871
-5.76588294,10.64633316,0.01558554,1.53084497,1.12559462,0.84429504,3.09732724,4.87175703,0.10211547,2.67502584
-5.75987994,10.70144702,0.01521738,1.51118580,1.13864316,0.84919842,3.09444358,4.91070514,0.10125693,2.69995549
-5.75387694,10.74101818,0.01481666,1.49011322,1.14819940,0.85163152,3.08981247,4.94607081,0.10008428,2.71849190
-5.74787394,10.76654422,0.01439249,1.46797655,1.15435928,0.85174383,3.08407540,4.97843348,0.09860714,2.73099061
-5.74187094,10.77961355,0.01395470,1.44507453,1.15729531,0.84972664,3.07785124,5.00828973,0.09684364,2.73793945
-5.73586793,10.78182259,0.01351354,1.42164433,1.15724842,0.84580523,3.07171173,5.03601900,0.09481923,2.73993510
-5.72986493,10.77469836,0.01307946,1.39785447,1.15451706,0.84023027,3.06616082,5.06185642,0.09256544,2.73765618
-5.72386193,10.75963041,0.01266283,1.37380194,1.14944430,0.83326876,3.06161878,5.08587432,0.09011835,2.73183435
-5.71785893,10.73781494,0.01227360,1.34951357,1.14240339,0.82519503,3.05841155,5.10797314,0.08751705,2.72322458
-5.71185593,10.71021348,0.01192111,1.32495146,1.13378259,0.81628209,3.05676564,5.12788209,0.08480209,2.71257615
-5.70585293,10.67752752,0.01161377,1.30002186,1.12396984,0.80679373,3.05680847,5.14516927,0.08201396,2.70060552
-5.69984992,10.64018962,0.01135888,1.27458717,1.11333832,0.79697764,3.05857379,5.15926065,0.07919168,2.68797239
-5.69384692,10.59837068,0.01116240,1.24848003,1.10223326,0.78705984,3.06201154,5.16946655,0.07637156,2.67525984
-5.68784392,10.55200212,0.01102883,1.22151871,1.09096090,0.77724051,3.06700142,5.17501430,0.07358625,2.66295939
-5.68184092,10.50081109,0.01096107,1.19352299,1.07977993,0.76769129,3.07336893,5.17508508,0.07086388,2.65146137
-5.67583792,10.44436616,0.01096036,1.16432951,1.06889581,0.75855401,3.08090299,5.16885328,0.06822760,2.64105085
-5.66983492,10.38213056,0.01102627,1.13380578,1.05845815,0.74994089,3.08937395,5.15552619,0.06569530,2.63190886
-5.66383192,10.31351985,0.01115676,1.10186224,1.04856110,0.74193578,3.09855081,5.13438232,0.06327965,2.62411871
-5.65782891,10.23796082,0.01134821,1.06846162,1.03924667,0.73459662,3.10821681,5.10480671,0.06098829,2.61767659
-5.65182591,10.15494857,0.01159563,1.03362538,1.03051052,0.72795853,3.11818244,5.06632176,0.05882427,2.61250571
-5.64582291,10.06409910,0.01189281,0.99743693,1.02230983,0.72203754,3.12829540,5.01861255,0.05678671,2.60847302
-5.63981991,9.96519507,0.01223257,0.96004162,1.01457272,0.71683461,3.13844689,4.96154595,0.05487146,2.60540744
-5.63381691,9.85822305,0.01260702,0.92164370,1.00720854,0.71233978,3.14857434,4.89518320,0.05307192,2.60311855
-5.62781391,9.74340104,0.01300784,0.88250057,1.00011837,0.70853619,3.15866052,4.81978583,0.05137988,2.60141492
-5.62181091,9.62119567,0.01342661,0.84291473,0.99320527,0.70540394,3.16872933,4.73581526,0.04978630,2.60012096
-5.61580790,9.49232904,0.01385515,0.80322406,0.98638349,0.70292354,3.17883882,4.64392664,0.04828211,2.59909172
-5.60980490,9.35777571,0.01428580,0.76379095,0.97958642,0.70107899,3.18907212,4.54495744,0.04685885,2.59822511
-5.60380190,9.21875048,0.01471176,0.72499092,0.97277277,0.69986038,3.19952687,4.43991174,0.04550925,2.59747103
-5.59779890,9.07668834,0.01512734,0.68720140,0.96593077,0.69926598,3.21030411,4.32994094,0.04422763,2.59683736
-5.59179590,8.93321765,0.01552826,0.65079101,0.95908045,0.69930387,3.22149726,4.21632165,0.04301022,2.59639276
-5.58579290,8.79012812,0.01591180,0.61611001,0.95227376,0.69999306,3.23318200,4.10043161,0.04185530,2.59626634
-5.57978989,8.64933469,0.01627697,0.58348210,0.94559293,0.70136419,3.24540758,3.98372417,0.04076322,2.59664462
-5.57378689,8.51283890,0.01662462,0.55319789,0.93914722,0.70345973,3.25819015,3.86770192,0.03973628,2.59776603
-5.56778389,8.38268854,0.01695742,0.52551009,0.93306829,0.70633373,3.27150837,3.75388983,0.03877854,2.59991336
-5.56178089,8.26093671,0.01727986,0.50063042,0.92750460,0.71005113,3.28530151,3.64380836,0.03789548,2.60340464
-5.55577789,8.14960097,0.01759806,0.47872826,0.92261528,0.71468658,3.29947001,3.53894669,0.03709370,2.60858282
-5.54977489,8.05062331,0.01791966,0.45993063,0.91856369,0.72032282,3.31387848,3.44073635,0.03638044,2.61580476
-5.54377189,7.96583119,0.01825347,0.44432353,0.91551099,0.72704863,3.32836075,3.35052549,0.03576322,2.62542976
-5.53776888,7.89690038,0.01860922,0.43195410,0.91361020,0.73495625,3.34272672,3.26955407,0.03524939,2.63780806
-5.53176588,7.84531974,0.01899712,0.42283356,0.91300070,0.74413846,3.35677049,3.19893017,0.03484569,2.65326955
-5.52576288,7.81235852,0.01942749,0.41694036,0.91380351,0.75468534,3.37027942,3.13960798,0.03455793,2.67211297
-5.51975988,7.79903656,0.01991029,0.41422360,0.91611738,0.76668073,3.38304344,3.09236770,0.03439065,2.69459573
-5.51375688,7.80609806,0.02045464,0.41460623,0.92001581,0.78019858,3.39486442,3.05779800,0.03434681,2.72092476
-5.50775388,7.83398956,0.02106843,0.41798793,0.92554488,0.79529936,3.40556493,3.03628158,0.03442761,2.75124834
-5.50175088,7.88284280,0.02175782,0.42424772,0.93272202,0.81202669,3.41499615,3.02798432,0.03463234,2.78564929
-5.49574787,7.95246337,0.02252691,0.43324595,0.94153544,0.83040431,3.42304462,3.03284862,0.03495826,2.82413974
-5.48974487,8.04232589,0.02337739,0.44482591,0.95194451,0.85043374,3.42963758,3.05059143,0.03540062,2.86665757
-5.48374187,8.15157642,0.02430831,0.45881494,0.96388059,0.87209268,3.43474674,3.08070733,0.03595270,2.91306482
-5.47773887,8.27904275,0.02531594,0.47502527,0.97724863,0.89533432,3.43839041,3.12247693,0.03660588,2.96314826
-5.47173587,8.42325283,0.02639373,0.49325452,0.99192923,0.92008783,3.44063396,3.17498056,0.03734983,3.01662220
-5.46573287,8.58246151,0.02753237,0.51328610,1.00778130,0.94625983,3.44158865,3.23711737,0.03817267,3.07313365
-5.45972986,8.75468533,0.02871999,0.53488963,1.02464505,0.97373714,3.44140885,3.30762913,0.03906130,3.13226987
-5.45372686,8.93774470,0.02994248,0.55782143,1.04234551,1.00239045,3.44028775,3.38512856,0.04000162,3.19356803
-5.44772386,9.12931240,0.03118385,0.58182533,1.06069641,1.03207902,3.43845184,3.46813110,0.04097887,3.25652703
