energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,10.67573291,2.36865055,4.67780820,0.08290080,0.13797557,0.79369025,2.50150825,0.04541921,1.77681101
-5.99399700,10.42289675,2.32654257,4.53608118,0.08151478,0.13508634,0.78354614,2.44755634,0.04390602,1.73642225
-5.98799400,10.17260052,2.27842247,4.40315088,0.08040734,0.13217077,0.77389762,2.39190662,0.04252151,1.69380708
-5.98199100,9.92900843,2.22508998,4.28127108,0.07966796,0.12924946,0.76523411,2.33531335,0.04128792,1.64956516
-5.97598799,9.69634494,2.16745351,4.17256623,0.07938402,0.12634774,0.75806191,2.27859046,0.04022526,1.60435691
-5.96998499,9.47879435,2.10651280,4.07897958,0.07963836,0.12349506,0.75288917,2.22259190,0.03935090,1.55889039
-5.96398199,9.28039211,2.04333715,4.00222280,0.08050680,0.12072407,0.75020961,2.16818848,0.03867930,1.51390533
-5.95797899,9.10490993,1.97903983,3.94372795,0.08205571,0.11806948,0.75048556,2.11624191,0.03822169,1.47015480
-5.95197599,8.95573772,1.91474936,3.90460248,0.08433962,0.11556659,0.75413067,2.06757690,0.03798586,1.42838484
-5.94597299,8.83576586,1.85157855,3.88558845,0.08739902,0.11324977,0.76149311,2.02295216,0.03797589,1.38931267
-5.93996998,8.74727180,1.79059261,3.88702705,0.09125835,0.11115070,0.77283971,1.98303170,0.03819195,1.35360420
-5.93396698,8.69181568,1.73277735,3.90882977,0.09592437,0.10929673,0.78834168,1.94835754,0.03863020,1.32185167
-5.92796398,8.67014966,1.67900876,3.95045755,0.10138473,0.10770923,0.80806269,1.91932509,0.03928265,1.29455219
-5.92196098,8.68214562,1.63002540,4.01090942,0.10760716,0.10640211,0.83194963,1.89616253,0.04013710,1.27208825
-5.91595798,8.72674580,1.58640452,4.08872184,0.11453898,0.10538067,0.85982672,1.87891522,0.04117724,1.25471099
-5.90995498,8.80194024,1.54854313,4.18198009,0.12210717,0.10464071,0.89139336,1.86743624,0.04238272,1.24252700
-5.90395198,8.90477411,1.51664487,4.28834240,0.13021906,0.10416815,0.92622589,1.86138354,0.04372937,1.23548954
-5.89794897,9.03138688,1.49071329,4.40507757,0.13876352,0.10393901,0.96378364,1.86022442,0.04518951,1.23339457
-5.89194597,9.17708418,1.47055195,4.52911585,0.14761272,0.10391998,1.00341906,1.86324723,0.04673237,1.23588214
-5.88594297,9.33644169,1.45577153,4.65711283,0.15662453,0.10406938,1.04439195,1.86958022,0.04832457,1.24244316
-5.87993997,9.50343894,1.44580356,4.78552500,0.16564538,0.10433869,1.08588736,1.87821693,0.04993076,1.25243169
-5.87393697,9.67161933,1.43992067,4.91069535,0.17451360,0.10467437,1.12703687,1.88804725,0.05151435,1.26508223
-5.86793397,9.83427172,1.43726227,5.02894665,0.18306317,0.10502011,1.16694237,1.89789305,0.05303822,1.27953185
-5.86193097,9.98462719,1.43686501,5.13667967,0.19112772,0.10531926,1.20470185,1.90654692,0.05446565,1.29484603
-5.85592796,10.11606406,1.43769662,5.23047282,0.19854478,0.10551736,1.23943616,1.91281261,0.05576119,1.31004768
-5.84992496,10.22231343,1.43869202,5.30718006,0.20515997,0.10556473,1.27031584,1.91554545,0.05689156,1.32414804
-5.84392196,10.29765727,1.43879023,5.36402298,0.21083122,0.10541887,1.29658707,1.91369107,0.05782657,1.33617841
-5.83791896,10.33711128,1.43697059,5.39867383,0.21543262,0.10504666,1.31759573,1.90632102,0.05854001,1.34522146
-5.83191596,10.33658497,1.43228703,5.40932584,0.21885796,0.10442611,1.33280851,1.89266368,0.05901044,1.35044088
-5.82591296,10.29301262,1.42389897,5.39474809,0.22102374,0.10354782,1.34183039,1.87212932,0.05922191,1.35110832
-5.81990995,10.20444976,1.41109786,5.35432249,0.22187155,0.10241571,1.34441766,1.84432848,0.05916454,1.34662639
-5.81390695,10.07013123,1.39332819,5.28806122,0.22136966,0.10104734,1.34048579,1.80908278,0.05883497,1.33654702
-5.80790395,9.89048870,1.37020254,5.19660384,0.21951388,0.09947355,1.33011198,1.76642814,0.05823661,1.32058438
-5.80190095,9.66712727,1.34151003,5.08119416,0.21632753,0.09773754,1.31353215,1.71661025,0.05737972,1.29862188
-5.79589795,9.40276237,1.30721815,4.94363775,0.21186056,0.09589341,1.29113228,1.66007281,0.05628129,1.27071322
-5.78989495,9.10112011,1.26746812,4.78624188,0.20618791,0.09400418,1.26343473,1.59743914,0.05496470,1.23707737
-5.78389195,8.76680573,1.22256412,4.61174052,0.19940705,0.09213943,1.23107978,1.52948804,0.05345921,1.19808792
-5.77788894,8.40514588,1.17295720,4.42320734,0.19163492,0.09037259,1.19480324,1.45712525,0.05179921,1.15425734
-5.77188594,8.02201182,1.11922465,4.22396063,0.18300436,0.08877811,1.15541105,1.38135154,0.05002338,1.10621692
-5.76588294,7.62363082,1.06204586,4.01746373,0.17366006,0.08742846,1.11375185,1.30322900,0.04817362,1.05469327
-5.75987994,7.21639369,1.00217590,3.80722518,0.16375444,0.08639118,1.07068862,1.22384683,0.04629390,1.00048257
-5.75387694,6.80666584,0.94041795,3.59670230,0.15344335,0.08572618,1.02707056,1.14428783,0.04442908,0.94442350
-5.74787394,6.40060914,0.87759568,3.38921177,0.14288193,0.08548313,0.98370632,1.06559708,0.04262359,0.88737012
-5.74187094,6.00402074,0.81452682,3.18785026,0.13222070,0.08569938,0.94133949,0.98875354,0.04092018,0.83016565
-5.73586793,5.62219400,0.75199876,2.99542758,0.12160201,0.08639820,0.90062748,0.91464565,0.03935874,0.77361818
-5.72986493,5.25980551,0.69074707,2.81441402,0.11115704,0.08758755,0.86212431,0.84405142,0.03797511,0.71847911
-5.72386193,4.92083064,0.63143746,2.64690286,0.10100332,0.08925941,0.82626797,0.77762356,0.03680009,0.66542501
-5.71785893,4.60848866,0.57465181,2.49458827,0.09124288,0.09138966,0.79337269,0.71587966,0.03585859,0.61504326
-5.71185593,4.32521718,0.52087820,2.35875800,0.08196100,0.09393851,0.76362623,0.65919745,0.03516894,0.56782192
-5.70585293,4.07267414,0.47050522,2.24029966,0.07322571,0.09685151,0.73709207,0.60781500,0.03474245,0.52414371
