energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.57743380,0.03842764,0.32820910,0.71368940,0.32547100,0.09755280,1.58004830,0.36503878,0.45006929
-5.99399700,3.52653012,0.03700144,0.32706226,0.69009038,0.32476296,0.09515476,1.55099136,0.36925629,0.44563083
-5.98799400,3.47206728,0.03551198,0.32487524,0.66767817,0.32327202,0.09252274,1.52164269,0.37384161,0.44035044
-5.98199100,3.41401657,0.03396754,0.32164321,0.64650561,0.32097191,0.08967115,1.49199604,0.37866881,0.43423733
-5.97598799,3.35235845,0.03237648,0.31738498,0.62657578,0.31784677,0.08661786,1.46200895,0.38359440,0.42731829
-5.96998499,3.28711828,0.03074753,0.31214474,0.60785205,0.31389407,0.08338458,1.43162123,0.38846427,0.41964113
-5.96398199,3.21839947,0.02908988,0.30599267,0.59026916,0.30912703,0.07999711,1.40077382,0.39312115,0.41127712
-5.95797899,3.14641181,0.02741327,0.29902442,0.57374475,0.30357645,0.07648528,1.36942669,0.39741240,0.40232225
-5.95197599,3.07149286,0.02572807,0.29135932,0.55819056,0.29729179,0.07288268,1.33757468,0.40119749,0.39289717
-5.94597299,2.99412113,0.02404517,0.28313757,0.54352266,0.29034138,0.06922610,1.30526036,0.40435492,0.38314571
-5.93996998,2.91491992,0.02237589,0.27451627,0.52967018,0.28281184,0.06555479,1.27258308,0.40678817,0.37323203
-5.93396698,2.83465167,0.02073177,0.26566462,0.51658205,0.27480664,0.06190943,1.23970390,0.40843039,0.36333648
-5.92796398,2.75420282,0.01912441,0.25675848,0.50423158,0.26644386,0.05833102,1.20684592,0.40924760,0.35365023
-5.92196098,2.67456010,0.01756511,0.24797444,0.49261858,0.25785320,0.05485969,1.17429021,0.40924034,0.34436911
-5.91595798,2.59677930,0.01606469,0.23948385,0.48176911,0.24917252,0.05153338,1.14236758,0.40844357,0.33568675
-5.90995498,2.52194832,0.01463316,0.23144688,0.47173297,0.24054383,0.04838666,1.11144660,0.40692507,0.32778735
-5.90395198,2.45114625,0.01327946,0.22400714,0.46257914,0.23210910,0.04544963,1.08191866,0.40478242,0.32083856
-5.89794897,2.38540075,0.01201127,0.21728684,0.45438957,0.22400592,0.04274689,1.05418088,0.40213877,0.31498459
-5.89194597,2.32564596,0.01083481,0.21138296,0.44725180,0.21636330,0.04029684,1.02861779,0.39913781,0.31034006
-5.88594297,2.27268314,0.00975471,0.20636450,0.44125079,0.20929776,0.03811112,1.00558288,0.39593826,0.30698481
-5.87993997,2.22714617,0.00877398,0.20227095,0.43646072,0.20290982,0.03619437,0.98538094,0.39270831,0.30495999
-5.87393697,2.18947392,0.00789394,0.19911209,0.43293703,0.19728112,0.03454420,0.96825235,0.38962040,0.30426553
-5.86793397,2.15989096,0.00711433,0.19686916,0.43070950,0.19247229,0.03315149,0.95436007,0.38684674,0.30485937
-5.86193097,2.13839804,0.00643338,0.19549734,0.42977669,0.18852164,0.03200092,0.94378029,0.38455600,0.30665828
-5.85592796,2.12477298,0.00584799,0.19492939,0.43010209,0.18544474,0.03107170,0.93649714,0.38291119,0.30954054
-5.84992496,2.11858237,0.00535386,0.19508045,0.43161252,0.18323501,0.03033851,0.93240217,0.38206923,0.31335025
-5.84392196,2.11920383,0.00494578,0.19585366,0.43419865,0.18186515,0.02977259,0.93129847,0.38218195,0.31790323
-5.83791896,2.12585810,0.00461780,0.19714639,0.43771806,0.18128952,0.02934292,0.93290963,0.38339874,0.32299426
-5.83191596,2.13764978,0.00436353,0.19885684,0.44200041,0.18144735,0.02901741,0.93689314,0.38587046,0.32840548
-5.82591296,2.15361495,0.00417636,0.20089074,0.44685484,0.18226647,0.02876416,0.94285761,0.38975443,0.33391549
-5.81990995,2.17277360,0.00404969,0.20316777,0.45207912,0.18366776,0.02855260,0.95038327,0.39522014,0.33930892
-5.81390695,2.19418460,0.00397719,0.20562745,0.45747018,0.18556974,0.02835455,0.95904458,0.40245511,0.34438598
-5.80790395,2.21700037,0.00395298,0.20823422,0.46283547,0.18789334,0.02814518,0.96843404,0.41167049,0.34897164
-5.80190095,2.24051895,0.00397183,0.21098147,0.46800465,0.19056654,0.02790372,0.97818589,0.42310580,0.35292398
-5.79589795,2.26423046,0.00402929,0.21389432,0.47284094,0.19352866,0.02761407,0.98799869,0.43703228,0.35614142
-5.78989495,2.28785587,0.00412181,0.21703087,0.47725162,0.19673407,0.02726516,0.99765534,0.45375445,0.35856834
-5.78389195,2.31137569,0.00424685,0.22048208,0.48119693,0.20015512,0.02685108,1.00703969,0.47360930,0.36019900
-5.77788894,2.33504697,0.00440285,0.22436993,0.48469699,0.20378418,0.02637104,1.01614869,0.49696297,0.36107939
-5.77188594,2.35940736,0.00458932,0.22884412,0.48783631,0.20763459,0.02582914,1.02509924,0.52420455,0.36130700
-5.76588294,2.38526554,0.00480674,0.23407727,0.49076533,0.21174049,0.02523391,1.03412945,0.55573703,0.36102834
-5.75987994,2.41367797,0.00505648,0.24025886,0.49369907,0.21615548,0.02459779,1.04359375,0.59196556,0.36043440
-5.75387694,2.44591242,0.00534074,0.24758792,0.49691261,0.22095018,0.02393645,1.05395217,0.63328296,0.35975410
-5.74787394,2.48339968,0.00566235,0.25626502,0.50073342,0.22620874,0.02326801,1.06575382,0.68005324,0.35924598
-5.74187094,2.52767476,0.00602462,0.26648353,0.50553094,0.23202446,0.02261224,1.07961533,0.73259332,0.35918840
-5.73586793,2.58031020,0.00643118,0.27842067,0.51170351,0.23849477,0.02198981,1.09619500,0.79115375,0.35986867
-5.72986493,2.64284377,0.00688570,0.29222853,0.51966318,0.24571570,0.02142149,1.11616361,0.85589914,0.36157146
-5.72386193,2.71670362,0.00739175,0.30802555,0.52981900,0.25377619,0.02092742,1.14017322,0.92688907,0.36456700
-5.71785893,2.80313393,0.00795258,0.32588862,0.54255928,0.26275246,0.02052656,1.16882517,1.00406034,0.36909935
-5.71185593,2.90312424,0.00857091,0.34584624,0.55823373,0.27270282,0.02023616,1.20263872,1.08721152,0.37537556
-5.70585293,3.01734547,0.00924877,0.36787299,0.57713587,0.28366305,0.02007138,1.24202162,1.17599050,0.38355572
-5.69984992,3.14609568,0.00998741,0.39188558,0.59948684,0.29564277,0.02004509,1.28724410,1.26988602,0.39374468
-5.69384692,3.28925802,0.01078715,0.41774065,0.62542093,0.30862283,0.02016774,1.33841723,1.36822371,0.40598560
-5.68784392,3.44627327,0.01164739,0.44523459,0.65497379,0.32255410,0.02044745,1.39547705,1.47016741,0.42025569
-5.68184092,3.61612843,0.01256662,0.47410547,0.68807369,0.33735756,0.02089015,1.45817501,1.57472604,0.43646442
-5.67583792,3.79736265,0.01354247,0.50403705,0.72453640,0.35292585,0.02149986,1.52607545,1.68076637,0.45445420
-5.66983492,3.98809077,0.01457187,0.53466498,0.76406405,0.36912626,0.02227904,1.59856044,1.78703165,0.47400384
-5.66383192,4.18604422,0.01565118,0.56558496,0.80624809,0.38580495,0.02322902,1.67484192,1.89216585,0.49483436
-5.65782891,4.38862830,0.01677647,0.59636279,0.85057638,0.40279236,0.02435040,1.75398085,1.99474309,0.51661742
-5.65182591,4.59299386,0.01794373,0.62654602,0.89644441,0.41990946,0.02564355,1.83491273,2.09330149,0.53898575
-5.64582291,4.79612109,0.01914914,0.65567675,0.94317011,0.43697466,0.02710891,1.91647858,2.18638040,0.56154543
-5.63981991,4.99491212,0.02038936,0.68330529,0.99001197,0.45381089,0.02874739,1.99746010,2.27255989,0.58388950
-5.63381691,5.18628888,0.02166176,0.70900418,1.03618966,0.47025263,0.03056054,2.07661766,2.35050099,0.60561232
-5.62781391,5.36729218,0.02296464,0.73238185,1.08090653,0.48615242,0.03255064,2.15272948,2.41898530,0.62632422
-5.62181091,5.53517765,0.02429740,0.75309563,1.12337297,0.50138657,0.03472070,2.22463032,2.47695215,0.64566561
-5.61580790,5.68750450,0.02566060,0.77086334,1.16282983,0.51585965,0.03707421,2.29124798,2.52353195,0.66332015
-5.60980490,5.82221282,0.02705601,0.78547293,1.19857089,0.52950752,0.03961479,2.35163600,2.55807406,0.67902617
-5.60380190,5.93768608,0.02848650,0.79678984,1.22996344,0.54229872,0.04234569,2.40500107,2.58016793,0.69258588
-5.59779890,6.03279560,0.02995584,0.80476142,1.25646622,0.55423409,0.04526914,2.45072399,2.58965646,0.70387186
-5.59179590,6.10692513,0.03146847,0.80941837,1.27764400,0.56534455,0.04838559,2.48837327,2.58664075,0.71283056
-5.58579290,6.15997413,0.03302908,0.81087286,1.29317813,0.57568719,0.05169294,2.51771077,2.57147604,0.71948239
-5.57978989,6.19233986,0.03464222,0.80931345,1.30287298,0.58533982,0.05518564,2.53868950,2.54475872,0.72391864
-5.57378689,6.20487920,0.03631178,0.80499683,1.30665787,0.59439429,0.05885393,2.55144367,2.50730506,0.72629504
-5.56778389,6.19885233,0.03804048,0.79823691,1.30458478,0.60294893,0.06268310,2.55627185,2.46012247,0.72682245
-5.56178089,6.17585140,0.03982934,0.78939145,1.29682200,0.61110059,0.06665288,2.55361435,2.40437466,0.72575505
-5.55577789,6.13771797,0.04167719,0.77884709,1.28364430,0.61893666,0.07073706,2.54402624,2.34134224,0.72337655
-5.54977489,6.08645384,0.04358024,0.76700334,1.26542024,0.62652771,0.07490334,2.52814752,2.27238062,0.71998522
-5.54377189,6.02413003,0.04553174,0.75425628,1.24259731,0.63392106,0.07911340,2.50667241,2.19887720,0.71587845
-5.53776888,5.95279873,0.04752173,0.74098286,1.21568577,0.64113585,0.08332334,2.48031926,2.12220973,0.71133760
-5.53176588,5.87441296,0.04953699,0.72752647,1.18524203,0.64815981,0.08748439,2.44980292,2.04370781,0.70661404
-5.52576288,5.79075790,0.05156105,0.71418459,1.15185222,0.65494811,0.09154392,2.41581091,1.96461916,0.70191702
-5.51975988,5.70339732,0.05357448,0.70119900,1.11611681,0.66142432,0.09544673,2.37898454,1.88608202,0.69740401
-5.51375688,5.61363735,0.05555526,0.68874910,1.07863664,0.66748356,0.09913658,2.33990578,1.80910476,0.69317408
-5.50775388,5.52250899,0.05747933,0.67694860,1.04000100,0.67299758,0.10255789,2.29909022,1.73455318,0.68926462
-5.50175088,5.43076930,0.05932125,0.66584575,1.00077774,0.67782172,0.10565760,2.25698611,1.66314571,0.68565152
-5.49574787,5.33892036,0.06105505,0.65542690,0.96150574,0.68180312,0.10838696,2.21397898,1.59545630,0.68225280
-5.48974487,5.24724383,0.06265509,0.64562334,0.92268949,0.68478999,0.11070339,2.17040104,1.53192409,0.67893551
-5.48374187,5.15584818,0.06409694,0.63632072,0.88479567,0.68664117,0.11257210,2.12654432,1.47286903,0.67552540
-5.47773887,5.06472488,0.06535837,0.62737077,0.84825135,0.68723561,0.11396757,2.08267611,1.41851193,0.67181881
-5.47173587,4.97380949,0.06642020,0.61860443,0.81344353,0.68648114,0.11487467,2.03905540,1.36899761,0.66759628
-5.46573287,4.88304330,0.06726707,0.60984573,0.78071947,0.68432198,0.11528949,1.99594877,1.32441928,0.66263684
-5.45972986,4.79243144,0.06788814,0.60092564,0.75038759,0.68074460,0.11521973,1.95364442,1.28484271,0.65673241
-5.45372686,4.70209358,0.06827759,0.59169516,0.72271841,0.67578152,0.11468463,1.91246316,1.25032855,0.64970154
-5.44772386,4.61230387,0.06843497,0.58203688,0.69794537,0.66951284,0.11371457,1.87276536,1.22095137,0.64140157
-5.44172086,4.52351779,0.06836526,0.57187458,0.67626524,0.66206526,0.11235012,1.83495326,1.19681442,0.63173882
-5.43571786,4.43638423,0.06807883,0.56118016,0.65783797,0.65360876,0.11064080,1.79946829,1.17805899,0.62067623
-5.42971486,4.35174192,0.06759114,0.54997781,0.64278608,0.64435091,0.10864340,1.76678333,1.16486808,0.60823799
-5.42371186,4.27060081,0.06692219,0.53834512,0.63119351,0.63452920,0.10642015,1.73739050,1.15746401,0.59451124
-5.41770885,4.19410930,0.06609590,0.52641119,0.62310419,0.62440160,0.10403660,1.71178482,1.15610012,0.57964457
-5.41170585,4.12350943,0.06513929,0.51435195,0.61852037,0.61423601,0.10155940,1.69044481,1.16104707,0.56384369
-5.40570285,4.06008262,0.06408153,0.50238284,0.61740112,0.60429882,0.09905412,1.67381110,1.17257441,0.54736447
-5.39969985,4.00508913,0.06295300,0.49074949,0.61966117,0.59484342,0.09658307,1.66226425,1.19092849,0.53050380
-5.39369685,3.95970469,0.06178428,0.47971680,0.62517022,0.58609903,0.09420338,1.65610296,1.21630782,0.51358892
-5.38769385,3.92495783,0.06060522,0.46955700,0.63375317,0.57826040,0.09196520,1.65552408,1.24883738,0.49696562
-5.38169085,3.90167140,0.05944403,0.46053747,0.64519124,0.57147890,0.08991028,1.66060542,1.28854316,0.48098614
-5.37568784,3.89041149,0.05832656,0.45290866,0.65922424,0.56585546,0.08807091,1.67129256,1.33532850,0.46599720
-5.36968484,3.89144654,0.05727562,0.44689304,0.67555397,0.56143554,0.08646924,1.68739033,1.38895362,0.45232891
-5.36368184,3.90471883,0.05631061,0.44267530,0.69384888,0.55820649,0.08511696,1.70855969,1.44901969,0.44028483
-5.35767884,3.92983002,0.05544716,0.44039443,0.71374975,0.55609744,0.08401548,1.73432035,1.51495859,0.43013372
-5.35167584,3.96604144,0.05469707,0.44013791,0.73487654,0.55498151,0.08315641,1.76405912,1.58602923,0.42210324
-5.34567284,4.01228942,0.05406839,0.44193832,0.75683601,0.55468054,0.08252247,1.79704396,1.66132119,0.41637565
