energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,8.25684168,1.39827058,3.60669989,0.04324820,0.28441771,0.09250116,2.79096644,1.72081879,0.56106532
-5.99399700,8.45051346,1.42698711,3.71175725,0.04687829,0.28617949,0.09613302,2.84827271,1.72998965,0.57258189
-5.98799400,8.61949797,1.45142963,3.80716831,0.05071375,0.28700535,0.09949041,2.89639841,1.73302088,0.58237729
-5.98199100,8.76233646,1.47146077,3.89205725,0.05473615,0.28694638,0.10252489,2.93486477,1.73002965,0.59038438
-5.97598799,8.87791945,1.48699921,3.96566839,0.05892000,0.28606280,0.10519300,2.96334395,1.72122003,0.59656222
-5.96998499,8.96546932,1.49801566,4.02736303,0.06323243,0.28442070,0.10745696,2.98165401,1.70686965,0.60089370
-5.96398199,9.02451906,1.50452858,4.07661537,0.06763312,0.28208869,0.10928538,2.98975151,1.68731596,0.60338281
-5.95797899,9.05488917,1.50659988,4.11300836,0.07207458,0.27913485,0.11065372,2.98772258,1.66294271,0.60405174
-5.95197599,9.05666493,1.50433101,4.13623033,0.07650263,0.27562389,0.11154469,2.97577283,1.63416729,0.60293805
-5.94597299,9.03017566,1.49785968,4.14607302,0.08085735,0.27161488,0.11194839,2.95421704,1.60142940,0.60009211
-5.93996998,8.97597740,1.48735727,4.14243151,0.08507424,0.26715951,0.11186234,2.92346874,1.56518148,0.59557491
-5.93396698,8.89483992,1.47302706,4.12530622,0.08908573,0.26230102,0.11129137,2.88403036,1.52588100,0.58945636
-5.92796398,8.78773828,1.45510320,4.09480698,0.09282295,0.25707382,0.11024728,2.83648403,1.48398478,0.58181415
-5.92196098,8.65584880,1.43385032,4.05115887,0.09621765,0.25150382,0.10874852,2.78148311,1.43994508,0.57273318
-5.91595798,8.50054846,1.40956335,3.99470918,0.09920431,0.24560934,0.10681957,2.71974451,1.39420731,0.56230549
-5.90995498,8.32341651,1.38256751,3.92593478,0.10172221,0.23940259,0.10449040,2.65204134,1.34720905,0.55063064
-5.90395198,8.12623650,1.35321784,3.84544892,0.10371752,0.23289162,0.10179574,2.57919585,1.29937972,0.53781633
-5.89794897,7.91099674,1.32189807,3.75400637,0.10514516,0.22608249,0.09877438,2.50207199,1.25114075,0.52397916
-5.89194597,7.67988731,1.28901844,3.65250600,0.10597051,0.21898161,0.09546836,2.42156742,1.20290556,0.50924537
-5.88594297,7.43529155,1.25501214,3.54198964,0.10617071,0.21159807,0.09192218,2.33860432,1.15507895,0.49375126
-5.87993997,7.17977066,1.22033015,3.42363677,0.10573560,0.20394578,0.08818204,2.25411890,1.10805572,0.47764333
-5.87393697,6.91604024,1.18543457,3.29875424,0.10466825,0.19604524,0.08429497,2.16904930,1.06221805,0.46107778
-5.86793397,6.64693834,1.15079021,3.16876110,0.10298495,0.18792502,0.08030811,2.08432190,1.01793185,0.44421947
-5.86193097,6.37538532,1.11685489,3.03516862,0.10071473,0.17962260,0.07626790,2.00083618,0.97554178,0.42724022
-5.85592796,6.10433649,1.08406866,2.89955595,0.09789851,0.17118473,0.07221940,1.91944851,0.93536541,0.41031649
-5.84992496,5.83672922,1.05284238,2.76354259,0.09458770,0.16266720,0.06820555,1.84095550,0.89768663,0.39362649
-5.84392196,5.57542684,1.02354639,2.62875851,0.09084253,0.15413413,0.06426661,1.76607746,0.86274894,0.37734687
-5.83791896,5.32316196,0.99649970,2.49681351,0.08673008,0.14565668,0.06043957,1.69544294,0.83074876,0.36164917
-5.83191596,5.08248238,0.97196049,2.36926731,0.08232213,0.13731145,0.05675768,1.62957527,0.80182965,0.34669620
-5.82591296,4.85570238,0.95011859,2.24760169,0.07769293,0.12917852,0.05325011,1.56888179,0.77607771,0.33263852
-5.81990995,4.64486242,0.93109032,2.13319635,0.07291696,0.12133934,0.04994164,1.51364679,0.75351867,0.31961132
-5.81390695,4.45169957,0.91491643,2.02730940,0.06806683,0.11387447,0.04685252,1.46402869,0.73411700,0.30773178
-5.80790395,4.27763041,0.90156315,1.93106360,0.06321138,0.10686146,0.04399845,1.42006190,0.71777748,0.29709712
-5.80190095,4.12374761,0.89092664,1.84543878,0.05841396,0.10037276,0.04139067,1.38166361,0.70434899,0.28778343
-5.79589795,3.99083012,0.88284073,1.77127061,0.05373120,0.09447388,0.03903616,1.34864543,0.69363082,0.27984530
-5.78989495,3.87936666,0.87708760,1.70925543,0.04921191,0.08922182,0.03693795,1.32072932,0.68538104,0.27331631
-5.78389195,3.78959053,0.87341101,1.65996052,0.04489652,0.08466385,0.03509556,1.29756742,0.67932675,0.26821026
-5.77788894,3.72152382,0.87153129,1.62383872,0.04081682,0.08083655,0.03350544,1.27876459,0.67517561,0.26452304
-5.77188594,3.67502796,0.87116151,1.60124629,0.03699598,0.07776531,0.03216155,1.26390273,0.67262817,0.26223503
-5.76588294,3.64985733,0.87202383,1.59246222,0.03344895,0.07546405,0.03105590,1.25256561,0.67139034,0.26131389
-5.75987994,3.64571253,0.87386515,1.59770785,0.03018307,0.07393536,0.03017912,1.24436283,0.67118536,0.26171738
-5.75387694,3.66228968,0.87647127,1.61716481,0.02719887,0.07317084,0.02952100,1.23895173,0.67176469,0.26339625
-5.74787394,3.69932287,0.87967879,1.65099016,0.02449102,0.07315173,0.02907097,1.23605614,0.67291732,0.26629687
-5.74187094,3.75661665,0.88338395,1.69932731,0.02204938,0.07384976,0.02881849,1.23548079,0.67447696,0.27036357
-5.73586793,3.83406669,0.88754813,1.76231177,0.01986001,0.07522813,0.02875345,1.23712087,0.67632693,0.27554042
-5.72986493,3.93166718,0.89219952,1.84007111,0.01790621,0.07724269,0.02886630,1.24096611,0.67840248,0.28177259
-5.72386193,4.04950417,0.89743104,1.93271873,0.01616950,0.07984315,0.02914825,1.24709913,0.68069060,0.28900706
-5.71785893,4.18773537,0.90339444,2.04034167,0.01463045,0.08297447,0.02959124,1.25568846,0.68322741,0.29719285
-5.71185593,4.34655715,0.91029105,2.16298274,0.01326944,0.08657818,0.03018790,1.26697619,0.68609340,0.30628072
-5.70585293,4.52616056,0.91835961,2.30061783,0.01206729,0.09059386,0.03093136,1.28126139,0.68940685,0.31622246
-5.69984992,4.72667878,0.92786174,2.45312958,0.01100571,0.09496047,0.03181505,1.29887972,0.69331588,0.32696991
-5.69384692,4.94812873,0.93906587,2.62027855,0.01006767,0.09961780,0.03283237,1.32018060,0.69798962,0.33847378
-5.68784392,5.19035001,0.95223032,2.80167380,0.00923763,0.10450772,0.03397647,1.34550282,0.70360890,0.35068235
-5.68184092,5.45294474,0.96758650,2.99674435,0.00850166,0.10957546,0.03523984,1.37514994,0.71035703,0.36354035
-5.67583792,5.73522152,0.98532281,3.20471337,0.00784746,0.11477066,0.03661408,1.40936659,0.71841104,0.37698795
-5.66983492,6.03614713,1.00557018,3.42457714,0.00726435,0.12004833,0.03808963,1.44831670,0.72793372,0.39095999
-5.66383192,6.35430897,1.02838979,3.65509029,0.00674311,0.12536967,0.03965554,1.49206481,0.73906674,0.40538572
-5.65782891,6.68789115,1.05376361,3.89475913,0.00627595,0.13070256,0.04129936,1.54056123,0.75192512,0.42018878
-5.65182591,7.03466662,1.08158811,4.14184448,0.00585625,0.13602202,0.04300708,1.59363177,0.76659307,0.43528783
-5.64582291,7.39200712,1.11167150,4.39437504,0.00547847,0.14131031,0.04476315,1.65097259,0.78312134,0.45059754
-5.63981991,7.75691217,1.14373468,4.65017224,0.00513798,0.14655691,0.04655064,1.71215035,0.80152598,0.46603013
-5.63381691,8.12605741,1.17741574,4.90688676,0.00483088,0.15175833,0.04835145,1.77660799,0.82178850,0.48149736
-5.62781391,8.49586204,1.21227817,5.16204648,0.00455391,0.15691774,0.05014662,1.84367573,0.84385735,0.49691294
-5.62181091,8.86257386,1.24782216,5.41311532,0.00430434,0.16204451,0.05191669,1.91258720,0.86765044,0.51219531
-5.61580790,9.22236990,1.28349882,5.65756137,0.00407986,0.16715365,0.05364220,1.98250001,0.89305876,0.52727062
-5.60980490,9.57146948,1.31872678,5.89293239,0.00387853,0.17226533,0.05530410,2.05252012,0.91995074,0.54207592
-5.60380190,9.90625567,1.35291033,6.11693627,0.00369876,0.17740426,0.05688436,2.12172901,0.94817724,0.55656234
-5.59779890,10.22340062,1.38545867,6.32752317,0.00353926,0.18259926,0.05836639,2.18921269,0.97757699,0.57069810
-5.59179590,10.51998935,1.41580530,6.52296582,0.00339907,0.18788281,0.05973556,2.25409136,1.00798229,0.58447130
-5.58579290,10.79363627,1.44342682,6.70193441,0.00327752,0.19329070,0.06097965,2.31554842,1.03922461,0.59789215
-5.57978989,11.04258866,1.46786038,6.86356176,0.00317428,0.19886171,0.06208916,2.37285764,1.07114008,0.61099459
-5.57378689,11.26581133,1.48871894,7.00749533,0.00308938,0.20463737,0.06305762,2.42540729,1.10357440,0.62383711
-5.56778389,11.46304719,1.50570380,7.13393213,0.00302323,0.21066167,0.06388170,2.47271997,1.13638710,0.63650262
-5.56178089,11.63484926,1.51861369,7.24363385,0.00297662,0.21698071,0.06456126,2.51446734,1.16945477,0.64909719
-5.55577789,11.78258077,1.52735019,7.33791972,0.00295074,0.22364223,0.06509922,2.55047881,1.20267314,0.66174779
-5.54977489,11.90838122,1.53191900,7.41863597,0.00294719,0.23069503,0.06550133,2.58074385,1.23595773,0.67459877
-5.54377189,12.01509816,1.53242726,7.48810149,0.00296799,0.23818804,0.06577584,2.60540750,1.26924302,0.68780727
-5.53776888,12.10618589,1.52907689,7.54903089,0.00301551,0.24616928,0.06593299,2.62475947,1.30247999,0.70153769
-5.53176588,12.18557432,1.52215432,7.60443715,0.00309247,0.25468446,0.06598448,2.63921701,1.33563212,0.71595527
-5.52576288,12.25751280,1.51201723,7.65751725,0.00320189,0.26377536,0.06594287,2.64930253,1.36866997,0.73121915
-5.51975988,12.32639535,1.49907879,7.71152551,0.00334700,0.27347799,0.06582094,2.65561694,1.40156450,0.74747508
-5.51375688,12.39657507,1.48379034,7.76963992,0.00353120,0.28382055,0.06563103,2.65880998,1.43427962,0.76484820
-5.50775388,12.47217630,1.46662332,7.83482769,0.00375793,0.29482141,0.06538447,2.65954916,1.46676426,0.78343614
-5.50175088,12.55691352,1.44805129,7.90971635,0.00403062,0.30648698,0.06509104,2.65848869,1.49894458,0.80330288
-5.49574787,12.65392611,1.42853294,7.99647684,0.00435254,0.31880992,0.06475853,2.65624015,1.53071689,0.82447359
-5.48974487,12.76563721,1.40849687,8.09672442,0.00472670,0.33176741,0.06439243,2.65334621,1.56194178,0.84693085
-5.48374187,12.89364401,1.38832879,8.21144261,0.00515574,0.34532001,0.06399573,2.65025890,1.59244015,0.87061233
-5.47773887,13.03864513,1.36836163,8.34093422,0.00564180,0.35941089,0.06356891,2.64732328,1.62199151,0.89541020
-5.47173587,13.20040873,1.34886893,8.48480197,0.00618644,0.37396573,0.06310999,2.64476731,1.65033507,0.92117232
-5.46573287,13.37778300,1.33006159,8.64195982,0.00679047,0.38889316,0.06261483,2.64269843,1.67717369,0.94770511
-5.45972986,13.56874794,1.31208800,8.81067426,0.00745390,0.40408595,0.06207747,2.64110653,1.70218089,0.97477797
-5.45372686,13.77050543,1.29503714,8.98863329,0.00817582,0.41942277,0.06149061,2.63987322,1.72501068,1.00212920
-5.44772386,13.97960228,1.27894450,9.17303908,0.00895433,0.43477056,0.06084612,2.63878640,1.74530992,1.02947293
-5.44172086,14.19207892,1.26380006,9.36071921,0.00978645,0.44998734,0.06013570,2.63755934,1.76273265,1.05650689
-5.43571786,14.40363560,1.24955776,9.54825011,0.01066810,0.46492544,0.05935147,2.63585268,1.77695563,1.08292052
-5.42971486,14.60980641,1.23614591,9.73208607,0.01159406,0.47943490,0.05848656,2.63329828,1.78769441,1.10840324
-5.42371186,14.80613202,1.22347770,9.90868670,0.01255795,0.49336696,0.05753570,2.62952319,1.79471874,1.13265226
-5.41770885,14.98832172,1.21146130,10.07463631,0.01355224,0.50657747,0.05649570,2.62417248,1.79786678,1.15537985
-5.41170585,15.15239690,1.20000895,10.22674921,0.01456835,0.51893007,0.05536587,2.61692960,1.79705677,1.17631967
-5.40570285,15.29480928,1.18904454,10.36215618,0.01559664,0.53029904,0.05414829,2.60753323,1.79229574,1.19523198
-5.39969985,15.41252913,1.17850948,10.47836869,0.01662660,0.54057166,0.05284797,2.59578981,1.78368447,1.21190770
-5.39369685,15.50310118,1.16836657,10.57331920,0.01764694,0.54965018,0.05147293,2.58158136,1.77141825,1.22617117
-5.38769385,15.56466758,1.15860185,10.64537732,0.01864579,0.55745310,0.05003404,2.56486840,1.75578335,1.23788174
-5.38169085,15.59596010,1.14922455,10.69334342,0.01961089,0.56391604,0.04854486,2.54568815,1.73714924,1.24693428
-5.37568784,15.59626506,1.14026538,10.71642271,0.02052982,0.56899208,0.04702128,2.52414855,1.71595684,1.25325876
-5.36968484,15.56536663,1.13177333,10.71418380,0.02139030,0.57265159,0.04548107,2.50041884,1.69270341,1.25681908
-5.36368184,15.50347466,1.12381153,10.68650679,0.02218041,0.57488181,0.04394338,2.47471757,1.66792481,1.25761143
-5.35767884,15.41114429,1.11645240,10.63352611,0.02288894,0.57568598,0.04242820,2.44729903,1.64217604,1.25566224
-5.35167584,15.28919409,1.10977259,10.55557341,0.02350564,0.57508237,0.04095571,2.41843920,1.61601102,1.25102607
-5.34567284,15.13862928,1.10384811,10.45312535,0.02402152,0.57310305,0.03954565,2.38842217,1.58996265,1.24378341
-5.33966983,14.96057554,1.09874988,10.32676021,0.02442909,0.56979270,0.03821676,2.35752786,1.56452417,1.23403854
-5.33366683,14.75622726,1.09454008,10.17712629,0.02472263,0.56520721,0.03698619,2.32602177,1.54013262,1.22191752
-5.32766383,14.52681295,1.09126942,10.00492380,0.02489833,0.55941237,0.03586896,2.29414725,1.51715526,1.20756624
-5.32166083,14.27357848,1.08897544,9.81090040,0.02495447,0.55248253,0.03487751,2.26212043,1.49587941,1.19114852
-5.31565783,13.99778734,1.08768193,9.59585960,0.02489147,0.54449920,0.03402137,2.23012803,1.47650614,1.17284415
-5.30965483,13.70073566,1.08739927,9.36067985,0.02471189,0.53554972,0.03330683,2.19832767,1.45914795,1.15284676
-5.30365183,13.38377858,1.08812579,9.10634122,0.02442041,0.52572582,0.03273682,2.16685054,1.44383039,1.13136156
-5.29764882,13.04836366,1.08984981,8.83395630,0.02402367,0.51512228,0.03231084,2.13580573,1.43049723,1.10860274
-5.29164582,12.69606685,1.09255225,8.54480121,0.02353011,0.50383543,0.03202496,2.10528587,1.41901895,1.08479055
-5.28564282,12.32862630,1.09620961,8.24034306,0.02294971,0.49196184,0.03187203,2.07537338,1.40920386,1.06014814
-5.27963982,11.94796996,1.10079709,7.92226034,0.02229371,0.47959684,0.03184188,2.04614679,1.40081115,1.03489814
-5.27363682,11.55623337,1.10629170,7.59245360,0.02157426,0.46683329,0.03192167,2.01768669,1.39356526,1.00925906
-5.26763382,11.15576529,1.11267514,7.25304427,0.02080413,0.45376034,0.03209636,1.99008077,1.38717083,0.98344175
-5.26163082,10.74911974,1.11993637,6.90636085,0.01999632,0.44046244,0.03234913,1.96342777,1.38132741,0.95764599
-5.25562781,10.33903406,1.12807367,6.55491241,0.01916373,0.42701850,0.03266196,1.93784007,1.37574342,0.93205741
-5.24962481,9.92839409,1.13709624,6.20135025,0.01831881,0.41350134,0.03301623,1.91344490,1.37014873,0.90684489
-5.24362181,9.52018793,1.14702514,5.84841983,0.01747334,0.39997741,0.03339329,1.89038411,1.36430544,0.88215860
-5.23761881,9.11745110,1.15789356,5.49890508,0.01663812,0.38650677,0.03377508,1.86881266,1.35801644,0.85812880
-5.23161581,8.72320582,1.16974652,5.15556832,0.01582281,0.37314343,0.03414472,1.84889602,1.35113167,0.83486536
-5.22561281,8.34039794,1.18263980,4.82108867,0.01503580,0.35993587,0.03448704,1.83080659,1.34355182,0.81245819
-5.21960980,7.97183450,1.19663831,4.49800230,0.01428408,0.34692779,0.03478907,1.81471943,1.33522962,0.79097828
-5.21360680,7.62012517,1.21181370,4.18864719,0.01357325,0.33415905,0.03504043,1.80080747,1.32616874,0.77047943
-5.20760380,7.28762991,1.22824145,3.89511509,0.01290752,0.32166660,0.03523367,1.78923642,1.31642066,0.75100054
-5.20160080,6.97641499,1.24599733,3.61921253,0.01228979,0.30948554,0.03536444,1.78015951,1.30607962,0.73256803
-5.19559780,6.68821880,1.26515340,3.36243216,0.01172171,0.29764994,0.03543157,1.77371231,1.29527617,0.71519850
-5.18959480,6.42442799,1.28577357,3.12593527,0.01120382,0.28619370,0.03543705,1.77000756,1.28416963,0.69890126
-5.18359180,6.18606423,1.30790880,2.91054528,0.01073568,0.27515102,0.03538587,1.76913032,1.27293988,0.68368055
-5.17758879,5.97378101,1.33159215,2.71675185,0.01031602,0.26455679,0.03528570,1.77113331,1.26177885,0.66953733
-5.17158579,5.78786958,1.35683379,2.54472442,0.00994289,0.25444660,0.03514654,1.77603273,1.25088223,0.65647061
-5.16558279,5.62827288,1.38361603,2.39433378,0.00961377,0.24485659,0.03498021,1.78380443,1.24044156,0.64447802
-5.15957979,5.49460586,1.41188871,2.26517992,0.00932572,0.23582303,0.03479982,1.79438057,1.23063709,0.63355598
-5.15357679,5.38618078,1.44156499,2.15662447,0.00907547,0.22738166,0.03461915,1.80764696,1.22163167,0.62369915
-5.14757379,5.30203597,1.47251776,2.06782569,0.00885954,0.21956700,0.03445203,1.82344097,1.21356574,0.61489953
-5.14157079,5.24096665,1.50457692,1.99777446,0.00867427,0.21241151,0.03431175,1.84155029,1.20655356,0.60714519
-5.13556778,5.20155670,1.53752750,1.94532968,0.00851595,0.20594480,0.03421042,1.86171249,1.20068064,0.60041886
-5.12956478,5.18221046,1.57110903,1.90925185,0.00838080,0.20019290,0.03415850,1.88361558,1.19600243,0.59469660
-5.12356178,5.18118389,1.60501602,1.88823384,0.00826507,0.19517766,0.03416435,1.90689970,1.19254405,0.58994659
-5.11755878,5.19661481,1.63889981,1.88092831,0.00816502,0.19091635,0.03423387,1.93115992,1.19030098,0.58612835
-5.11155578,5.22655209,1.67237182,1.88597146,0.00807701,0.18742147,0.03437032,1.95595028,1.18924060,0.58319248
-5.10555278,5.26898380,1.70500823,1.90200313,0.00799750,0.18470084,0.03457419,1.98078918,1.18930435,0.58108094
-5.09954977,5.32186471,1.73635599,1.92768350,0.00792307,0.18275787,0.03484326,2.00516604,1.19041039,0.57972804
-5.09354677,5.38314337,1.76594034,1.96170694,0.00785054,0.18159211,0.03517277,2.02854926,1.19245665,0.57906209
-5.08754377,5.45078915,1.79327345,2.00281339,0.00777693,0.18119996,0.03555566,2.05039543,1.19532403,0.57900758
-5.08154077,5.52281950,1.81786434,2.04979824,0.00769956,0.18157547,0.03598297,2.07015959,1.19887991,0.57948795
-5.07553777,5.59732760,1.83922956,2.10152097,0.00761611,0.18271127,0.03644432,2.08730641,1.20298154,0.58042861
-5.06953477,5.67251028,1.85690471,2.15691348,0.00752465,0.18459942,0.03692834,2.10132204,1.20747961,0.58176020
-5.06353177,5.74669606,1.87045619,2.21498818,0.00742372,0.18723219,0.03742326,2.11172631,1.21222166,0.58342170
-5.05752876,5.81837263,1.87949301,2.27484632,0.00731235,0.19060263,0.03791744,2.11808477,1.21705548,0.58536335
-5.05152576,5.88621315,1.88367817,2.33568662,0.00719010,0.19470485,0.03839982,2.12002042,1.22183225,0.58754894
-5.04552276,5.94910032,1.88273923,2.39681384,0.00705710,0.19953409,0.03886042,2.11722442,1.22640954,0.58995750
-5.03951976,6.00614706,1.87647752,2.45764720,0.00691403,0.20508628,0.03929071,2.10946535,1.23065391,0.59258393
-5.03351676,6.05671277,1.86477571,2.51772801,0.00676209,0.21135724,0.03968386,2.09659673,1.23444307,0.59543876
-5.02751376,6.10041370,1.84760317,2.57672601,0.00660300,0.21834158,0.04003493,2.07856211,1.23766751,0.59854664
-5.02151076,6.13712672,1.82501886,2.63444363,0.00643891,0.22603113,0.04034095,2.05539762,1.24023156,0.60194383
-5.01550775,6.16698539,1.79717161,2.69081767,0.00627232,0.23441312,0.04060084,2.02723157,1.24205366,0.60567457
-5.00950475,6.19036811,1.76429736,2.74591783,0.00610600,0.24346820,0.04081532,1.99428107,1.24306598,0.60978658
-5.00350175,6.20787810,1.72671374,2.79994152,0.00594286,0.25316839,0.04098663,1.95684564,1.24321343,0.61432589
-4.99749875,6.22031576,1.68481176,2.85320489,0.00578584,0.26347515,0.04111825,1.91529801,1.24245202,0.61933128
-4.99149575,6.22864435,1.63904514,2.90613000,0.00563776,0.27433766,0.04121456,1.87007245,1.24074695,0.62482866
-4.98549275,6.23395021,1.58991768,2.95922827,0.00550124,0.28569168,0.04128047,1.82165116,1.23807049,0.63082579
-4.97948974,6.23739948,1.53796907,3.01308079,0.00537853,0.29745898,0.04132106,1.77054917,1.23440010,0.63730773
-4.97348674,6.24019327,1.48375990,3.06831606,0.00527147,0.30954755,0.04134129,1.71729872,1.22971706,0.64423338
-4.96748374,6.24352357,1.42785658,3.12558600,0.00518133,0.32185282,0.04134571,1.66243365,1.22400587,0.65153345
-4.96148074,6.24853207,1.37081675,3.18554115,0.00510882,0.33425987,0.04133832,1.60647468,1.21725488,0.65911014
-4.95547774,6.25627400,1.31317601,3.24880595,0.00505401,0.34664666,0.04132252,1.54991628,1.20945823,0.66683870
-4.94947474,6.26768868,1.25543646,3.31595513,0.00501634,0.35888830,0.04130111,1.49321574,1.20061933,0.67457094
-4.94347174,6.28357817,1.19805756,3.38749195,0.00499464,0.37086224,0.04127651,1.43678496,1.19075583,0.68214071
-4.93746873,6.30459457,1.14144976,3.46382898,0.00498723,0.38245415,0.04125096,1.38098525,1.17990597,0.68937107
-4.93146573,6.33123624,1.08597089,3.54527204,0.00499191,0.39356424,0.04122696,1.32612537,1.16813600,0.69608293
-4.92546273,6.36385236,1.03192553,3.63200737,0.00500618,0.40411382,0.04120763,1.27246260,1.15554823,0.70210477
-4.91945973,6.40265477,0.97956707,3.72409252,0.00502727,0.41405153,0.04119722,1.22020669,1.14228909,0.70728282
-4.91345673,6.44773541,0.92910209,3.82145050,0.00505236,0.42335909,0.04120159,1.16952620,1.12855657,0.71149134
-4.90745373,6.49908772,0.88069675,3.92386748,0.00507867,0.43205596,0.04122867,1.12055675,1.11460629,0.71464221
-4.90145073,6.55662956,0.83448449,4.03099341,0.00510366,0.44020275,0.04128880,1.07341033,1.10075542,0.71669329
-4.89544772,6.62022589,0.79057449,4.14234555,0.00512515,0.44790286,0.04139508,1.02818512,1.08738386,0.71765514
-4.88944472,6.68970904,0.74906021,4.25731458,0.00514144,0.45530225,0.04156347,0.98497496,1.07493199,0.71759539
-4.88344172,6.76489511,0.71002742,4.37517305,0.00515144,0.46258708,0.04181279,0.94387784,1.06389471,0.71664060
-4.87743872,6.84559520,0.67356115,4.49508610,0.00515475,0.46997922,0.04216452,0.90500279,1.05481147,0.71497528
-4.87143572,6.93162101,0.63975111,4.61612434,0.00515172,0.47772969,0.04264240,0.86847470,1.04825243,0.71283799
-4.86543272,7.02278440,0.60869521,4.73727888,0.00514348,0.48611014,0.04327189,0.83443674,1.04480097,0.71051468
-4.85942971,7.11889161,0.58050111,4.85747842,0.00513191,0.49540280,0.04407937,0.80305020,1.04503317,0.70832942
-4.85342671,7.21973277,0.55528546,4.97560844,0.00511964,0.50588918,0.04509127,0.77449185,1.04949505,0.70663294
-4.84742371,7.32506793,0.53317133,5.09053224,0.00510991,0.51783804,0.04633306,0.74894881,1.05867854,0.70578953
-4.84142071,7.43461110,0.51428358,5.20111357,0.00510656,0.53149331,0.04782814,0.72661145,1.07299733,0.70616280
-4.83541771,7.54801372,0.49874291,5.30624034,0.00511382,0.54706226,0.04959671,0.70766464,1.09276391,0.70810109
-4.82941471,7.66484898,0.48665870,5.40484886,0.00513624,0.56470484,0.05165472,0.69227787,1.11816889,0.71192308
-4.82341171,7.78459837,0.47812126,5.49594760,0.00517848,0.58452447,0.05401282,0.68059487,1.14926400,0.71790445
