energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.86650945,0.04920856,0.26245964,0.90368301,0.74939411,1.59066890,0.37507342,0.05675596,1.96457506
-5.99399700,3.80924981,0.04984797,0.26267006,0.89804772,0.74920952,1.56646925,0.36542658,0.05499352,1.92639980
-5.98799400,3.75615504,0.05045568,0.26277504,0.89257176,0.74934435,1.54234375,0.35693441,0.05349959,1.89098569
-5.98199100,3.70721595,0.05101067,0.26271545,0.88724548,0.74969906,1.51854771,0.34959210,0.05225882,1.85842254
-5.97598799,3.66238651,0.05149277,0.26243527,0.88206024,0.75016701,1.49532228,0.34338895,0.05125492,1.82877131
-5.96998499,3.62159028,0.05188326,0.26188267,0.87701081,0.75063803,1.47289032,0.33831004,0.05047100,1.80206746
-5.96398199,3.58472868,0.05216540,0.26101116,0.87209809,0.75100227,1.45145345,0.33433787,0.04988987,1.77832530
-5.95797899,3.55169089,0.05232499,0.25978071,0.86733159,0.75115449,1.43119059,0.33145415,0.04949430,1.75754325
-5.95197599,3.52236484,0.05235086,0.25815891,0.86273192,0.75099831,1.41225758,0.32964147,0.04926729,1.73970955
-5.94597299,3.49664848,0.05223525,0.25612201,0.85833271,0.75045041,1.39478803,0.32888479,0.04919223,1.72480824
-5.93996998,3.47446065,0.05197417,0.25365584,0.85418213,0.74944430,1.37889486,0.32917279,0.04925317,1.71282469
-5.93396698,3.45575063,0.05156762,0.25075658,0.85034347,0.74793366,1.36467246,0.33049876,0.04943496,1.70375052
-5.92796398,3.44050549,0.05101964,0.24743128,0.84689503,0.74589478,1.35219898,0.33286113,0.04972348,1.69758724
-5.92196098,3.42875455,0.05033829,0.24369803,0.84392892,0.74332819,1.34153856,0.33626352,0.05010577,1.69434834
-5.91595798,3.42057033,0.04953545,0.23958594,0.84154886,0.74025916,1.33274302,0.34071420,0.05057018,1.69405956
-5.90995498,3.41606555,0.04862655,0.23513459,0.83986711,0.73673712,1.32585294,0.34622500,0.05110645,1.69675711
-5.90395198,3.41538616,0.04763009,0.23039334,0.83900036,0.73283400,1.32089783,0.35280969,0.05170581,1.70248378
-5.89794897,3.41870043,0.04656718,0.22542015,0.83906498,0.72864141,1.31789525,0.36048184,0.05236102,1.71128307
-5.89194597,3.42618474,0.04546087,0.22028016,0.84017172,0.72426700,1.31684903,0.36925227,0.05306629,1.72319170
-5.88594297,3.43800654,0.04433552,0.21504408,0.84242007,0.71983003,1.31774651,0.37912626,0.05381731,1.73823067
-5.87993997,3.45430570,0.04321610,0.20978633,0.84589270,0.71545642,1.32055516,0.39010050,0.05461106,1.75639561
-5.87393697,3.47517522,0.04212750,0.20458316,0.85065011,0.71127354,1.32521864,0.40216018,0.05544571,1.77764693
-5.86793397,3.50064258,0.04109382,0.19951073,0.85672593,0.70740510,1.33165291,0.41527623,0.05632042,1.80190045
-5.86193097,3.53065311,0.04013781,0.19464322,0.86412308,0.70396633,1.33974248,0.42940291,0.05723516,1.82901920
-5.85592796,3.56505639,0.03928023,0.19005116,0.87281106,0.70105972,1.34933736,0.44447596,0.05819049,1.85880706
-5.84992496,3.60359701,0.03853946,0.18579995,0.88272450,0.69877165,1.36025110,0.46041145,0.05918733,1.89100479
-5.84392196,3.64591029,0.03793105,0.18194859,0.89376322,0.69717008,1.37226007,0.47710537,0.06022680,1.92528887
-5.83791896,3.69152371,0.03746749,0.17854874,0.90579373,0.69630330,1.38510441,0.49443409,0.06131006,1.96127356
-5.83191596,3.73986414,0.03715800,0.17564416,0.91865222,0.69620003,1.39849074,0.51225568,0.06243812,1.99851612
-5.82591296,3.79027082,0.03700849,0.17327034,0.93214891,0.69687068,1.41209669,0.53041208,0.06361178,2.03652527
