energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,6.80792706,0.72365735,4.11491233,0.00647454,0.11118569,0.68360915,0.61462182,0.10145236,1.35719047
-5.99399700,6.52891113,0.68605519,3.95549456,0.00606217,0.11074102,0.65870145,0.59551758,0.09619082,1.28508591
-5.98799400,6.28195090,0.64937860,3.81942891,0.00568159,0.11058329,0.63752564,0.57864293,0.09135961,1.21778589
-5.98199100,6.07015805,0.61416727,3.70824924,0.00533802,0.11077878,0.62044221,0.56430553,0.08701030,1.15602564
-5.97598799,5.89564663,0.58088318,3.62285222,0.00503591,0.11138589,0.60768214,0.55273386,0.08317586,1.10034798
-5.96998499,5.75951765,0.54990174,3.56349355,0.00477900,0.11245402,0.59934614,0.54407652,0.07987107,1.05109821
-5.96398199,5.66187861,0.52150673,3.52980545,0.00457034,0.11402291,0.59540840,0.53840427,0.07709350,1.00842633
-5.95797899,5.60189532,0.49588882,3.52083386,0.00441246,0.11612223,0.59572459,0.53571453,0.07482500,0.97229623
-5.95197599,5.57787165,0.47314759,3.53509255,0.00430741,0.11877142,0.60004339,0.53593800,0.07303368,0.94250087
-5.94597299,5.58735269,0.45329661,3.57063136,0.00425691,0.12197997,0.60802137,0.53894680,0.07167625,0.91868253
-5.93996998,5.62724551,0.43627120,3.62511499,0.00426242,0.12574774,0.61924018,0.54456371,0.07070054,0.90035704
-5.93396698,5.69395181,0.42193824,3.69590889,0.00432524,0.13006567,0.63322563,0.55257200,0.07004817,0.88694054
-5.92796398,5.78350656,0.41010764,3.78016851,0.00444656,0.13491653,0.64946771,0.56272534,0.06965716,0.87777783
-5.92196098,5.89171683,0.40054466,3.87492845,0.00462749,0.14027583,0.66744087,0.57475726,0.06946452,0.87217070
-5.91595798,6.01429564,0.39298271,3.97718821,0.00486907,0.14611273,0.68662384,0.58838992,0.06940859,0.86940548
-5.90995498,6.14698598,0.38713598,4.08399174,0.00517220,0.15239100,0.70651812,0.60334175,0.06943107,0.86877849
-5.90395198,6.28567126,0.38271146,4.19249823,0.00553761,0.15906996,0.72666465,0.61933370,0.06947883,0.86961870
-5.89794897,6.42646913,0.37941996,4.30004232,0.00596575,0.16610523,0.74665800,0.63609407,0.06950521,0.87130685
-5.89194597,6.56580648,0.37698574,4.40418247,0.00645661,0.17344948,0.76615762,0.65336184,0.06947099,0.87329070
-5.88594297,6.70047486,0.37515461,4.50273673,0.00700966,0.18105300,0.78489581,0.67088852,0.06934497,0.87509591
-5.87993997,6.82766589,0.37370028,4.59380592,0.00762363,0.18886411,0.80268228,0.68843869,0.06910410,0.87633279
-5.87393697,6.94498784,0.37242894,4.67578457,0.00829636,0.19682945,0.81940504,0.70578947,0.06873331,0.87669884
-5.86793397,7.05046473,0.37118201,4.74736083,0.00902466,0.20489415,0.83502792,0.72272917,0.06822499,0.87597751
-5.86193097,7.14252063,0.36983729,4.80750657,0.00980418,0.21300188,0.84958483,0.73905544,0.06757822,0.87403356
