energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,5.82626050,0.01816266,0.07208990,2.11385894,0.62446694,0.10878458,3.50483342,0.58844521,0.28629323
-5.99399700,5.72423501,0.01793631,0.07280617,2.07253358,0.62034781,0.10563218,3.43808015,0.57546035,0.28278261
-5.98799400,5.61305318,0.01766847,0.07360266,2.02625547,0.61508722,0.10252507,3.36530014,0.56223097,0.27887283
-5.98199100,5.49379522,0.01736114,0.07444348,1.97571842,0.60878821,0.09948225,3.28729109,0.54881155,0.27456367
-5.97598799,5.36766848,0.01701701,0.07529263,1.92165038,0.60156910,0.09652559,3.20492665,0.53526355,0.26986570
-5.96998499,5.23595654,0.01663930,0.07611467,1.86479106,0.59355765,0.09367849,3.11912257,0.52165096,0.26479875
-5.96398199,5.09996690,0.01623160,0.07687524,1.80586980,0.58488483,0.09096453,3.03080228,0.50803592,0.25939020
-5.95797899,4.96098026,0.01579773,0.07754179,1.74558474,0.57567872,0.08840608,2.94086356,0.49447463,0.25367309
-5.95197599,4.82020354,0.01534159,0.07808412,1.68458413,0.56605873,0.08602299,2.85014790,0.48101387,0.24768430
-5.94597299,4.67872905,0.01486704,0.07847498,1.62345072,0.55613052,0.08383144,2.75941396,0.46768821,0.24146266
-5.93996998,4.53750130,0.01437785,0.07869059,1.56268952,0.54598180,0.08184289,2.66931616,0.45451829,0.23504731
-5.93396698,4.39729293,0.01387757,0.07871101,1.50271962,0.53567919,0.08006331,2.58038916,0.44150994,0.22847616
-5.92796398,4.25869013,0.01336951,0.07852050,1.44387001,0.52526636,0.07849260,2.49303869,0.42865444,0.22178467
-5.92196098,4.12208797,0.01285672,0.07810768,1.38637933,0.51476346,0.07712435,2.40753880,0.41592965,0.21500478
-5.91595798,3.98769504,0.01234195,0.07746558,1.33039943,0.50416777,0.07594575,2.32403526,0.40330203,0.20816428
-5.90995498,3.85554681,0.01182767,0.07659160,1.27600219,0.49345564,0.07493786,2.24255452,0.39072931,0.20128633
-5.90395198,3.72552633,0.01131604,0.07548727,1.22318905,0.48258541,0.07407611,2.16301751,0.37816373,0.19438938
-5.89794897,3.59739086,0.01080897,0.07415801,1.17190270,0.47150133,0.07333098,2.08525733,0.36555545,0.18748726
-5.89194597,3.47080292,0.01030811,0.07261271,1.12204006,0.46013808,0.07266895,2.00903964,0.35285618,0.18058962
