energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,3.19533505,0.03626541,0.13216669,0.33637801,0.25243323,0.07789234,1.59898858,0.69589362,0.35070475
-5.99399700,3.14518406,0.03664130,0.13073576,0.33650328,0.24823958,0.07666581,1.57294302,0.68456565,0.34357437
-5.98799400,3.09894380,0.03699975,0.12949597,0.33799575,0.24380540,0.07565134,1.54885599,0.67430676,0.33722336
-5.98199100,3.05836624,0.03734027,0.12850981,0.34106323,0.23925405,0.07489249,1.52762893,0.66548055,0.33183591
-5.97598799,3.02513239,0.03766155,0.12783800,0.34589091,0.23471236,0.07442941,1.51012663,0.65842760,0.32758511
-5.96998499,3.00078699,0.03796139,0.12753687,0.35263465,0.23030602,0.07429697,1.49714431,0.65345262,0.32462587
-5.96398199,2.98667571,0.03823664,0.12765575,0.36141479,0.22615502,0.07452301,1.48937600,0.65081253,0.32308809
-5.95797899,2.98388728,0.03848320,0.12823461,0.37231080,0.22236921,0.07512674,1.48738546,0.65070583,0.32307052
-5.95197599,2.99320311,0.03869610,0.12930191,0.38535682,0.21904428,0.07611740,1.49158080,0.65326385,0.32463549
-5.94597299,3.01505648,0.03886965,0.13087285,0.40053839,0.21625825,0.07749316,1.50219396,0.65854402,0.32780479
-5.93996998,3.04950335,0.03899754,0.13294806,0.41779062,0.21406859,0.07924044,1.51926603,0.66652569,0.33255692
-5.93396698,3.09620623,0.03907311,0.13551284,0.43699768,0.21251022,0.08133358,1.54263909,0.67710854,0.33882579
-5.92796398,3.15443226,0.03908955,0.13853694,0.45799403,0.21159441,0.08373496,1.57195521,0.69011383,0.34650106
-5.92196098,3.22306594,0.03904013,0.14197504,0.48056726,0.21130853,0.08639560,1.60666280,0.70528841,0.35543016
-5.91595798,3.30063663,0.03891847,0.14576773,0.50446251,0.21161692,0.08925609,1.64603044,0.72231141,0.36542187
-5.90995498,3.38535997,0.03871876,0.14984311,0.52938851,0.21246261,0.09224809,1.68916761,0.74080350,0.37625143
-5.90395198,3.47519197,0.03843595,0.15411896,0.55502501,0.21376998,0.09529608,1.73505193,0.76033820,0.38766702
-5.89794897,3.56789395,0.03806597,0.15850525,0.58103137,0.21544813,0.09831953,1.78256177,0.78045511,0.39939733
-5.89194597,3.66110576,0.03760592,0.16290708,0.60705607,0.21739499,0.10123523,1.83051316,0.80067426,0.41115992
-5.88594297,3.75242435,0.03705414,0.16722777,0.63274668,0.21950175,0.10395991,1.87769934,0.82051131,0.42267009
-5.87993997,3.83948468,0.03641036,0.17137200,0.65776004,0.22165767,0.10641281,1.92293150,0.83949277,0.43364984
-5.87393697,3.92003918,0.03567576,0.17524895,0.68177204,0.22375480,0.10851830,1.96507895,0.85717069,0.44383659
-5.86793397,3.99203270,0.03485298,0.17877512,0.70448671,0.22569264,0.11020833,2.00310685,0.87313631,0.45299125
-5.86193097,4.05366941,0.03394616,0.18187687,0.72564420,0.22738230,0.11142466,2.03611009,0.88703193,0.46090529
-5.85592796,4.10346905,0.03296093,0.18449256,0.74502718,0.22875017,0.11212076,2.06334160,0.89856070,0.46740661
-5.84992496,4.14030980,0.03190428,0.18657399,0.76246552,0.22974081,0.11226329,2.08423408,0.90749376,0.47236388
-5.84392196,4.16345647,0.03078456,0.18808743,0.77783901,0.23031899,0.11183313,2.09841423,0.91367468,0.47568923
-5.83791896,4.17257276,0.02961133,0.18901397,0.79107800,0.23047080,0.11082589,2.10570889,0.91702094,0.47733929
-5.83191596,4.16771768,0.02839524,0.18934920,0.80216212,0.23020386,0.10925191,2.10614319,0.91752256,0.47731453
-5.82591296,4.14932682,0.02714784,0.18910254,0.81111706,0.22954662,0.10713572,2.09993104,0.91523804,0.47565699
-5.81990995,4.11817991,0.02588142,0.18829589,0.81800989,0.22854680,0.10451503,2.08745860,0.91028799,0.47244670
-5.81390695,4.07535700,0.02460879,0.18696208,0.82294314,0.22726919,0.10143928,2.06926204,0.90284682,0.46779695
-5.80790395,4.02218589,0.02334308,0.18514296,0.82604805,0.22579292,0.09796785,2.04600084,0.89313303,0.46184873
-5.80190095,3.96018397,0.02209746,0.18288742,0.82747757,0.22420832,0.09416798,2.01842832,0.88139874,0.45476462
-5.79589795,3.89099760,0.02088491,0.18024938,0.82739944,0.22261374,0.09011253,1.98736092,0.86791895,0.44672257
-5.78989495,3.81634236,0.01971798,0.17728586,0.82598982,0.22111227,0.08587767,1.95364802,0.85298115,0.43790978
-5.78389195,3.73794694,0.01860854,0.17405524,0.82342788,0.21980876,0.08154062,1.91814362,0.83687579,0.42851693
-5.77788894,3.65750324,0.01756755,0.17061585,0.81989155,0.21880715,0.07717746,1.88168132,0.81988799,0.41873312
-5.77188594,3.57662450,0.01660481,0.16702471,0.81555470,0.21820820,0.07286121,1.84505346,0.80229079,0.40874156
-5.76588294,3.49681274,0.01572882,0.16333680,0.81058564,0.21810775,0.06866014,1.80899506,0.78434013,0.39871612
-5.75987994,3.41943600,0.01494660,0.15960445,0.80514706,0.21859547,0.06463638,1.77417278,0.76627160,0.38881884
-5.75387694,3.34571519,0.01426353,0.15587714,0.79939711,0.21975405,0.06084493,1.74117897,0.74829883,0.37919833
-5.74787394,3.27671973,0.01368330,0.15220150,0.79349142,0.22165881,0.05733291,1.71053008,0.73061346,0.36998887
-5.74187094,3.21337063,0.01320787,0.14862146,0.78758564,0.22437752,0.05413928,1.68266893,0.71338621,0.36131031
