energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.08724752,0.00514904,0.64394297,1.99848634,0.35079213,0.05125749,2.33876662,0.77160536,1.01600632
-5.99399700,5.26584214,0.00522858,0.66847949,2.06694008,0.36758637,0.05397824,2.42016337,0.79795259,1.05482919
-5.98799400,5.43733450,0.00531118,0.69226793,2.13028868,0.38368475,0.05664846,2.49810157,0.82339913,1.09249587
-5.98199100,5.59987305,0.00539710,0.71507760,2.18772709,0.39887849,0.05924489,2.57173137,0.84768330,1.12864089
-5.97598799,5.75175963,0.00548669,0.73668522,2.23855093,0.41297560,0.06174661,2.64029569,0.87055830,1.16291193
-5.96998499,5.89151009,0.00558045,0.75688112,2.28218249,0.42580759,0.06413586,2.70316049,0.89180105,1.19497989
-5.96398199,6.01791125,0.00567910,0.77547530,2.31819388,0.43723574,0.06639873,2.75984267,0.91122070,1.22454879
-5.95797899,6.13007149,0.00578358,0.79230318,2.34632632,0.44715661,0.06852590,2.81003404,0.92866660,1.25136495
-5.95197599,6.22746244,0.00589509,0.80723068,2.36650454,0.45550658,0.07051313,2.85362016,0.94403526,1.27522523
-5.94597299,6.30994957,0.00601514,0.82015874,2.37884538,0.46226518,0.07236180,2.89069283,0.95727599,1.29598391
-5.93996998,6.37780970,0.00614557,0.83102674,2.38366010,0.46745698,0.07407913,2.92155519,0.96839479,1.31355794
-5.93396698,6.43173403,0.00628851,0.83981491,2.38144978,0.47115188,0.07567836,2.94671892,0.97745640,1.32793025
-5.92796398,6.47281577,0.00644636,0.84654558,2.37289393,0.47346387,0.07717860,2.96689304,0.98458411,1.33915109
-5.92196098,6.50252230,0.00662178,0.85128302,2.35883235,0.47454797,0.07860456,2.98296447,0.98995741,1.34733709
-5.91595798,6.52265213,0.00681760,0.85413207,2.34024092,0.47459581,0.07998598,2.99597080,0.99380727,1.35266815
-5.90995498,6.53527813,0.00703677,0.85523527,2.31820201,0.47382959,0.08135694,3.00706616,0.99640928,1.35538206
-5.90395198,6.54267862,0.00728221,0.85476879,2.29387063,0.47249496,0.08275488,3.01748131,0.99807475,1.35576710
-5.89794897,6.54725901,0.00755677,0.85293697,2.26843776,0.47085291,0.08421949,3.02847977,0.99914005,1.35415270
-5.89194597,6.55146685,0.00786303,0.84996588,2.24309211,0.46917101,0.08579144,3.04131154,0.99995456,1.35089844
-5.88594297,6.55770370,0.00820327,0.84609576,2.21898205,0.46771442,0.08751103,3.05716660,1.00086770,1.34638179
-5.87993997,6.56823732,0.00857924,0.84157281,2.19717917,0.46673697,0.08941677,3.07713009,1.00221544,1.34098490
-5.87393697,6.58511786,0.00899211,0.83664050,2.17864496,0.46647266,0.09154395,3.10214125,1.00430696,1.33508101
-5.86793397,6.61010149,0.00944236,0.83153063,2.16420193,0.46712796,0.09392330,3.13295776,1.00741185,1.32902080
-5.86193097,6.64458460,0.00992964,0.82645457,2.15451021,0.46887520,0.09657973,3.17012721,1.01174854,1.32311942
-5.85592796,6.68955124,0.01045277,0.82159508,2.15005055,0.47184723,0.09953120,3.21396668,1.01747434,1.31764454
-5.84992496,6.74553594,0.01100966,0.81709887,2.15111403,0.47613365,0.10278784,3.26455127,1.02467758,1.31280598
-5.84392196,6.81260322,0.01159731,0.81307043,2.15779877,0.48177855,0.10635124,3.32171183,1.03337230,1.30874749
-5.83791896,6.89034435,0.01221183,0.80956741,2.17001342,0.48878003,0.11021410,3.38504168,1.04349553,1.30554086
-5.83191596,6.97789126,0.01284854,0.80659770,2.18748690,0.49709122,0.11435999,3.45391171,1.05490762,1.30318293
-5.82591296,7.07394652,0.01350199,0.80411863,2.20978357,0.50662279,0.11876355,3.52749284,1.06739534,1.30159546
-5.81990995,7.17682787,0.01416617,0.80203811,2.23632309,0.51724686,0.12339087,3.60478443,1.08067785,1.30062809
-5.81390695,7.28452493,0.01483455,0.80021802,2.26640350,0.52880197,0.12820013,3.68464713,1.09441531,1.30006425
-5.80790395,7.39476553,0.01550035,0.79847958,2.29922668,0.54109887,0.13314246,3.76583855,1.10821964,1.29962988
-5.80190095,7.50508847,0.01615664,0.79661053,2.33392473,0.55392691,0.13816306,3.84704985,1.12166716,1.29900448
-5.79589795,7.61291991,0.01679655,0.79437396,2.36958641,0.56706069,0.14320233,3.92694191,1.13431252,1.29783421
-5.78989495,7.71564994,0.01741344,0.79151820,2.40528239,0.58026675,0.14819728,4.00417947,1.14570340,1.29574629
-5.78389195,7.81070674,0.01800108,0.78778754,2.44008880,0.59330996,0.15308283,4.07746224,1.15539528,1.29236422
-5.77788894,7.89562555,0.01855378,0.78293312,2.47310813,0.60595948,0.15779329,4.14555196,1.16296582,1.28732301
-5.77188594,7.96811041,0.01906654,0.77672365,2.50348745,0.61799403,0.16226371,4.20729507,1.16802825,1.28028381
-5.76588294,8.02608702,0.01953509,0.76895530,2.53043349,0.62920644,0.16643122,4.26164057,1.17024323,1.27094727
-5.75987994,8.06774546,0.01995601,0.75946037,2.55322460,0.63940727,0.17023628,4.30765338,1.16932882,1.25906509
-5.75387694,8.09157246,0.02032676,0.74811446,2.57121994,0.64842753,0.17362380,4.34452331,1.16506820,1.24444919
-5.74787394,8.09637279,0.02064560,0.73484168,2.58386586,0.65612059,0.17654414,4.37157027,1.15731499,1.22697826
-5.74187094,8.08128056,0.02091164,0.71961776,2.59070007,0.66236314,0.17895395,4.38824630,1.14599602,1.20660152
-5.73586793,8.04576085,0.02112473,0.70247103,2.59135379,0.66705547,0.18081684,4.39413514,1.13111162,1.18333949
-5.72986493,7.98960293,0.02128537,0.68348135,2.58555230,0.67012111,0.18210393,4.38894986,1.11273358,1.15728205
-5.72386193,7.91290635,0.02139461,0.66277693,2.57311424,0.67150588,0.18279414,4.37252932,1.09100101,1.12858398
-5.71785893,7.81606122,0.02145395,0.64052955,2.55394983,0.67117664,0.18287445,4.34483380,1.06611430,1.09745832
-5.71185593,7.69972416,0.02146519,0.61694839,2.52805836,0.66911976,0.18233988,4.30594026,1.03832782,1.06416808
-5.70585293,7.56479132,0.02143033,0.59227283,2.49552493,0.66533944,0.18119342,4.25603737,1.00794148,1.02901685
-5.69984992,7.41236981,0.02135148,0.56676464,2.45651661,0.65985608,0.17944577,4.19542056,0.97529175,0.99233870
-5.69384692,7.24374857,0.02123076,0.54070017,2.41127807,0.65270474,0.17711500,4.12448689,0.94074256,0.95448821
-5.68784392,7.06036989,0.02107026,0.51436256,2.36012655,0.64393367,0.17422611,4.04372988,0.90467628,0.91583083
-5.68184092,6.86380209,0.02087196,0.48803479,2.30344640,0.63360322,0.17081047,3.95373405,0.86748541,0.87673429
-5.67583792,6.65571424,0.02063777,0.46199345,2.24168284,0.62178484,0.16690528,3.85516902,0.82956498,0.83756116
-5.66983492,6.43785304,0.02036951,0.43650372,2.17533533,0.60856041,0.16255285,3.74878308,0.79130603,0.79866304
-5.66383192,6.21202217,0.02006896,0.41181556,2.10495028,0.59402173,0.15780002,3.63539604,0.75309021,0.76037637
-5.65782891,5.98006406,0.01973795,0.38816124,2.03111327,0.57827025,0.15269735,3.51589135,0.71528566,0.72301987
-5.65182591,5.74384395,0.01937839,0.36575409,1.95444090,0.56141683,0.14729852,3.39120725,0.67824399,0.68689363
-5.64582291,5.50523579,0.01899238,0.34478844,1.87557226,0.54358155,0.14165954,3.26232719,0.64229845,0.65227958
-5.63981991,5.26610966,0.01858230,0.32544058,1.79516021,0.52489348,0.13583805,3.13026928,0.60776296,0.61944314
-5.63381691,5.02832020,0.01815084,0.30787041,1.71386251,0.50549033,0.12989264,2.99607493,0.57493200,0.58863564
