energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,5.47403352,0.01479158,1.23580782,1.58505492,1.90458945,0.22640307,0.11508755,1.56036855
-5.99399700,5.30487545,0.01420409,1.20495330,1.54874996,1.86161019,0.22096728,0.11078045,1.50441395
-5.98799400,5.13412123,0.01362989,1.17392820,1.51168094,1.81772225,0.21526420,0.10654123,1.44771055
-5.98199100,4.96307438,0.01307046,1.14291825,1.47415877,1.77321698,0.20934722,0.10239885,1.39074945
-5.97598799,4.79296879,0.01252692,1.11209535,1.43648103,1.72838338,0.20327102,0.09837835,1.33400235
-5.96998499,4.62496934,0.01200010,1.08161846,1.39893171,1.68350734,0.19709102,0.09450109,1.27792148
-5.96398199,4.46017395,0.01149059,1.05163452,1.36178142,1.63887057,0.19086288,0.09078490,1.22294008
-5.95797899,4.29961624,0.01099882,1.02227924,1.32528756,1.59474903,0.18464199,0.08724439,1.16947334
-5.95197599,4.14426840,0.01052510,0.99367772,1.28969473,1.55141094,0.17848315,0.08389119,1.11791949
-5.94597299,3.99504380,0.01006968,0.96594480,1.25523501,1.50911449,0.17244023,0.08073430,1.06866083
-5.93996998,3.85279897,0.00963280,0.93918530,1.22212813,1.46810515,0.16656597,0.07778039,1.02206442
-5.93396698,3.71833475,0.00921476,0.91349400,1.19058155,1.42861286,0.16091173,0.07503408,0.97848246
-5.92796398,3.59239630,0.00881589,0.88895550,1.16079020,1.39084924,0.15552730,0.07249826,0.93825194
-5.92196098,3.47567217,0.00843664,0.86564408,1.13293612,1.35500483,0.15046074,0.07017439,0.90169368
-5.91595798,3.36879222,0.00807751,0.84362349,1.10718786,1.32124672,0.14575810,0.06806277,0.86911062
-5.90995498,3.27232453,0.00773914,0.82294684,1.08369959,1.28971651,0.14146311,0.06616277,0.84078530
-5.90395198,3.18677136,0.00742223,0.80365673,1.06261012,1.26052890,0.13761684,0.06447312,0.81697656
-5.89794897,3.11256439,0.00712754,0.78578540,1.04404166,1.23377088,0.13425715,0.06299213,0.79791556
-5.89194597,3.05005920,0.00685589,0.76935520,1.02809850,1.20950156,0.13141813,0.06171783,0.78380112
-5.88594297,2.99952928,0.00660809,0.75437917,1.01486556,1.18775271,0.12912938,0.06064821,0.77479462
-5.87993997,2.96115972,0.00638493,0.74086184,1.00440689,1.16852991,0.12741520,0.05978128,0.77101446
-5.87393697,2.93504067,0.00618718,0.72880003,0.99676415,1.15181421,0.12629377,0.05911518,0.77253052
-5.86793397,2.92116100,0.00601548,0.71818379,0.99195517,1.13756427,0.12577620,0.05864818,0.77935862
-5.86193097,2.91940229,0.00587040,0.70899725,0.98997267,1.12571879,0.12586567,0.05837869,0.79145548
-5.85592796,2.92953358,0.00575236,0.70121937,0.99078323,1.11619916,0.12655662,0.05830518,0.80871432
-5.84992496,2.95120731,0.00566163,0.69482453,0.99432655,1.10891210,0.12783407,0.05842601,0.83096151
-5.84392196,2.98395678,0.00559831,0.68978300,1.00051528,1.10375243,0.12967312,0.05873931,0.85795459
-5.83791896,3.02719572,0.00556235,0.68606115,1.00923534,1.10060556,0.13203871,0.05924278,0.88938181
-5.83191596,3.08022041,0.00555348,0.68362147,1.02034691,1.09934994,0.13488563,0.05993342,0.92486371
-5.82591296,3.14221461,0.00557131,0.68242248,1.03368619,1.09985925,0.13815896,0.06080736,0.96395668
-5.81990995,3.21225777,0.00561523,0.68241846,1.04906785,1.10200448,0.14179475,0.06185964,1.00615865
-5.81390695,3.28933654,0.00568449,0.68355922,1.06628828,1.10565566,0.14572119,0.06308404,1.05091707
-5.80790395,3.37235965,0.00577817,0.68578979,1.08512949,1.11068354,0.14985999,0.06447290,1.09763881
-5.80190095,3.46017586,0.00589518,0.68905028,1.10536351,1.11696102,0.15412817,0.06601714,1.14570191
-5.79589795,3.55159445,0.00603425,0.69327573,1.12675719,1.12436439,0.15844008,0.06770618,1.19446877
-5.78989495,3.64540779,0.00619398,0.69839622,1.14907715,1.13277433,0.16270959,0.06952801,1.24330024
-5.78389195,3.74041482,0.00637276,0.70433711,1.17209457,1.14207679,0.16685234,0.07146932,1.29157012
-5.77788894,3.83544467,0.00656880,0.71101939,1.19558958,1.15216343,0.17078804,0.07351570,1.33867941
-5.77188594,3.92937912,0.00678012,0.71836021,1.21935505,1.16293188,0.17444261,0.07565182,1.38406960
-5.76588294,4.02117297,0.00700451,0.72627347,1.24319940,1.17428555,0.17775010,0.07786166,1.42723452
-5.75987994,4.10987106,0.00723954,0.73467042,1.26694840,1.18613309,0.18065435,0.08012879,1.46772998
-5.75387694,4.19462133,0.00748252,0.74346030,1.29044566,1.19838739,0.18311021,0.08243656,1.50518090
-5.74787394,4.27468303,0.00773055,0.75255088,1.31355199,1.21096423,0.18508440,0.08476830,1.53928549
-5.74187094,4.34942990,0.00798048,0.76184891,1.33614350,1.22378064,0.18655578,0.08710742,1.56981638
-5.73586793,4.41834836,0.00822893,0.77126054,1.35810867,1.23675295,0.18751528,0.08943752,1.59661877
-5.72986493,4.48103096,0.00847235,0.78069156,1.37934475,1.24979483,0.18796531,0.09174235,1.61960570
-5.72386193,4.53716587,0.00870704,0.79004775,1.39975354,1.26281547,0.18791878,0.09400578,1.63875096
-5.71785893,4.58652357,0.00892921,0.79923507,1.41923730,1.27571803,0.18739778,0.09621166,1.65408013
-5.71185593,4.62894179,0.00913509,0.80816015,1.43769486,1.28839865,0.18643210,0.09834370,1.66566053
-5.70585293,4.66431030,0.00932097,0.81673084,1.45501857,1.30074630,0.18505750,0.10038525,1.67359071
-5.69984992,4.69255698,0.00948334,0.82485711,1.47109245,1.31264356,0.18331406,0.10231924,1.67799033
-5.69384692,4.71363643,0.00961899,0.83245228,1.48579173,1.32396857,0.18124459,0.10412799,1.67899125
-5.68784392,4.72752260,0.00972512,0.83943473,1.49898424,1.33459826,0.17889316,0.10579323,1.67673036
-5.68184092,4.73420602,0.00979942,0.84572998,1.51053351,1.34441275,0.17630402,0.10729612,1.67134469
-5.67583792,4.73369649,0.00984022,0.85127330,1.52030385,1.35330110,0.17352065,0.10861745,1.66296931
-5.66983492,4.72603117,0.00984658,0.85601270,1.52816705,1.36116797,0.17058540,0.10973791,1.65173793
-5.66383192,4.71128770,0.00981830,0.85991210,1.53401056,1.36794116,0.16753925,0.11063852,1.63778622
-5.65782891,4.68960178,0.00975604,0.86295484,1.53774668,1.37357944,0.16442211,0.11130114,1.62125768
-5.65182591,4.66118772,0.00966131,0.86514692,1.53932229,1.37808049,0.16127327,0.11170910,1.60231129
-5.64582291,4.62636061,0.00953648,0.86652011,1.53872854,1.38148824,0.15813211,0.11184793,1.58113064
-5.63981991,4.58555826,0.00938473,0.86713450,1.53600982,1.38389914,0.15503902,0.11170603,1.55793340
-5.63381691,4.53936094,0.00921000,0.86708019,1.53127141,1.38546689,0.15203620,0.11127546,1.53298063
-5.62781391,4.48850698,0.00901689,0.86647806,1.52468521,1.38640495,0.14916851,0.11055256,1.50658481
-5.62181091,4.43390244,0.00881058,0.86547915,1.51649291,1.38698656,0.14648412,0.10953857,1.47911593
-5.61580790,4.37662322,0.00859662,0.86426269,1.50700619,1.38754175,0.14403487,0.10824006,1.45100487
-5.60980490,4.31790844,0.00838086,0.86303252,1.49660373,1.38845122,0.14187628,0.10666920,1.42274348
-5.60380190,4.25914432,0.00816920,0.86201194,1.48572464,1.39013689,0.14006723,0.10484384,1.39488095
-5.59779890,4.20183821,0.00796748,0.86143697,1.47485851,1.39304938,0.13866912,0.10278734,1.36801633
-5.59179590,4.14758328,0.00778127,0.86154824,1.46453223,1.39765252,0.13774472,0.10052817,1.34278715
-5.58579290,4.09801461,0.00761573,0.86258172,1.45529387,1.40440550,0.13735648,0.09809935,1.31985442
-5.57978989,4.05475813,0.00747541,0.86475861,1.44769427,1.41374323,0.13756455,0.09553755,1.29988440
-5.57378689,4.01937440,0.00736416,0.86827487,1.44226701,1.42605574,0.13842458,0.09288215,1.28352791
-5.56778389,3.99329949,0.00728498,0.87329085,1.43950757,1.44166751,0.13998518,0.09017401,1.27139782
-5.56178089,3.97778558,0.00723991,0.87992146,1.43985257,1.46081784,0.14228548,0.08745428,1.26404571
-5.55577789,3.97384411,0.00723002,0.88822763,1.44366011,1.48364310,0.14535261,0.08476304,1.26193879
-5.54977489,3.98219413,0.00725534,0.89820935,1.45119211,1.51016204,0.14919940,0.08213803,1.26543798
-5.54377189,4.00321874,0.00731483,0.90980089,1.46259948,1.54026499,0.15382243,0.07961344,1.27477826
-5.53776888,4.03693178,0.00740649,0.92286854,1.47791101,1.57370767,0.15920040,0.07721879,1.29005227
-5.53176588,4.08295699,0.00752733,0.93721111,1.49702653,1.61011026,0.16529314,0.07497801,1.31119800
-5.52576288,4.14052097,0.00767353,0.95256340,1.51971484,1.64896198,0.17204111,0.07290870,1.33799133
-5.51975988,4.20846086,0.00784050,0.96860247,1.54561656,1.68963130,0.17936561,0.07102173,1.37004396
-5.51375688,4.28524705,0.00802309,0.98495674,1.57425201,1.73138147,0.18716973,0.06932099,1.40680706
-5.50775388,4.36902037,0.00821567,1.00121736,1.60503376,1.77339092,0.19533990,0.06780350,1.44758075
-5.50175088,4.45764264,0.00841235,1.01695158,1.63728357,1.81477783,0.20374815,0.06645975,1.49152933
-5.49574787,4.54875886,0.00860716,1.03171744,1.67025285,1.85462771,0.21225495,0.06527434,1.53770181
-5.48974487,4.63986880,0.00879422,1.04507924,1.70314604,1.89202305,0.22071259,0.06422676,1.58505719
-5.48374187,4.72840510,0.00896789,1.05662288,1.73514577,1.92607371,0.22896894,0.06329246,1.63249371
-5.47773887,4.81181504,0.00912300,1.06597072,1.76543895,1.95594672,0.23687142,0.06244398,1.67888092
-5.47173587,4.88764266,0.00925493,1.07279494,1.79324265,1.98089427,0.24427122,0.06165222,1.72309368
-5.46573287,4.95360815,0.00935980,1.07682913,1.81782875,2.00027883,0.25102737,0.06088768,1.76404651
-5.45972986,5.00768133,0.00943456,1.07787741,1.83854657,2.01359416,0.25701073,0.06012176,1.80072742
-5.45372686,5.04814668,0.00947705,1.07582088,1.85484245,2.02048171,0.26210764,0.05932793,1.83222966
-5.44772386,5.07365729,0.00948608,1.07062115,1.86627583,2.02074157,0.26622309,0.05848276,1.85778025
-5.44172086,5.08327614,0.00946148,1.06232078,1.87253125,2.01433785,0.26928343,0.05756688,1.87676443
-5.43571786,5.07650328,0.00940403,1.05104090,1.87342592,2.00139828,0.27123841,0.05656567,1.88874495
-5.42971486,5.05328827,0.00931549,1.03697601,1.86891292,1.98220836,0.27206253,0.05546975,1.89347555
-5.42371186,5.01402776,0.00919854,1.02038648,1.85907996,1.95720032,0.27175570,0.05427529,1.89090836
-5.41770885,4.95954888,0.00905668,1.00158891,1.84414398,1.92693762,0.27034320,0.05298404,1.88119488
-5.41170585,4.89107927,0.00889418,0.98094501,1.82444203,1.89209562,0.26787488,0.05160321,1.86468075
-5.40570285,4.81020543,0.00871592,0.95884934,1.80041882,1.85343932,0.26442378,0.05014510,1.84189452
-5.39969985,4.71882120,0.00852734,0.93571652,1.77261167,1.81179908,0.26008415,0.04862655,1.81353113
-5.39369685,4.61906856,0.00833428,0.91196831,1.74163329,1.76804523,0.25496896,0.04706831,1.78043068
-5.38769385,4.51327301,0.00814286,0.88802108,1.70815329,1.72306253,0.24920694,0.04549421,1.74355347
-5.38169085,4.40387599,0.00795934,0.86427399,1.67287885,1.67772523,0.24293942,0.04393034,1.70395230
-5.37568784,4.29336659,0.00779004,0.84109835,1.63653535,1.63287363,0.23631681,0.04240408,1.66274292
-5.36968484,4.18421488,0.00764117,0.81882837,1.59984751,1.58929282,0.22949509,0.04094325,1.62107384
-5.36368184,4.07880878,0.00751873,0.79775354,1.56352149,1.54769406,0.22263218,0.03957519,1.58009639
-5.35767884,3.97939624,0.00742841,0.77811280,1.52822859,1.50869931,0.21588439,0.03832591,1.54093585
-5.35167584,3.88803422,0.00737548,0.76009061,1.49459070,1.47282933,0.20940311,0.03721935,1.50466464
-5.34567284,3.80654550,0.00736468,0.74381488,1.46316802,1.44049527,0.20333161,0.03627671,1.47227803
-5.33966983,3.73648416,0.00740014,0.72935680,1.43444916,1.41199402,0.19780223,0.03551590,1.44467309
-5.33366683,3.67911002,0.00748530,0.71673238,1.40884365,1.38750722,0.19293390,0.03495114,1.42263103
-5.32766383,3.63537226,0.00762285,0.70590563,1.38667716,1.36710357,0.18883007,0.03459263,1.40680341
-5.32166083,3.60590198,0.00781465,0.69679307,1.36818904,1.35074431,0.18557707,0.03444642,1.39770211
-5.31565783,3.59101321,0.00806170,0.68926950,1.35353241,1.33829149,0.18324301,0.03451437,1.39569322
-5.30965483,3.59071167,0.00836411,0.68317451,1.34277633,1.32951845,0.18187713,0.03479425,1.40099461
-5.30365183,3.60471062,0.00872110,0.67831975,1.33591001,1.32412214,0.18150964,0.03527993,1.41367711
-5.29764882,3.63245266,0.00913098,0.67449647,1.33284874,1.32173678,0.18215206,0.03596173,1.43366886
-5.29164582,3.67313657,0.00959119,0.67148305,1.33344119,1.32194824,0.18379804,0.03682675,1.46076279
-5.28564282,3.72574814,0.01009838,0.66905242,1.33747778,1.32430873,0.18642459,0.03785941,1.49462655
-5.27963982,3.78909397,0.01064843,0.66697906,1.34469988,1.32835138,0.18999359,0.03904191,1.53481477
-5.27363682,3.86183714,0.01123662,0.66504530,1.35480943,1.33360415,0.19445375,0.04035483,1.58078316
-5.26763382,3.94253391,0.01185769,0.66304700,1.36747873,1.33960298,0.19974266,0.04177768,1.63190393
-5.26163082,4.02967039,0.01250601,0.66079828,1.38236006,1.34590354,0.20578905,0.04328947,1.68748227
-5.25562781,4.12169846,0.01317574,0.65813547,1.39909499,1.35209180,0.21251504,0.04486928,1.74677331
-5.24962481,4.21706999,0.01386097,0.65492003,1.41732302,1.35779285,0.21983838,0.04649676,1.80899918
-5.24362181,4.31426882,0.01455597,0.65104064,1.43668945,1.36267813,0.22767458,0.04815257,1.87336569
-5.23761881,4.41183959,0.01525525,0.64641447,1.45685217,1.36647089,0.23593878,0.04981883,1.93907821
-5.23161581,4.50841298,0.01595382,0.64098754,1.47748745,1.36894993,0.24454741,0.05147936,2.00535643
-5.22561281,4.60272671,0.01664729,0.63473442,1.49829438,1.36995151,0.25341946,0.05311994,2.07144743
-5.21960980,4.69364201,0.01733200,0.62765718,1.51899798,1.36936957,0.26247746,0.05472847,2.13663696
