energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,3.63748851,0.00886114,0.42510739,0.78945207,0.67266959,0.56600628,0.41621146,0.09915117,1.47324569
-5.99399700,3.69596974,0.00887441,0.43691804,0.80227537,0.69389424,0.57326776,0.43464705,0.09730754,1.49047178
-5.98799400,3.76714440,0.00894115,0.44974682,0.81645887,0.71673692,0.58328592,0.45492282,0.09591420,1.51436644
-5.98199100,3.84940340,0.00905447,0.46369129,0.83196140,0.74123462,0.59543099,0.47677658,0.09497097,1.54382066
-5.97598799,3.94097068,0.00920740,0.47884827,0.84873486,0.76742862,0.60904565,0.49989848,0.09446994,1.57762671
-5.96998499,4.03991831,0.00939281,0.49530584,0.86671754,0.79535532,0.62345951,0.52393446,0.09439478,1.61449995
-5.96398199,4.14418576,0.00960344,0.51313526,0.88582737,0.82503686,0.63800388,0.54849141,0.09472016,1.65310292
-5.95797899,4.25160422,0.00983194,0.53238338,0.90595584,0.85647198,0.65202664,0.57314396,0.09541148,1.69207158
-5.95197599,4.35992637,0.01007082,0.55306582,0.92696302,0.88962764,0.66490687,0.59744265,0.09642497,1.73004339
-5.94597299,4.46686168,0.01031258,0.57516130,0.94867424,0.92443196,0.67606894,0.62092362,0.09770805,1.76568646
-5.93996998,4.57011671,0.01054971,0.59860746,0.97087870,0.96076870,0.68499556,0.64311930,0.09920022,1.79772934
-5.93396698,4.66743935,0.01077482,0.62329838,0.99333022,0.99847367,0.69123951,0.66356982,0.10083423,1.82499015
-5.92796398,4.75666577,0.01098078,0.64908387,1.01575033,1.03733319,0.69443345,0.68183485,0.10253768,1.84640441
-5.92196098,4.83576818,0.01116086,0.67577053,1.03783334,1.07708459,0.69429763,0.69750532,0.10423488,1.86105035
-5.91595798,4.90290169,0.01130892,0.70312471,1.05925349,1.11741882,0.69064502,0.71021462,0.10584899,1.86817075
-5.90995498,4.95644811,0.01141958,0.73087694,1.07967362,1.15798487,0.68338383,0.71964886,0.10730433,1.86719054
-5.90395198,4.99505487,0.01148843,0.75872789,1.09875498,1.19839596,0.67251711,0.72555578,0.10852868,1.85772923
-5.89794897,5.01766734,0.01151220,0.78635536,1.11616774,1.23823703,0.65813961,0.72775187,0.10945568,1.83960794
-5.89194597,5.02355316,0.01148893,0.81342223,1.13160160,1.27707335,0.64043199,0.72612758,0.11002693,1.81285049
-5.88594297,5.01231740,0.01141807,0.83958483,1.14477606,1.31445989,0.61965264,0.72065026,0.11019399,1.77767871
-5.87993997,4.98390822,0.01130059,0.86450154,1.15544973,1.34995107,0.59612742,0.71136485,0.10991998,1.73450219
-5.87393697,4.93861264,0.01113901,0.88784130,1.16342840,1.38311069,0.57023796,0.69839226,0.10918082,1.68390285
-5.86793397,4.87704292,0.01093741,0.90929168,1.16857145,1.41352159,0.54240876,0.68192549,0.10796603,1.62661525
-5.86193097,4.80011431,0.01070133,0.92856631,1.17079623,1.44079494,0.51309387,0.66222383,0.10627902,1.56350318
-5.85592796,4.70901510,0.01043765,0.94541150,1.17008054,1.46457877,0.48276357,0.63960524,0.10413696,1.49553386
-5.84992496,4.60517053,0.01015447,0.95961168,1.16646286,1.48456569,0.45189154,0.61443727,0.10157010,1.42375054
-5.84392196,4.49020202,0.00986084,0.97099385,1.16004047,1.50049944,0.42094307,0.58712702,0.09862071,1.34924456
-5.83791896,4.36588336,0.00956655,0.97943068,1.15096576,1.51218038,0.39036458,0.55811031,0.09534161,1.27312809
-5.83191596,4.23409549,0.00928188,0.98484229,1.13944069,1.51946941,0.36057480,0.52784066,0.09179442,1.19650808
-5.82591296,4.09678148,0.00901728,0.98719685,1.12570977,1.52229069,0.33195778,0.49677840,0.08804749,1.12046261
-5.81990995,3.95590302,0.00878312,0.98650980,1.11005201,1.52063265,0.30485773,0.46538016,0.08417380,1.04601984
