energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.51613322,0.03643501,0.47991685,0.34147408,0.00000000,2.45916718,1.17033030,0.08611906,1.49468419
-5.99399700,3.80964640,0.03835870,0.52585125,0.36649140,0.00000000,2.62863893,1.29143128,0.09409936,1.61089628
-5.98799400,4.12488238,0.04038912,0.57613060,0.39268714,0.00000000,2.80963390,1.42354613,0.10250767,1.73458091
-5.98199100,4.45939063,0.04251573,0.63058077,0.41978086,0.00000000,3.00091088,1.56606622,0.11125003,1.86451097
-5.97598799,4.81027048,0.04472602,0.68895671,0.44745612,0.00000000,3.20098045,1.71819777,0.12022179,1.99927915
-5.96998499,5.17419847,0.04700589,0.75093790,0.47536526,0.00000000,3.40811074,1.87895721,0.12930968,2.13731865
-5.96398199,5.54747185,0.04933993,0.81612562,0.50313613,0.00000000,3.62034380,2.04717143,0.13839428,2.27693140
-5.95797899,5.92606825,0.05171205,0.88404223,0.53038057,0.00000000,3.83552278,2.22148320,0.14735295,2.41632344
-5.95197599,6.30572029,0.05410597,0.95413300,0.55670429,0.00000000,4.05132946,2.40036240,0.15606311,2.55364639
-5.94597299,6.68200321,0.05650600,1.02577031,0.58171795,0.00000000,4.26533114,2.58212302,0.16440574,2.68704377
-5.93996998,7.05043294,0.05889763,1.09826065,0.60504886,0.00000000,4.47503549,2.76494607,0.17226895,2.81470052
-5.93396698,7.40657119,0.06126822,1.17085412,0.62635281,0.00000000,4.67795125,2.94690799,0.17955141,2.93489376
-5.92796398,7.74613375,0.06360759,1.24275656,0.64532552,0.00000000,4.87165249,3.12601413,0.18616567,3.04604269
-5.92196098,8.06509790,0.06590847,1.31314390,0.66171308,0.00000000,5.05384391,3.30023652,0.19204089,3.14675537
-5.91595798,8.35980458,0.06816673,1.38117849,0.67532083,0.00000000,5.22242436,3.46755493,0.19712518,3.23587039
-5.90995498,8.62705134,0.07038155,1.44602699,0.68602022,0.00000000,5.37554592,3.62600010,0.20138713,3.31249130
-5.90395198,8.86417221,0.07255521,1.50687922,0.69375332,0.00000000,5.51166617,3.77369787,0.20481661,3.37601238
-5.89794897,9.06910112,0.07469273,1.56296750,0.69853451,0.00000000,5.62959110,3.90891267,0.20742475,3.42613420
-5.89194597,9.24041646,0.07680130,1.61358566,0.70044949,0.00000000,5.72850712,4.03008887,0.20924299,3.46286843
-5.88594297,9.37736486,0.07888944,1.65810715,0.69965135,0.00000000,5.80800062,4.13588862,0.21032139,3.48653138
-5.87993997,9.47986331,0.08096607,1.69600156,0.69635399,0.00000000,5.86806422,4.22522454,0.21072614,3.49772674
-5.87393697,9.54847971,0.08303945,1.72684876,0.69082321,0.00000000,5.90908951,4.29728600,0.21053641,3.49731801
-5.86793397,9.58439265,0.08511605,1.75035020,0.68336580,0.00000000,5.93184651,4.35155781,0.20984078,3.48639206
