energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.28191531,0.01414967,0.40588197,1.87601153,0.33467895,1.32873834,1.12681058,0.03537360,1.56542997
-5.99399700,3.22266113,0.01357081,0.40673343,1.81982962,0.32290228,1.31280943,1.12594691,0.03377644,1.52715438
-5.98799400,3.17708030,0.01306355,0.40897411,1.77444265,0.31305041,1.30361625,1.12638506,0.03240520,1.49597220
-5.98199100,3.14609575,0.01263754,0.41259348,1.74072287,0.30535654,1.30139025,1.12816419,0.03127611,1.47248208
-5.97598799,3.13053964,0.01230220,0.41758104,1.71943857,0.30003746,1.30629774,1.13135197,0.03040300,1.45722090
-5.96998499,3.13113047,0.01206655,0.42392525,1.71123821,0.29729010,1.31843380,1.13603862,0.02979710,1.45065093
-5.96398199,3.14845004,0.01193901,0.43161224,1.71663399,0.29728833,1.33781699,1.14232946,0.02946669,1.45314722
-5.95797899,3.18292125,0.01192732,0.44062439,1.73598532,0.30018008,1.36438523,1.15033671,0.02941695,1.46498562
-5.95197599,3.23478771,0.01203837,0.45093891,1.76948314,0.30608471,1.39799329,1.16017078,0.02964982,1.48633204
-5.94597299,3.30409644,0.01227809,0.46252664,1.81713554,0.31509075,1.43841215,1.17193174,0.03016386,1.51723319
-5.93996998,3.39068432,0.01265137,0.47535103,1.87875559,0.32725392,1.48533028,1.18570139,0.03095428,1.55760953
-5.93396698,3.49416914,0.01316198,0.48936752,1.95395233,0.34259552,1.53835722,1.20153633,0.03201294,1.60725055
-5.92796398,3.61394576,0.01381254,0.50452327,2.04212544,0.36110111,1.59702908,1.21946240,0.03332844,1.66581288
-5.92196098,3.74918760,0.01460448,0.52075726,2.14246438,0.38271944,1.66081614,1.23947076,0.03488633,1.73282123
-5.91595798,3.89885346,0.01553807,0.53800069,2.25395250,0.40736167,1.72913206,1.26151559,0.03666926,1.80767230
-5.90995498,4.06169946,0.01661243,0.55617773,2.37537632,0.43490088,1.80134444,1.28551359,0.03865725,1.88964165
-5.90395198,4.23629563,0.01782559,0.57520634,2.50534016,0.46517180,1.87678629,1.31134509,0.04082798,1.97789325
-5.89794897,4.42104651,0.01917454,0.59499924,2.64228593,0.49797084,1.95476790,1.33885667,0.04315708,2.07149151
