energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,4.23193690,0.01675436,0.44810153,0.46388334,0.24410384,2.60959421,1.48669712,0.07114483,1.98003948
-5.99399700,4.23200928,0.01791988,0.43928896,0.46107452,0.24420187,2.55956058,1.49175149,0.07136661,1.98903091
-5.98799400,4.23770455,0.01921415,0.43132983,0.45945681,0.24467802,2.51529520,1.49806646,0.07188235,2.00047315
-5.98199100,4.24866391,0.02063010,0.42419728,0.45901930,0.24551096,2.47684809,1.50551734,0.07266447,2.01422446
-5.97598799,4.26438299,0.02215787,0.41784606,0.45972453,0.24666498,2.44415685,1.51394801,0.07367927,2.03007692
-5.96998499,4.28422054,0.02378494,0.41221401,0.46151020,0.24809061,2.41705274,1.52317236,0.07488774,2.04775931
-5.96398199,4.30741089,0.02549620,0.40722405,0.46429123,0.24972572,2.39526817,1.53297687,0.07624651,2.06694168
-5.95797899,4.33308021,0.02727429,0.40278658,0.46796215,0.25149701,2.37844554,1.54312416,0.07770882,2.08724159
-5.95197599,4.36026609,0.02909987,0.39880228,0.47239979,0.25332201,2.36614746,1.55335756,0.07922571,2.10823203
-5.94597299,4.38794017,0.03095215,0.39516511,0.47746627,0.25511134,2.35786817,1.56340651,0.08074717,2.12945061
-5.93996998,4.41503330,0.03280940,0.39176562,0.48301227,0.25677134,2.35304624,1.57299268,0.08222335,2.15041013
-5.93396698,4.44046270,0.03464952,0.38849438,0.48888042,0.25820691,2.35107831,1.58183665,0.08360585,2.17061009
-5.92796398,4.46316036,0.03645079,0.38524542,0.49490903,0.25932444,2.35133384,1.58966501,0.08484887,2.18954905
-5.92196098,4.48210200,0.03819250,0.38191965,0.50093578,0.26003483,2.35317073,1.59621758,0.08591038,2.20673738
-5.91595798,4.49633579,0.03985566,0.37842812,0.50680157,0.26025646,2.35595133,1.60125464,0.08675314,2.22171018
-5.90995498,4.50500987,0.04142368,0.37469498,0.51235430,0.25991790,2.35905879,1.60456396,0.08734568,2.23404008
-5.90395198,4.50739812,0.04288301,0.37066008,0.51745262,0.25896048,2.36191314,1.60596725,0.08766299,2.24334943
-5.89794897,4.50292302,0.04422365,0.36628114,0.52196935,0.25734040,2.36398684,1.60532608,0.08768716,2.24932172
-5.89194597,4.49117510,0.04543960,0.36153526,0.52579475,0.25503052,2.36481920,1.60254679,0.08740777,2.25171178
-5.88594297,4.47192822,0.04652914,0.35641993,0.52883928,0.25202151,2.36402918,1.59758438,0.08682206,2.25035444
-5.87993997,4.44515010,0.04749500,0.35095325,0.53103603,0.24832261,2.36132629,1.59044522,0.08593495,2.24517152
-5.87393697,4.41100771,0.04834434,0.34517348,0.53234243,0.24396170,2.35651880,1.58118830,0.08475879,2.23617671
-5.86793397,4.36986715,0.04908855,0.33913794,0.53274152,0.23898486,2.34951922,1.56992509,0.08331293,2.22347821
-5.86193097,4.32228808,0.04974293,0.33292112,0.53224245,0.23345537,2.34034651,1.55681788,0.08162317,2.20727912
-5.85592796,4.26901252,0.05032617,0.32661233,0.53088038,0.22745216,2.32912490,1.54207654,0.07972101,2.18787516
-5.84992496,4.21094847,0.05085972,0.32031261,0.52871561,0.22106781,2.31607930,1.52595391,0.07764274,2.16565009
-5.84392196,4.14914855,0.05136698,0.31413142,0.52583214,0.21440613,2.30152723,1.50873967,0.07542856,2.14106852
-5.83791896,4.08478439,0.05187253,0.30818283,0.52233549,0.20757947,2.28586753,1.49075307,0.07312150,2.11466640
-5.83191596,4.01911734,0.05240113,0.30258164,0.51835003,0.20070573,2.26956618,1.47233455,0.07076638,2.08703934
-5.82591296,3.95346631,0.05297684,0.29743942,0.51401575,0.19390533,2.25313957,1.45383654,0.06840880,2.05882897
-5.81990995,3.88917371,0.05362211,0.29286067,0.50948455,0.18729806,2.23713590,1.43561378,0.06609412,2.03070763
-5.81390695,3.82757041,0.05435688,0.28893919,0.50491628,0.18100007,2.22211518,1.41801330,0.06386647,2.00336185
-5.80790395,3.76994065,0.05519781,0.28575482,0.50047448,0.17512091,2.20862865,1.40136461,0.06176793,1.97747481
-5.80190095,3.71748800,0.05615761,0.28337073,0.49632192,0.16976091,2.19719823,1.38597018,0.05983766,1.95370859
-5.79589795,3.67130314,0.05724449,0.28183112,0.49261622,0.16500877,2.18829670,1.37209674,0.05811127,1.93268623
-5.78989495,3.63233455,0.05846181,0.28115974,0.48950543,0.16093949,2.18232944,1.35996761,0.05662022,1.91497450
-5.78389195,3.60136270,0.05980783,0.28135890,0.48712380,0.15761276,2.17961809,1.34975631,0.05539129,1.90106758
-5.77788894,3.57897853,0.06127568,0.28240930,0.48558779,0.15507167,2.18038692,1.34158172,0.05444625,1.89137225
-5.77188594,3.56556678,0.06285348,0.28427043,0.48499242,0.15334189,2.18475214,1.33550495,0.05380153,1.88619499
-5.76588294,3.56129453,0.06452462,0.28688172,0.48540804,0.15243129,2.19271467,1.33152801,0.05346807,1.88573141
-5.75987994,3.56610524,0.06626821,0.29016413,0.48687758,0.15232993,2.20415641,1.32959438,0.05345115,1.89005835
-5.75387694,3.57971859,0.06805957,0.29402236,0.48941437,0.15301051,2.21884022,1.32959140,0.05375042,1.89912895
-5.74787394,3.60163585,0.06987095,0.29834746,0.49300058,0.15442914,2.23641350,1.33135439,0.05435991,1.91277091
-5.74187094,3.63115093,0.07167222,0.30301973,0.49758634,0.15652652,2.25641533,1.33467252,0.05526814,1.93068805
-5.73586793,3.66736678,0.07343165,0.30791192,0.50308963,0.15922938,2.27828687,1.33929593,0.05645835,1.95246535
-5.72986493,3.70921669,0.07511673,0.31289256,0.50939691,0.16245225,2.30138479,1.34494425,0.05790872,1.97757730
-5.72386193,3.75549021,0.07669498,0.31782929,0.51636457,0.16609941,2.32499728,1.35131588,0.05959274,2.00539955
-5.71785893,3.80486291,0.07813468,0.32259230,0.52382120,0.17006716,2.34836230,1.35809798,0.06147959,2.03522354
-5.71185593,3.85592949,0.07940570,0.32705750,0.53157078,0.17424610,2.37068756,1.36497678,0.06353466,2.06627399
-5.70585293,3.90723928,0.08048011,0.33110971,0.53939653,0.17852364,2.39117165,1.37164774,0.06572011,2.09772850
-5.69984992,3.95733335,0.08133280,0.33464544,0.54706570,0.18278651,2.40902593,1.37782553,0.06799551,2.12873915
-5.69384692,4.00478221,0.08194205,0.33757553,0.55433489,0.18692329,2.42349654,1.38325311,0.07031856,2.15845510
-5.68784392,4.04822304,0.08228993,0.33982737,0.56095606,0.19082691,2.43388589,1.38770997,0.07264586,2.18604580
-5.68184092,4.08639540,0.08236266,0.34134678,0.56668292,0.19439707,2.43957311,1.39101895,0.07493373,2.21072397
-5.67583792,4.11817421,0.08215086,0.34209941,0.57127761,0.19754240,2.44003292,1.39305153,0.07713905,2.23176746
-5.66983492,4.14259893,0.08164971,0.34207176,0.57451739,0.20018254,2.43485219,1.39373132,0.07922010,2.24853948
