energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.77939352,0.36002761,0.64613967,0.03306601,0.57477571,2.56333489,1.40652787,0.07732621,1.06936195
-5.99399700,3.86660193,0.38323296,0.68870248,0.03589119,0.55770675,2.58883625,1.38055549,0.08120520,1.11895699
-5.98799400,3.95623621,0.40674510,0.73372093,0.03884832,0.54037699,2.61148874,1.35325436,0.08511591,1.16938319
-5.98199100,4.04685500,0.43033153,0.78063993,0.04190610,0.52291941,2.63086372,1.32477271,0.08899164,1.21989688
-5.97598799,4.13696873,0.45374443,0.82887959,0.04503058,0.50545684,2.64653776,1.29525595,0.09276646,1.26973494
-5.96998499,4.22508217,0.47672510,0.87785323,0.04818611,0.48810039,2.65809781,1.26484937,0.09637637,1.31813196
-5.96398199,4.30974204,0.49900950,0.92698671,0.05133627,0.47094865,2.66514922,1.23370221,0.09976065,1.36433925
-5.95797899,4.38958841,0.52033466,0.97573852,0.05444499,0.45408779,2.66732645,1.20197264,0.10286311,1.40764529
-5.95197599,4.46340768,0.54044589,1.02361985,0.05747755,0.43759226,2.66430638,1.16983330,0.10563341,1.44739679
-5.94597299,4.53018512,0.55910445,1.07021409,0.06040164,0.42152624,2.65582338,1.13747695,0.10802825,1.48301978
-5.93996998,4.58915446,0.57609541,1.11519466,0.06318827,0.40594544,2.64168554,1.10512182,0.11001248,1.51403965
-5.93396698,4.63984194,0.59123531,1.15834060,0.06581267,0.39089928,2.62179109,1.07301599,0.11156003,1.54009929
-5.92796398,4.68210244,0.60437930,1.19954905,0.06825484,0.37643325,2.59614390,1.04144070,0.11265461,1.56097443
-5.92196098,4.71614535,0.61542728,1.23884395,0.07050010,0.36259127,2.56486717,1.01071175,0.11329017,1.57658517
-5.91595798,4.74254839,0.62432878,1.27638037,0.07253926,0.34941787,2.52821409,0.98117915,0.11347103,1.58700309
-5.90995498,4.76225783,0.63108617,1.31244419,0.07436863,0.33696022,2.48657481,0.95322441,0.11321172,1.59245323
-5.90395198,4.77657444,0.63575600,1.34744676,0.07598980,0.32526966,2.44047875,0.92725569,0.11253647,1.59331057
-5.89794897,4.78712487,0.63844836,1.38191467,0.07740914,0.31440292,2.39059203,0.90370063,0.11147844,1.59009104
-5.89194597,4.79581920,0.63932408,1.41647476,0.07863712,0.30442280,2.33770959,0.88299715,0.11007854,1.58343695
-5.88594297,4.80479570,0.63858999,1.45183487,0.07968748,0.29539833,2.28274222,0.86558250,0.10838414,1.57409750
-5.87993997,4.81635486,0.63649229,1.48876076,0.08057629,0.28740448,2.22669892,0.85188082,0.10644744,1.56290490
-5.87393697,4.83288501,0.63330837,1.52805021,0.08132084,0.28052137,2.17066498,0.84228993,0.10432384,1.55074715
-5.86793397,4.85678237,0.62933736,1.57050498,0.08193865,0.27483305,2.11577688,0.83716760,0.10207009,1.53853836
-5.86193097,4.89036877,0.62489002,1.61690167,0.08244646,0.27042588,2.06319486,0.83681813,0.09974258,1.52718811
-5.85592796,4.93580997,0.62027815,1.66796259,0.08285925,0.26738664,2.01407424,0.84147966,0.09739563,1.51757092
-5.84992496,4.99503808,0.61580425,1.72432745,0.08318951,0.26580032,1.96953661,0.85131281,0.09507993,1.51049715
-5.84392196,5.06968063,0.61175175,1.78652700,0.08344662,0.26574769,1.93064197,0.86639110,0.09284121,1.50668655
-5.83791896,5.16099911,0.60837624,1.85495938,0.08363643,0.26730273,1.89836265,0.88669371,0.09071915,1.50674549
-5.83191596,5.26983881,0.60589809,1.92986994,0.08376111,0.27052993,1.87355986,0.91210064,0.08874659,1.51114857
-5.82591296,5.39659167,0.60449655,2.01133522,0.08381913,0.27548148,1.85696338,0.94239075,0.08694900,1.52022546
-5.81990995,5.54117290,0.60430571,2.09925138,0.08380554,0.28219447,1.84915485,0.97724261,0.08534429,1.53415297
-5.81390695,5.70301169,0.60541223,2.19332764,0.08371239,0.29068808,1.85055471,1.01623816,0.08394291,1.55295271
-5.80790395,5.88105597,0.60785469,2.29308458,0.08352929,0.30096086,1.86141295,1.05886914,0.08274818,1.57649386
-5.80190095,6.07379018,0.61162470,2.39785763,0.08324411,0.31298812,1.88180334,1.10454588,0.08175689,1.60450079
-5.79589795,6.27926533,0.61666930,2.50680544,0.08284375,0.32671960,1.91162109,1.15260841,0.08096000,1.63656484
-5.78989495,6.49513963,0.62289454,2.61892309,0.08231493,0.34207748,1.95058360,1.20233926,0.08034354,1.67215939
-5.78389195,6.71872836,0.63016988,2.73305968,0.08164500,0.35895479,1.99823391,1.25297776,0.07988953,1.71065757
-5.77788894,6.94706125,0.63833324,2.84794023,0.08082259,0.37721449,2.05394682,1.30373522,0.07957691,1.75135149
-5.77188594,7.17694586,0.64719629,2.96219122,0.07983834,0.39668916,2.11693744,1.35381082,0.07938250,1.79347239
-5.76588294,7.40503542,0.65654986,3.07436950,0.07868537,0.41718172,2.18627209,1.40240757,0.07928178,1.83621079
-5.75987994,7.62789974,0.66616933,3.18299404,0.07735970,0.43846689,2.26088162,1.44874818,0.07924971,1.87873615
-5.75387694,7.84209816,0.67581977,3.28657995,0.07586050,0.46029396,2.33957733,1.49209033,0.07926135,1.92021543
-5.74787394,8.04425329,0.68526085,3.38367415,0.07419021,0.48239055,2.42106964,1.53174128,0.07929238,1.95983042
