energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,8.11096274,0.65248901,3.53535805,0.04144398,0.58198434,3.10794039,1.98554648,0.01388644,1.39485921
-5.99399700,8.18556537,0.62824197,3.57644626,0.03955878,0.60808920,3.13147124,2.03751840,0.01408327,1.35900283
-5.98799400,8.28285406,0.60590835,3.62262397,0.03759740,0.63694774,3.16420044,2.09938277,0.01438949,1.32810369
-5.98199100,8.40383872,0.58585651,3.67480317,0.03559677,0.66822748,3.20622244,2.17079951,0.01480328,1.30286353
-5.97598799,8.54898112,0.56843720,3.73368506,0.03359282,0.70153781,3.25742823,2.25124961,0.01532219,1.28390256
-5.96998499,8.71815933,0.55397651,3.79973096,0.03161968,0.73643897,3.31750141,2.34003936,0.01594313,1.27173829
-5.96398199,8.91065223,0.54276869,3.87314291,0.02970896,0.77245286,3.38592153,2.43630989,0.01666224,1.26676709
-5.95797899,9.12514490,0.53506877,3.95385488,0.02788919,0.80907525,3.46197449,2.53905157,0.01747490,1.26924920
-5.95197599,9.35975492,0.53108538,4.04153510,0.02618547,0.84578883,3.54476971,2.64712288,0.01837568,1.27929782
-5.94597299,9.61207854,0.53097381,4.13559946,0.02461919,0.88207663,3.63326304,2.75927309,0.01935839,1.29687276
-5.93996998,9.87925499,0.53482980,4.23523538,0.02320800,0.91743532,3.72628457,2.87416789,0.02041612,1.32177895
-5.93396698,10.15804644,0.54268411,4.33943522,0.02196586,0.95138765,3.82256981,2.99041719,0.02154125,1.35366995
-5.92796398,10.44493055,0.55449831,4.44703771,0.02090323,0.98349383,3.92079306,3.10660398,0.02272560,1.39205630
-5.92196098,10.73620180,0.57016198,4.55677557,0.02002740,1.01336116,4.01960144,3.22131353,0.02396044,1.43631836
-5.91595798,11.02807793,0.58949162,4.66732720,0.01934283,1.04065185,4.11764824,3.33316189,0.02523673,1.48572324
-5.90995498,11.31680737,0.61223147,4.77737004,0.01885161,1.06508863,4.21362441,3.44082296,0.02654514,1.53944514
-5.90395198,11.59877363,0.63805629,4.88563326,0.01855389,1.08645817,4.30628726,3.54305340,0.02787630,1.59658821
-5.89794897,11.87059314,0.66657637,4.99094724,0.01844829,1.10461241,4.39448549,3.63871496,0.02922092,1.65621108
-5.89194597,12.12920289,0.69734461,5.09228776,0.01853236,1.11946787,4.47718010,3.72679371,0.03057004,1.71735223
-5.88594297,12.37193523,0.72986561,5.18881269,0.01880285,1.13100317,4.55346104,3.80641601,0.03191517,1.77905499
-5.87993997,12.59657746,0.76360659,5.27988969,0.01925603,1.13925522,4.62255941,3.87686111,0.03324854,1.84039141
-5.87393697,12.80141448,0.79800984,5.36511356,0.01988783,1.14431429,4.68385550,3.93757031,0.03456330,1.90048415
-5.86793397,12.98525363,0.83250626,5.44431269,0.02069391,1.14631843,4.73688286,3.98815276,0.03585368,1.95852542
-5.86193097,13.14743138,0.86652949,5.51754427,0.02166962,1.14544746,4.78132877,4.02838811,0.03711519,2.01379272
-5.85592796,13.28780210,0.89953021,5.58507864,0.02280988,1.14191697,4.81703158,4.05822594,0.03834472,2.06566048
-5.84992496,13.40671011,0.93098989,5.64737381,0.02410893,1.13597238,4.84397502,4.07778234,0.03954061,2.11360780
-5.84392196,13.50494619,0.96043350,5.70504126,0.02556005,1.12788340,4.86228013,4.08733359,0.04070269,2.15722191
-5.83791896,13.58369092,0.98744062,5.75880502,0.02715518,1.11793876,4.87219477,4.08730721,0.04183222,2.19619759
-5.83191596,13.64444698,1.01165443,5.80945590,0.02888457,1.10644132,4.87408117,4.07827035,0.04293176,2.23033290
-5.82591296,13.68896329,1.03278828,5.85780329,0.03073636,1.09370351,4.86840151,4.06091581,0.04400497,2.25952166
-5.81990995,13.71915404,1.05062951,5.90462678,0.03269630,1.08004289,4.85570204,4.03604576,0.04505632,2.28374334
-5.81390695,13.73701560,1.06504041,5.95063002,0.03474738,1.06577783,4.83659569,4.00455345,0.04609081,2.30305091
-5.80790395,13.74454461,1.07595647,5.99639893,0.03686973,1.05122310,4.81174383,3.96740311,0.04711351,2.31755772
-5.80190095,13.74366029,1.08338188,6.04236630,0.03904048,1.03668543,4.78183738,3.92560851,0.04812917,2.32742386
-5.79589795,13.73613390,1.08738293,6.08878428,0.04123386,1.02245886,4.74757792,3.88021057,0.04914179,2.33284301
-5.78989495,13.72352800,1.08807943,6.13570601,0.04342138,1.00882000,4.70965951,3.83225456,0.05015418,2.33403024
-5.78389195,13.70714771,1.08563497,6.18297726,0.04557223,0.99602330,4.66875172,3.78276755,0.05116757,2.33121152
-5.77788894,13.68800574,1.08024645,6.23023816,0.04765379,0.98429647,4.62548467,3.73273657,0.05218131,2.32461519
-5.77188594,13.66680231,1.07213351,6.27693502,0.04963228,0.97383617,4.58043682,3.68308839,0.05319261,2.31446572
-5.76588294,13.64392046,1.06152852,6.32234147,0.05147351,0.96480430,4.53412589,3.63467129,0.05419643,2.30097991
-5.75987994,13.61943665,1.04866755,6.36558802,0.05314382,0.95732511,4.48700342,3.58823949,0.05518545,2.28436528
-5.75387694,13.59314573,1.03378282,6.40569843,0.05461093,0.95148317,4.43945323,3.54444072,0.05615027,2.26482057
-5.74787394,13.56459880,1.01709684,6.44163149,0.05584495,0.94732266,4.39179356,3.50380721,0.05707960,2.24253798
-5.74187094,13.53315201,0.99881851,6.47232607,0.05681928,0.94484776,4.34428280,3.46675032,0.05796071,2.21770659
-5.73586793,13.49802357,0.97914108,6.49674765,0.05751148,0.94402444,4.29712811,3.43355891,0.05877992,2.19051657
-5.72986493,13.45835632,0.95824191,6.51393424,0.05790402,0.94478352,4.25049643,3.40440136,0.05952325,2.16116358
-5.72386193,13.41328266,0.93628393,6.52303982,0.05798498,0.94702482,4.20452675,3.37933100,0.06017704,2.12985291
-5.71785893,13.36198878,0.91341815,6.52337353,0.05774844,0.95062230,4.15934291,3.35829457,0.06072874,2.09680291
-5.71185593,13.30377533,0.88978725,6.51443296,0.05719478,0.95543004,4.11506583,3.34114356,0.06116758,2.06224742
-5.70585293,13.23811183,0.86552946,6.49593052,0.05633082,0.96128849,4.07182441,3.32764761,0.06148531,2.02643686
-5.69984992,13.16468258,0.84078255,6.46781164,0.05516964,0.96803112,4.02976429,3.31750969,0.06167677,1.98963802
-5.69384692,13.08342243,0.81568746,6.43026459,0.05373027,0.97549082,3.98905397,3.31038262,0.06174048,1.95213248
-5.68784392,12.99454120,0.79039123,6.38372133,0.05203720,0.98350600,3.94988811,3.30588607,0.06167898,1.91421380
-5.68184092,12.89853622,0.76504908,6.32884989,0.05011972,0.99192611,3.91248782,3.30362403,0.06149911,1.87618377
-5.67583792,12.79619303,0.73982527,6.26653850,0.04801112,1.00061644,3.87709841,3.30320179,0.06121210,1.83834786
-5.66983492,12.68857466,0.71489291,6.19787232,0.04574776,1.00946198,3.84398481,3.30424230,0.06083344,1.80101031
-5.66383192,12.57700053,0.69043263,6.12410385,0.04336813,1.01837046,3.81342542,3.30640138,0.06038262,1.76446907
-5.65782891,12.46301602,0.66663013,6.04661798,0.04091186,1.02727434,3.78570508,3.30938119,0.05988269,1.72901095
-5.65182591,12.34835424,0.64367296,5.96689324,0.03841871,1.03613190,3.76110774,3.31294181,0.05935967,1.69490708
-5.64582291,12.23489152,0.62174655,5.88646036,0.03592762,1.04492756,3.73990963,3.31691030,0.05884174,1.66240892
-5.63981991,12.12459798,0.60102989,5.80685960,0.03347583,1.05367126,3.72237334,3.32118693,0.05835841,1.63174489
-5.63381691,12.01948484,0.58169098,5.72959819,0.03109814,1.06239716,3.70874317,3.32574839,0.05793953,1.60311748
-5.62781391,11.92154962,0.56388235,5.65610893,0.02882614,1.07116175,3.69924196,3.33064751,0.05761430,1.57670100
-5.62181091,11.83272078,0.54773694,5.58771134,0.02668772,1.08004130,3.69406917,3.33600948,0.05741014,1.55263968
-5.61580790,11.75480269,0.53336430,5.52557606,0.02470665,1.08912882,3.69340019,3.34202456,0.05735175,1.53104603
-5.60980490,11.68942248,0.52084758,5.47069365,0.02290224,1.09853050,3.69738624,3.34893732,0.05746000,1.51199945
-5.60380190,11.63797969,0.51024110,5.42384843,0.02128918,1.10836182,3.70615453,3.35703284,0.05775113,1.49554488
-5.59779890,11.60160018,0.50156885,5.38559797,0.01987751,1.11874322,3.71980815,3.36662030,0.05823585,1.48169150
-5.59179590,11.58109559,0.49482371,5.35625897,0.01867265,1.12979555,3.73842513,3.37801466,0.05891880,1.47041160
-5.58579290,11.57692985,0.48996765,5.33589974,0.01767553,1.14163523,3.76205654,3.39151736,0.05979804,1.46163956
-5.57978989,11.58919418,0.48693265,5.32433977,0.01688288,1.15436950,3.79072317,3.40739691,0.06086487,1.45527133
