energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,9.32786107,0.02510911,1.26496517,1.00573844,0.85552874,5.92824972,4.53792493,0.08554639,2.71636120
-5.99399700,9.33877634,0.02409824,1.26748734,1.01152190,0.84828716,5.95656460,4.56887887,0.08538472,2.70336769
-5.98799400,9.33693783,0.02314147,1.26832734,1.01729990,0.83982181,5.97221394,4.59253057,0.08529529,2.68651326
-5.98199100,9.32160694,0.02223205,1.26717143,1.02312842,0.83026741,5.97411828,4.60807477,0.08528521,2.66609121
-5.97598799,9.29253232,0.02136367,1.26377299,1.02910710,0.81979771,5.96159546,4.61494666,0.08536331,2.64253987
-5.96998499,9.24994713,0.02053085,1.25795924,1.03537198,0.80861878,5.93437873,4.61283469,0.08553980,2.61642481
-5.96398199,9.19454712,0.01972908,1.24963512,1.04208631,0.79696092,5.89261954,4.60168409,0.08582576,2.58841571
-5.95797899,9.12745064,0.01895509,1.23878412,1.04942992,0.78506952,5.83687479,4.58169096,0.08623252,2.55925918
-5.95197599,9.05014255,0.01820685,1.22546615,1.05758756,0.77319537,5.76807958,4.55328736,0.08677088,2.52974833
-5.94597299,8.96440454,0.01748359,1.20981257,1.06673685,0.76158467,5.68750642,4.51711808,0.08745029,2.50069068
-5.93996998,8.87223508,0.01678577,1.19201851,1.07703644,0.75046936,5.59671321,4.47401026,0.08827798,2.47287571
-5.93396698,8.77576286,0.01611493,1.17233309,1.08861480,0.74005805,5.49748210,4.42493743,0.08925811,2.44704345
-5.92796398,8.67715751,0.01547350,1.15104777,1.10156046,0.73052812,5.39175204,4.37097935,0.09039095,2.42385557
-5.92196098,8.57854160,0.01486460,1.12848356,1.11591393,0.72201923,5.28154803,4.31327981,0.09167225,2.40387006
-5.91595798,8.48190789,0.01429182,1.10497768,1.13166180,0.71462852,5.16890992,4.25300399,0.09309266,2.38752065
-5.90995498,8.38904516,0.01375897,1.08087011,1.14873332,0.70840787,5.05582372,4.19129724,0.09463744,2.37510169
-5.90395198,8.30147564,0.01326983,1.05649090,1.16699951,0.70336307,4.94415812,4.12924707,0.09628641,2.36675906
-5.89794897,8.22040638,0.01282791,1.03214852,1.18627492,0.69945511,4.83560848,4.06784961,0.09801400,2.36248730
-5.89194597,8.14669604,0.01243627,1.00811992,1.20632190,0.69660340,4.73165028,4.00798185,0.09978976,2.36213284
-5.88594297,8.08083795,0.01209735,0.98464260,1.22685709,0.69469072,4.63350338,3.95038041,0.10157894,2.36540306
-5.87993997,8.02295938,0.01181279,0.96190894,1.24755987,0.69356964,4.54210795,3.89562741,0.10334337,2.37188055
-5.87393697,7.97283626,0.01158336,0.94006297,1.26808236,0.69307007,4.45811248,3.84414354,0.10504249,2.38104169
-5.86793397,7.92992203,0.01140887,0.91919961,1.28806043,0.69300757,4.38187358,3.79618819,0.10663454,2.39227871
-5.86193097,7.89338849,0.01128818,0.89936620,1.30712534,0.69319200,4.31346698,3.75186611,0.10807783,2.40492409
-5.85592796,7.86217649,0.01121915,0.88056621,1.32491543,0.69343609,4.25270862,3.71113994,0.10933204,2.41827626
