energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,12.90109551,3.15705318,9.33864839,0.04239927,0.59015161,0.75243563,0.00000000,0.07050466,1.92051699
-5.99399700,12.83070450,3.10156952,9.31246804,0.04237284,0.57901746,0.75107992,0.00000000,0.06918956,1.90834534
-5.98799400,12.76421402,3.04957797,9.28830789,0.04221370,0.56860771,0.75128837,0.00000000,0.06784522,1.89707580
-5.98199100,12.70282830,3.00149097,9.26705715,0.04192492,0.55896086,0.75304772,0.00000000,0.06648068,1.88681178
-5.97598799,12.64744190,2.95753545,9.24943963,0.04151168,0.55008215,0.75628637,0.00000000,0.06510487,1.87758685
-5.96998499,12.59860544,2.91774182,9.23599060,0.04098104,0.54194184,0.76087379,0.00000000,0.06372623,1.86936038
-5.96398199,12.55651095,2.88194162,9.22704571,0.04034168,0.53447495,0.76662248,0.00000000,0.06235233,1.86201700
-5.95797899,12.52099835,2.84977432,9.22274292,0.03960361,0.52758270,0.77329254,0.00000000,0.06098954,1.85537023
-5.95197599,12.49158369,2.82070345,9.22303760,0.03877788,0.52113557,0.78059898,0.00000000,0.05964279,1.84917054
-5.94597299,12.46750768,2.79404162,9.22772974,0.03787630,0.51497798,0.78822148,0.00000000,0.05831539,1.84311752
-5.93996998,12.44780178,2.76898333,9.23650127,0.03691114,0.50893430,0.79581642,0.00000000,0.05700897,1.83687575
-5.93396698,12.43136772,2.74464434,9.24896065,0.03589492,0.50281608,0.80303069,0.00000000,0.05572354,1.83009370
-5.92796398,12.41706515,2.72010556,9.26469113,0.03484019,0.49643001,0.80951655,0.00000000,0.05445764,1.82242465
-5.92196098,12.40380132,2.69445943,9.28329868,0.03375938,0.48958632,0.81494720,0.00000000,0.05320861,1.81354848
-5.91595798,12.39061659,2.66685630,9.30445563,0.03266464,0.48210722,0.81903191,0.00000000,0.05197295,1.80319311
-5.90995498,12.37675956,2.63654857,9.32793614,0.03156778,0.47383484,0.82153031,0.00000000,0.05074672,1.79115425
-5.90395198,12.36174633,2.60293007,9.35364028,0.03048022,0.46463834,0.82226483,0.00000000,0.04952602,1.77731237
-5.89794897,12.34539938,2.56556877,9.38160431,0.02941290,0.45441988,0.82113078,0.00000000,0.04830749,1.76164563
-5.89194597,12.32786312,2.52423099,9.41199565,0.02837636,0.44311900,0.81810343,0.00000000,0.04708877,1.74423803
-5.88594297,12.30959448,2.47889590,9.44509262,0.02738067,0.43071537,0.81324171,0.00000000,0.04586891,1.72528218
-5.87993997,12.29132910,2.42975949,9.48124960,0.02643545,0.41722964,0.80668818,0.00000000,0.04464881,1.70507632
-5.87393697,12.27402499,2.37722796,9.52085008,0.02554991,0.40272259,0.79866540,0.00000000,0.04343142,1.68401570
-5.86793397,12.25878738,2.32190086,9.56425063,0.02473282,0.38729232,0.78946863,0.00000000,0.04222199,1.66257871
-5.86193097,12.24677980,2.26454499,9.61171986,0.02399251,0.37107012,0.77945530,0.00000000,0.04102809,1.64130834
-5.85592796,12.23912732,2.20606056,9.66337677,0.02333683,0.35421479,0.76903170,0.00000000,0.03985958,1.62079012
-5.84992496,12.23681845,2.14744127,9.71913328,0.02277315,0.33690617,0.75863754,0.00000000,0.03872846,1.60162748
-5.84392196,12.24061254,2.08973073,9.77864539,0.02230827,0.31933787,0.74872914,0.00000000,0.03764852,1.58441595
-5.83791896,12.25095886,2.03397726,9.84127704,0.02194835,0.30170989,0.73976198,0.00000000,0.03663504,1.56971752
-5.83191596,12.26793299,1.98118943,9.90607996,0.02169887,0.28422123,0.73217359,0.00000000,0.03570431,1.55803656
-5.82591296,12.29119499,1.93229466,9.97179191,0.02156451,0.26706304,0.72636748,0.00000000,0.03487313,1.54979839
-5.81990995,12.31997255,1.88810271,10.03685424,0.02154911,0.25041248,0.72269885,0.00000000,0.03415823,1.54533179
-5.81390695,12.35307037,1.84927590,10.09944890,0.02165555,0.23442762,0.72146290,0.00000000,0.03357580,1.54485610
-5.80790395,12.38890602,1.81630714,10.15755355,0.02188570,0.21924346,0.72288598,0.00000000,0.03314091,1.54847371
-5.80190095,12.42557021,1.78950676,10.20901224,0.02224036,0.20496929,0.72712017,0.00000000,0.03286706,1.55616809
-5.79589795,12.46090852,1.76899836,10.25161827,0.02271927,0.19168726,0.73424134,0.00000000,0.03276579,1.56780747
-5.78989495,12.49262005,1.75472369,10.28320515,0.02332104,0.17945232,0.74425067,0.00000000,0.03284632,1.58315384
-5.78389195,12.51836758,1.74645576,10.30174072,0.02404324,0.16829323,0.75707945,0.00000000,0.03311534,1.60187673
-5.77788894,12.53589321,1.74381932,10.30541975,0.02488240,0.15821457,0.77259685,0.00000000,0.03357691,1.62357089
-5.77188594,12.54313312,1.74631737,10.29274995,0.02583414,0.14919965,0.79062001,0.00000000,0.03423246,1.64777698
-5.76588294,12.53832524,1.75336199,10.26262696,0.02689328,0.14121386,0.81092593,0.00000000,0.03508086,1.67400402
-5.75987994,12.52010401,1.76430769,10.21439432,0.02805392,0.13420853,0.83326439,0.00000000,0.03611862,1.70175242
-5.75387694,12.48757711,1.77848557,10.14788541,0.02930966,0.12812482,0.85737109,0.00000000,0.03734021,1.73053636
-5.74787394,12.44038019,1.79523623,10.06344500,0.03065369,0.12289756,0.88298037,0.00000000,0.03873835,1.75990429
-5.74187094,12.37870671,1.81393992,9.96192946,0.03207896,0.11845885,0.90983669,0.00000000,0.04030442,1.78945651
-5.73586793,12.30331131,1.83404219,9.84468561,0.03357831,0.11474116,0.93770419,0.00000000,0.04202887,1.81885897
-5.72986493,12.21548679,1.85507408,9.71350924,0.03514452,0.11167994,0.96637398,0.00000000,0.04390157,1.84785254
-5.72386193,12.11701578,1.87666562,9.57058546,0.03677040,0.10921555,0.99566864,0.00000000,0.04591224,1.87625741
-5.71785893,12.01009974,1.89855253,9.41841376,0.03844877,0.10729457,1.02544386,0.00000000,0.04805068,1.90397247
-5.71185593,11.89726894,1.92057565,9.25972152,0.04017238,0.10587036,1.05558704,0.00000000,0.05030706,1.93096983
-5.70585293,11.78127796,1.94267364,9.09736989,0.04193384,0.10490306,1.08601323,0.00000000,0.05267210,1.95728490
-5.69984992,11.66499186,1.96486952,8.93425656,0.04372546,0.10435899,1.11665865,0.00000000,0.05513706,1.98300274
-5.69384692,11.55126856,1.98725213,8.77321952,0.04553901,0.10420959,1.14747225,0.00000000,0.05769382,2.00824160
-5.68784392,11.44284285,2.00995366,8.61694599,0.04736552,0.10443000,1.17840604,0.00000000,0.06033471,2.03313458
-5.68184092,11.34221733,2.03312482,8.46788996,0.04919507,0.10499745,1.20940471,0.00000000,0.06305240,2.05781073
-5.67583792,11.25156488,2.05690925,8.32820147,0.05101653,0.10588956,1.24039551,0.00000000,0.06583967,2.08237655
-5.66983492,11.17264652,2.08141857,8.19966956,0.05281738,0.10708270,1.27127885,0.00000000,0.06868914,2.10689914
-5.66383192,11.10674767,2.10670976,8.08368039,0.05458362,0.10855052,1.30192053,0.00000000,0.07159306,2.13139195
-5.65782891,11.05463449,2.13276611,7.98119104,0.05629968,0.11026273,1.33214586,0.00000000,0.07454308,2.15580384
-5.65182591,11.01653124,2.15948281,7.89271856,0.05794846,0.11218432,1.36173652,0.00000000,0.07753002,2.18001226
-5.64582291,10.99211837,2.18665810,7.81834346,0.05951153,0.11427515,1.39042999,0.00000000,0.08054376,2.20382068
-5.63981991,10.98054996,2.21399029,7.75772599,0.06096933,0.11648998,1.41792203,0.00000000,0.08357323,2.22696057
-5.63381691,10.98048885,2.24108091,7.71013324,0.06230158,0.11877903,1.44387194,0.00000000,0.08660637,2.24909757
-5.62781391,10.99015657,2.26744376,7.67447513,0.06348771,0.12108886,1.46791041,0.00000000,0.08963031,2.26984163
-5.62181091,11.00739544,2.29251920,7.64934689,0.06450744,0.12336370,1.48964968,0.00000000,0.09263157,2.28876042
-5.61580790,11.02973961,2.31569306,7.63307619,0.06534140,0.12554703,1.50869538,0.00000000,0.09559634,2.30539529
-5.60980490,11.05449205,2.33631895,7.62377301,0.06597174,0.12758339,1.52465958,0.00000000,0.09851088,2.31927891
-5.60380190,11.07880471,2.35374293,7.61938088,0.06638278,0.12942023,1.53717434,0.00000000,0.10136190,2.32995373
-5.59779890,11.09975923,2.36732913,7.61772827,0.06656167,0.13100980,1.54590520,0.00000000,0.10413703,2.33699025
-5.59179590,11.11444614,2.37648520,7.61657952,0.06649886,0.13231080,1.55056382,0.00000000,0.10682517,2.34000436
-5.58579290,11.12004071,2.38068617,7.61368472,0.06618865,0.13328997,1.55091942,0.00000000,0.10941699,2.33867290
