energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,3.47355065,0.03117391,0.40872451,0.93228139,0.29505136,0.05011876,1.65900820,1.47314101,0.57991298
-5.99399700,3.48503543,0.03279221,0.41936197,0.91573013,0.29636568,0.05088595,1.64956202,1.48036748,0.57986604
-5.98799400,3.50752141,0.03455758,0.43258186,0.90035385,0.29795683,0.05183629,1.64377754,1.49469234,0.58335965
-5.98199100,3.54237647,0.03647162,0.44846792,0.88653831,0.29993573,0.05300849,1.64239601,1.51671066,0.59062126
-5.97598799,3.59071194,0.03853409,0.46703323,0.87462382,0.30241143,0.05444040,1.64607849,1.54681574,0.60179625
-5.96998499,3.65334107,0.04074274,0.48821508,0.86489763,0.30548788,0.05616785,1.65538752,1.58518258,0.61694136
-5.96398199,3.73074710,0.04309301,0.51187275,0.85758828,0.30926079,0.05822331,1.67077165,1.63175862,0.63602079
-5.95797899,3.82306187,0.04557787,0.53778859,0.85286184,0.31381472,0.06063472,1.69255275,1.68626235,0.65890514
-5.95197599,3.93005528,0.04818767,0.56567232,0.85081992,0.31922027,0.06342431,1.72091644,1.74818981,0.68537324
-5.94597299,4.05113594,0.05091008,0.59516868,0.85149929,0.32553158,0.06660747,1.75590562,1.81682890,0.71511666
-5.93996998,4.18536285,0.05373004,0.62586800,0.85487303,0.33278410,0.07019189,1.79741729,1.89128095,0.74774707
-5.93396698,4.33146795,0.05662990,0.65731956,0.86085307,0.34099276,0.07417676,1.84520281,1.97048920,0.78280599
-5.92796398,4.48788881,0.05958953,0.68904707,0.86929398,0.35015054,0.07855224,1.89887157,2.05327281,0.81977687
-5.92196098,4.65281066,0.06258660,0.72056571,0.87999787,0.36022767,0.08329928,1.95789836,2.13836564,0.85809903
-5.91595798,4.82421652,0.06559690,0.75140001,0.89272035,0.37117126,0.08838959,2.02163434,2.22445811,0.89718317
-5.90995498,4.99994402,0.06859480,0.78110181,0.90717741,0.38290576,0.09378607,2.08932145,2.31024065,0.93642784
-5.90395198,5.17774698,0.07155373,0.80926738,0.92305309,0.39533406,0.09944350,2.16011028,2.39444711,0.97523637
-5.89794897,5.35535976,0.07444674,0.83555292,0.94000775,0.40833924,0.10530958,2.23308084,2.47589625,1.01303379
-5.89194597,5.53056200,0.07724715,0.85968769,0.95768677,0.42178715,0.11132628,2.30726578,2.55352961,1.04928284
-5.88594297,5.70124132,0.07992914,0.88148399,0.97572950,0.43552952,0.11743139,2.38167530,2.62644411,1.08349880
