energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,5.22250998,0.02928934,0.38161487,0.57855065,0.32078582,1.87695120,2.09932349,0.03236635,2.33578129
-5.99399700,5.23875328,0.02912392,0.38059890,0.57097096,0.32161493,1.87570630,2.11774826,0.03288321,2.33135252
-5.98799400,5.25199019,0.02894880,0.37995562,0.56246207,0.32204882,1.87157186,2.13646297,0.03349901,2.32419119
-5.98199100,5.26319706,0.02877920,0.37977740,0.55326772,0.32211934,1.86474943,2.15583302,0.03422263,2.31480081
-5.97598799,5.27353544,0.02862988,0.38016466,0.54365515,0.32187929,1.85554874,2.17625792,0.03506187,2.30379666
-5.96998499,5.28429794,0.02851458,0.38122033,0.53390663,0.32140058,1.84437515,2.19814781,0.03602283,2.29188214
-5.96398199,5.29684972,0.02844562,0.38304423,0.52431080,0.32077163,1.83171455,2.22189936,0.03710943,2.27982228
-5.95797899,5.31256782,0.02843348,0.38572774,0.51515400,0.32009415,1.81811603,2.24787228,0.03832295,2.26841526
-5.95197599,5.33278079,0.02848654,0.38934874,0.50671192,0.31947930,1.80417309,2.27636743,0.03966168,2.25846309
-5.94597299,5.35871073,0.02861084,0.39396737,0.49924173,0.31904342,1.79050384,2.30760742,0.04112061,2.25074227
-5.93996998,5.39141978,0.02881005,0.39962236,0.49297495,0.31890343,1.77773076,2.34172053,0.04269133,2.24597550
-5.93396698,5.43176292,0.02908541,0.40632844,0.48811102,0.31917212,1.76646071,2.37872869,0.04436195,2.24480534
-5.92796398,5.48034850,0.02943581,0.41407451,0.48481195,0.31995341,1.75726551,2.41853966,0.04611717,2.24777060
-5.92196098,5.53750755,0.02985797,0.42282301,0.48319795,0.32133790,1.75066368,2.46094393,0.04793851,2.25528610
-5.91595798,5.60327290,0.03034660,0.43251008,0.48334414,0.32339861,1.74710375,2.50561615,0.04980455,2.26762659
-5.90995498,5.67736818,0.03089469,0.44304681,0.48527857,0.32618742,1.74694955,2.55212090,0.05169138,2.28491499
-5.90395198,5.75920713,0.03149374,0.45432117,0.48898132,0.32973211,1.75046772,2.59992246,0.05357305,2.30711547
-5.89794897,5.84790270,0.03213407,0.46620082,0.49438488,0.33403412,1.75781790,2.64839816,0.05542217,2.33403142
-5.89194597,5.94228561,0.03280511,0.47853637,0.50137579,0.33906738,1.76904571,2.69685442,0.05721047,2.36530841
-5.88594297,6.04093155,0.03349564,0.49116525,0.50979740,0.34477796,1.78407884,2.74454514,0.05890950,2.40044188
