energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,10.59249365,0.02656947,1.15372521,0.97355366,0.45002059,5.24356788,4.78070014,0.09366331,3.12237585
-5.99399700,10.30473532,0.02636368,1.13181771,0.95280369,0.43691526,5.08284235,4.64697748,0.09233638,3.03664732
-5.98799400,9.99587038,0.02614462,1.10620551,0.93123632,0.42310586,4.90467956,4.50534346,0.09069944,2.94568392
-5.98199100,9.66892717,0.02592564,1.07714227,0.90910430,0.40877586,4.71152667,4.35671893,0.08876861,2.85061566
-5.97598799,9.32755009,0.02572174,1.04497989,0.88670043,0.39412900,4.50620092,4.20229630,0.08656777,2.75271716
-5.96998499,8.97587535,0.02554912,1.01015422,0.86434555,0.37938436,4.29179955,4.04349508,0.08412772,2.65336797
-5.96398199,8.61839079,0.02542470,0.97316833,0.84237551,0.36477100,4.07160225,3.88190979,0.08148497,2.55400972
-5.95797899,8.25978692,0.02536554,0.93457396,0.82112794,0.35052222,3.84897009,3.71925310,0.07868058,2.45610187
-5.95197599,7.90480610,0.02538827,0.89495223,0.80092927,0.33686987,3.62724554,3.55729716,0.07575876,2.36107830
-5.94597299,7.55809648,0.02550854,0.85489423,0.78208290,0.32403876,3.40965753,3.39781572,0.07276557,2.27030640
-5.93996998,7.22407683,0.02574044,0.81498249,0.76485893,0.31224146,3.19923523,3.24252978,0.06974752,2.18505036
-5.93396698,6.90681724,0.02609603,0.77577382,0.74948584,0.30167347,2.99873353,3.09305877,0.06675032,2.10643987
-5.92796398,6.60993948,0.02658491,0.73778435,0.73614466,0.29250921,2.81057256,2.95087876,0.06381771,2.03544534
-5.92196098,6.33653973,0.02721389,0.70147691,0.72496555,0.28489848,2.63679259,2.81728904,0.06099039,1.97285999
-5.91595798,6.08913480,0.02798673,0.66725136,0.71602704,0.27896379,2.47902507,2.69338743,0.05830516,1.91928911
-5.90995498,5.86963187,0.02890402,0.63543768,0.70935762,0.27479837,2.33847954,2.58005440,0.05579415,1.87514623
-5.90395198,5.67932054,0.02996312,0.60629213,0.70493955,0.27246478,2.21594543,2.47794567,0.05348434,1.84065562
-5.89794897,5.51888499,0.03115829,0.57999601,0.70271452,0.27199433,2.11180741,2.38749237,0.05139709,1.81586036
-5.89194597,5.38843335,0.03248078,0.55665713,0.70259059,0.27338691,2.02607201,2.30890790,0.04954798,1.80063489
-5.88594297,5.28754100,0.03391915,0.53631330,0.70444998,0.27661140,1.95840332,2.24220002,0.04794667,1.79470098
-5.87993997,5.21530401,0.03545949,0.51893784,0.70815722,0.28160654,1.90816522,2.18718719,0.04659699,1.79764592
-5.87393697,5.17039938,0.03708583,0.50444634,0.71356691,0.28828214,1.87446744,2.14351769,0.04549709,1.80894170
-5.86793397,5.15114861,0.03878048,0.49270464,0.72053084,0.29652067,1.85621332,2.11069055,0.04463971,1.82796438
-5.86193097,5.15558188,0.04052441,0.48353733,0.72890384,0.30617922,1.85214681,2.08807732,0.04401254,1.85401258
-5.85592796,5.18150055,0.04229766,0.47673673,0.73854814,0.31709175,1.86089722,2.07494397,0.04359863,1.88632462
-5.84992496,5.22653633,0.04407961,0.47207188,0.74933600,0.32907178,1.88101998,2.07047255,0.04337697,1.92409380
-5.84392196,5.28820635,0.04584936,0.46929738,0.76115056,0.34191539,1.91103295,2.07378223,0.04332300,1.96648180
-5.83791896,5.36396365,0.04758601,0.46816202,0.77388483,0.35540471,1.94944731,2.08394983,0.04340929,2.01263021
-5.83191596,5.45124356,0.04926888,0.46841689,0.78743929,0.36931186,1.99479347,2.10002984,0.04360624,2.06167047
-5.82591296,5.54750656,0.05087772,0.46982310,0.80171805,0.38340336,2.04564194,2.12107430,0.04388280,2.11273274
