energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.87722847,0.06723229,0.11167490,0.77822877,0.28829444,0.10578380,0.10802343,0.68842874
-5.99399700,1.90011215,0.06893673,0.11449242,0.79563716,0.29537166,0.10890956,0.10947053,0.69259765
-5.98799400,1.91906750,0.07029112,0.11685045,0.80934409,0.30218876,0.11173117,0.11083090,0.69527622
-5.98199100,1.93477415,0.07126166,0.11874187,0.81921834,0.30882346,0.11418949,0.11217838,0.69676249
-5.97598799,1.94806406,0.07182408,0.12017122,0.82521893,0.31538102,0.11624016,0.11359381,0.69740714
-5.96998499,1.95988936,0.07196430,0.12115441,0.82739651,0.32198855,0.11785428,0.11516227,0.69760102
-5.96398199,1.97128512,0.07167889,0.12171792,0.82589123,0.32878852,0.11901859,0.11697014,0.69776104
-5.95797899,1.98332771,0.07097512,0.12189766,0.82092746,0.33593155,0.11973498,0.11910185,0.69831458
-5.95197599,1.99709054,0.06987069,0.12173730,0.81280522,0.34356877,0.12001939,0.12163662,0.69968314
-5.94597299,2.01359832,0.06839319,0.12128633,0.80188884,0.35184398,0.11990023,0.12464506,0.70226567
-5.93996998,2.03378194,0.06657920,0.12059784,0.78859322,0.36088587,0.11941622,0.12818601,0.70642225
-5.93396698,2.05843561,0.06447319,0.11972613,0.77336836,0.37080075,0.11861400,0.13230352,0.71245874
-5.92796398,2.08817825,0.06212628,0.11872432,0.75668285,0.38166605,0.11754541,0.13702419,0.72061304
-5.92196098,2.12342093,0.05959482,0.11764195,0.73900711,0.39352499,0.11626468,0.14235508,0.73104351
-5.91595798,2.16434201,0.05693899,0.11652289,0.72079719,0.40638277,0.11482574,0.14828203,0.74382022
-5.90995498,2.21087132,0.05422140,0.11540349,0.70247981,0.42020447,0.11327965,0.15476880,0.75891928
-5.90395198,2.26268460,0.05150576,0.11431116,0.68443947,0.43491492,0.11167242,0.16175683,0.77622075
-5.89794897,2.31920858,0.04885574,0.11326339,0.66700803,0.45040060,0.11004321,0.16916585,0.79551028
-5.89194597,2.37963701,0.04633395,0.11226742,0.65045736,0.46651365,0.10842307,0.17689521,0.81648454
-5.88594297,2.44295724,0.04400111,0.11132030,0.63499513,0.48307778,0.10683431,0.18482605,0.83876022
-5.87993997,2.50798646,0.04191543,0.11040960,0.62076400,0.49989590,0.10529037,0.19282413,0.86188656
-5.87393697,2.57341616,0.04013215,0.10951459,0.60784396,0.51675918,0.10379632,0.20074331,0.88536080
-5.86793397,2.63786320,0.03870319,0.10860783,0.59625763,0.53345703,0.10234990,0.20842961,0.90864599
-5.86193097,2.69992513,0.03767693,0.10765714,0.58597803,0.54978765,0.10094302,0.21572559,0.93119062
-5.85592796,2.75823756,0.03709803,0.10662774,0.57693835,0.56556842,0.09956361,0.22247498,0.95244923
-5.84992496,2.81153091,0.03700717,0.10548458,0.56904303,0.58064579,0.09819775,0.22852749,0.97190312
-5.84392196,2.85868419,0.03744085,0.10419464,0.56217953,0.59490397,0.09683190,0.23374335,0.98908047
-5.83791896,2.89877330,0.03843093,0.10272910,0.55623009,0.60827204,0.09545524,0.23799776,1.00357498
-5.83191596,2.93111182,0.04000410,0.10106526,0.55108281,0.62072897,0.09406176,0.24118480,1.01506231
-5.82591296,2.95528242,0.04218121,0.09918825,0.54664161,0.63230632,0.09265226,0.24322083,1.02331371
-5.81990995,2.97115776,0.04497634,0.09709225,0.54283441,0.64308844,0.09123603,0.24404720,1.02820619
-5.81390695,2.97890977,0.04839579,0.09478133,0.53961930,0.65320999,0.08983206,0.24363215,1.02972904
