energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,5.41839060,0.03085672,0.29966737,0.04025877,0.00000000,1.16324257,0.47767432,3.23360883,0.00000000
-5.99399700,5.38387945,0.03120984,0.29799145,0.04027403,0.00000000,1.16340774,0.47562587,3.21121351,0.00000000
-5.98799400,5.33211127,0.03146023,0.29499309,0.04016989,0.00000000,1.15855357,0.47179353,3.17925659,0.00000000
-5.98199100,5.26391600,0.03160898,0.29070077,0.03994856,0.00000000,1.14875077,0.46625278,3.13827760,0.00000000
-5.97598799,5.18033619,0.03165854,0.28516212,0.03961386,0.00000000,1.13414374,0.45910215,3.08892744,0.00000000
-5.96998499,5.08260733,0.03161257,0.27844332,0.03917129,0.00000000,1.11494790,0.45046090,3.03195574,0.00000000
-5.96398199,4.97213211,0.03147584,0.27062802,0.03862789,0.00000000,1.09144531,0.44046639,2.96819480,0.00000000
-5.95797899,4.85044990,0.03125401,0.26181588,0.03799210,0.00000000,1.06397848,0.42927095,2.89854109,0.00000000
-5.95197599,4.71920234,0.03095346,0.25212068,0.03727358,0.00000000,1.03294275,0.41703858,2.82393483,0.00000000
-5.94597299,4.58009677,0.03058110,0.24166815,0.03648298,0.00000000,0.99877736,0.40394145,2.74533864,0.00000000
-5.93996998,4.43486893,0.03014418,0.23059350,0.03563168,0.00000000,0.96195563,0.39015651,2.66371623,0.00000000
-5.93396698,4.28524672,0.02965009,0.21903885,0.03473150,0.00000000,0.92297456,0.37586214,2.58001205,0.00000000
-5.92796398,4.13291649,0.02910623,0.20715058,0.03379445,0.00000000,0.88234426,0.36123512,2.49513297,0.00000000
-5.92196098,3.97949347,0.02851987,0.19507666,0.03283247,0.00000000,0.84057752,0.34644796,2.40993278,0.00000000
-5.91595798,3.82649741,0.02789802,0.18296415,0.03185718,0.00000000,0.79817990,0.33166666,2.32520003,0.00000000
-5.90995498,3.67533438,0.02724742,0.17095682,0.03087971,0.00000000,0.75564071,0.31704901,2.24164998,0.00000000
-5.90395198,3.52728528,0.02657446,0.15919307,0.02991055,0.00000000,0.71342509,0.30274340,2.15992059,0.00000000
-5.89794897,3.38350099,0.02588522,0.14780417,0.02895941,0.00000000,0.67196733,0.28888820,2.08057267,0.00000000
