energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,0.60358846,0.00508031,0.03475703,0.34725025,0.00000000,0.08064769,0.05697610,0.09512270,0.08768303
-5.99399700,0.59898843,0.00491821,0.03527412,0.34394645,0.00000000,0.08116401,0.05573552,0.09422544,0.08805086
-5.98799400,0.59808035,0.00477305,0.03608002,0.34269976,0.00000000,0.08235725,0.05478499,0.09398415,0.08908139
-5.98199100,0.60136327,0.00464762,0.03720304,0.34379356,0.00000000,0.08430800,0.05417261,0.09445594,0.09087111
-5.97598799,0.60927737,0.00454428,0.03866796,0.34747825,0.00000000,0.08708992,0.05394070,0.09569163,0.09350763
-5.96998499,0.62219077,0.00446486,0.04049515,0.35396376,0.00000000,0.09076729,0.05412459,0.09773315,0.09706746
-5.96398199,0.64038930,0.00441068,0.04269979,0.36341382,0.00000000,0.09539292,0.05475174,0.10061158,0.10161406
-5.95797899,0.66406894,0.00438255,0.04529125,0.37594184,0.00000000,0.10100635,0.05584119,0.10434565,0.10719629
-5.95197599,0.69333118,0.00438081,0.04827265,0.39160835,0.00000000,0.10763230,0.05740322,0.10894081,0.11384707
-5.94597299,0.72818091,0.00440538,0.05164052,0.41041998,0.00000000,0.11527958,0.05943934,0.11438882,0.12158250
-5.93996998,0.76852690,0.00445584,0.05538474,0.43232977,0.00000000,0.12394024,0.06194254,0.12066777,0.13040117
-5.93396698,0.81418440,0.00453155,0.05948853,0.45723872,0.00000000,0.13358922,0.06489770,0.12774263,0.14028397
-5.92796398,0.86487984,0.00463171,0.06392869,0.48499843,0.00000000,0.14418427,0.06828227,0.13556612,0.15119408
-5.92196098,0.92025734,0.00475548,0.06867597,0.51541468,0.00000000,0.15566641,0.07206707,0.14407998,0.16307739
-5.91595798,0.97988680,0.00490206,0.07369561,0.54825186,0.00000000,0.16796069,0.07621728,0.15321651,0.17586329
-5.90995498,1.04327347,0.00507076,0.07894808,0.58323811,0.00000000,0.18097754,0.08069349,0.16290044,0.18946572
-5.90395198,1.10986880,0.00526107,0.08438993,0.62007115,0.00000000,0.19461450,0.08545284,0.17305094,0.20378459
-5.89794897,1.17908230,0.00547268,0.08997479,0.65842460,0.00000000,0.20875840,0.09045028,0.18358385,0.21870762
-5.89194597,1.25029448,0.00570553,0.09565455,0.69795486,0.00000000,0.22328804,0.09563983,0.19441404,0.23411235
-5.88594297,1.32287047,0.00595975,0.10138055,0.73830836,0.00000000,0.23807722,0.10097582,0.20545782,0.24986854
-5.87993997,1.39617422,0.00623569,0.10710501,0.77912915,0.00000000,0.25299817,0.10641422,0.21663541,0.26584077
-5.87393697,1.46958306,0.00653379,0.11278235,0.82006669,0.00000000,0.26792522,0.11191386,0.22787334,0.28189123
-5.86793397,1.54250228,0.00685461,0.11837064,0.86078373,0.00000000,0.28273871,0.11743765,0.23910689,0.29788260
-5.86193097,1.61437946,0.00719863,0.12383301,0.90096415,0.00000000,0.29732885,0.12295371,0.25028223,0.31368104
-5.85592796,1.68471833,0.00756626,0.12913899,0.94032059,0.00000000,0.31159972,0.12843644,0.26135859,0.32915903
-5.84992496,1.75309158,0.00795767,0.13426577,0.97860161,0.00000000,0.32547286,0.13386745,0.27231003,0.34419821
-5.84392196,1.81915261,0.00837274,0.13919931,1.01559838,0.00000000,0.33889070,0.13923641,0.28312708,0.35869193
-5.83791896,1.88264555,0.00881096,0.14393526,1.05115057,0.00000000,0.35181948,0.14454173,0.29381801,0.37254756
