energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,1.46126930,0.00771321,0.34062795,0.15656408,0.12013242,0.39245184,0.00000000,0.43229169,0.47463170
-5.99399700,1.64887979,0.00886819,0.38302812,0.17631091,0.13827938,0.44654373,0.00000000,0.48350682,0.53350020
-5.98799400,1.85222207,0.01012960,0.42878874,0.19785062,0.15812175,0.50555394,0.00000000,0.53893573,0.59685609
-5.98199100,2.07049893,0.01149512,0.47769006,0.22111853,0.17962532,0.56933777,0.00000000,0.59833089,0.66436087
-5.97598799,2.30252021,0.01295998,0.52942351,0.24600863,0.20271737,0.63763831,0.00000000,0.66133963,0.73555222
-5.96998499,2.54669734,0.01451684,0.58359189,0.27237300,0.22728393,0.71008193,0.00000000,0.72750549,0.80984504
-5.96398199,2.80105177,0.01615569,0.63971272,0.30002275,0.25316815,0.78617757,0.00000000,0.79627352,0.88653698
-5.95797899,3.06323861,0.01786381,0.69722505,0.32873072,0.28017009,0.86532048,0.00000000,0.86699985,0.96481880
-5.95197599,3.33058608,0.01962584,0.75549974,0.35823591,0.30804812,0.94680073,0.00000000,0.93896542,1.04378952
-5.94597299,3.60015093,0.02142401,0.81385320,0.38824974,0.33652199,1.02981664,0.00000000,1.01139389,1.12247619
-5.93996998,3.86878889,0.02323840,0.87156417,0.41846407,0.36527768,1.11349322,0.00000000,1.08347326,1.19985797
-5.93396698,4.13323874,0.02504733,0.92789340,0.44856065,0.39397402,1.19690520,0.00000000,1.15438071,1.27489375
-5.92796398,4.39021750,0.02682787,0.98210528,0.47822193,0.42225093,1.27910409,0.00000000,1.22330971,1.34655254
-5.92196098,4.63652354,0.02855644,1.03349099,0.50714268,0.44973902,1.35914847,0.00000000,1.28949864,1.41384552
-5.91595798,4.86914384,0.03020943,1.08139201,0.53504196,0.47607035,1.43613638,0.00000000,1.35225954,1.47585840
-5.90995498,5.08536094,0.03176392,1.12522326,0.56167510,0.50088994,1.50923852,0.00000000,1.41100590,1.53178303
-5.90395198,5.28285476,0.03319843,1.16449462,0.58684478,0.52386739,1.57773070,0.00000000,1.46527806,1.58094649
-5.89794897,5.45979453,0.03449356,1.19882996,0.61041089,0.54470842,1.64102408,0.00000000,1.51476490,1.62283665
-5.89194597,5.61491598,0.03563275,1.22798270,0.63229845,0.56316550,1.69869141,0.00000000,1.55932058,1.65712267
-5.88594297,5.74757954,0.03660281,1.25184691,0.65250307,0.57904720,1.75048801,0.00000000,1.59897529,1.68366952
-5.87993997,5.85780575,0.03739446,1.27046348,0.67109351,0.59222569,1.79636591,0.00000000,1.63393896,1.70254550
-5.87393697,5.94628525,0.03800267,1.28402066,0.68821098,0.60264209,1.83648011,0.00000000,1.66459749,1.71402232
-5.86793397,6.01436156,0.03842686,1.29284881,0.70406511,0.61030905,1.87118632,0.00000000,1.69150111,1.71856744
-5.86193097,6.06398633,0.03867097,1.29740955,0.71892640,0.61531069,1.90102960,0.00000000,1.71534513,1.71682868
-5.85592796,6.09764803,0.03874334,1.29827925,0.73311549,0.61779951,1.92672427,0.00000000,1.73694330,1.70961187
-5.84992496,6.11827640,0.03865633,1.29612786,0.74698954,0.61799052,1.94912535,0.00000000,1.75719503,1.69785200
-5.84392196,6.12912626,0.03842593,1.29169361,0.76092628,0.61615265,1.96919285,0.00000000,1.77704745,1.68257932
-5.83791896,6.13364556,0.03807106,1.28575484,0.77530638,0.61259793,1.98795015,0.00000000,1.79745396,1.66488165
-5.83191596,6.13533338,0.03761287,1.27909997,0.79049504,0.60766872,2.00643834,0.00000000,1.81933121,1.64586461
-5.82591296,6.13759421,0.03707386,1.27249725,0.80682361,0.60172375,2.02566872,0.00000000,1.84351632,1.62661143
-5.81990995,6.14359533,0.03647702,1.26666527,0.82457228,0.59512349,2.04657555,0.00000000,1.87072644,1.60814410
-5.81390695,6.15613388,0.03584489,1.26224593,0.84395458,0.58821553,2.06997139,0.00000000,1.90152277,1.59138767
-5.80790395,6.17751994,0.03519871,1.25978086,0.86510472,0.58132073,2.09650732,0.00000000,1.93628061,1.57713912
-5.80190095,6.20948107,0.03455756,1.25969231,0.88806830,0.57472072,2.12663992,0.00000000,1.97516714,1.56604209
-5.79589795,6.25309272,0.03393772,1.26226957,0.91279695,0.56864730,2.16060667,0.00000000,2.01812817,1.55856861
-5.78989495,6.30873764,0.03335205,1.26766109,0.93914731,0.56327429,2.19841105,0.00000000,2.06488431,1.55500832
-5.78389195,6.37609581,0.03280960,1.27587280,0.96688421,0.55871208,2.23981802,0.00000000,2.11493712,1.55546545
-5.77788894,6.45416486,0.03231541,1.28677236,0.99568808,0.55500520,2.28436003,0.00000000,2.16758468,1.55986342
-5.77188594,6.54130939,0.03187046,1.30009893,1.02516608,0.55213277,2.33135316,0.00000000,2.22194595,1.56795654
-5.76588294,6.63533607,0.03147183,1.31547788,1.05486632,0.55001196,2.37992261,0.00000000,2.27699262,1.57934779
-5.75987994,6.73359029,0.03111299,1.33243935,1.08429444,0.54850400,2.42903593,0.00000000,2.33158679,1.59351171
-5.75387694,6.83306884,0.03078434,1.35043968,1.11293162,0.54742252,2.47754253,0.00000000,2.38452260,1.60982077
-5.74787394,6.93054285,0.03047377,1.36888443,1.14025307,0.54654365,2.52421722,0.00000000,2.43456973,1.62757389
-5.74187094,7.02268468,0.03016737,1.38715187,1.16574601,0.54561747,2.56780571,0.00000000,2.48051667,1.64602563
-5.73586793,7.10619267,0.02985021,1.40461567,1.18892639,0.54438008,2.60707007,0.00000000,2.52121170,1.66441436
-5.72986493,7.17790807,0.02950708,1.42066591,1.20935336,0.54256589,2.64083181,0.00000000,2.55559983,1.68198843
-5.72386193,7.23491952,0.02912329,1.43472736,1.22664121,0.53991935,2.66801116,0.00000000,2.58275418,1.69802909
-5.71785893,7.27465100,0.02868535,1.44627471,1.24046818,0.53620593,2.68766075,0.00000000,2.60190084,1.71186948
-5.71185593,7.29493105,0.02818162,1.45484405,1.25058207,0.53122158,2.69899294,0.00000000,2.61243642,1.72290925
-5.70585293,7.29404170,0.02760279,1.46004091,1.25680278,0.52480069,2.70139994,0.00000000,2.61393822,1.73062475
-5.69984992,7.27074729,0.02694230,1.46154461,1.25902200,0.51682206,2.69446668,0.00000000,2.60616740,1.73457484
-5.69384692,7.22430422,0.02619658,1.45910956,1.25720044,0.50721289,2.67797661,0.00000000,2.58906551,1.73440299
-5.68784392,7.15445379,0.02536517,1.45256399,1.25136338,0.49595083,2.65191093,0.00000000,2.56274572,1.72983616
