energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,3.38305490,-3.61671536,0.04728741,-0.04916458,0.65701858,-0.68971608,2.11818620,-2.42355362,0.79378341,-0.75824957,0.46438042,-0.52456969,0.42359357,-0.45988787,1.08251455,-1.20353470,0.00000000,-0.00000000
-5.99399700,3.30554674,-3.54201602,0.04641969,-0.04899173,0.64334823,-0.68002061,2.04063946,-2.33593724,0.78367212,-0.75621036,0.44941928,-0.50434357,0.41854817,-0.45534403,1.05437597,-1.17024704,0.00000000,-0.00000000
-5.98799400,3.23750891,-3.47368845,0.04553494,-0.04868967,0.63039962,-0.67036754,1.97333109,-2.25643696,0.77344344,-0.75304969,0.43773856,-0.48673602,0.41465549,-0.45180439,1.03127326,-1.14101823,0.00000000,-0.00000000
-5.98199100,3.18013333,-3.41238801,0.04466949,-0.04827002,0.61842366,-0.66081026,1.91719297,-2.18578882,0.76343188,-0.74878500,0.42959320,-0.47199618,0.41201210,-0.44935819,1.01359820,-1.11619621,0.00000000,-0.00000000
-5.97598799,3.13459785,-3.35878192,0.04386143,-0.04774902,0.60767867,-0.65142259,1.87315027,-2.12469776,0.75398765,-0.74347715,0.42523467,-0.46036805,0.41070427,-0.44808353,1.00172623,-1.09611048,0.00000000,-0.00000000
-5.96998499,3.10204683,-3.31357031,0.04314963,-0.04714760,0.59842361,-0.64230309,1.84211336,-2.07385550,0.74546539,-0.73723458,0.42490965,-0.45209341,0.41080769,-0.44804905,0.99601375,-1.08107857,0.00000000,-0.00000000
-5.96398199,3.08356607,-3.27750070,0.04257264,-0.04649138,0.59091022,-0.63357756,1.82496346,-2.03395381,0.73821202,-0.73021503,0.42885715,-0.44741386,0.41238688,-0.44931546,0.99679353,-1.07141076,0.00000000,-0.00000000
-5.95797899,3.08015293,-3.25137392,0.04216755,-0.04581030,0.58537436,-0.62539946,1.82253187,-2.00569114,0.73255387,-0.72262454,0.43730408,-0.44657142,0.41549441,-0.45193636,1.00436796,-1.06741258,0.00000000,-0.00000000
-5.95197599,3.09268262,-3.23604030,0.04196881,-0.04513818,0.58202703,-0.61794804,1.83557344,-1.98977150,0.72878416,-0.71471364,0.45045916,-0.44980734,0.42016973,-0.45595860,1.01900027,-1.06938426,0.00000000,-0.00000000
-5.94597299,3.12187190,-3.23238522,0.04200707,-0.04451185,0.58104545,-0.61142427,1.86473490,-1.98689467,0.72715103,-0.70677084,0.46850534,-0.45735886,0.42643772,-0.46142175,1.04090381,-1.07761688,0.00000000,-0.00000000
