energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.98926886,-2.47872031,0.00200079,-0.01758664,0.56423134,-0.52247662,0.01823424,-0.01563154,0.00000000,-0.00000000,1.25488974,-1.17904092,1.35802012,-0.56507580,1.07329759,-1.02232651,0.00000000,-0.00000000
-5.99399700,2.99455099,-2.36524922,0.00189393,-0.01536096,0.55622414,-0.49729292,0.01815597,-0.01534208,0.00000000,-0.00000000,1.22705818,-1.14794030,1.37814340,-0.52633187,1.08025232,-0.98068564,0.00000000,-0.00000000
-5.98799400,2.99097649,-2.26176275,0.00178681,-0.01340990,0.54566761,-0.47366689,0.01805327,-0.01508026,0.00000000,-0.00000000,1.19699593,-1.11960838,1.39250745,-0.49140393,1.08536050,-0.94345539,0.00000000,-0.00000000
-5.98199100,2.97887005,-2.16741842,0.00168068,-0.01171820,0.53278179,-0.45146516,0.01792874,-0.01484198,0.00000000,-0.00000000,1.16522997,-1.09349188,1.40109093,-0.46010672,1.08860197,-0.91023677,0.00000000,-0.00000000
-5.97598799,2.95864464,-2.08138554,0.00157670,-0.01026820,0.51783408,-0.43056293,0.01778428,-0.01462334,0.00000000,-0.00000000,1.13225371,-1.06908109,1.40398667,-0.43223039,1.08993701,-0.88063255,0.00000000,-0.00000000
-5.96998499,2.93079295,-2.00285418,0.00147588,-0.00904049,0.50113430,-0.41084574,0.01762099,-0.01442062,0.00000000,-0.00000000,1.09851632,-1.04591706,1.40140079,-0.40754517,1.08930668,-0.85425075,0.00000000,-0.00000000
-5.96398199,2.89588036,-1.93103938,0.00137906,-0.00801450,0.48302909,-0.39220991,0.01743917,-0.01423024,0.00000000,-0.00000000,1.06441588,-1.02359514,1.39364943,-0.38580553,1.08663534,-0.83070633,0.00000000,-0.00000000
-5.95797899,2.85453932,-1.86518174,0.00128690,-0.00716905,0.46389607,-0.37456219,0.01723841,-0.01404872,0.00000000,-0.00000000,1.03029617,-1.00176529,1.38115350,-0.36675368,1.08183495,-0.80962157,0.00000000,-0.00000000
-5.95197599,2.80746526,-1.80454566,0.00119985,-0.00648285,0.44413770,-0.35781853,0.01701765,-0.01387267,0.00000000,-0.00000000,0.99644686,-0.98012976,1.36443170,-0.35012295,1.07481095,-0.79062584,0.00000000,-0.00000000
-5.94597299,2.75541383,-1.74841680,0.00111821,-0.00593491,0.42417520,-0.34190245,0.01677534,-0.01369871,0.00000000,-0.00000000,0.96310686,-0.95843901,1.34409211,-0.33564091,1.06546920,-0.77335522,0.00000000,-0.00000000
-5.93996998,2.69919901,-1.69609979,0.00104206,-0.00550490,0.40444260,-0.32674326,0.01650956,-0.01352346,0.00000000,-0.00000000,0.93047012,-0.93648652,1.32082269,-0.32303261,1.05372357,-0.75745271,0.00000000,-0.00000000
-5.93396698,2.63969192,-1.64691763,0.00097137,-0.00517348,0.38538100,-0.31227435,0.01621823,-0.01334356,0.00000000,-0.00000000,0.89869337,-0.91410324,1.29538102,-0.31202404,1.03950374,-0.74256924,0.00000000,-0.00000000
-5.92796398,2.57781967,-1.60021318,0.00090596,-0.00492251,0.36743315,-0.29843173,0.01589924,-0.01315565,0.00000000,-0.00000000,0.86790509,-0.89115249,1.26858341,-0.30234578,1.02276279,-0.72836604,0.00000000,-0.00000000
-5.92196098,2.51456373,-1.55535366,0.00084554,-0.00473525,0.35103823,-0.28515307,0.01555069,-0.01295648,0.00000000,-0.00000000,0.83821498,-0.86752549,1.24129354,-0.29373707,1.00348407,-0.71451831,0.00000000,-0.00000000
-5.91595798,2.45095707,-1.51173793,0.00078975,-0.00459650,0.33662698,-0.27237725,0.01517099,-0.01274295,0.00000000,-0.00000000,0.80972331,-0.84313827,1.21441065,-0.28595011,0.98168715,-0.70072032,0.00000000,-0.00000000
-5.90995498,2.38807949,-1.46880662,0.00073817,-0.00449270,0.32461677,-0.26004456,0.01475905,-0.01251220,0.00000000,-0.00000000,0.78252940,-0.81792988,1.18885710,-0.27875454,0.95743234,-0.68669164,0.00000000,-0.00000000
-5.90395198,2.32705019,-1.42605435,0.00069036,-0.00441193,0.31540669,-0.24809731,0.01431437,-0.01226177,0.00000000,-0.00000000,0.75673868,-0.79186192,1.16556518,-0.27194203,0.93082380,-0.67218431,0.00000000,-0.00000000
-5.89794897,2.26901716,-1.38304335,0.00064588,-0.00434398,0.30937248,-0.23648106,0.01383715,-0.01198967,0.00000000,-0.00000000,0.73246796,-0.76491941,1.14546288,-0.26533064,0.90201078,-0.65699038,0.00000000,-0.00000000
-5.89194597,2.21514263,-1.33941750,0.00060429,-0.00428033,0.30686093,-0.22514606,0.01332835,-0.01169458,0.00000000,-0.00000000,0.70984832,-0.73711250,1.12945840,-0.25876891,0.87118717,-0.64094939,0.00000000,-0.00000000
-5.88594297,2.16658430,-1.29491565,0.00056519,-0.00421403,0.30818380,-0.21404896,0.01278969,-0.01137590,0.00000000,-0.00000000,0.68902566,-0.70847880,1.11842305,-0.25213940,0.83858915,-0.62395528,0.00000000,-0.00000000
-5.87993997,2.12447204,-1.24938321,0.00052822,-0.00413972,0.31361112,-0.20315447,0.01222366,-0.01103388,0.00000000,-0.00000000,0.67015857,-0.67908577,1.11317249,-0.24536136,0.80449115,-0.60596206,0.00000000,-0.00000000
-5.87393697,2.08988033,-1.20278101,0.00049308,-0.00405347,0.32336370,-0.19243694,0.01163346,-0.01066972,0.00000000,-0.00000000,0.65341382,-0.64903286,1.11444638,-0.23839258,0.76920014,-0.58698791,0.00000000,-0.00000000
-5.86793397,2.06379677,-1.15519047,0.00045951,-0.00395271,0.33760512,-0.18188159,0.01102297,-0.01028555,0.00000000,-0.00000000,0.63895941,-0.61845283,1.12288634,-0.23123010,0.73304853,-0.56711725,0.00000000,-0.00000000
-5.86193097,2.04708751,-1.10681466,0.00042731,-0.00383605,0.35643317,-0.17148539,0.01039659,-0.00988450,0.00000000,-0.00000000,0.62695581,-0.58751203,1.13901295,-0.22390972,0.69638591,-0.54650041,0.00000000,-0.00000000
-5.85592796,2.04046070,-1.05797477,0.00039634,-0.00370318,0.37987115,-0.16125741,0.00975916,-0.00947062,0.00000000,-0.00000000,0.61754562,-0.55640929,1.16320222,-0.21650437,0.65956998,-0.52535094,0.00000000,-0.00000000
-5.84992496,2.04442958,-1.00910178,0.00036650,-0.00355473,0.40785936,-0.15121869,0.00911584,-0.00904881,0.00000000,-0.00000000,0.61084242,-0.52537330,1.19566251,-0.20912125,0.62295697,-0.50394033,0.00000000,-0.00000000
-5.84392196,2.05927684,-0.96072388,0.00033775,-0.00339204,0.44024725,-0.14140153,0.00847191,-0.00862472,0.00000000,-0.00000000,0.60691927,-0.49465853,1.23641291,-0.20189787,0.58689199,-0.48259035,0.00000000,-0.00000000
-5.83791896,2.08502236,-0.91344957,0.00031006,-0.00321711,0.47678685,-0.13184840,0.00783271,-0.00820458,0.00000000,-0.00000000,0.60579777,-0.46453957,1.28526445,-0.19499717,0.55169963,-0.46166331,0.00000000,-0.00000000
-5.83191596,2.12139638,-0.86794762,0.00028346,-0.00303233,0.51712797,-0.12261033,0.00720343,-0.00779502,0.00000000,-0.00000000,0.60743820,-0.43530436,1.34180540,-0.18860183,0.51767530,-0.44155035,0.00000000,-0.00000000
-5.82591296,2.16782014,-0.82492426,0.00025799,-0.00284043,0.56081596,-0.11374509,0.00658899,-0.00740287,0.00000000,-0.00000000,0.61173157,-0.40724632,1.40539198,-0.18290795,0.48507757,-0.42265856,0.00000000,-0.00000000
-5.81990995,2.22339596,-0.78509883,0.00023370,-0.00264429,0.60729237,-0.10531518,0.00599397,-0.00703493,0.00000000,-0.00000000,0.61849416,-0.38065590,1.47514587,-0.17811848,0.45412187,-0.40539696,0.00000000,-0.00000000
-5.81390695,2.28690825,-0.74917881,0.00021064,-0.00244681,0.65589917,-0.09738577,0.00542243,-0.00669777,0.00000000,-0.00000000,0.62746498,-0.35581186,1.54995951,-0.17443648,0.42497577,-0.39016229,0.00000000,-0.00000000
