energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,8.76267455,-8.76267461,1.83449776,-1.83449779,5.04328448,-5.04328450,0.02398883,-0.02398883,0.31611072,-0.31611072,1.40031215,-1.40031217,1.08689617,-1.08689618,1.95128926,-1.95128928,0.00000000,-0.00000000
-5.99399700,8.33443560,-8.33443566,1.72662615,-1.72662617,4.81023213,-4.81023215,0.02267775,-0.02267775,0.30453567,-0.30453567,1.31369318,-1.31369320,1.04350085,-1.04350086,1.83683627,-1.83683629,0.00000000,-0.00000000
-5.98799400,7.89715090,-7.89715096,1.61914557,-1.61914559,4.56728990,-4.56728992,0.02152330,-0.02152330,0.29313485,-0.29313485,1.22702126,-1.22702128,1.00065763,-1.00065765,1.72250304,-1.72250306,0.00000000,-0.00000000
-5.98199100,7.45861925,-7.45861931,1.51372327,-1.51372329,4.31902564,-4.31902566,0.02053173,-0.02053173,0.28217598,-0.28217599,1.14161786,-1.14161787,0.95925160,-0.95925161,1.61003416,-1.61003419,0.00000000,-0.00000000
-5.97598799,7.02638204,-7.02638210,1.41189953,-1.41189956,4.06992274,-4.06992275,0.01970825,-0.01970825,0.27191913,-0.27191914,1.05872109,-1.05872110,0.92014038,-0.92014039,1.50106700,-1.50106702,0.00000000,-0.00000000
-5.96998499,6.60754146,-6.60754151,1.31505706,-1.31505708,3.82426448,-3.82426450,0.01905695,-0.01905695,0.26261014,-0.26261014,0.97946051,-0.97946052,0.88413320,-0.88413320,1.39709818,-1.39709820,0.00000000,-0.00000000
-5.96398199,6.20860104,-6.20860108,1.22439686,-1.22439688,3.58603084,-3.58603086,0.01858059,-0.01858059,0.25447465,-0.25447465,0.90483655,-0.90483656,0.85197164,-0.85197165,1.29945595,-1.29945597,0.00000000,-0.00000000
-5.95797899,5.83533311,-5.83533315,1.14092081,-1.14092082,3.35881095,-3.35881096,0.01828053,-0.01828053,0.24771311,-0.24771312,0.83570491,-0.83570492,0.82431300,-0.82431300,1.20927866,-1.20927868,0.00000000,-0.00000000
-5.95197599,5.49267659,-5.49267662,1.06542106,-1.06542108,3.14573370,-3.14573371,0.01815657,-0.01815657,0.24249676,-0.24249676,0.77276611,-0.77276612,0.80171647,-0.80171648,1.12749975,-1.12749977,0.00000000,-0.00000000
-5.94597299,5.18466687,-5.18466690,0.99847605,-0.99847607,2.94941801,-2.94941802,0.01820679,-0.01820679,0.23896484,-0.23896484,0.71656000,-0.71656002,0.78463292,-0.78463292,1.05483912,-1.05483914,0.00000000,-0.00000000
-5.93996998,4.91439844,-4.91439846,0.94045261,-0.94045262,2.77194330,-2.77194331,0.01842756,-0.01842756,0.23722313,-0.23722313,0.66746508,-0.66746509,0.77339823,-0.77339823,0.99180066,-0.99180067,0.00000000,-0.00000000
-5.93396698,4.68401903,-4.68401904,0.89151366,-0.89151367,2.61483973,-2.61483973,0.01881341,-0.01881341,0.23734380,-0.23734380,0.62570212,-0.62570213,0.76823050,-0.76823050,0.93867536,-0.93867537,0.00000000,-0.00000000
-5.92796398,4.49475351,-4.49475351,0.85163066,-0.85163067,2.47909714,-2.47909714,0.01935706,-0.01935706,0.23936656,-0.23936656,0.59134178,-0.59134178,0.76923101,-0.76923101,0.89554953,-0.89554954,0.00000000,-0.00000000
-5.92196098,4.34695414,-4.34695414,0.82059996,-0.82059997,2.36519076,-2.36519075,0.02004950,-0.02004950,0.24330106,-0.24330106,0.56431538,-0.56431538,0.77638871,-0.77638871,0.86231728,-0.86231728,0.00000000,-0.00000000
-5.91595798,4.24017348,-4.24017346,0.79806227,-0.79806227,2.27312132,-2.27312131,0.02088007,-0.02088007,0.24913035,-0.24913035,0.54442851,-0.54442851,0.78958803,-0.78958802,0.83869660,-0.83869660,0.00000000,-0.00000000
-5.90995498,4.17325540,-4.17325539,0.78352420,-0.78352420,2.20246675,-2.20246674,0.02183667,-0.02183667,0.25681531,-0.25681531,0.53137664,-0.53137663,0.80861953,-0.80861952,0.82424819,-0.82424819,0.00000000,-0.00000000
-5.90395198,4.14443972,-4.14443970,0.77638129,-0.77638129,2.15244252,-2.15244252,0.02290594,-0.02290594,0.26629971,-0.26629971,0.52476222,-0.52476221,0.83319288,-0.83319287,0.81839636,-0.81839635,0.00000000,-0.00000000
-5.89794897,4.15147532,-4.15147529,0.77594154,-0.77594153,2.12196758,-2.12196758,0.02407361,-0.02407361,0.27751573,-0.27751573,0.52411272,-0.52411271,0.86295166,-0.86295165,0.82045122,-0.82045121,0.00000000,-0.00000000
-5.89194597,4.19173737,-4.19173734,0.78144885,-0.78144884,2.10973290,-2.10973290,0.02532475,-0.02532475,0.29038966,-0.29038966,0.52889897,-0.52889896,0.89748929,-0.89748928,0.82963166,-0.82963165,0.00000000,-0.00000000
-5.88594297,4.26234414,-4.26234409,0.79210589,-0.79210588,2.11426994,-2.11426993,0.02664417,-0.02664417,0.30484744,-0.30484743,0.53855331,-0.53855331,0.93636548,-0.93636546,0.84508844,-0.84508842,0.00000000,-0.00000000
-5.87993997,4.36026922,-4.36026918,0.80709571,-0.80709570,2.13401647,-2.13401647,0.02801682,-0.02801682,0.32081971,-0.32081971,0.55248720,-0.55248719,0.97912251,-0.97912249,0.86592689,-0.86592687,0.00000000,-0.00000000
-5.87393697,4.48244595,-4.48244590,0.82560191,-0.82560190,2.16737779,-2.16737779,0.02942813,-0.02942813,0.33824624,-0.33824624,0.57010766,-0.57010765,1.02530084,-1.02530082,0.89122897,-0.89122896,0.00000000,-0.00000000
