energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,5.20727805,0.09659860,0.10448467,1.00016683,0.00000000,1.98547212,0.00000000,0.94467018,1.45187692
-5.99399700,4.97244865,0.10020732,0.09599902,0.95092090,0.00000000,1.89981338,0.00000000,0.90817306,1.38078015
-5.98799400,4.74216677,0.10418928,0.08814188,0.90081192,0.00000000,1.81420204,0.00000000,0.87419965,1.31170483
-5.98199100,4.51802923,0.10852454,0.08093487,0.85022676,0.00000000,1.72934424,0.00000000,0.84288798,1.24502944
-5.97598799,4.30151147,0.11318531,0.07439188,0.79955129,0.00000000,1.64591210,0.00000000,0.81432814,1.18109954
-5.96998499,4.09394303,0.11813490,0.06852061,0.74916380,0.00000000,1.56453055,0.00000000,0.78856247,1.12022252
-5.96398199,3.89648396,0.12332691,0.06332411,0.69942850,0.00000000,1.48576486,0.00000000,0.76558599,1.06266222
-5.95797899,3.71010368,0.12870464,0.05880208,0.65068932,0.00000000,1.41010940,0.00000000,0.74534725,1.00863386
-5.95197599,3.53556324,0.13420094,0.05495198,0.60326419,0.00000000,1.33797823,0.00000000,0.72774982,0.95829962
-5.94597299,3.37340249,0.13973844,0.05176986,0.55743995,0.00000000,1.26969797,0.00000000,0.71265450,0.91176511
-5.93996998,3.22393319,0.14523045,0.04925098,0.51346811,0.00000000,1.20550354,0.00000000,0.69988252,0.86907738
-5.93396698,3.08723879,0.15058225,0.04739005,0.47156158,0.00000000,1.14553694,0.00000000,0.68921988,0.83022434
-5.92796398,2.96318150,0.15569303,0.04618122,0.43189257,0.00000000,1.08984928,0.00000000,0.68042271,0.79513612
-5.92196098,2.85141652,0.16045835,0.04561785,0.39459161,0.00000000,1.03840614,0.00000000,0.67322381,0.76368824
-5.91595798,2.75141315,0.16477294,0.04569194,0.35974791,0.00000000,0.99109589,0.00000000,0.66734015,0.73570655
-5.90995498,2.66248173,0.16853390,0.04639345,0.32741081,0.00000000,0.94774073,0.00000000,0.66248102,0.71097384
-5.90395198,2.58380531,0.17164405,0.04770940,0.29759237,0.00000000,0.90810984,0.00000000,0.65835671,0.68923769
-5.89794897,2.51447433,0.17401523,0.04962291,0.27027093,0.00000000,0.87193396,0.00000000,0.65468719,0.67021924
-5.89194597,2.45352262,0.17557153,0.05211218,0.24539539,0.00000000,0.83892066,0.00000000,0.65121038,0.65362252
-5.88594297,2.39996293,0.17625211,0.05514948,0.22289005,0.00000000,0.80876949,0.00000000,0.64768974,0.63914367
-5.87993997,2.35282004,0.17601362,0.05870025,0.20265973,0.00000000,0.78118625,0.00000000,0.64392062,0.62647978
-5.87393697,2.31116015,0.17483195,0.06272231,0.18459495,0.00000000,0.75589566,0.00000000,0.63973517,0.61533685
-5.86793397,2.27411505,0.17270325,0.06716538,0.16857684,0.00000000,0.73265179,0.00000000,0.63500552,0.60543654
