energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.31530776,0.00376720,0.33404633,0.09733472,0.04564775,0.24646896,0.00000000,0.43630540,0.56139205
-5.99399700,1.32474426,0.00370081,0.33361182,0.09940773,0.04896845,0.25532717,0.00000000,0.43249286,0.56236223
-5.98799400,1.33634459,0.00365049,0.33347161,0.10193476,0.05261144,0.26552410,0.00000000,0.42874647,0.56388699
-5.98199100,1.35060777,0.00362456,0.33361518,0.10504803,0.05661233,0.27734605,0.00000000,0.42521647,0.56595249
-5.97598799,1.36807191,0.00363184,0.33403275,0.10889486,0.06101143,0.29111024,0.00000000,0.42205494,0.56854615
-5.96998499,1.38931269,0.00368160,0.33471503,0.11363801,0.06585447,0.30716566,0.00000000,0.41941317,0.57165668
-5.96398199,1.41494521,0.00378339,0.33565407,0.11945617,0.07119339,0.32589397,0.00000000,0.41744035,0.57527576
-5.95797899,1.44562888,0.00394692,0.33684520,0.12654431,0.07708708,0.34771011,0.00000000,0.41628366,0.57940175
-5.95197599,1.48207432,0.00418190,0.33829004,0.13511379,0.08360200,0.37306228,0.00000000,0.41608954,0.58404467
-5.94597299,1.52505101,0.00449788,0.34000007,0.14539217,0.09081254,0.40243079,0.00000000,0.41700597,0.58923243
-5.93996998,1.57539426,0.00490406,0.34200074,0.15762230,0.09880113,0.43632546,0.00000000,0.41918520,0.59501743
-5.93396698,1.63400978,0.00540906,0.34433552,0.17206066,0.10765792,0.47528103,0.00000000,0.42278676,0.60148299
-5.92796398,1.70187405,0.00602072,0.34706952,0.18897478,0.11748001,0.51985032,0.00000000,0.42798002,0.60874894
-5.92196098,1.78002913,0.00674582,0.35029232,0.20863943,0.12837009,0.57059476,0.00000000,0.43494601,0.61697549
-5.91595798,1.86957041,0.00758983,0.35411953,0.23133163,0.14043457,0.62807223,0.00000000,0.44387791,0.62636493
-5.90995498,1.97162638,0.00855665,0.35869280,0.25732435,0.15378102,0.69282208,0.00000000,0.45498002,0.63716052
-5.90395198,2.08733009,0.00964833,0.36417807,0.28687898,0.16851513,0.76534760,0.00000000,0.46846478,0.64964227
-5.89794897,2.21778224,0.01086481,0.37076185,0.32023656,0.18473701,0.84609611,0.00000000,0.48454787,0.66411946
-5.89194597,2.36400671,0.01220367,0.37864568,0.35760809,0.20253715,0.93543738,0.00000000,0.50344131,0.68092002
-5.88594297,2.52689990,0.01365994,0.38803873,0.39916410,0.22199195,1.03364092,0.00000000,0.52534484,0.70037700
-5.87993997,2.70717563,0.01522595,0.39914903,0.44502385,0.24315902,1.14085300,0.00000000,0.55043586,0.72281283
-5.87393697,2.90530821,0.01689121,0.41217355,0.49524452,0.26607251,1.25707440,0.00000000,0.57885834,0.74852197
-5.86793397,3.12147629,0.01864241,0.42728777,0.54981093,0.29073848,1.38213988,0.00000000,0.61071150,0.77775302
-5.86193097,3.35551061,0.02046346,0.44463523,0.60862617,0.31713063,1.51570038,0.00000000,0.64603863,0.81069132
-5.85592796,3.60684876,0.02233569,0.46431779,0.67150375,0.34518651,1.65720913,0.00000000,0.68481704,0.84744303
-5.84992496,3.87450004,0.02423806,0.48638716,0.73816161,0.37480448,1.80591241,0.00000000,0.72694956,0.88802190
-5.84392196,4.15702301,0.02614753,0.51083831,0.80821851,0.40584151,1.96084597,0.00000000,0.77225857,0.93233980
-5.83791896,4.45251823,0.02803949,0.53760541,0.88119314,0.43811205,2.12083765,0.00000000,0.82048281,0.98020168
-5.83191596,4.75863779,0.02988832,0.56656050,0.95650621,0.47138807,2.28451664,0.00000000,0.87127766,1.03130578
-5.82591296,5.07261272,0.03166792,0.59751544,1.03348566,0.50540041,2.45032957,0.00000000,0.92421898,1.08524942
-5.81990995,5.39129831,0.03335239,0.63022703,1.11137514,0.53984153,2.61656337,0.00000000,0.97881082,1.14154036
-5.81390695,5.71123690,0.03491672,0.66440536,1.18934554,0.57436955,2.78137449,0.00000000,1.03449667,1.19961368
-5.80790395,6.02873633,0.03633737,0.69972507,1.26650951,0.60861377,2.94282390,0.00000000,1.09067414,1.25885329
