energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,4.46989721,0.01592975,0.54867958,0.22309995,3.60088839,2.74784056,1.06247872,0.00000000
-5.99399700,4.52941764,0.01517508,0.56608950,0.21600677,3.60092860,2.81105601,1.04712807,0.00000000
-5.98799400,4.60034540,0.01448002,0.58490153,0.20976240,3.61278503,2.88136441,1.03356296,0.00000000
-5.98199100,4.68250698,0.01383988,0.60493405,0.20432896,3.63639726,2.95860514,1.02190755,0.00000000
-5.97598799,4.77554106,0.01324952,0.62595985,0.19965461,3.67133276,3.04253619,1.01224972,0.00000000
-5.96998499,4.87890544,0.01270352,0.64771036,0.19567775,3.71680009,3.13283826,1.00464000,0.00000000
-5.96398199,4.99189255,0.01219645,0.66988179,0.19233160,3.77167678,3.22912301,0.99909210,0.00000000
-5.95797899,5.11365264,0.01172308,0.69214307,0.18954871,3.83455034,3.33094504,0.99558520,0.00000000
-5.95197599,5.24322345,0.01127847,0.71414506,0.18726531,3.90377059,3.43781673,0.99406753,0.00000000
-5.94597299,5.37956431,0.01085822,0.73553080,0.18542519,3.97751031,3.54922493,0.99446115,0.00000000
-5.93996998,5.52159241,0.01045849,0.75594623,0.18398294,4.05383155,3.66464819,0.99666756,0.00000000
-5.93396698,5.66821901,0.01007610,0.77505087,0.18290647,4.13075407,3.78357317,1.00057356,0.00000000
-5.92796398,5.81838301,0.00970862,0.79252789,0.18217855,4.20632270,3.90550893,1.00605717,0.00000000
-5.92196098,5.97107995,0.00935434,0.80809329,0.18179748,4.27867064,4.02999796,1.01299315,0.00000000
-5.91595798,6.12538452,0.00901226,0.82150358,0.18177665,4.34607584,4.15662298,1.02125777,0.00000000
-5.90995498,6.28046547,0.00868212,0.83256173,0.18214326,4.40700834,4.28500900,1.03073275,0.00000000
-5.90395198,6.43559226,0.00836426,0.84112127,0.18293617,4.46016705,4.41482042,1.04130813,0.00000000
-5.89794897,6.59013342,0.00805964,0.84708829,0.18420290,4.50450495,4.54575331,1.05288398,0.00000000
-5.89194597,6.74354732,0.00776968,0.85042147,0.18599618,4.53924265,4.67752349,1.06537121,0.00000000
-5.88594297,6.89536649,0.00749621,0.85113035,0.18837006,4.56387066,4.80985145,1.07869140,0.00000000
-5.87993997,7.04517726,0.00724133,0.84927186,0.19137574,4.57814151,4.94244509,1.09277602,0.00000000
-5.87393697,7.19259648,0.00700738,0.84494560,0.19505757,4.58205320,5.07498186,1.10756514,0.00000000
-5.86793397,7.33724781,0.00679673,0.83828813,0.19944911,4.57582571,5.20709171,1.12300599,0.00000000
-5.86193097,7.47873939,0.00661178,0.82946670,0.20456965,4.55987271,5.33834234,1.13905157,0.00000000
-5.85592796,7.61664514,0.00645482,0.81867262,0.21042130,4.53477047,5.46822810,1.15565960,0.00000000
-5.84992496,7.75049135,0.00632795,0.80611487,0.21698670,4.50122579,5.59616361,1.17279193,0.00000000
-5.84392196,7.87974994,0.00623303,0.79201393,0.22422763,4.46004476,5.72148312,1.19041462,0.00000000
-5.83791896,8.00383910,0.00617160,0.77659625,0.23208436,4.41210385,5.84344595,1.20849873,0.00000000
-5.83191596,8.12213191,0.00614486,0.76008952,0.24047595,4.35832403,5.96124831,1.22702194,0.00000000
-5.82591296,8.23397262,0.00615362,0.74271859,0.24930143,4.29964904,6.07404119,1.24597082,0.00000000
-5.81990995,8.33869986,0.00619831,0.72470242,0.25844176,4.23702780,6.18095381,1.26534384,0.00000000
-5.81390695,8.43567590,0.00627897,0.70625168,0.26776257,4.17140099,6.28112173,1.28515483,0.00000000
-5.80790395,8.52432025,0.00639522,0.68756714,0.27711754,4.10369167,6.37371843,1.30543686,0.00000000
-5.80190095,8.60414605,0.00654636,0.66883867,0.28635231,4.03479918,6.45798905,1.32624614,0.00000000
-5.79589795,8.67479720,0.00673133,0.65024471,0.29530872,3.96559592,6.53328473,1.34766596,0.00000000
-5.78989495,8.73608434,0.00694879,0.63195215,0.30382928,3.89692604,6.59909607,1.36981011,0.00000000
-5.78389195,8.78801763,0.00719714,0.61411642,0.31176171,3.82960558,6.65508415,1.39282576,0.00000000
-5.77788894,8.83083452,0.00747457,0.59688183,0.31896330,3.76442305,6.70110748,1.41689536,0.00000000
-5.77188594,8.86502082,0.00777910,0.58038187,0.32530509,3.70214007,6.73724384,1.44223732,0.00000000
-5.76588294,8.89132357,0.00810866,0.56473959,0.33067556,3.64349138,6.76380548,1.46910526,0.00000000
-5.75987994,8.91075461,0.00846106,0.55006801,0.33498374,3.58918382,6.78134707,1.49778548,0.00000000
-5.75387694,8.92458402,0.00883410,0.53647035,0.33816183,3.53989390,6.79066543,1.52859263,0.00000000
-5.74787394,8.93432292,0.00922556,0.52404027,0.34016686,3.49626373,6.79279085,1.56186324,0.00000000
-5.74187094,8.94169567,0.00963323,0.51286195,0.34098181,3.45889528,6.78896970,1.59794727,0.00000000
-5.73586793,8.94860174,0.01005494,0.50301005,0.34061571,3.42834265,6.78063873,1.63719746,0.00000000
-5.72986493,8.95706794,0.01048856,0.49454958,0.33910312,3.40510277,6.76939134,1.67995698,0.00000000
-5.72386193,8.96919240,0.01093201,0.48753544,0.33650274,3.38960433,6.75693684,1.72654522,0.00000000
-5.71785893,8.98708157,0.01138328,0.48201191,0.33289538,3.38219542,6.74505380,1.77724249,0.00000000
-5.71185593,9.01278248,0.01184044,0.47801180,0.32838133,3.38313016,6.73553873,1.83227384,0.00000000
-5.70585293,9.04821226,0.01230161,0.47555537,0.32307725,3.39255478,6.73015203,1.89179276,0.00000000
-5.69984992,9.09508768,0.01276502,0.47464902,0.31711263,3.41049366,6.73056282,1.95586541,0.00000000
-5.69384692,9.15485731,0.01322901,0.47528367,0.31062608,3.43683610,6.73829483,2.02445609,0.00000000
-5.68784392,9.22863909,0.01369201,0.47743306,0.30376151,3.47132448,6.75467532,2.09741476,0.00000000
-5.68184092,9.31716613,0.01415266,0.48105181,0.29666429,3.51354457,6.78078928,2.17446734,0.00000000
-5.67583792,9.42074339,0.01460977,0.48607354,0.28947759,3.56291877,6.81744066,2.25520945,0.00000000
-5.66983492,9.53921743,0.01506238,0.49240902,0.28233899,3.61870315,6.86512260,2.33910421,0.00000000
-5.66383192,9.67196120,0.01550986,0.49994469,0.27537739,3.67998884,6.92399817,2.42548452,0.00000000
-5.65782891,9.81787516,0.01595189,0.50854144,0.26871039,3.74570837,6.99389249,2.51356003,0.00000000
-5.65182591,9.97540544,0.01638857,0.51803411,0.26244211,3.81464742,7.07429720,2.60242893,0.00000000
-5.64582291,10.14257891,0.01682041,0.52823169,0.25666150,3.88546199,7.16438714,2.69109432,0.00000000
-5.63981991,10.31705439,0.01724842,0.53891834,0.25144121,3.95670115,7.26304883,2.77848481,0.00000000
-5.63381691,10.49618829,0.01767409,0.54985552,0.24683692,4.02683487,7.36891981,2.86347878,0.00000000
-5.62781391,10.67711246,0.01809938,0.56078504,0.24288715,4.09428640,7.48043713,2.94493138,0.00000000
-5.62181091,10.85682107,0.01852676,0.57143332,0.23961356,4.15746848,7.59589284,3.02170357,0.00000000
-5.61580790,11.03226310,0.01895908,0.58151653,0.23702164,4.21482209,7.71349411,3.09269186,0.00000000
-5.60980490,11.20043651,0.01939960,0.59074674,0.23510171,4.26485671,7.83142503,3.15685788,0.00000000
-5.60380190,11.35847992,0.01985180,0.59883879,0.23383032,4.30619062,7.94790714,3.21325647,0.00000000
-5.59779890,11.50375791,0.02031936,0.60551762,0.23317182,4.33758975,8.06125568,3.26106133,0.00000000
-5.59179590,11.63393595,0.02080598,0.61052594,0.23308013,4.35800361,8.16992895,3.29958714,0.00000000
-5.58579290,11.74704176,0.02131527,0.61363176,0.23350074,4.36659693,8.27256799,3.32830731,0.00000000
-5.57978989,11.84151032,0.02185064,0.61463561,0.23437266,4.36277561,8.36802502,3.34686676,0.00000000
-5.57378689,11.91621065,0.02241514,0.61337705,0.23563053,4.34620594,8.45537899,3.35508910,0.00000000
-5.56778389,11.97045353,0.02301138,0.60974009,0.23720666,4.31682614,8.53393791,3.35297820,0.00000000
-5.56178089,12.00397990,0.02364141,0.60365746,0.23903295,4.27484956,8.60322797,3.34071389,0.00000000
-5.55577789,12.01693140,0.02430668,0.59511332,0.24104284,4.22075940,8.66297051,3.31864235,0.00000000
-5.54977489,12.00980467,0.02500801,0.58414430,0.24317287,4.15529481,8.71304864,3.28726140,0.00000000
-5.54377189,11.98339259,0.02574554,0.57083882,0.24536425,4.07942886,8.75346579,3.24720155,0.00000000
-5.53776888,11.93871576,0.02651878,0.55533473,0.24756393,3.99433903,8.78429912,3.19920370,0.00000000
-5.53176588,11.87694851,0.02732662,0.53781524,0.24972553,3.90137129,8.80565110,3.14409440,0.00000000
-5.52576288,11.79934350,0.02816740,0.51850335,0.25180979,3.80199903,8.81760248,3.08275986,0.00000000
-5.51975988,11.70715946,0.02903897,0.49765506,0.25378474,3.69777835,8.82017011,3.01611978,0.00000000
-5.51375688,11.60159585,0.02993873,0.47555161,0.25562536,3.59030139,8.81327243,2.94510215,0.00000000
-5.50775388,11.48373818,0.03086369,0.45249100,0.25731295,3.48114951,8.79670512,2.87062005,0.00000000
-5.50175088,11.35451657,0.03181051,0.42877930,0.25883410,3.37184790,8.77012877,2.79355127,0.00000000
-5.49574787,11.21467969,0.03277550,0.40472196,0.26017933,3.26382360,8.73306951,2.71472156,0.00000000
-5.48974487,11.06478486,0.03375462,0.38061555,0.26134150,3.15836821,8.68493273,2.63489192,0.00000000
-5.48374187,10.90520422,0.03474344,0.35674020,0.26231409,3.05660678,8.62502922,2.55475019,0.00000000
-5.47773887,10.73614585,0.03573709,0.33335306,0.26308934,2.95947392,8.55261199,2.47490703,0.00000000
-5.47173587,10.55768793,0.03673024,0.31068286,0.26365657,2.86769780,8.46692183,2.39589593,0.00000000
-5.46573287,10.36982290,0.03771698,0.28892591,0.26400058,2.78179245,8.36723844,2.31817679,0.00000000
-5.45972986,10.17250856,0.03869080,0.26824340,0.26410041,2.70205840,8.25293420,2.24214250,0.00000000
-5.45372686,9.96572222,0.03964457,0.24876017,0.26392853,2.62859118,8.12352718,2.16812767,0.00000000
-5.44772386,9.74951436,0.04057053,0.23056481,0.26345049,2.56129719,7.97873021,2.09641856,0.00000000
-5.44172086,9.52405811,0.04146033,0.21371093,0.26262514,2.49991570,7.81849300,2.02726344,0.00000000
-5.43571786,9.28969154,0.04230512,0.19821959,0.26140549,2.44404592,7.64303505,1.96088243,0.00000000
-5.42971486,9.04695016,0.04309573,0.18408254,0.25974009,2.39317776,7.45286728,1.89747609,0.00000000
-5.42371186,8.79658800,0.04382282,0.17126607,0.25757503,2.34672468,7.24880157,1.83723220,0.00000000
-5.41770885,8.53958627,0.04447712,0.15971536,0.25485628,2.30405730,7.03194771,1.78033037,0.00000000
-5.41170585,8.27714970,0.04504973,0.14935901,0.25153250,2.26453634,6.80369830,1.72694429,0.00000000
-5.40570285,8.01069130,0.04553242,0.14011356,0.24755788,2.22754360,6.56570273,1.67724167,0.00000000
-5.39969985,7.74180720,0.04591792,0.13188784,0.24289517,2.19251011,6.31983199,1.63138236,0.00000000
-5.39369685,7.47224382,0.04620023,0.12458704,0.23751842,2.15894045,6.06813649,1.58951493,0.00000000
-5.38769385,7.20385984,0.04637496,0.11811631,0.23141546,2.12643305,5.81279941,1.55177257,0.00000000
-5.38169085,6.93858599,0.04643954,0.11238387,0.22458996,2.09469594,5.55608807,1.51826900,0.00000000
-5.37568784,6.67838552,0.04639348,0.10730366,0.21706281,2.06355829,5.30030596,1.48909513,0.00000000
-5.36968484,6.42521779,0.04623856,0.10279731,0.20887290,2.03297773,5.04774758,1.46431728,0.00000000
-5.36368184,6.18100747,0.04597895,0.09879571,0.20007712,2.00304401,4.80065804,1.44397748,0.00000000
-5.35767884,5.94762082,0.04562130,0.09524007,0.19074969,1.97397957,4.56119891,1.42809639,0.00000000
-5.35167584,5.72685014,0.04517479,0.09208249,0.18098071,1.94613732,4.33142112,1.41667886,0.00000000
-5.34567284,5.52040650,0.04465108,0.08928624,0.17087416,1.91999634,4.11324530,1.40972215,0.00000000
-5.33966983,5.32992021,0.04406431,0.08682566,0.16054539,1.89615574,3.90844917,1.40722638,0.00000000
-5.33366683,5.15694777,0.04343096,0.08468591,0.15011818,1.87532699,3.71866147,1.40920656,0.00000000
-5.32766383,5.00298312,0.04276975,0.08286233,0.13972160,1.85832461,3.54536090,1.41570519,0.00000000
-5.32166083,4.86947097,0.04210143,0.08135982,0.12948681,1.84605526,3.38987878,1.42680450,0.00000000
-5.31565783,4.75781917,0.04144858,0.08019192,0.11954383,1.83950469,3.25340364,1.44263691,0.00000000
-5.30965483,4.66940726,0.04083534,0.07937979,0.11001860,1.83972221,3.13698576,1.46339257,0.00000000
-5.30365183,4.60558841,0.04028709,0.07895105,0.10103024,1.84780219,3.04154013,1.48932273,0.00000000
-5.29764882,4.56768215,0.03983001,0.07893843,0.09268869,1.86486187,2.96784618,1.52073789,0.00000000
-5.29164582,4.55695597,0.03949068,0.07937831,0.08509274,1.89201521,2.91654300,1.55800008,0.00000000
-5.28564282,4.57459456,0.03929545,0.08030900,0.07832848,1.93034246,2.88811935,1.60150862,0.00000000
-5.27963982,4.62165638,0.03926988,0.08176897,0.07246812,1.98085542,2.88289811,1.65167953,0.00000000
-5.27363682,4.69901810,0.03943796,0.08379482,0.06756924,2.04445876,2.90101529,1.70891886,0.00000000
-5.26763382,4.80730869,0.03982138,0.08641920,0.06367422,2.12190808,2.94239460,1.77359085,0.00000000
-5.26163082,4.94683564,0.04043865,0.08966856,0.06081006,2.21376580,3.00671865,1.84598220,0.00000000
-5.25562781,5.11750707,0.04130425,0.09356099,0.05898832,2.32035646,3.09339867,1.92626414,0.00000000
-5.24962481,5.31875377,0.04242776,0.09810400,0.05820518,2.44172316,3.20154491,2.01445419,0.00000000
-5.24362181,5.54945627,0.04381306,0.10329253,0.05844165,2.57758741,3.32994007,2.11037992,0.00000000
-5.23761881,5.80788177,0.04545754,0.10910710,0.05966383,2.72731452,3.47701831,2.21364691,0.00000000
-5.23161581,6.09163618,0.04735156,0.11551240,0.06182326,2.88988709,3.64085241,2.32361310,0.00000000
-5.22561281,6.39763607,0.04947798,0.12245625,0.06485729,3.06388877,3.81915133,2.43937163,0.00000000
-5.21960980,6.72210443,0.05181194,0.12986907,0.06868962,3.24750024,4.00927015,2.55974397,0.00000000
-5.21360680,7.06059375,0.05432094,0.13766404,0.07323102,3.43850923,4.20823402,2.68328443,0.00000000
-5.20760380,7.40803821,0.05696516,0.14573776,0.07838011,3.63433564,4.41277673,2.80829704,0.00000000
-5.20160080,7.75883573,0.05969802,0.15397176,0.08402458,3.83207207,4.61939437,2.93286496,0.00000000
-5.19559780,8.10695909,0.06246720,0.16223455,0.09004255,4.02853987,4.82441315,3.05489176,0.00000000
-5.18959480,8.44609358,0.06521571,0.17038437,0.09630435,4.22035928,5.02407019,3.17215370,0.00000000
-5.18359180,8.76979731,0.06788343,0.17827248,0.10267461,4.40403231,5.21460488,3.28236119,0.00000000
-5.17758879,9.07167889,0.07040872,0.18574700,0.10901466,4.57603539,5.39235800,3.38322719,0.00000000
-5.17158579,9.34558581,0.07273017,0.19265700,0.11518531,4.73291907,5.55387490,3.47253978,0.00000000
-5.16558279,9.58579616,0.07478856,0.19885681,0.12104979,4.87141076,5.69600874,3.54823607,0.00000000
-5.15957979,9.78720558,0.07652862,0.20421046,0.12647691,4.98851671,5.81601948,3.60847407,0.00000000
-5.15357679,9.94550132,0.07790091,0.20859583,0.13134423,5.08161898,5.91166415,3.65169954,0.00000000
-5.14757379,10.05731536,0.07886338,0.21190867,0.13554123,5.14856328,5.98127412,3.67670461,0.00000000
-5.14157079,10.12034935,0.07938283,0.21406598,0.13897219,5.18773394,6.02381552,3.68267575,0.00000000
-5.13556778,10.13346510,0.07943600,0.21500892,0.14155886,5.19811263,6.03892932,3.66922856,0.00000000
-5.12956478,10.09673585,0.07901031,0.21470496,0.14324262,5.17931811,6.02694881,3.63642807,0.00000000
-5.12356178,10.01145529,0.07810432,0.21314915,0.14398607,5.13162523,5.98889256,3.58479327,0.00000000
-5.11755878,9.88010291,0.07672765,0.21036465,0.14377399,5.05596225,5.92643268,3.51528590,0.00000000
-5.11155578,9.70626684,0.07490068,0.20640227,0.14261366,4.95388639,5.84183881,3.42928371,0.00000000
-5.10555278,9.49452660,0.07265373,0.20133926,0.14053435,4.82753881,5.73789971,3.32853961,0.00000000
-5.09954977,9.25030077,0.07002600,0.19527725,0.13758621,4.67958078,5.61782537,3.21512828,0.00000000
-5.09354677,8.97966563,0.06706424,0.18833950,0.13383835,4.51311387,5.48513337,3.09138268,0.00000000
-5.08754377,8.68915254,0.06382111,0.18066761,0.12937644,4.33158748,5.34352436,2.95982316,0.00000000
-5.08154077,8.38553263,0.06035354,0.17241776,0.12429977,4.13869764,5.19675174,2.82308206,0.00000000
-5.07553777,8.07559774,0.05672088,0.16375666,0.11871794,3.93828110,5.04849113,2.68382691,0.00000000
-5.06953477,7.76594688,0.05298320,0.15485737,0.11274730,3.73420897,4.90221529,2.54468516,0.00000000
-5.06353177,7.46278669,0.04919950,0.14589513,0.10650736,3.53028370,4.76107980,2.40817338,0.00000000
-5.05752876,7.17175384,0.04542624,0.13704332,0.10011719,3.33014331,4.62782430,2.27663308,0.00000000
-5.05152576,6.89776580,0.04171593,0.12846966,0.09369212,3.13717566,4.50469333,2.15217558,0.00000000
-5.04552276,6.64490514,0.03811599,0.12033281,0.08734064,2.95444543,4.39337984,2.03663703,0.00000000
-5.03951976,6.41634050,0.03466790,0.11277935,0.08116183,2.78463541,4.29499324,1.93154494,0.00000000
-5.03351676,6.21428582,0.03140653,0.10594120,0.07524322,2.63000310,4.21005272,1.83809640,0.00000000
-5.02751376,6.03999729,0.02835987,0.09993364,0.06965928,2.49235284,4.13850513,1.75714795,0.00000000
-5.02151076,5.89380595,0.02554889,0.09485363,0.06447038,2.37302302,4.07976592,1.68921659,0.00000000
-5.01550775,5.77518224,0.02298766,0.09077877,0.05972246,2.27288730,4.03277996,1.63449093,0.00000000
-5.00950475,5.68282751,0.02068376,0.08776657,0.05544713,2.19236830,3.99609879,1.59285102,0.00000000
-5.00350175,5.61478660,0.01863875,0.08585415,0.05166235,2.13146190,3.96796978,1.56389556,0.00000000
-4.99749875,5.56857503,0.01684878,0.08505829,0.04837354,2.08977012,3.94643240,1.54697465,0.00000000
-4.99149575,5.54131397,0.01530539,0.08537575,0.04557506,2.06654036,3.92941670,1.54122635,0.00000000
-4.98549275,5.52986671,0.01399624,0.08678385,0.04325199,2.06070904,3.91483920,1.54561552,0.00000000
-4.97948974,5.53097031,0.01290591,0.08924132,0.04138209,2.07094768,3.90069183,1.55897333,0.00000000
-4.97348674,5.54135746,0.01201671,0.09268925,0.03993795,2.09570977,3.88512018,1.58003598,0.00000000
-4.96748374,5.55786416,0.01130945,0.09705236,0.03888910,2.13327708,3.86648814,1.60748166,0.00000000
-4.96148074,5.57752015,0.01076407,0.10224035,0.03820420,2.18180440,3.84342695,1.63996476,0.00000000
-4.95547774,5.59762038,0.01036033,0.10814943,0.03785305,2.23936197,3.81486755,1.67614667,0.00000000
-4.94947474,5.61577670,0.01007835,0.11466412,0.03780856,2.30397519,3.78005641,1.71472285,0.00000000
-4.94347174,5.62995045,0.00989903,0.12165910,0.03804839,2.37366145,3.73855546,1.75444599,0.00000000
-4.93746873,5.63846724,0.00980448,0.12900137,0.03855658,2.44646409,3.69022814,1.79414528,0.00000000
-4.93146573,5.64001647,0.00977832,0.13655247,0.03932471,2.52048368,3.63521358,1.83274197,0.00000000
-4.92546273,5.63363817,0.00980586,0.14417093,0.04035299,2.59390684,3.57389186,1.86926171,0.00000000
-4.91945973,5.61870059,0.00987435,0.15171485,0.04165091,2.66503286,3.50684343,1.90284382,0.00000000
