energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,10.19185599,0.03266441,1.12018806,0.93050180,0.56406423,8.45572829,5.62129952,2.32986587,0.00000000
-5.99399700,10.18148401,0.03238075,1.12143764,0.92855891,0.56454673,8.45771037,5.62450961,2.31627199,0.00000000
-5.98799400,10.16466531,0.03205971,1.12192219,0.92743314,0.56456541,8.44799208,5.62464117,2.30199945,0.00000000
-5.98199100,10.14056947,0.03170063,1.12153594,0.92699116,0.56411325,8.42590577,5.62112725,2.28696864,0.00000000
-5.97598799,10.10847368,0.03130305,1.12018849,0.92709295,0.56319262,8.39100233,5.61344232,2.27112165,0.00000000
-5.96998499,10.06779860,0.03086682,1.11780780,0.92759877,0.56181669,8.34307864,5.60112347,2.25443037,0.00000000
-5.96398199,10.01814258,0.03039231,1.11434288,0.92837583,0.56001078,8.28220092,5.58379100,2.23690394,0.00000000
-5.95797899,9.95931252,0.02988052,1.10976621,0.92930477,0.55781347,8.20872279,5.56116763,2.21859548,0.00000000
-5.95197599,9.89134994,0.02933325,1.10407569,0.93028527,0.55527750,8.12329705,5.53309543,2.19960743,0.00000000
-5.94597299,9.81455073,0.02875323,1.09729601,0.93124098,0.55247037,8.02687991,5.49954952,2.18009541,0.00000000
-5.93996998,9.72947744,0.02814420,1.08947936,0.93212323,0.54947441,7.92072707,5.46064800,2.16027008,0.00000000
-5.93396698,9.63696284,0.02751105,1.08070543,0.93291354,0.54638648,7.80638079,5.41665725,2.14039695,0.00000000
-5.92796398,9.53810406,0.02685978,1.07108057,0.93362484,0.54331703,7.68564768,5.36799219,2.12079383,0.00000000
-5.92196098,9.43424694,0.02619755,1.06073607,0.93430127,0.54038860,7.56056711,5.31521132,2.10182591,0.00000000
-5.91595798,9.32696029,0.02553257,1.04982564,0.93501661,0.53773370,7.43337051,5.25900624,2.08389838,0.00000000
-5.90995498,9.21800056,0.02487401,1.03852201,0.93587135,0.53549202,7.30643224,5.20018585,2.06744677,0.00000000
-5.90395198,9.10926758,0.02423182,1.02701277,0.93698863,0.53380712,7.18221309,5.13965563,2.05292513,0.00000000
-5.89794897,9.00275241,0.02361652,1.01549549,0.93850893,0.53282253,7.06319773,5.07839238,2.04079237,0.00000000
-5.89194597,8.90047878,0.02303892,1.00417229,0.94058401,0.53267746,6.95182795,5.01741525,2.03149716,0.00000000
-5.88594297,8.80443992,0.02250984,0.99324398,0.94337007,0.53350207,6.85043369,4.95775388,2.02546173,0.00000000
-5.87993997,8.71653280,0.02203975,0.98290392,0.94702047,0.53541269,6.76116390,4.90041473,2.02306531,0.00000000
-5.87393697,8.63849195,0.02163848,0.97333191,0.95167826,0.53850690,6.68591992,4.84634670,2.02462753,0.00000000
-5.86793397,8.57182528,0.02131483,0.96468809,0.95746875,0.54285874,6.62629343,4.79640727,2.03039263,0.00000000
-5.86193097,8.51775429,0.02107626,0.95710737,0.96449247,0.54851437,6.58351143,4.75133033,2.04051495,0.00000000
-5.85592796,8.47716095,0.02092860,0.95069438,0.97281871,0.55548813,6.55839051,4.71169704,2.05504638,0.00000000
-5.84992496,8.45054350,0.02087577,0.94551917,0.98247986,0.56375942,6.55130210,4.67791077,2.07392636,0.00000000
-5.84392196,8.43798314,0.02091958,0.94161398,0.99346697,0.57327040,6.56215031,4.65017727,2.09697494,0.00000000
-5.83791896,8.43912329,0.02105956,0.93897111,1.00572644,0.58392486,6.59036356,4.62849092,2.12388933,0.00000000
-5.83191596,8.45316260,0.02129293,0.93754203,1.01915828,0.59558812,6.63490046,4.61262792,2.15424431,0.00000000
-5.82591296,8.47886264,0.02161455,0.93723785,1.03361584,0.60808839,6.69427009,4.60214671,2.18749666,0.00000000
-5.81990995,8.51457043,0.02201704,0.93793115,1.04890725,0.62121928,6.76656622,4.59639614,2.22299368,0.00000000
-5.81390695,8.55825553,0.02249091,0.93945910,1.06479833,0.63474376,6.84951436,4.59453112,2.25998571,0.00000000
-5.80790395,8.60756089,0.02302484,0.94162783,1.08101725,0.64839922,6.94053030,4.59553557,2.29764245,0.00000000
-5.80190095,8.65986598,0.02360591,0.94421791,1.09726041,0.66190380,7.03678796,4.59825198,2.33507251,0.00000000
-5.79589795,8.71236021,0.02422006,0.94699069,1.11319977,0.67496351,7.13529449,4.60141666,2.37134577,0.00000000
-5.78989495,8.76212427,0.02485239,0.94969531,1.12849104,0.68728015,7.23296972,4.60369959,2.40551771,0.00000000
-5.78389195,8.80621662,0.02548766,0.95207613,1.14278272,0.69855968,7.32672765,4.60374739,2.43665509,0.00000000
-5.77788894,8.84176203,0.02611074,0.95388025,1.15572547,0.70852070,7.41355683,4.60022798,2.46386183,0.00000000
-5.77188594,8.86603912,0.02670698,0.95486492,1.16698169,0.71690276,7.49059733,4.59187525,2.48630443,0.00000000
-5.76588294,8.87656372,0.02726272,0.95480444,1.17623477,0.72347430,7.55521170,4.57753215,2.50323585,0.00000000
-5.75987994,8.87116506,0.02776559,0.95349644,1.18319779,0.72803968,7.60504783,4.55619060,2.51401708,0.00000000
-5.75387694,8.84805230,0.02820486,0.95076728,1.18762143,0.73044528,7.63809210,4.52702675,2.51813555,0.00000000
-5.74787394,8.80586904,0.02857174,0.94647639,1.18930067,0.73058434,7.65271150,4.48943042,2.51521983,0.00000000
-5.74187094,8.74373409,0.02885949,0.94051948,1.18808023,0.72840032,7.64768392,4.44302768,2.50505007,0.00000000
-5.73586793,8.66126751,0.02906360,0.93283054,1.18385851,0.72388876,7.62221651,4.38769584,2.48756386,0.00000000
-5.72986493,8.55860130,0.02918175,0.92338271,1.17659003,0.71709753,7.57595205,4.32357050,2.46285748,0.00000000
-5.72386193,8.43637481,0.02921384,0.91218797,1.16628621,0.70812558,7.50896419,4.25104455,2.43118242,0.00000000
-5.71785893,8.29571555,0.02916178,0.89929584,1.15301473,0.69712010,7.42174231,4.17075937,2.39293769,0.00000000
