energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-6.00000000,7.42276102,0.40142398,7.23758720,0.01071760,0.10215305,0.10464973,0.00000000
-5.99399700,7.56256385,0.42313332,7.36396827,0.01112006,0.10642789,0.10812300,0.00000000
-5.98799400,7.70673435,0.44585205,7.49420049,0.01152285,0.11092154,0.11166636,0.00000000
-5.98199100,7.85606909,0.46965345,7.62904822,0.01192763,0.11565231,0.11530565,0.00000000
-5.97598799,8.01167198,0.49461398,7.76958657,0.01233669,0.12063362,0.11907232,0.00000000
-5.96998499,8.17490933,0.52080570,7.91716086,0.01275274,0.12587244,0.12300165,0.00000000
-5.96398199,8.34734532,0.54828785,8.07332665,0.01317858,0.13136776,0.12713047,0.00000000
-5.95797899,8.53066083,0.57709838,8.23977286,0.01361687,0.13710930,0.13149481,0.00000000
-5.95197599,8.72655957,0.60724558,8.41823183,0.01406979,0.14307644,0.13612732,0.00000000
-5.94597299,8.93666654,0.63870067,8.61038084,0.01453879,0.14923754,0.14105478,0.00000000
-5.93996998,9.16242419,0.67139159,8.81774033,0.01502429,0.15554966,0.14629581,0.00000000
-5.93396698,9.40499191,0.70519864,9.04157434,0.01552555,0.16195879,0.15185891,0.00000000
-5.92796398,9.66515440,0.73995220,9.28279832,0.01604043,0.16840054,0.15774095,0.00000000
-5.92196098,9.94324386,0.77543286,9.54189942,0.01656539,0.17480139,0.16392622,0.00000000
-5.91595798,10.23908031,0.81137415,9.81887340,0.01709545,0.18108044,0.17038614,0.00000000
-5.90995498,10.55193306,0.84746769,10.11318132,0.01762429,0.18715157,0.17707970,0.00000000
-5.90395198,10.88050530,0.88337075,10.42372822,0.01814441,0.19292601,0.18395449,0.00000000
-5.89794897,11.22294259,0.91871591,10.74886457,0.01864739,0.19831512,0.19094854,0.00000000
-5.89194597,11.57686442,0.95312234,11.08641025,0.01912419,0.20323341,0.19799262,0.00000000
-5.88594297,11.93941722,0.98620829,11.43369949,0.01956552,0.20760147,0.20501312,0.00000000
-5.87993997,12.30734595,1.01760410,11.78764446,0.01996221,0.21134895,0.21193533,0.00000000
-5.87393697,12.67708082,1.04696534,12.14481431,0.02030567,0.21441712,0.21868685,0.00000000
-5.86793397,13.04483507,1.07398528,12.50152589,0.02058824,0.21676126,0.22520116,0.00000000
-5.86193097,13.40670975,1.09840634,12.85394248,0.02080361,0.21835250,0.23142107,0.00000000
-5.85592796,13.75880115,1.12002990,13.19817645,0.02094717,0.21917920,0.23730190,0.00000000
-5.84992496,14.09730721,1.13872422,13.53039217,0.02101623,0.21924773,0.24281432,0.00000000
-5.84392196,14.41862931,1.15443020,13.84690605,0.02101028,0.21858277,0.24794662,0.00000000
-5.83791896,14.71946675,1.16716473,14.14428065,0.02093110,0.21722692,0.25270636,0.00000000
-5.83191596,14.99690140,1.17702174,14.41941078,0.02078278,0.21523990,0.25712137,0.00000000
-5.82591296,15.24847097,1.18417091,14.66959954,0.02057166,0.21269722,0.26123992,0.00000000
-5.81990995,15.47222944,1.18885423,14.89262323,0.02030623,0.20968845,0.26513019,0.00000000
-5.81390695,15.66679402,1.19138063,15.08678384,0.01999685,0.20631516,0.26887888,0.00000000
-5.80790395,15.83137772,1.19211889,15.25094852,0.01965554,0.20268862,0.27258920,0.00000000
-5.80190095,15.96580739,1.19148915,15.38457541,0.01929557,0.19892733,0.27637801,0.00000000
-5.79589795,16.07052672,1.18995317,15.48772524,0.01893109,0.19515442,0.28037249,0.00000000
-5.78989495,16.14658380,1.18800371,15.56105826,0.01857677,0.19149502,0.28470619,0.00000000
-5.78389195,16.19560332,1.18615316,15.60581615,0.01824728,0.18807357,0.28951467,0.00000000
-5.77788894,16.21974285,1.18492162,15.62378842,0.01795695,0.18501126,0.29493082,0.00000000
-5.77188594,16.22163363,1.18482466,15.61726347,0.01771931,0.18242343,0.30108004,0.00000000
-5.76588294,16.20430608,1.18636079,15.58896427,0.01754673,0.18041707,0.30807530,0.00000000
-5.75987994,16.17110090,1.18999894,15.54196946,0.01745004,0.17908847,0.31601235,0.00000000
-5.75387694,16.12556732,1.19616605,15.47962113,0.01743827,0.17852091,0.32496513,0.00000000
-5.74787394,16.07135057,1.20523498,15.40542101,0.01751836,0.17878256,0.33498168,0.00000000
-5.74187094,16.01207138,1.21751301,15.32291790,0.01769500,0.17992452,0.34608046,0.00000000
-5.73586793,15.95120128,1.23323120,15.23558937,0.01797046,0.18197909,0.35824752,0.00000000
-5.72986493,15.89193767,1.25253497,15.14672192,0.01834456,0.18495838,0.37143447,0.00000000
-5.72386193,15.83708364,1.27547618,15.05929375,0.01881467,0.18885319,0.38555741,0.00000000
-5.71785893,15.78893729,1.30200723,14.97586502,0.01937574,0.19363237,0.40049695,0.00000000
-5.71185593,15.74919565,1.33197741,14.89848026,0.02002047,0.19924258,0.41609945,0.00000000
-5.70585293,15.71887787,1.36513188,14.82858747,0.02073948,0.20560870,0.43217940,0.00000000
-5.69984992,15.69827180,1.40111358,14.76697797,0.02152157,0.21263468,0.44852299,0.00000000
-5.69384692,15.68690719,1.43946826,14.71375017,0.02235403,0.22020510,0.46489280,0.00000000
-5.68784392,15.68355774,1.47965259,14.66829973,0.02322299,0.22818732,0.48103364,0.00000000
-5.68184092,15.68627284,1.52104540,14.62933704,0.02411378,0.23643412,0.49667906,0.00000000
-5.67583792,15.69243847,1.56296186,14.59493208,0.02501136,0.24478697,0.51155876,0.00000000
-5.66983492,15.69886547,1.60467009,14.56258517,0.02590076,0.25307966,0.52540630,0.00000000
-5.66383192,15.70190194,1.64540990,14.52932095,0.02676746,0.26114230,0.53796699,0.00000000
-5.65782891,15.69756539,1.68441294,14.49180195,0.02759786,0.26880548,0.54900575,0.00000000
-5.65182591,15.68168921,1.72092364,14.44645703,0.02837963,0.27590451,0.55831444,0.00000000
-5.64582291,15.65007760,1.75422012,14.38961935,0.02910206,0.28228352,0.56571851,0.00000000
-5.63981991,15.59866244,1.78363439,14.31766815,0.02975643,0.28779935,0.57108270,0.00000000
-5.63381691,15.52365561,1.80857096,14.22716843,0.03033616,0.29232505,0.57431550,0.00000000
-5.62781391,15.42169063,1.82852333,14.11500292,0.03083708,0.29575281,0.57537210,0.00000000
-5.62181091,15.28994788,1.84308757,13.97849086,0.03125747,0.29799640,0.57425598,0.00000000
-5.61580790,15.12625861,1.85197266,13.81548927,0.03159814,0.29899279,0.57101865,0.00000000
-5.60980490,14.92918388,1.85500714,13.62447262,0.03186233,0.29870319,0.56575797,0.00000000
-5.60380190,14.69806571,1.85214199,13.40458851,0.03205564,0.29711331,0.55861476,0.00000000
-5.59779890,14.43304916,1.84344957,13.15568738,0.03218580,0.29423293,0.54976811,0.00000000
-5.59179590,14.13507509,1.82911890,12.87832608,0.03226239,0.29009482,0.53942935,0.00000000
-5.58579290,13.80584478,1.80944762,12.57374568,0.03229658,0.28475314,0.52783518,0.00000000
-5.57978989,13.44775882,1.78483083,12.24382545,0.03230075,0.27828129,0.51523998,0.00000000
-5.57378689,13.06383346,1.75574765,11.89101556,0.03228813,0.27076942,0.50190790,0.00000000
-5.56778389,12.65759874,1.72274597,11.51825211,0.03227241,0.26232171,0.48810485,0.00000000
-5.56178089,12.23298329,1.68642619,11.12885867,0.03226738,0.25305336,0.47409084,0.00000000
-5.55577789,11.79419102,1.64742453,10.72643886,0.03228662,0.24308767,0.46011298,0.00000000
-5.54977489,11.34557525,1.60639683,10.31476493,0.03234316,0.23255298,0.44639938,0.00000000
-5.54377189,10.89151546,1.56400336,9.89766714,0.03244930,0.22157989,0.43315427,0.00000000
-5.53776888,10.43630204,1.52089520,9.47892852,0.03261644,0.21029851,0.42055453,0.00000000
-5.53176588,9.98403309,1.47770287,9.06218929,0.03285499,0.19883604,0.40874762,0.00000000
-5.52576288,9.53852728,1.43502733,8.65086431,0.03317439,0.18731459,0.39785114,0.00000000
-5.51975988,9.10325533,1.39343377,8.24807642,0.03358322,0.17584934,0.38795397,0.00000000
-5.51375688,8.68129185,1.35344803,7.85660742,0.03408931,0.16454700,0.37911868,0.00000000
-5.50775388,8.27528813,1.31555579,7.47886747,0.03469998,0.15350463,0.37138540,0.00000000
-5.50175088,7.88746525,1.28020404,7.11688278,0.03542231,0.14280878,0.36477655,0.00000000
-5.49574787,7.51962601,1.24780463,6.77230047,0.03626341,0.13253501,0.35930239,0.00000000
-5.48974487,7.17318306,1.21873924,6.44640847,0.03723070,0.12274763,0.35496700,0.00000000
-5.48374187,6.84920006,1.19336537,6.14016792,0.03833212,0.11349983,0.35177425,0.00000000
-5.47773887,6.54844192,1.17202250,5.85425477,0.03957636,0.10483399,0.34973356,0.00000000
-5.47173587,6.27143027,1.15503804,5.58910704,0.04097293,0.09678220,0.34886500,0.00000000
-5.46573287,6.01849984,1.14273224,5.34497421,0.04253221,0.08936703,0.34920350,0.00000000
-5.45972986,5.78985201,1.13542170,5.12196530,0.04426533,0.08260232,0.35080180,0.00000000
-5.45372686,5.58560217,1.13342096,4.92009257,0.04618394,0.07649418,0.35373219,0.00000000
-5.44772386,5.40581802,1.13704191,4.73930829,0.04829990,0.07104192,0.35808657,0.00000000
-5.44172086,5.25054697,1.14659077,4.57953275,0.05062486,0.06623907,0.36397514,0.00000000
-5.43571786,5.11983146,1.16236280,4.44067237,0.05316969,0.06207428,0.37152349,0.00000000
-5.42971486,5.01371198,1.18463461,4.32262750,0.05594387,0.05853224,0.38086832,0.00000000
-5.42371186,4.93221844,1.21365453,4.22529036,0.05895489,0.05559444,0.39215204,0.00000000
-5.41770885,4.87535114,1.24963130,4.14853392,0.06220752,0.05323981,0.40551623,0.00000000
-5.41170585,4.84305331,1.29272156,4.09219340,0.06570318,0.05144531,0.42109456,0.00000000
-5.40570285,4.83517748,1.34301654,4.05604216,0.06943933,0.05018630,0.43900519,0.00000000
-5.39969985,4.85144831,1.40052872,4.03976412,0.07340889,0.04943679,0.45934325,0.00000000
-5.39369685,4.89142439,1.46517875,4.04292480,0.07759979,0.04916963,0.48217343,0.00000000
-5.38769385,4.95446167,1.53678334,4.06494316,0.08199467,0.04935653,0.50752322,0.00000000
-5.38169085,5.03968064,1.61504467,4.10506597,0.08657061,0.04996798,0.53537700,0.00000000
-5.37568784,5.14593929,1.69954164,4.16234656,0.09129908,0.05097313,0.56567117,0.00000000
-5.36968484,5.27181349,1.78972365,4.23562894,0.09614601,0.05233961,0.59829070,0.00000000
-5.36368184,5.41558569,1.88490710,4.32353852,0.10107202,0.05403331,0.63306701,0.00000000
-5.35767884,5.57524298,1.98427524,4.42447980,0.10603275,0.05601816,0.66977752,0.00000000
-5.35167584,5.74848460,2.08688142,4.53664148,0.11097939,0.05825596,0.70814686,0.00000000
-5.34567284,5.93273906,2.19165616,4.65800892,0.11585929,0.06070624,0.74784962,0.00000000
-5.33966983,6.12519061,2.29741829,4.78638377,0.12061672,0.06332617,0.78851486,0.00000000
-5.33366683,6.32281438,2.40289000,4.91941031,0.12519377,0.06607062,0.82973203,0.00000000
-5.32766383,6.52241960,2.50671598,5.05460800,0.12953125,0.06889229,0.87105831,0.00000000
-5.32166083,6.72069990,2.60748646,5.18940959,0.13356981,0.07174197,0.91202711,0.00000000
-5.31565783,6.91428958,2.70376369,5.32120371,0.13725104,0.07456897,0.95215759,0.00000000
-5.30965483,7.09982449,2.79411139,5.44738138,0.14051861,0.07732163,0.99096484,0.00000000
-5.30365183,7.27400612,2.87712656,5.56538488,0.14331951,0.07994799,1.02797036,0.00000000
-5.29764882,7.43366721,2.95147260,5.67275820,0.14560523,0.08239664,1.06271273,0.00000000
-5.29164582,7.57583694,3.01591273,5.76719732,0.14733289,0.08461757,1.09475789,0.00000000
-5.28564282,7.69780398,3.06934259,5.84659914,0.14846638,0.08656321,1.12370874,0.00000000
-5.27963982,7.79717512,3.11082057,5.90910724,0.14897730,0.08818942,1.14921383,0.00000000
-5.27363682,7.87192756,3.13959479,5.95315317,0.14884580,0.08945653,1.17097472,0.00000000
-5.26763382,7.92045292,3.15512524,5.97749138,0.14806129,0.09033039,1.18875171,0.00000000
-5.26163082,7.94159114,3.15710019,5.98122669,0.14662284,0.09078327,1.20236790,0.00000000
-5.25562781,7.93465289,3.14544583,5.96383290,0.14453942,0.09079469,1.21171126,0.00000000
-5.24962481,7.89942937,3.12032854,5.92516161,0.14182989,0.09035203,1.21673479,0.00000000
-5.24362181,7.83618909,3.08214958,5.86544086,0.13852267,0.08945100,1.21745479,0.00000000
-5.23761881,7.74566148,3.03153219,5.78526335,0.13465520,0.08809587,1.21394734,0.00000000
-5.23161581,7.62900809,2.96930154,5.68556467,0.13027314,0.08629939,1.20634321,0.00000000
-5.22561281,7.48778250,2.89645849,5.56759228,0.12542936,0.08408257,1.19482154,0.00000000
-5.21960980,7.32388069,2.81414814,5.43286671,0.12018273,0.08147407,1.17960258,0.00000000
-5.21360680,7.13948408,2.72362467,5.28313629,0.11459673,0.07850951,1.16093995,0.00000000
-5.20760380,6.93699756,2.62621405,5.12032761,0.10873810,0.07523043,1.13911265,0.00000000
-5.20160080,6.71898532,2.52327622,4.94649365,0.10267523,0.07168322,1.11441740,0.00000000
-5.19559780,6.48810694,2.41616849,4.76376161,0.09647680,0.06791781,1.08716150,0.00000000
-5.18959480,6.24705637,2.30621166,4.57428264,0.09021027,0.06398638,1.05765652,0.00000000
-5.18359180,5.99850581,2.19466013,4.38018502,0.08394065,0.05994204,1.02621307,0.00000000
-5.17758879,5.74505626,2.08267719,4.18353258,0.07772928,0.05583750,0.99313672,0.00000000
-5.17158579,5.48919604,1.97131617,3.98628916,0.07163287,0.05172395,0.95872515,0.00000000
-5.16558279,5.23326797,1.86150785,3.79029006,0.06570277,0.04764993,0.92326640,0.00000000
-5.15957979,4.97944519,1.75405422,3.59722056,0.05998432,0.04366052,0.88703820,0.00000000
-5.15357679,4.72971559,1.64962828,3.40860149,0.05451661,0.03979666,0.85030813,0.00000000
-5.14757379,4.48587382,1.54877933,3.22578127,0.04933229,0.03609473,0.81333449,0.00000000
-5.14157079,4.24951999,1.45194301,3.04993377,0.04445767,0.03258635,0.77636746,0.00000000
-5.13556778,4.02206388,1.35945511,2.88206094,0.03991300,0.02929842,0.73965059,0.00000000
-5.12956478,3.80473320,1.27156816,2.72299934,0.03571289,0.02625344,0.70342221,0.00000000
-5.12356178,3.59858494,1.18846984,2.57342945,0.03186688,0.02346996,0.66791672,0.00000000
-5.11755878,3.40451859,1.11030212,2.43388696,0.02838010,0.02096327,0.63336568,0.00000000
-5.11155578,3.22329046,1.03718039,2.30477528,0.02525403,0.01874625,0.59999852,0.00000000
-5.10555278,3.05552862,0.96921189,2.18637868,0.02248732,0.01683033,0.56804307,0.00000000
