energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,4.96799838,0.03251944,0.72307698,0.89568612,0.43758952,1.52266940,2.10545441,1.90631494,0.00000000
-5.99399700,4.98312474,0.03260014,0.73212053,0.88655821,0.43652867,1.53956637,2.12019720,1.89938361,0.00000000
-5.98799400,4.99931916,0.03260199,0.74265888,0.87615607,0.43497083,1.55738590,2.13547490,1.89127506,0.00000000
-5.98199100,5.01632852,0.03251925,0.75460218,0.86463078,0.43291854,1.57604757,2.15101193,1.88206575,0.00000000
-5.97598799,5.03383847,0.03234735,0.76782688,0.85214690,0.43038105,1.59543618,2.16650593,1.87183948,0.00000000
-5.96998499,5.05147823,0.03208311,0.78217722,0.83887678,0.42737456,1.61539968,2.18163602,1.86068416,0.00000000
-5.96398199,5.06882745,0.03172497,0.79746752,0.82499500,0.42392234,1.63574846,2.19607144,1.84868887,0.00000000
-5.95797899,5.08542558,0.03127315,0.81348548,0.81067319,0.42005486,1.65625635,2.20948079,1.83594128,0.00000000
-5.95197599,5.10078404,0.03072970,0.82999643,0.79607540,0.41580986,1.67666368,2.22154172,1.82252587,0.00000000
-5.94597299,5.11440172,0.03009857,0.84674871,0.78135446,0.41123241,1.69668246,2.23195133,1.80852312,0.00000000
-5.93996998,5.12578359,0.02938556,0.86347997,0.76664923,0.40637501,1.71600397,2.24043696,1.79400982,0.00000000
-5.93396698,5.13446237,0.02859827,0.87992454,0.75208301,0.40129759,1.73430836,2.24676748,1.77906055,0.00000000
-5.92796398,5.14002263,0.02774590,0.89582135,0.73776311,0.39606760,1.75127626,2.25076477,1.76375034,0.00000000
-5.92196098,5.14212662,0.02683912,0.91092249,0.72378138,0.39076000,1.76660172,2.25231500,1.74815834,0.00000000
-5.91595798,5.14054049,0.02588983,0.92500189,0.71021580,0.38545724,1.78000610,2.25137939,1.73237233,0.00000000
-5.90995498,5.13515984,0.02491093,0.93786373,0.69713273,0.38024903,1.79125216,2.24800391,1.71649362,0.00000000
-5.90395198,5.12603300,0.02391601,0.94935042,0.68458976,0.37523210,1.80015756,2.24232730,1.70064216,0.00000000
-5.89794897,5.11338041,0.02291916,0.95934951,0.67263880,0.37050967,1.80660711,2.23458685,1.68496125,0.00000000
-5.89194597,5.09760884,0.02193463,0.96779925,0.66132923,0.36619063,1.81056298,2.22512133,1.66962147,0.00000000
-5.88594297,5.07931891,0.02097656,0.97469257,0.65071075,0.36238847,1.81207231,2.21437063,1.65482346,0.00000000
-5.87993997,5.05930497,0.02005876,0.98007908,0.64083576,0.35921984,1.81127160,2.20287156,1.64079912,0.00000000
-5.87393697,5.03854655,0.01919446,0.98406505,0.63176113,0.35680268,1.80838767,2.19124972,1.62781093,0.00000000
-5.86793397,5.01819117,0.01839602,0.98681125,0.62354906,0.35525402,1.80373496,2.18020730,1.61614923,0.00000000
-5.86193097,4.99952856,0.01767480,0.98852867,0.61626717,0.35468738,1.79770926,2.17050685,1.60612738,0.00000000
-5.85592796,4.98395708,0.01704090,0.98947234,0.60998755,0.35520980,1.79077802,2.16295159,1.59807489,0.00000000
-5.84992496,4.97294327,0.01650302,0.98993344,0.60478515,0.35691872,1.78346781,2.15836268,1.59232863,0.00000000
-5.84392196,4.96797622,0.01606832,0.99023004,0.60073524,0.35989857,1.77634935,2.15755415,1.58922264,0.00000000
-5.83791896,4.97051849,0.01574227,0.99069684,0.59791051,0.36421744,1.77002087,2.16130662,1.58907672,0.00000000
-5.83191596,4.98195564,0.01552858,0.99167438,0.59637769,0.36992380,1.76509049,2.17034062,1.59218456,0.00000000
-5.82591296,5.00354668,0.01542914,0.99349811,0.59619411,0.37704350,1.76215851,2.18529071,1.59880181,0.00000000
-5.81990995,5.03637744,0.01544395,0.99648783,0.59740436,0.38557721,1.76180011,2.20668148,1.60913485,0.00000000
-5.81390695,5.08131912,0.01557121,1.00093780,0.60003735,0.39549844,1.76454942,2.23490640,1.62333066,0.00000000
-5.80790395,5.13899362,0.01580727,1.00710798,0.60410386,0.40675227,1.77088532,2.27021052,1.64146848,0.00000000
-5.80190095,5.20974731,0.01614679,1.01521665,0.60959486,0.41925491,1.78121948,2.31267776,1.66355362,0.00000000
-5.79589795,5.29363411,0.01658285,1.02543464,0.61648064,0.43289422,1.79588697,2.36222326,1.68951376,0.00000000
-5.78989495,5.39040866,0.01710710,1.03788123,0.62471087,0.44753114,1.81513954,2.41859127,1.71919794,0.00000000
-5.78389195,5.49952936,0.01770997,1.05262196,0.63421550,0.46300208,1.83914158,2.48135852,1.75237829,0.00000000
-5.77788894,5.62017126,0.01838091,1.06966801,0.64490653,0.47912220,1.86796856,2.54994294,1.78875441,0.00000000
-5.77188594,5.75124756,0.01910861,1.08897737,0.65668045,0.49568953,1.90160781,2.62361735,1.82796017,0.00000000
-5.76588294,5.89143867,0.01988131,1.11045735,0.66942122,0.51248965,1.93996117,2.70152748,1.86957250,0.00000000
-5.75987994,6.03922723,0.02068701,1.13396834,0.68300362,0.52930092,1.98284915,2.78271347,1.91312185,0.00000000
-5.75387694,6.19293723,0.02151379,1.15932853,0.69729667,0.54589991,2.03001617,2.86613394,1.95810359,0.00000000
-5.74787394,6.35077536,0.02235000,1.18631923,0.71216700,0.56206689,2.08113644,2.95069167,2.00398995,0.00000000
-5.74187094,6.51087281,0.02318451,1.21469052,0.72748179,0.57759115,2.13582008,3.03525979,2.05024188,0.00000000
