energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Li_s_up,Te_p_up,Te_d_up
-6.00000000,6.95007502,0.01646364,0.55371298,1.45847557,3.96811678,0.22608203,2.26448765,0.00000000
-5.99399700,7.20596418,0.01685277,0.57247349,1.51418232,4.13216430,0.23704555,2.33686017,0.00000000
-5.98799400,7.44933681,0.01725249,0.59055765,1.56776714,4.28732749,0.24724729,2.40765724,0.00000000
-5.98199100,7.67758109,0.01765916,0.60785340,1.61856848,4.43193460,0.25654399,2.47615243,0.00000000
-5.97598799,7.88812526,0.01806769,0.62424865,1.66590930,4.56440880,0.26480461,2.54154616,0.00000000
-5.96998499,8.07850929,0.01847160,0.63963293,1.70911662,4.68331010,0.27191446,2.60299067,0.00000000
-5.96398199,8.24645842,0.01886335,0.65389913,1.74754265,4.78737546,0.27777907,2.65961900,0.00000000
-5.95797899,8.38995515,0.01923460,0.66694521,1.78058647,4.87555530,0.28232758,2.71057653,0.00000000
-5.95197599,8.50730654,0.01957663,0.67867576,1.80771530,4.94704512,0.28551570,2.75505353,0.00000000
-5.94597299,8.59720401,0.01988068,0.68900345,1.82848429,5.00131097,0.28732784,2.79231714,0.00000000
-5.93996998,8.65877296,0.02013847,0.69785026,1.84255397,5.03810789,0.28777855,2.82174124,0.00000000
-5.93396698,8.69161023,0.02034261,0.70514855,1.84970455,5.05749065,0.28691310,2.84283290,0.00000000
-5.92796398,8.69580805,0.02048704,0.71084190,1.84984634,5.05981666,0.28480716,2.85525418,0.00000000
-5.92196098,8.67196363,0.02056745,0.71488583,1.84302603,5.04574085,0.28156563,2.85883852,0.00000000
-5.91595798,8.62117433,0.02058163,0.71724837,1.82942842,5.01620319,0.27732054,2.85360114,0.00000000
-5.90995498,8.54501885,0.02052980,0.71791058,1.80937374,4.97240910,0.27222824,2.83974320,0.00000000
-5.90395198,8.44552547,0.02041481,0.71686701,1.78331061,4.91580376,0.26646580,2.81764990,0.00000000
-5.89794897,8.32512883,0.02024230,0.71412616,1.75180513,4.84804115,0.26022683,2.78788271,0.00000000
-5.89194597,8.18661679,0.02002077,0.70971090,1.71552653,4.77094880,0.25371677,2.75116644,0.00000000
-5.88594297,8.03306953,0.01976154,0.70365892,1.67523000,4.68648933,0.24714792,2.70837183,0.00000000
-5.87993997,7.86779268,0.01947862,0.69602312,1.63173738,4.59671964,0.24073414,2.66049436,0.00000000
-5.87393697,7.69424640,0.01918852,0.68687187,1.58591650,4.50374878,0.23468555,2.60863030,0.00000000
-5.86793397,7.51597233,0.01890994,0.67628914,1.53865968,4.40969533,0.22920332,2.55395067,0.00000000
-5.86193097,7.33651989,0.01866340,0.66437440,1.49086223,4.31664498,0.22447460,2.49767398,0.00000000
-5.85592796,7.15937340,0.01847083,0.65124213,1.44340136,4.22660890,0.22066786,2.44103827,0.00000000
-5.84992496,6.98788129,0.01835503,0.63702101,1.39711617,4.14148375,0.21792863,2.38527321,0.00000000
-5.84392196,6.82518827,0.01833917,0.62185254,1.35278896,4.06301348,0.21637577,2.33157256,0.00000000
-5.83791896,6.67417156,0.01844618,0.60588922,1.31112841,3.99275375,0.21609847,2.28106748,0.00000000
-5.83191596,6.53738182,0.01869814,0.58929217,1.27275465,3.93203931,0.21715382,2.23480104,0.00000000
