energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,8.65225088,0.05327359,0.52744114,2.20007852,3.62413507,1.52139596,0.49470741,4.29482246,0.00000000
-5.99399700,8.77844059,0.05447506,0.52623422,2.29203112,3.65334784,1.55108511,0.49950360,4.36440836,0.00000000
-5.98799400,8.90114236,0.05558627,0.52645678,2.38669045,3.68130270,1.58365020,0.50289034,4.42934195,0.00000000
-5.98199100,9.01974862,0.05659157,0.52795827,2.48302213,3.70793556,1.61905727,0.50489935,4.48957099,0.00000000
-5.97598799,9.13343349,0.05747628,0.53055960,2.57985918,3.73310817,1.65711883,0.50557299,4.54495052,0.00000000
-5.96998499,9.24115024,0.05822727,0.53405786,2.67591783,3.75660860,1.69748824,0.50496165,4.59522878,0.00000000
-5.96398199,9.34164130,0.05883348,0.53823199,2.76981873,3.77815650,1.73966035,0.50312130,4.64003937,0.00000000
-5.95797899,9.43346215,0.05928646,0.54284938,2.86011363,3.79741339,1.78297902,0.50011110,4.67890085,0.00000000
-5.95197599,9.51501944,0.05958072,0.54767313,2.94531721,3.81399794,1.82665162,0.49599138,4.71122439,0.00000000
-5.94597299,9.58462299,0.05971409,0.55247000,3.02394360,3.82750588,1.86977024,0.49082207,4.73632994,0.00000000
-5.93996998,9.64055040,0.05968792,0.55701847,3.09454658,3.83753386,1.91133901,0.48466159,4.75347064,0.00000000
-5.93396698,9.68112174,0.05950726,0.56111684,3.15576217,3.84370622,1.95030670,0.47756631,4.76186460,0.00000000
-5.92796398,9.70478139,0.05918081,0.56459085,3.20635223,3.84570325,1.98560315,0.46959061,4.76073308,0.00000000
-5.92196098,9.71018295,0.05872088,0.56730062,3.24524705,3.84328952,2.01617809,0.46078740,4.74934302,0.00000000
-5.91595798,9.69627272,0.05814317,0.56914630,3.27158521,3.83634047,2.04104061,0.45120919,4.72705183,0.00000000
-5.90995498,9.66236694,0.05746649,0.57007238,3.28474846,3.82486555,2.05929735,0.44090946,4.69335209,0.00000000
-5.90395198,9.60821788,0.05671230,0.57007024,3.28439002,3.80902614,2.07018765,0.42994419,4.64791332,0.00000000
-5.89794897,9.53406426,0.05590427,0.56917873,3.27045423,3.78914685,2.07311383,0.41837355,4.59061833,0.00000000
-5.89194597,9.44066211,0.05506765,0.56748281,3.24318648,3.76571890,2.06766521,0.40626338,4.52159168,0.00000000
-5.88594297,9.32929270,0.05422861,0.56511010,3.20313207,3.73939468,2.05363452,0.39368641,4.44121806,0.00000000
-5.87993997,9.20174604,0.05341351,0.56222562,3.15112390,3.71097325,2.03102594,0.38072308,4.35014915,0.00000000
-5.87393697,9.06027896,0.05264809,0.55902472,3.08825877,3.68137673,2.00005439,0.36746179,4.24929782,0.00000000
-5.86793397,8.90754886,0.05195665,0.55572472,3.01586314,3.65161838,1.96113607,0.35399852,4.13981947,0.00000000
-5.86193097,8.74652526,0.05136120,0.55255550,2.93544955,3.62276348,1.91487094,0.34043575,4.02308111,0.00000000
-5.85592796,8.58038296,0.05088067,0.54974951,2.84866549,3.59588461,1.86201785,0.32688085,3.90061922,0.00000000
-5.84992496,8.41238143,0.05053013,0.54753163,2.75723687,3.57201351,1.80346397,0.31344372,3.77408850,0.00000000
-5.84392196,8.24573641,0.05032008,0.54610942,2.66290869,3.55209173,1.74018984,0.30023409,3.64520395,0.00000000
-5.83791896,8.08348994,0.05025590,0.54566413,2.56738562,3.53692269,1.67323204,0.28735843,3.51567920,0.00000000
-5.83191596,7.92838554,0.05033744,0.54634286,2.47227500,3.52712751,1.60364531,0.27491669,3.38716436,0.00000000
-5.82591296,7.78275491,0.05055874,0.54825223,2.37903522,3.52310729,1.53246587,0.26299914,3.26118653,0.00000000
-5.81990995,7.64842221,0.05090807,0.55145377,2.28893147,3.52501371,1.46067784,0.25168339,3.13909624,0.00000000
-5.81390695,7.52663088,0.05136806,0.55596126,2.20300088,3.53272990,1.38918403,0.24103192,3.02202246,0.00000000
-5.80790395,7.41799690,0.05191618,0.56173987,2.12202856,3.54586293,1.31878233,0.23109008,2.91083856,0.00000000
-5.80190095,7.32249106,0.05252541,0.56870736,2.04653519,3.56374843,1.25014860,0.22188492,2.80614082,0.00000000
-5.79589795,7.23945108,0.05316508,0.57673690,1.97677654,3.58546763,1.18382631,0.21342476,2.70824047,0.00000000
-5.78989495,7.16762314,0.05380200,0.58566160,1.91275437,3.60987636,1.12022301,0.20569966,2.61716937,0.00000000
-5.78389195,7.10523053,0.05440165,0.59528028,1.85423799,3.63564475,1.05961334,0.19868270,2.53269896,0.00000000
-5.77788894,7.05006611,0.05492955,0.60536439,1.80079477,3.66130614,1.00214787,0.19233205,2.45437085,0.00000000
-5.77188594,6.99960391,0.05535259,0.61566564,1.75182801,3.68531312,0.94786686,0.18659372,2.38153765,0.00000000
-5.76588294,6.95112431,0.05564040,0.62592413,1.70661984,3.70609824,0.89671778,0.18140486,2.31341124,0.00000000
-5.75987994,6.90184694,0.05576667,0.63587673,1.66437712,3.72213677,0.84857553,0.17669745,2.24911626,0.00000000
-5.75387694,6.84906498,0.05571019,0.64526537,1.62427785,3.73200893,0.80326393,0.17240220,2.18774563,0.00000000
-5.74787394,6.79027480,0.05545589,0.65384521,1.58551599,3.73445876,0.76057748,0.16845240,2.12841567,0.00000000
-5.74187094,6.72329530,0.05499546,0.66139230,1.54734285,3.72844738,0.72030218,0.16478773,2.07031789,0.00000000
-5.73586793,6.64637209,0.05432777,0.66771078,1.50910318,3.71319836,0.68223446,0.16135756,2.01276535,0.00000000
-5.72986493,6.55826240,0.05345901,0.67263945,1.47026482,3.68823355,0.64619772,0.15812393,1.95523161,0.00000000
-5.72386193,6.45829790,0.05240250,0.67605761,1.43044096,3.65339801,0.61205563,0.15506379,1.89738075,0.00000000
-5.71785893,6.34642358,0.05117817,0.67789013,1.38940460,3.60887338,0.57972216,0.15217069,1.83908777,0.00000000
-5.71185593,6.22321205,0.04981187,0.67811159,1.34709503,3.55517928,0.54916808,0.14945556,1.78044873,0.00000000
-5.70585293,6.08985367,0.04833439,0.67674949,1.30361686,3.49316309,0.52042405,0.14694687,1.72178094,0.00000000
-5.69984992,5.94812406,0.04678031,0.67388640,1.25923191,3.42397882,0.49358055,0.14468998,1.66361365,0.00000000
-5.69384692,5.80033093,0.04518675,0.66966088,1.21434514,3.34905599,0.46878481,0.14274574,1.60667021,0.00000000
-5.68784392,5.64924329,0.04359203,0.66426699,1.16948545,3.27006015,0.44623545,0.14118853,1.55184279,0.00000000
-5.68184092,5.49800610,0.04203440,0.65795240,1.12528254,3.18884631,0.42617483,0.14010362,1.50016119,0.00000000
-5.67583792,5.35004390,0.04055075,0.65101474,1.08244111,3.10740737,0.40887997,0.13958411,1.45275699,0.00000000
-5.66983492,5.20895681,0.03917545,0.64379625,1.04171333,3.02781897,0.39465204,0.13972749,1.41082459,0.00000000
-5.66383192,5.07841229,0.03793941,0.63667648,1.00387081,2.95218265,0.38380518,0.14063191,1.37558057,0.00000000
-5.65782891,4.96203574,0.03686919,0.63006316,0.96967693,2.88256888,0.37665455,0.14239223,1.34822242,0.00000000
-5.65182591,4.86330275,0.03598643,0.62438119,0.93986029,2.82096134,0.37350426,0.14509609,1.32988799,0.00000000
-5.64582291,4.78543552,0.03530743,0.62005993,0.91508999,2.76920376,0.37463509,0.14881993,1.32161641,0.00000000
-5.63981991,4.73130541,0.03484290,0.61751905,0.89595319,2.72895038,0.38029247,0.15362520,1.32431141,0.00000000
-5.63381691,4.70334373,0.03459799,0.61715336,0.88293536,2.70162094,0.39067463,0.15955477,1.33870763,0.00000000
-5.62781391,4.70346207,0.03457238,0.61931693,0.87640350,2.68836086,0.40592141,0.16662971,1.36534049,0.00000000
-5.62181091,4.73298389,0.03476059,0.62430724,0.87659249,2.69000746,0.42610364,0.17484650,1.40452028,0.00000000
-5.61580790,4.79258851,0.03515236,0.63234996,0.88359482,2.70706255,0.45121366,0.18417474,1.45631075,0.00000000
-5.60980490,4.88226896,0.03573311,0.64358497,0.89735369,2.73967205,0.48115696,0.19455557,1.52051292,0.00000000
-5.60380190,5.00130489,0.03648448,0.65805446,0.91765974,2.78761315,0.51574554,0.20590078,1.59665452,0.00000000
-5.59779890,5.14825178,0.03738486,0.67569369,0.94415137,2.85028948,0.55469321,0.21809276,1.68398562,0.00000000
-5.59179590,5.32094767,0.03840994,0.69632513,0.97631884,2.92673469,0.59761317,0.23098531,1.78148102,0.00000000
-5.58579290,5.51653853,0.03953330,0.71965642,1.01351215,3.01562512,0.64401840,0.24440550,1.88784983,0.00000000
-5.57978989,5.73152281,0.04072691,0.74528256,1.05495277,3.11530158,0.69332507,0.25815635,2.00155270,0.00000000
-5.57378689,5.96181575,0.04196168,0.77269256,1.09974909,3.22380076,0.74485918,0.27202067,2.12082692,0.00000000
-5.56778389,6.20283322,0.04320793,0.80128048,1.14691554,3.33889598,0.79786673,0.28576572,2.24371939,0.00000000
-5.56178089,6.44959423,0.04443595,0.83036072,1.19539499,3.45814724,0.85152731,0.29914875,2.36812725,0.00000000
-5.55577789,6.69684056,0.04561645,0.85918704,1.24408416,3.57895966,0.90497098,0.31192332,2.49184556,0.00000000
-5.54977489,6.93917098,0.04672108,0.88697479,1.29186140,3.69864948,0.95729819,0.32384614,2.61262102,0.00000000
-5.54377189,7.17118689,0.04772292,0.91292540,1.33761609,3.81451599,1.00760215,0.33468430,2.72821058,0.00000000
-5.53776888,7.38764505,0.04859702,0.93625225,1.38027896,3.92391762,1.05499300,0.34422263,2.83644304,0.00000000
-5.53176588,7.58361260,0.04932090,0.95620691,1.41885220,4.02434976,1.09862301,0.35227090,2.93528180,0.00000000
-5.52576288,7.75461911,0.04987507,0.97210441,1.45243850,4.11352183,1.13771183,0.35867060,3.02288650,0.00000000
-5.51975988,7.89679958,0.05024351,0.98334682,1.48026778,4.18943066,1.17157071,0.36330108,3.09767116,0.00000000
-5.51375688,8.00702303,0.05041416,0.98944373,1.50172074,4.25042735,1.19962476,0.36608472,3.15835642,0.00000000
-5.50775388,8.08300076,0.05037928,0.99002905,1.51634811,4.29527464,1.22143220,0.36699088,3.20401372,0.00000000
-5.50175088,8.12336969,0.05013583,0.98487324,1.52388493,4.32319215,1.23669966,0.36603856,3.23409916,0.00000000
-5.49574787,8.12774632,0.04968564,0.97389052,1.52425919,4.33388731,1.24529288,0.36329757,3.24847560,0.00000000
-5.48974487,8.09674876,0.04903556,0.95714090,1.51759437,4.32756999,1.24724202,0.35888802,3.24742168,0.00000000
-5.48374187,8.03198482,0.04819738,0.93482687,1.50420584,4.30494996,1.24274157,0.35297841,3.23162702,0.00000000
