energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,7.35032303,0.06917533,0.56681826,2.15457680,3.28155643,2.93293054,0.00000000,0.97529401,0.29065076
-5.99399700,7.17142407,0.06631637,0.56296259,2.05837279,3.27514712,2.78838161,0.00000000,0.91268236,0.27484153
-5.98799400,7.00325504,0.06331391,0.55908254,1.96509334,3.27190073,2.65114752,0.00000000,0.85518482,0.25982886
-5.98199100,6.84726055,0.06020281,0.55513654,1.87516107,3.27217864,2.52218215,0.00000000,0.80308376,0.24571476
-5.97598799,6.70458036,0.05701960,0.55109822,1.78894042,3.27626024,2.40221988,0.00000000,0.75652607,0.23257528
-5.96998499,6.57603047,0.05380176,0.54695301,1.70673677,3.28432551,2.29177848,0.00000000,0.71552834,0.22046147
-5.96398199,6.46208757,0.05058687,0.54269419,1.62879518,3.29643809,2.19116507,0.00000000,0.67998490,0.20940095
-5.95797899,6.36287780,0.04741181,0.53831893,1.55529863,3.31252982,2.10048470,0.00000000,0.64967833,0.19939970
-5.95197599,6.27817122,0.04431192,0.53382461,1.48636646,3.33238816,2.01965121,0.00000000,0.62429207,0.19044407
-5.94597299,6.20738320,0.04132026,0.52920562,1.42205297,3.35564750,1.94840003,0.00000000,0.60342479,0.18250308
-5.93996998,6.14958407,0.03846684,0.52445120,1.36234689,3.38178576,1.88630305,0.00000000,0.58660609,0.17553066
-5.93396698,6.10351819,0.03577807,0.51954429,1.30717186,3.41012688,1.83278525,0.00000000,0.57331314,0.16946809
-5.92796398,6.06763298,0.03327620,0.51446165,1.25638838,3.43985021,1.78714317,0.00000000,0.56298784,0.16424637
-5.92196098,6.04011836,0.03097897,0.50917524,1.20979747,3.47000668,1.74856526,0.00000000,0.55505413,0.15978859
-5.91595798,6.01895604,0.02889936,0.50365489,1.16714606,3.49954194,1.71615386,0.00000000,0.54893485,0.15601229
-5.90995498,6.00197799,0.02704546,0.49787203,1.12813435,3.52732572,1.68894881,0.00000000,0.54406808,0.15283178
-5.90395198,5.98693222,0.02542052,0.49180419,1.09242478,3.55218654,1.66595227,0.00000000,0.53992219,0.15016033
-5.89794897,5.97155422,0.02402306,0.48544013,1.05965256,3.57295045,1.64615445,0.00000000,0.53600957,0.14791227
-5.89194597,5.95364111,0.02284721,0.47878509,1.02943736,3.58848211,1.62855983,0.00000000,0.53189848,0.14600508
-5.88594297,5.93112615,0.02188301,0.47186586,1.00139569,3.59772668,1.61221304,0.00000000,0.52722303,0.14436115
-5.87993997,5.90215036,0.02111692,0.46473523,0.97515359,3.59975031,1.59622408,0.00000000,0.52169082,0.14290960
-5.87393697,5.86512864,0.02053235,0.45747555,0.95035900,3.59377781,1.57979188,0.00000000,0.51508842,0.14158771
-5.86793397,5.81880765,0.02011024,0.45020101,0.92669344,3.57922554,1.56222579,0.00000000,0.50728444,0.14034234
-5.86193097,5.76231327,0.01982968,0.44305852,0.90388240,3.55572829,1.54296412,0.00000000,0.49823041,0.13913095
-5.85592796,5.69518580,0.01966858,0.43622693,0.88170420,3.52315893,1.52158939,0.00000000,0.48795952,0.13792256
-5.84992496,5.61740189,0.01960434,0.42991467,0.85999685,3.48164034,1.49783965,0.00000000,0.47658340,0.13669833
-5.84392196,5.52938258,0.01961443,0.42435577,0.83866275,3.43154894,1.47161572,0.00000000,0.46428727,0.13545200
-5.83791896,5.43198752,0.01967709,0.41980447,0.81767120,3.37351037,1.44298398,0.00000000,0.45132365,0.13419004
-5.83191596,5.32649606,0.01977186,0.41652864,0.79705851,3.30838733,1.41217486,0.00000000,0.43800502,0.13293154
-5.82591296,5.21457644,0.01988017,0.41480226,0.77692602,3.23726066,1.37957702,0.00000000,0.42469554,0.13170786
-5.81990995,5.09824447,0.01998575,0.41489732,0.75743588,3.16140447,1.34572743,0.00000000,0.41180236,0.13056208
-5.81390695,4.97981359,0.02007509,0.41707555,0.73880518,3.08225662,1.31129780,0.00000000,0.39976642,0.12954814
-5.80790395,4.86183820,0.02013775,0.42158023,0.72129829,3.00138561,1.27707763,0.00000000,0.38905321,0.12872980
-5.80190095,4.74705228,0.02016659,0.42862850,0.70521800,2.92045534,1.24395440,0.00000000,0.38014336,0.12817925
-5.79589795,4.63830488,0.02015790,0.43840436,0.69089564,2.84118862,1.21289145,0.00000000,0.37352325,0.12797564
-5.78989495,4.53849445,0.02011147,0.45105272,0.67868037,2.76533072,1.18490395,0.00000000,0.36967564,0.12820320
-5.78389195,4.45050314,0.02003050,0.46667447,0.66892814,2.69461347,1.16103350,0.00000000,0.36907024,0.12894922
-5.77788894,4.37713231,0.01992142,0.48532282,0.66199042,2.63072094,1.14232194,0.00000000,0.37215417,0.13030181
-5.77188594,4.32104020,0.01979367,0.50700090,0.65820290,2.57525672,1.12978471,0.00000000,0.37934237,0.13234747
-5.76588294,4.28468239,0.01965923,0.53166040,0.65787462,2.52971341,1.12438430,0.00000000,0.39100780,0.13516846
-5.75987994,4.27025544,0.01953228,0.55920142,0.66127752,2.49544427,1.12700428,0.00000000,0.40747156,0.13884013
-5.75387694,4.27964454,0.01942856,0.58947322,0.66863665,2.47363710,1.13842433,0.00000000,0.42899294,0.14342822
